Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/10/2023,5.68,5.71,5.63,5.6501,-0.0299,-0.53%,516722,0
02/09/2023,5.89,5.94,5.6506,5.68,-0.13,-2.24%,7554000,0
02/08/2023,5.97,5.99,5.81,5.81,-0.16,-2.68%,7062500,0
02/07/2023,5.87,6.11,5.85,5.97,0.12,+2.05%,7110600,0
02/06/2023,5.9,5.92,5.79,5.85,-0.09,-1.52%,7287700,0
02/03/2023,6.06,6.11,5.89,5.94,-0.28,-4.50%,10008700,0
02/02/2023,6.35,6.395,6.11,6.22,-0.06,-0.96%,7845800,0
02/01/2023,6.14,6.36,6.02,6.28,0.11,+1.78%,7601600,0
01/31/2023,6.11,6.23,6.05,6.17,0.03,+0.49%,5593600,0
01/30/2023,6.2,6.27,6.14,6.14,-0.1,-1.60%,5645900,0
01/27/2023,6.29,6.335,6.2,6.24,-0.13,-2.04%,8267400,0
01/26/2023,6.46,6.48,6.26,6.37,-0.09,-1.39%,6854700,0
01/25/2023,6.21,6.47,6.19,6.46,0.1,+1.57%,8124000,0
01/24/2023,6.3,6.41,6.14,6.36,0.02,+0.32%,9889900,0
01/23/2023,6.11,6.36,6.07,6.34,0.08,+1.28%,10001400,0
01/20/2023,6.18,6.29,6.06,6.26,0.08,+1.29%,8108700,0
01/19/2023,5.94,6.22,5.93,6.18,0.22,+3.69%,10505400,0
01/18/2023,6.15,6.32,5.96,5.96,-0.08,-1.32%,9022400,0
01/17/2023,6.12,6.145,5.98,6.04,-0.19,-3.05%,9072600,0
01/13/2023,5.91,6.25,5.9,6.23,0.25,+4.18%,8990100,0
01/12/2023,6,6.095,5.82,5.98,0.16,+2.75%,8603200,0
01/11/2023,6.13,6.18,5.78,5.82,-0.31,-5.06%,15269200,0
01/10/2023,6.03,6.17,5.895,6.13,0.13,+2.17%,7151000,0
01/09/2023,6,6.205,5.93,6,0.08,+1.35%,13219600,0
01/06/2023,5.79,5.965,5.6439,5.92,0.25,+4.41%,8266600,0
01/05/2023,5.63,5.7,5.53,5.67,-0.12,-2.07%,7387800,0
01/04/2023,5.83,5.84,5.665,5.79,0.13,+2.30%,9100100,0
01/03/2023,5.71,5.93,5.55,5.66,0.1,+1.80%,10789800,0
12/30/2022,5.57,5.6599,5.49,5.56,-0.04,-0.71%,5777400,0
12/29/2022,5.5,5.62,5.495,5.6,0.19,+3.51%,9833800,0
12/28/2022,5.55,5.5775,5.36,5.41,-0.23,-4.08%,5754300,0
12/27/2022,5.55,5.75,5.49,5.64,0.14,+2.55%,6491900,0
12/23/2022,5.49,5.53,5.3299,5.5,0.01,+0.18%,5552500,0
12/22/2022,5.51,5.53,5.28,5.49,-0.11,-1.96%,7502900,0
12/21/2022,5.62,5.73,5.58,5.6,0.03,+0.54%,7327900,0
12/20/2022,5.33,5.65,5.295,5.57,0.4,+7.74%,9824000,0
12/19/2022,5.33,5.37,5.14,5.17,-0.13,-2.45%,7110800,0
12/16/2022,5.21,5.39,5.12,5.3,0.04,+0.76%,20939500,0
12/15/2022,5.38,5.43,5.23,5.26,-0.27,-4.88%,10169200,0
12/14/2022,5.64,5.68,5.42,5.53,-0.13,-2.30%,13947100,0
12/13/2022,5.85,5.9,5.555,5.66,0.09,+1.62%,10683200,0
12/12/2022,5.46,5.6,5.39,5.57,0.02,+0.36%,8827000,0
12/09/2022,5.63,5.845,5.54,5.55,-0.04,-0.72%,8021600,0
12/08/2022,5.76,5.835,5.55,5.59,-0.07,-1.24%,8738000,0
12/07/2022,5.39,5.73,5.39,5.66,0.33,+6.19%,12274100,0
12/06/2022,5.43,5.6,5.3,5.33,-0.03,-0.56%,6066000,0
12/05/2022,5.65,5.67,5.325,5.36,-0.36,-6.29%,8216500,0
12/02/2022,5.45,5.77,5.4,5.72,0.15,+2.69%,10048900,0
12/01/2022,5.63,5.82,5.405,5.57,0.12,+2.20%,11995400,0
11/30/2022,5.13,5.46,5.08,5.45,0.44,+8.78%,19913300,0
11/29/2022,4.9,5.12,4.9,5.01,0.16,+3.30%,5865200,0
11/28/2022,5.13,5.155,4.83,4.85,-0.33,-6.37%,6819000,0
11/25/2022,5.21,5.22,5.125,5.18,-0.03,-0.58%,3052800,0
11/23/2022,5.14,5.225,5.06,5.21,0.04,+0.77%,5730100,0
11/22/2022,4.87,5.2,4.85,5.17,0.37,+7.71%,11334400,0
11/21/2022,4.85,4.87,4.66,4.8,-0.13,-2.64%,5189400,0
11/18/2022,4.96,4.965,4.83,4.93,0.06,+1.23%,5105200,0
11/17/2022,4.89,4.89,4.74,4.87,-0.12,-2.40%,6890200,0
11/16/2022,5.09,5.09,4.9417,4.99,-0.1,-1.96%,5517600,0
11/15/2022,5.21,5.26,5.04,5.09,-0.07,-1.36%,8548700,0
11/14/2022,4.87,5.21,4.86,5.16,0.22,+4.45%,9593100,0
11/11/2022,4.98,5.01,4.81,4.94,-0.05,-1.00%,9057800,0
11/10/2022,4.82,5.01,4.615,4.99,0.45,+9.91%,9347300,0
11/09/2022,4.85,4.91,4.47,4.54,-0.43,-8.65%,11380300,0
11/08/2022,4.82,5.12,4.73,4.97,0.18,+3.76%,13270500,0
