Time,Open,High,Low,Last,Change,%Chg,Volume
03/31/2023,10.34,10.34,10.34,10.34,-0.0074,-0.07%,2900
03/29/2023,10.34,10.3474,10.34,10.3474,0.0274,+0.27%,2000
03/22/2023,10.32,10.32,10.32,10.32,-0.03,-0.29%,100
03/13/2023,10.325,10.35,10.325,10.35,0.02,+0.19%,2700
03/09/2023,10.33,10.33,10.33,10.33,0.01,+0.10%,18200
03/06/2023,10.32,10.32,10.32,10.32,0.01,+0.10%,100
02/28/2023,10.31,10.31,10.3,10.31,0.01,+0.10%,10700
02/27/2023,10.29,10.3,10.285,10.3,0.01,+0.10%,13600
02/24/2023,10.3,10.3,10.29,10.29,0,0.00%,24000
02/23/2023,10.295,10.295,10.2898,10.29,0,0.00%,21900
02/22/2023,10.28,10.3,10.28,10.29,0,0.00%,36800
02/21/2023,10.27,10.29,10.27,10.29,0.02,+0.19%,41300
02/17/2023,10.27,10.27,10.27,10.27,-0.005,-0.05%,22300
02/16/2023,10.26,10.275,10.26,10.275,0.015,+0.15%,36100
02/15/2023,10.27,10.27,10.25,10.26,-0.01,-0.10%,52800
02/09/2023,10.26,10.27,10.26,10.27,0.0297,+0.29%,1325600
02/07/2023,10.28,10.62,10.24,10.2403,-0.0097,-0.09%,19800
02/06/2023,10.25,10.25,10.25,10.25,0.0097,+0.09%,800
02/03/2023,10.27,10.27,10.2403,10.2403,0.0103,+0.10%,700
01/31/2023,10.26,10.26,10.23,10.23,0.02,+0.20%,400
01/24/2023,10.22,10.22,10.21,10.21,0.04,+0.39%,5900
01/10/2023,10.17,10.17,10.17,10.17,0.01,+0.10%,200
01/06/2023,10.22,10.22,10.16,10.16,-0.01,-0.10%,7000
01/04/2023,10.22,10.22,10.17,10.17,0,0.00%,101400
01/03/2023,10.16,10.17,10.16,10.17,-0.01,-0.10%,156800
12/29/2022,10.18,10.18,10.18,10.18,0.01,+0.10%,8600
12/27/2022,10.17,10.17,10.17,10.17,0.02,+0.20%,20000
12/23/2022,10.15,10.15,10.15,10.15,0.03,+0.30%,27500
12/13/2022,10.12,10.12,10.12,10.12,-0.0299,-0.29%,5000
12/07/2022,10.1499,10.1499,10.1499,10.1499,0.0399,+0.39%,100
12/02/2022,10.13,10.13,10.11,10.11,0,0.00%,36700
11/29/2022,10.11,10.11,10.11,10.11,0,0.00%,700
11/28/2022,10.11,10.11,10.11,10.11,-0.07,-0.69%,1000
11/25/2022,10.1,10.18,10.1,10.18,0.09,+0.89%,1700
11/23/2022,10.09,10.09,10.09,10.09,0,0.00%,1400
11/22/2022,10.1,10.18,10.09,10.09,0.01,+0.10%,1700
11/18/2022,10.08,10.08,10.08,10.08,-0.02,-0.20%,2200
11/17/2022,10.1,10.1,10.1,10.1,0.03,+0.30%,500
11/14/2022,10.07,10.07,10.06,10.07,0.01,+0.10%,62600
11/08/2022,10.05,10.06,10.05,10.06,0.01,+0.10%,26000
11/04/2022,10.05,10.05,10.05,10.05,0.02,+0.20%,2400
11/01/2022,10.03,10.0646,10.03,10.03,0.04,+0.40%,6100
10/07/2022,9.99,9.99,9.99,9.99,0.02,+0.20%,299000
10/05/2022,10,10.005,9.97,9.97,-0.06,-0.60%,5500
10/04/2022,9.96,10.03,9.96,10.03,0.07,+0.70%,2900
09/28/2022,9.97,9.97,9.96,9.96,-0.03,-0.30%,300
09/23/2022,9.99,9.99,9.99,9.99,0.01,+0.10%,1300
09/22/2022,9.97,9.98,9.97,9.98,0.03,+0.30%,19502
09/19/2022,9.95,9.96,9.95,9.95,0.01,+0.10%,39900
09/16/2022,9.94,9.94,9.94,9.94,0,0.00%,28300
09/14/2022,9.94,9.94,9.94,9.94,0,0.00%,300000
09/13/2022,9.94,9.94,9.94,9.94,0,0.00%,30000
"Downloaded from Barchart.com as of 04-01-2023 10:59am CDT"
