Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/07/2023,4.08,4.17,4.06,4.13,0.01,+0.24%,17202,0
03/06/2023,4.36,4.4938,4.12,4.12,-0.35,-7.83%,158800,0
03/03/2023,4.28,4.68,4.17,4.47,0.18,+4.20%,301300,0
03/02/2023,4.23,4.45,4.02,4.29,0.27,+6.72%,257100,0
03/01/2023,3.77,4.07,3.68,4.02,0.22,+5.79%,250000,0
02/28/2023,3.59,3.8782,3.58,3.8,0.27,+7.65%,149800,0
02/27/2023,3.65,3.71,3.48,3.53,-0.09,-2.49%,131800,0
02/24/2023,3.53,3.66,3.496,3.62,0.13,+3.72%,88900,0
02/23/2023,3.51,3.57,3.35,3.49,0.07,+2.05%,68800,0
02/22/2023,3.51,3.613,3.3801,3.42,-0.09,-2.56%,84200,0
02/21/2023,3.58,3.71,3.49,3.51,-0.07,-1.96%,143600,0
02/17/2023,3.8,3.84,3.53,3.58,-0.29,-7.49%,192700,0
02/16/2023,3.99,4.1499,3.77,3.87,-0.08,-2.03%,90000,0
02/15/2023,3.84,3.95,3.68,3.95,0.07,+1.80%,102300,0
02/14/2023,3.91,4,3.82,3.88,-0.03,-0.77%,108900,0
02/13/2023,4.03,4.05,3.85,3.91,-0.09,-2.25%,114300,0
02/10/2023,3.94,4.09,3.8712,4,0.05,+1.27%,154400,0
02/09/2023,4.41,4.43,3.89,3.95,-0.4,-9.20%,164000,0
02/08/2023,4.34,4.44,4.265,4.35,0.07,+1.64%,159000,0
02/07/2023,4.27,4.4613,4,4.28,-0.01,-0.23%,1045100,0
02/06/2023,4.2,4.34,4.06,4.29,0.11,+2.63%,122600,0
02/03/2023,4.39,4.39,4.14,4.18,-0.15,-3.46%,60300,0
02/02/2023,4.48,4.4999,4.19,4.33,-0.07,-1.59%,123800,0
02/01/2023,4.39,4.48,4.1729,4.4,0.01,+0.23%,117400,0
01/31/2023,4.39,4.5,4.32,4.39,-0.07,-1.57%,105100,0
01/30/2023,4.7,4.7,4.35,4.46,-0.28,-5.91%,115600,0
01/27/2023,4.93,4.94,4.68,4.74,-0.18,-3.66%,69300,0
01/26/2023,4.94,4.99,4.7501,4.92,-0.05,-1.01%,105800,0
01/25/2023,4.81,5,4.66,4.97,0.06,+1.22%,133000,0
01/24/2023,4.94,5.0026,4.86,4.91,-0.05,-1.01%,99600,0
01/23/2023,5.2,5.2,4.8903,4.96,-0.22,-4.25%,204000,0
01/20/2023,5.25,5.25,5.015,5.18,0.07,+1.37%,201200,0
01/19/2023,5.02,5.11,4.89,5.11,0.11,+2.20%,157100,0
01/18/2023,4.95,5.2,4.88,5,0.1,+2.04%,369900,0
01/17/2023,4.51,5.25,4.4613,4.9,0.34,+7.46%,614500,0
01/13/2023,3.87,4.6,3.81,4.56,0.64,+16.33%,468400,0
01/12/2023,3.63,3.95,3.63,3.92,0.31,+8.59%,385100,0
01/11/2023,3.5,3.61,3.46,3.61,0.12,+3.44%,132500,0
01/10/2023,3.4,3.5299,3.3456,3.49,0.09,+2.65%,96000,0
01/09/2023,3.23,3.47,3.23,3.4,0.25,+7.94%,198500,0
01/06/2023,3.05,3.16,3.01,3.15,0.14,+4.65%,70100,0
01/05/2023,3.07,3.09,2.99,3.01,-0.01,-0.33%,63200,0
01/04/2023,2.97,3.07,2.93,3.02,0,0.00%,109100,0
01/03/2023,3.29,3.35,2.9501,3.02,-0.25,-7.65%,89000,0
12/30/2022,3.2,3.29,3.175,3.27,0.05,+1.55%,104200,0
12/29/2022,2.82,3.23,2.815,3.22,0.42,+15.00%,143800,0
12/28/2022,2.92,2.92,2.78,2.8,-0.11,-3.78%,320200,0
12/27/2022,2.96,2.9867,2.89,2.91,-0.04,-1.36%,280000,0
12/23/2022,3,3.0054,2.94,2.95,0.01,+0.34%,88700,0
12/22/2022,3,3.03,2.79,2.94,-0.01,-0.34%,217500,0
12/21/2022,3.09,3.09,2.92,2.95,-0.03,-1.01%,480300,0
12/20/2022,3,3.09,2.92,2.98,-0.01,-0.33%,120500,0
12/19/2022,3.14,3.1614,2.99,2.99,-0.15,-4.78%,133500,0
12/16/2022,3,3.15,2.99,3.14,0.09,+2.95%,48100,0
12/15/2022,3.11,3.112,2.93,3.05,-0.02,-0.65%,77000,0
12/14/2022,3.16,3.2,3.07,3.07,-0.06,-1.92%,87600,0
12/13/2022,3.2,3.29,3.125,3.13,0.03,+0.97%,106200,0
12/12/2022,3.14,3.2299,3.0877,3.1,-0.02,-0.64%,187400,0
12/09/2022,3.07,3.2,2.98,3.12,-0.02,-0.64%,260600,0
12/08/2022,3.25,3.37,3.11,3.14,-0.16,-4.85%,90800,0
12/07/2022,3.52,3.55,3.3,3.3,-0.27,-7.56%,56800,0
12/06/2022,3.58,3.68,3.49,3.57,-0.11,-2.99%,101000,0
12/05/2022,3.85,3.8998,3.68,3.68,-0.17,-4.42%,44900,0
12/02/2022,3.75,3.92,3.69,3.85,0.08,+2.12%,45700,0
12/01/2022,3.95,4.05,3.73,3.77,-0.17,-4.31%,55000,0
11/30/2022,3.93,3.97,3.88,3.94,0.04,+1.03%,105800,0
11/29/2022,3.89,3.98,3.81,3.9,0.03,+0.78%,23300,0
11/28/2022,3.85,3.87,3.68,3.87,-0.05,-1.28%,132400,0
11/25/2022,3.93,4.01,3.9,3.92,0.02,+0.51%,29900,0
11/23/2022,3.88,3.95,3.62,3.9,-0.05,-1.27%,93900,0
11/22/2022,3.93,4.07,3.7403,3.95,0.05,+1.28%,274600,0
11/21/2022,3.9,3.93,3.33,3.9,0,0.00%,208300,0
11/18/2022,4.01,4.01,3.75,3.9,-0.11,-2.74%,221300,0
11/17/2022,3.95,4.01,3.83,4.01,0.05,+1.26%,62300,0
11/16/2022,4.09,4.09,3.86,3.96,-0.09,-2.22%,146500,0
11/15/2022,4.07,4.19,3.85,4.05,0.04,+1.00%,173300,0
11/14/2022,3.89,4.02,3.65,4.01,0.15,+3.89%,281300,0
11/11/2022,3.73,3.88,3.51,3.86,0.14,+3.76%,426400,0
11/10/2022,3.68,3.7999,3.61,3.72,0.1,+2.76%,255900,0
11/09/2022,3.74,3.74,3.54,3.62,0,0.00%,116200,0
11/08/2022,4,4.14,3.51,3.62,-0.42,-10.40%,740900,0
11/07/2022,3.85,4.09,3.8,4.04,0.28,+7.45%,256600,0
11/04/2022,3.94,4.04,3.65,3.76,-0.08,-2.08%,384300,0
11/03/2022,3.96,4.02,3.77,3.84,-0.1,-2.54%,159900,0
11/02/2022,4.03,4.1,3.87,3.94,-0.05,-1.25%,53800,0
11/01/2022,4.44,4.44,3.87,3.99,-0.32,-7.42%,295700,0
10/31/2022,4.12,4.4001,4.12,4.31,0.19,+4.61%,137900,0
10/28/2022,3.92,4.17,3.92,4.12,0.09,+2.23%,133100,0
10/27/2022,3.88,4.11,3.8604,4.03,0.15,+3.87%,116500,0
10/26/2022,3.4315,3.93,3.4315,3.88,0.47,+13.78%,427600,0
10/25/2022,3.31,3.44,3.22,3.41,0.1,+3.02%,44100,0
10/24/2022,3.32,3.3932,3.2782,3.31,-0.05,-1.49%,51500,0
10/21/2022,3.32,3.4599,3.28,3.36,0.05,+1.51%,99000,0
10/20/2022,3.27,3.38,3.268,3.31,0.08,+2.48%,61100,0
10/19/2022,3.18,3.2701,3.17,3.23,0.07,+2.22%,39400,0
10/18/2022,3.07,3.22,3.04,3.16,0.11,+3.61%,36900,0
10/17/2022,3.11,3.1899,2.9601,3.05,-0.03,-0.97%,163200,0
10/14/2022,3.21,3.225,3.05,3.08,-0.17,-5.23%,36800,0
10/13/2022,3.1,3.25,3.1,3.25,0.12,+3.83%,63700,0
10/12/2022,3.07,3.13,2.9746,3.13,0.03,+0.97%,67100,0
10/11/2022,3.06,3.235,3.05,3.1,-0.04,-1.27%,46000,0
10/10/2022,3.29,3.3899,3.1296,3.14,-0.15,-4.56%,46000,0
10/07/2022,3.4,3.63,3.29,3.29,-0.13,-3.80%,230700,0
10/06/2022,3.4,3.49,3.3701,3.42,0.07,+2.09%,69300,0
10/05/2022,3.25,3.45,3.193,3.35,0.09,+2.76%,120700,0
10/04/2022,3.1,3.2701,3.05,3.26,0.23,+7.59%,120600,0
10/03/2022,3.1,3.1271,2.96,3.03,0.03,+1.00%,70900,0
09/30/2022,3.04,3.15,2.98,3,-0.08,-2.60%,23700,0
09/29/2022,3.03,3.1453,2.99,3.08,-0.01,-0.32%,45000,0
09/28/2022,2.92,3.1211,2.92,3.09,0.17,+5.82%,78300,0
09/27/2022,2.79,2.95,2.79,2.92,0.09,+3.18%,77900,0
09/26/2022,2.94,2.97,2.78,2.83,-0.13,-4.39%,118800,0
09/23/2022,2.94,2.96,2.77,2.96,0.02,+0.68%,288500,0
09/22/2022,3.01,3.0993,2.925,2.94,-0.06,-2.00%,85600,0
09/21/2022,3.12,3.12,3,3,-0.08,-2.60%,156300,0
09/20/2022,3.06,3.08,3,3.08,-0.06,-1.91%,44100,0
09/19/2022,3,3.14,2.9997,3.14,0.12,+3.97%,43300,0
09/16/2022,3.05,3.05,2.99,3.02,-0.08,-2.58%,113800,0
09/15/2022,2.98,3.1,2.98,3.1,0.04,+1.31%,54500,0
09/14/2022,3,3.1225,2.98,3.06,0.09,+3.03%,98300,0
09/13/2022,3.05,3.13,2.91,2.97,-0.17,-5.41%,137400,0
09/12/2022,3.24,3.36,3.1,3.14,-0.01,-0.32%,96000,0
09/09/2022,3.25,3.25,3.02,3.15,-0.01,-0.32%,172600,0
09/08/2022,3.15,3.22,3.1,3.16,0.02,+0.64%,14600,0
09/07/2022,3.01,3.15,2.98,3.14,0.09,+2.95%,53200,0
09/06/2022,3.28,3.28,2.95,3.05,-0.16,-4.98%,96000,0
09/02/2022,3.2,3.27,3.15,3.21,0.08,+2.56%,46600,0
09/01/2022,3.16,3.2299,3.01,3.13,-0.07,-2.19%,113200,0
08/31/2022,3.23,3.33,3.18,3.2,-0.08,-2.44%,23300,0
08/30/2022,3.45,3.4599,3.22,3.28,-0.2,-5.75%,136800,0
08/29/2022,3.59,3.68,3.43,3.48,-0.12,-3.33%,96300,0
08/26/2022,3.77,3.83,3.55,3.6,-0.19,-5.01%,71200,0
08/25/2022,3.6,3.82,3.54,3.79,0.22,+6.16%,163800,0
08/24/2022,3.45,3.6,3.42,3.57,0.17,+5.00%,278300,0
08/23/2022,3.36,3.64,3.345,3.4,0.06,+1.80%,169800,0
08/22/2022,3.35,3.4,3.2,3.34,-0.02,-0.60%,36000,0
08/19/2022,3.39,3.43,3.2988,3.36,-0.04,-1.18%,28300,0
08/18/2022,3.35,3.42,3.3,3.4,0.1,+3.03%,51700,0
08/17/2022,3.31,3.4199,3.2,3.3,0,0.00%,57800,0
08/16/2022,3.37,3.435,3.266,3.3,-0.14,-4.07%,40800,0
08/15/2022,3.43,3.49,3.25,3.44,-0.13,-3.64%,67600,0
08/12/2022,3.52,3.66,3.5,3.57,0,0.00%,73400,0
08/11/2022,3.55,3.6099,3.5,3.57,0.04,+1.13%,103800,0
08/10/2022,3.39,3.54,3.35,3.53,0.15,+4.44%,61300,0
08/09/2022,3.44,3.4799,3.3,3.38,-0.1,-2.87%,48000,0
08/08/2022,3.36,3.55,3.36,3.48,0.12,+3.57%,128400,0
08/05/2022,3.08,3.457,3.08,3.36,0.28,+9.09%,103500,0
08/04/2022,3.29,3.32,3.06,3.08,-0.3,-8.88%,62800,0
08/03/2022,3.32,3.49,3.22,3.38,0.04,+1.20%,142700,0
