Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/31/2023,2.07,2.0728,1.81,1.86,-0.15,-7.46%,58300,0
03/30/2023,2.12,2.12,1.92,2.01,-0.01,-0.50%,38000,0
03/29/2023,2.05,2.09,1.9509,2.02,-0.04,-1.94%,46900,0
03/28/2023,2.05,2.1508,1.98,2.06,-0.05,-2.37%,32500,0
03/27/2023,2.14,2.21,2.05,2.11,-0.03,-1.40%,33500,0
03/24/2023,2.02,2.14,2,2.14,0.12,+5.94%,32000,0
03/23/2023,2.17,2.2076,2.02,2.02,-0.09,-4.27%,86400,0
03/22/2023,2.02,2.37,2,2.11,0.14,+7.11%,176500,0
03/21/2023,1.86,2.02,1.86,1.97,0.04,+2.07%,34200,0
03/20/2023,1.88,1.98,1.86,1.93,0.03,+1.58%,68400,0
03/17/2023,2.1,2.1,1.86,1.9,-0.05,-2.56%,88100,0
03/16/2023,2.22,2.26,1.85,1.95,-0.21,-9.72%,120500,0
03/15/2023,2.36,2.36,2.16,2.16,-0.17,-7.30%,45700,0
03/14/2023,2.32,2.4999,2.32,2.33,0.02,+0.87%,66800,0
03/13/2023,2.3,2.363,2.15,2.31,-0.0899,-3.75%,97300,0
03/10/2023,2.64,2.68,2.32,2.3999,-0.3201,-11.77%,148605,0
03/09/2023,2.77,2.77,2.61,2.72,0.01,+0.37%,130800,0
03/08/2023,2.77,2.7704,2.64,2.71,-0.07,-2.52%,88600,0
03/07/2023,2.97,3.02,2.71,2.78,-0.23,-7.64%,302200,0
03/06/2023,2.9,3.06,2.73,3.01,0.12,+4.15%,206900,0
03/03/2023,2.85,2.9593,2.8,2.89,0.04,+1.40%,109900,0
03/02/2023,3.22,3.22,2.8,2.85,-0.19,-6.25%,279300,0
03/01/2023,2.95,3.071,2.8,3.04,0.07,+2.36%,101100,0
02/28/2023,2.99,3.0656,2.9,2.97,-0.03,-1.00%,158900,0
02/27/2023,2.95,3.0746,2.85,3,0.12,+4.17%,236000,0
02/24/2023,2.82,3.1468,2.7,2.88,-0.01,-0.35%,282100,0
02/23/2023,2.73,3.29,2.59,2.89,0.15,+5.47%,378100,0
02/22/2023,2.82,2.89,2.64,2.74,-0.06,-2.14%,141200,0
02/21/2023,3.08,3.0986,2.65,2.8,-0.24,-7.89%,155700,0
02/17/2023,3.05,3.19,2.89,3.04,-0.07,-2.25%,68900,0
02/16/2023,3.05,3.23,2.98,3.11,-0.17,-5.18%,84200,0
02/15/2023,3.19,3.31,2.97,3.28,0.18,+5.81%,184700,0
02/14/2023,3.19,3.33,2.8001,3.1,-0.07,-2.21%,184600,0
02/13/2023,3.44,3.484,3.07,3.17,-0.295,-8.51%,382800,0
02/10/2023,3.79,3.88,3.27,3.465,-0.605,-14.86%,785000,0
02/09/2023,5.39,5.91,3.96,4.07,-0.73,-15.21%,9072500,0
02/08/2023,4.4,5.5,4.01,4.8,0.17,+3.67%,1269000,0
02/07/2023,4.58,4.6622,4.36,4.63,0.29,+6.68%,120700,0
02/06/2023,4.48,4.48,4.22,4.34,0.14,+3.33%,127000,0
02/03/2023,4.02,4.8,4.02,4.2,0.18,+4.48%,204800,0
02/02/2023,4.02,4.27,3.81,4.02,0.23,+6.07%,57100,0
02/01/2023,3.88,3.972,3.68,3.79,-0.195,-4.89%,85700,0
01/31/2023,4.13,4.37,3.96,3.985,-0.155,-3.74%,46600,0
01/30/2023,4.3,4.4284,4.1,4.14,-0.16,-3.72%,40400,0
01/27/2023,4.29,4.57,4.25,4.3,-0.01,-0.23%,38600,0
01/26/2023,4.33,4.48,4.2,4.31,-0.06,-1.37%,48900,0
01/25/2023,4.07,4.57,4.07,4.37,0.08,+1.86%,26400,0
01/24/2023,4.1,4.4,4.1,4.29,0.19,+4.63%,78200,0
01/23/2023,4.31,4.4971,4.1,4.1,-0.28,-6.39%,104500,0
01/20/2023,4.28,5.04,4.28,4.38,0.08,+1.86%,78500,0
01/19/2023,4.8,4.904,4.19,4.3,-0.65,-13.13%,111000,0
01/18/2023,5.2,5.5698,4.9,4.95,-0.16,-3.13%,42200,0
01/17/2023,5.39,5.5209,5.04,5.11,-0.29,-5.37%,74500,0
01/13/2023,6,6,5.01,5.4,-0.4,-6.90%,81800,0
01/12/2023,6.23,6.23,5.58,5.8,-0.445,-7.13%,132800,0
01/11/2023,5.64,6.34,5.5,6.245,0.345,+5.85%,130500,0
01/10/2023,4.6,5.9,4.6,5.9,1.33,+29.10%,149000,0
01/09/2023,4.36,5.34,4.15,4.57,0.3688,+8.78%,140400,0
01/06/2023,3.91,4.68,3.6573,4.2012,0.5512,+15.10%,162600,0
01/05/2023,3.9,3.9,3.6201,3.65,-0.1097,-2.92%,8000,0
01/04/2023,3.76,3.9796,3.53,3.7597,-0.0584,-1.53%,13300,0
01/03/2023,3.9127,4.19,3.755,3.8181,-0.2819,-6.88%,32300,0
12/30/2022,4.09,4.1703,3.9,4.1,-0.22,-5.09%,32800,0
12/29/2022,4.88,5.01,4.02,4.32,0.39,+9.92%,248900,0
12/28/2022,4.15,4.15,3.9001,3.93,-0.22,-5.30%,5200,0
12/27/2022,4.03,4.4,3.9206,4.15,0.17,+4.27%,35100,0
12/23/2022,4.0622,4.101,3.9,3.98,-0.3,-7.01%,13800,0
12/21/2022,4.49,4.5389,4.1,4.28,-0.09,-2.06%,58700,0
12/20/2022,4.36,4.48,4.34,4.37,0.01,+0.23%,14700,0
12/19/2022,4.34,4.41,4.34,4.36,0.02,+0.46%,42400,0
12/16/2022,4.45,4.55,4.2301,4.34,-0.21,-4.62%,40500,0
12/15/2022,4.3,4.55,4.2501,4.55,0.23,+5.32%,13400,0
12/14/2022,4.19,4.41,4.19,4.32,0.02,+0.47%,6500,0
12/13/2022,4.25,4.57,4.2,4.3,-0.03,-0.69%,11900,0
12/12/2022,4.34,4.4899,4.18,4.33,-0.1,-2.26%,11700,0
12/09/2022,4.31,4.6,4.0023,4.43,0.03,+0.68%,23200,0
12/08/2022,4.25,4.4,4.002,4.4,0.15,+3.53%,10300,0
12/07/2022,4.3,4.55,4.12,4.25,-0.02,-0.47%,12500,0
12/06/2022,4.47,4.75,4.1736,4.27,-0.38,-8.17%,25300,0
12/05/2022,4.73,4.73,4.32,4.65,-0.07,-1.48%,8800,0
12/02/2022,4.8,4.8,4.35,4.72,-0.18,-3.67%,5800,0
12/01/2022,4.43,5.25,4.31,4.9,0.64,+15.02%,60800,0
11/30/2022,4.69,4.69,4.03,4.26,-0.43,-9.17%,22300,0
11/29/2022,4.7024,4.985,4.16,4.69,-0.49,-9.46%,28000,0
11/28/2022,5.12,5.27,4.7601,5.18,-0.1,-1.89%,42000,0
11/25/2022,5.31,5.622,5.19,5.28,-0.2,-3.65%,42100,0
11/23/2022,5.13,5.5,4.95,5.48,0.04,+0.74%,210700,0
11/22/2022,4.83,5.5,4.61,5.44,0.19,+3.62%,465700,0
11/21/2022,6.28,6.5,4.91,5.25,1.32,+33.59%,12065100,0
11/18/2022,4.22,4.24,3.9,3.93,-0.27,-6.43%,41900,0
11/17/2022,4.85,5.2,4.125,4.2,-0.61,-12.68%,30700,0
11/16/2022,5.04,5.5,4.7001,4.81,-0.03,-0.62%,51400,0
11/15/2022,5.53,5.86,4.7,4.84,-0.49,-9.19%,46800,0
11/14/2022,5.49,5.78,5.24,5.33,-0.3361,-5.93%,6000,0
11/11/2022,5.99,6.38,5.3259,5.6661,-0.4039,-6.65%,8100,0
11/10/2022,5.6,6.72,5.6,6.07,0.86,+16.51%,23000,0
11/09/2022,6.16,6.2,5.21,5.21,-0.99,-15.97%,20500,0
11/08/2022,5.87,6.94,5.87,6.2,0.33,+5.62%,23800,0
11/07/2022,6.53,6.845,5.33,5.87,-0.66,-10.11%,18900,0
11/04/2022,7.17,8.25,5.9767,6.53,-1.29,-16.50%,53100,0
11/03/2022,8.37,9.5,7.12,7.82,-0.62,-7.35%,71500,0
11/02/2022,8.36,9.66,7.55,8.44,-0.04,-0.47%,62900,0
11/01/2022,9.2,9.5067,8.2,8.48,-2.4,-22.06%,128001,0
10/31/2022,11.3,12.2,8.63,10.88,-1.47,-11.90%,160400,0
10/28/2022,10.5,22,9.8001,12.35,1.46,+13.41%,560200,0
10/27/2022,9.14,10.89,8,10.89,1.89,+21.00%,41700,0
10/26/2022,7.3,9.85,7.05,9,1.97,+28.02%,103100,0
10/25/2022,7.28,7.49,6.8,7.03,-0.3,-4.09%,113500,0
10/24/2022,6.63,7.6,6.3,7.33,0.51,+7.48%,98500,0
10/21/2022,7.18,7.18,5.72,6.82,0,0.00%,158100,0
10/20/2022,9.19,9.7799,6.375,6.82,-3.6,-34.55%,309600,0
10/19/2022,10.1,12.8,8.69,10.42,1.98,+23.46%,3887000,0
10/18/2022,9.06,9.4,8.44,8.44,-0.78,-8.46%,27000,0
10/17/2022,9.6,9.664,8.91,9.22,-0.68,-6.87%,36000,0
10/14/2022,8.95,9.9,8.83,9.9,0.8999,+10.00%,24900,0
