Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/13/2023,79.47,82.5,78.605,81.39,1.36,+1.70%,245200,0
03/10/2023,82.68,82.86,78.72,80.03,-3.07,-3.69%,436100,0
03/09/2023,86.53,86.55,82.62,83.1,-3.46,-4.00%,274600,0
03/08/2023,86.23,87.92,85.36,86.56,0.29,+0.34%,296200,0
03/07/2023,85.54,87,85.1001,86.27,0.64,+0.75%,240800,0
03/06/2023,87.64,87.8925,85.46,85.63,-1.71,-1.96%,171100,0
03/03/2023,87.01,87.8122,86.16,87.34,1.07,+1.24%,174100,0
03/02/2023,84.03,86.32,83.515,86.27,1.82,+2.16%,183500,0
03/01/2023,87.16,87.27,83.625,84.45,-3.96,-4.48%,350400,0
02/28/2023,85.93,89.68,85.785,88.41,5.89,+7.14%,780100,0
02/27/2023,83.7,84.09,81.88,82.52,0.38,+0.46%,316600,0
02/24/2023,83.5,83.5,81.2,82.14,-2.48,-2.93%,288200,0
02/23/2023,84.4,85.135,82.75,84.62,0.58,+0.69%,251400,0
02/22/2023,84,84.99,83.6,84.04,0.27,+0.32%,391400,0
02/21/2023,86.13,86.443,83.07,83.77,-2.99,-3.45%,369100,0
02/17/2023,87.94,87.94,84.9001,86.76,-0.75,-0.86%,473700,0
02/16/2023,89.1,89.43,87.48,87.51,-3.02,-3.34%,235800,0
02/15/2023,89.75,90.86,88.46,90.53,0.44,+0.49%,231200,0
02/14/2023,89.52,91.19,88.56,90.09,0.07,+0.08%,161900,0
02/13/2023,89.04,90.06,87.9925,90.02,1.75,+1.98%,165600,0
02/10/2023,87.69,88.895,86.6001,88.27,0.29,+0.33%,288300,0
02/09/2023,90.99,91.875,87.65,87.98,-2.27,-2.52%,179900,0
02/08/2023,91.7,92.34,90.25,90.25,-1.23,-1.34%,144900,0
02/07/2023,91.55,92.99,89.35,91.48,-0.51,-0.55%,276700,0
02/06/2023,91.66,93.25,91.11,91.99,-1.14,-1.22%,213000,0
02/03/2023,92.42,95.18,91.7,93.13,-1.47,-1.55%,282500,0
02/02/2023,93.37,95.74,92.96,94.6,3.13,+3.42%,441200,0
02/01/2023,89.41,93.07,87.69,91.47,1.69,+1.88%,309000,0
01/31/2023,86.75,90.08,86.75,89.78,3.09,+3.56%,369900,0
01/30/2023,86.85,88.07,85.95,86.69,-0.72,-0.82%,363700,0
01/27/2023,85.72,87.67,85.2601,87.41,0.99,+1.15%,447100,0
01/26/2023,87,87.69,85.1479,86.42,-0.04,-0.05%,245600,0
01/25/2023,85.5,86.54,81,86.46,0.68,+0.79%,780000,0
01/24/2023,88.56,89.23,85.2998,85.78,-2.6,-2.94%,690100,0
01/23/2023,88.38,90.07,87.17,88.38,-0.65,-0.73%,718400,0
01/20/2023,91.45,93.43,87.6801,89.03,-3.06,-3.32%,1238000,0
01/19/2023,96.5,97.52,91.92,92.09,-18.79,-16.95%,1632500,0
01/18/2023,115,115.55,110.3301,110.88,-3.39,-2.97%,234600,0
01/17/2023,112,114.7349,111.7,114.27,2.33,+2.08%,295100,0
01/13/2023,109.63,112.7,108.53,111.94,1.38,+1.25%,217000,0
01/12/2023,107.38,111.05,105.01,110.56,4.44,+4.18%,324400,0
01/11/2023,103.84,106.44,103.4119,106.12,3.44,+3.35%,302700,0
01/10/2023,101.11,103.35,100.41,102.68,1.14,+1.12%,244200,0
01/09/2023,101.52,103.24,100.44,101.54,1.33,+1.33%,330800,0
01/06/2023,97.34,100.24,95.9001,100.21,3.74,+3.88%,277800,0
01/05/2023,98.74,98.74,95.5,96.47,-2.74,-2.76%,228300,0
01/04/2023,99.44,100.74,97.92,99.21,0.98,+1.00%,370200,0
01/03/2023,102,103.46,96.5101,98.23,-3.12,-3.08%,401500,0
12/30/2022,100.55,101.5299,99.97,101.35,-0.43,-0.42%,244200,0
12/29/2022,101.51,102.25,100.72,101.78,1.16,+1.15%,298000,0
12/28/2022,102,103.1,100.33,100.62,-1.14,-1.12%,255200,0
12/27/2022,102.63,102.63,100.28,101.76,-1.52,-1.47%,338000,0
12/23/2022,102.21,103.655,100.85,103.28,0.97,+0.95%,268900,0
12/22/2022,103.78,103.94,100.18,102.31,-2.52,-2.40%,355200,0
12/21/2022,105,105.43,103.43,104.83,0.66,+0.63%,552600,0
12/20/2022,105.04,106.29,103.16,104.17,-2.19,-2.06%,427000,0
12/19/2022,112.3,113.17,105.27,106.36,-5.84,-5.20%,504000,0
12/16/2022,112.01,113.3578,109.35,112.2,-1.92,-1.68%,609100,0
12/15/2022,112.04,114.9,110.51,114.12,0.09,+0.08%,360000,0
12/14/2022,113,116.72,112.53,114.03,1.11,+0.98%,208700,0
12/13/2022,115.65,116.225,109.16,112.92,3.03,+2.76%,534300,0
12/12/2022,110.52,111.135,109.0701,109.89,-2.31,-2.06%,331000,0
12/09/2022,116.27,116.975,111.91,112.2,-4.59,-3.93%,399900,0
12/08/2022,116.77,119.2,115.125,116.79,1.61,+1.40%,235200,0
12/07/2022,117.32,117.32,112.83,115.18,-2.87,-2.43%,415100,0
12/06/2022,124.44,124.9026,116.08,118.05,-6.39,-5.14%,402600,0
12/05/2022,118.6,125.38,117.92,124.44,5.76,+4.85%,454900,0
12/02/2022,117.16,119.84,116.89,118.68,-1.31,-1.09%,430300,0
12/01/2022,121.38,123.61,119.32,119.99,-1.22,-1.01%,536800,0
11/30/2022,117.8,121.21,116.08,121.21,3.36,+2.85%,285000,0
11/29/2022,116.52,118.1,115.34,117.85,2.51,+2.18%,211200,0
11/28/2022,118.17,119.0899,113.79,115.34,-3.51,-2.95%,166500,0
11/25/2022,117,118.85,117,118.85,2.17,+1.86%,59700,0
11/23/2022,116.95,118.3,114.61,116.68,-0.7,-0.60%,135500,0
11/22/2022,112.01,117.48,110.27,117.38,5.24,+4.67%,386600,0
11/21/2022,112.32,113.88,110.5,112.14,-0.18,-0.16%,172900,0
11/18/2022,115.41,115.76,111.93,112.32,-0.2,-0.18%,188300,0
11/17/2022,111.21,113.37,109.92,112.52,-1.33,-1.17%,225700,0
11/16/2022,113.1,114.25,111.3,113.85,-0.21,-0.18%,142200,0
11/15/2022,112.5,115.41,111.01,114.06,3.68,+3.33%,204600,0
11/14/2022,113,113,109.01,110.38,-2.5,-2.21%,165200,0
11/11/2022,114.12,116.43,111.3101,112.88,-2.06,-1.79%,232300,0
11/10/2022,107.87,116.45,107.87,114.94,11.18,+10.77%,349400,0
11/09/2022,107.75,108.3801,102.8,103.76,-5.81,-5.30%,260800,0
11/08/2022,111.45,112.92,108.1401,109.57,-0.52,-0.47%,233100,0
11/07/2022,112.9,114.975,108.58,110.09,-2.05,-1.83%,185600,0
11/04/2022,116.64,117.4999,110.22,112.14,-2.73,-2.38%,271800,0
11/03/2022,107.1,114.87,106.12,114.87,8.55,+8.04%,389800,0
11/02/2022,110.92,111.58,104.52,106.32,-5.15,-4.62%,340300,0
11/01/2022,110,112.7,109.08,111.47,3.37,+3.12%,385700,0
10/31/2022,105,108.92,104.26,108.1,3.64,+3.48%,657700,0
10/28/2022,100,104.95,99.18,104.46,3.82,+3.80%,251200,0
10/27/2022,101.98,102.03,99.6501,100.64,-0.06,-0.06%,582200,0
10/26/2022,100.52,104.1899,100.52,100.7,-0.52,-0.51%,205700,0
10/25/2022,96.36,102.13,96.32,101.22,5.77,+6.05%,271200,0
10/24/2022,95.41,95.68,93.08,95.45,0.88,+0.93%,172600,0
10/21/2022,92.81,94.9,91.05,94.57,2.31,+2.50%,1805000,0
10/20/2022,93.55,95.57,91.1632,92.26,-1.29,-1.38%,199500,0
10/19/2022,94.96,95.247,92.2,93.55,-2.26,-2.36%,261800,0
10/18/2022,97.41,98.34,94.07,95.81,1.29,+1.36%,195600,0
10/17/2022,93.76,96.75,93.225,94.52,4.4,+4.88%,253100,0
10/14/2022,95.24,95.84,89.64,90.12,-3.1,-3.33%,221600,0
10/13/2022,90.65,94.3,88.6047,93.22,0.14,+0.15%,209700,0
10/12/2022,94,94.23,92.21,93.08,-0.78,-0.83%,173900,0
10/11/2022,92.13,95.2,90.73,93.86,0.97,+1.04%,298600,0
10/10/2022,92.27,94.91,91.3015,92.89,1.77,+1.94%,276900,0
10/07/2022,94.98,95.27,90.1229,91.12,-5.16,-5.36%,547300,0
10/06/2022,92.3,98.81,92.0102,96.28,4.13,+4.48%,844300,0
10/05/2022,95.32,96.66,90.99,92.15,-5.32,-5.46%,315200,0
10/04/2022,93.01,97.645,93.01,97.47,6.29,+6.90%,434000,0
10/03/2022,89.92,92.7934,89.4772,91.18,2.68,+3.03%,247100,0
09/30/2022,88.89,91.285,88.5,88.5,0.41,+0.47%,329100,0
09/29/2022,90.81,91.51,87.52,88.09,-5.87,-6.25%,352800,0
09/28/2022,90.13,94.75,89.52,93.96,4.59,+5.14%,379900,0
09/27/2022,91.03,92.549,89,89.37,-0.37,-0.41%,276000,0
09/26/2022,92,93.1,89.6,89.74,-2.33,-2.53%,383500,0
09/23/2022,92.5,93.44,90.825,92.07,-2.13,-2.26%,362700,0
09/22/2022,97.06,97.505,93.07,94.2,-2.71,-2.80%,534000,0
09/21/2022,96.69,100,96.301,96.91,0.76,+0.79%,416300,0
09/20/2022,100.91,100.91,95.86,96.15,-6.16,-6.02%,467100,0
09/19/2022,93.27,102.98,92.38,102.31,10.85,+11.86%,943200,0
09/16/2022,88.87,92.725,88.2701,91.46,1.33,+1.48%,829800,0
09/15/2022,90,92.99,89.4401,90.13,1.08,+1.21%,196400,0
