Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
04/06/2023,12.3,12.5,12.285,12.43,0.28,+2.30%,2880900,0
04/05/2023,12.13,12.22,12.035,12.15,-0.11,-0.90%,3301800,0
04/04/2023,12.35,12.38,12.14,12.26,0.13,+1.07%,7524800,0
04/03/2023,12.17,12.26,12.05,12.13,0.26,+2.19%,3238500,0
03/31/2023,11.8,11.9,11.79,11.87,0.01,+0.08%,3524000,0
03/30/2023,12.06,12.06,11.8101,11.86,0.07,+0.59%,3801800,0
03/29/2023,11.83,11.83,11.705,11.79,0.23,+1.99%,3061700,0
03/28/2023,11.44,11.64,11.38,11.56,0.09,+0.78%,4373500,0
03/27/2023,11.52,11.585,11.315,11.47,0.18,+1.59%,8494600,0
03/24/2023,11.14,11.31,11,11.29,-0.16,-1.40%,5546100,0
03/23/2023,11.86,11.88,11.38,11.45,-0.32,-2.72%,4925400,0
03/22/2023,12.06,12.115,11.77,11.77,-0.18,-1.51%,4698000,0
03/21/2023,11.95,12.065,11.875,11.95,0.67,+5.94%,5597500,0
03/20/2023,11.04,11.388,11.015,11.28,0.07,+0.62%,11401400,0
03/17/2023,11.45,11.5,11.075,11.21,-0.62,-5.24%,7911700,0
03/16/2023,11.35,11.885,11.32,11.83,0.24,+2.07%,11723000,0
03/15/2023,11.32,11.668,11.26,11.59,-1.1,-8.67%,9463500,0
03/14/2023,12.86,12.905,12.59,12.69,0.27,+2.17%,9313300,0
03/13/2023,12.31,12.69,12.24,12.42,-0.56,-4.31%,14621700,0
03/10/2023,13.19,13.245,12.885,12.98,-0.53,-3.92%,7504493,0
03/09/2023,13.73,13.795,13.5,13.51,-0.4,-2.88%,5034400,0
03/08/2023,13.88,13.98,13.85,13.91,0.03,+0.22%,2408100,0
03/07/2023,14.12,14.12,13.86,13.88,-0.45,-3.14%,2744900,0
03/06/2023,14.31,14.38,14.28,14.33,0.01,+0.07%,1550300,0
03/03/2023,14.09,14.32,14.07,14.32,0.38,+2.73%,2696700,0
03/02/2023,13.84,13.955,13.8,13.94,-0.15,-1.06%,2367200,0
03/01/2023,14.24,14.28,14.03,14.09,0.12,+0.86%,3396100,0
02/28/2023,14.21,14.22,13.97,13.97,0.07,+0.50%,3049100,0
02/27/2023,13.93,13.98,13.86,13.9,0.23,+1.68%,2162200,0
02/24/2023,13.69,13.765,13.62,13.67,-0.16,-1.16%,3243500,0
02/23/2023,13.76,13.85,13.7325,13.83,0.22,+1.62%,3390000,0
02/22/2023,13.61,13.675,13.52,13.61,-0.24,-1.73%,3026900,0
02/21/2023,13.92,14.035,13.81,13.85,-0.23,-1.63%,3383600,0
02/17/2023,13.96,14.11,13.92,14.08,-0.04,-0.28%,2924600,0
02/16/2023,13.99,14.21,13.99,14.12,0.19,+1.36%,2844200,0
02/15/2023,13.83,13.93,13.8125,13.93,-0.2,-1.42%,2434800,0
02/14/2023,13.97,14.14,13.945,14.13,0.04,+0.28%,4053200,0
02/13/2023,13.97,14.09,13.9575,14.09,0.19,+1.37%,2073000,0
02/10/2023,13.9,13.93,13.82,13.9,-0.14,-1.00%,3175700,0
02/09/2023,14.2,14.21,14.01,14.04,0.38,+2.78%,4744900,0
02/08/2023,13.65,13.725,13.62,13.66,0.27,+2.02%,3883700,0
02/07/2023,13.22,13.42,13.17,13.39,0.03,+0.22%,5918300,0
02/06/2023,13.27,13.37,13.225,13.36,-0.2,-1.47%,4384700,0
02/03/2023,13.53,13.66,13.485,13.56,-0.31,-2.24%,6337900,0
02/02/2023,13.97,13.9901,13.761,13.87,-0.77,-5.26%,5900300,0
02/01/2023,14.49,14.72,14.44,14.64,0.21,+1.46%,6017300,0
01/31/2023,14.23,14.435,14.19,14.43,0.36,+2.56%,4306200,0
01/30/2023,14.16,14.195,14.07,14.07,-0.15,-1.05%,3582000,0
01/27/2023,14.13,14.235,14.11,14.22,-0.01,-0.07%,3066200,0
01/26/2023,14.13,14.24,14.09,14.23,0.26,+1.86%,3623100,0
01/25/2023,13.86,14,13.855,13.97,0.11,+0.79%,4162000,0
01/24/2023,13.81,13.925,13.755,13.86,0.17,+1.24%,4125000,0
01/23/2023,13.61,13.73,13.545,13.69,0.31,+2.32%,2840200,0
01/20/2023,13.25,13.38,13.22,13.38,0.18,+1.36%,2426400,0
01/19/2023,13.08,13.23,13.06,13.2,-0.03,-0.23%,3762300,0
01/18/2023,13.46,13.475,13.2,13.23,-0.2,-1.49%,3925800,0
01/17/2023,13.58,13.6,13.39,13.43,-0.27,-1.97%,3406400,0
01/13/2023,13.58,13.73,13.56,13.7,0.08,+0.59%,4526000,0
01/12/2023,13.53,13.665,13.4699,13.62,0.26,+1.95%,3992800,0
01/11/2023,13.39,13.415,13.31,13.36,0.12,+0.91%,2404700,0
01/10/2023,13.2,13.24,13.11,13.24,0.05,+0.38%,3293000,0
01/09/2023,13.26,13.3,13.19,13.19,0.13,+1.00%,3657500,0
01/06/2023,12.9,13.1,12.825,13.06,0.24,+1.87%,3420100,0
01/05/2023,12.88,12.9142,12.765,12.82,-0.13,-1.00%,4731700,0
01/04/2023,12.98,13,12.84,12.95,0.41,+3.27%,5370500,0
01/03/2023,12.58,12.63,12.46,12.54,0.37,+3.04%,4847300,0
12/30/2022,12.2,12.2588,12.123,12.17,-0.09,-0.73%,3046900,0
12/29/2022,12.2,12.27,12.18,12.26,0.11,+0.91%,2736700,0
12/28/2022,12.28,12.3,12.125,12.15,-0.17,-1.38%,2392200,0
12/27/2022,12.27,12.35,12.2411,12.32,0.07,+0.57%,2337000,0
12/23/2022,12.18,12.2568,12.135,12.25,0.02,+0.16%,2884800,0
12/22/2022,12.34,12.3708,12.11,12.23,-0.07,-0.57%,3232900,0
12/21/2022,12.26,12.33,12.2419,12.3,0.18,+1.49%,2197700,0
12/20/2022,12.07,12.185,12.05,12.12,0.24,+2.02%,3279100,0
12/19/2022,11.92,12.01,11.83,11.88,-0.02,-0.17%,2613300,0
12/16/2022,11.95,12.0101,11.835,11.9,0.19,+1.62%,6172800,0
12/15/2022,11.87,11.88,11.68,11.71,-0.3,-2.50%,5408500,0
12/14/2022,12.09,12.13,11.9599,12.01,-0.17,-1.40%,5754400,0
12/13/2022,12.26,12.315,12.105,12.18,0.23,+1.92%,4618600,0
12/12/2022,11.9,11.95,11.835,11.95,0.04,+0.34%,2489200,0
12/09/2022,11.85,12.045,11.85,11.91,0.13,+1.10%,4207700,0
12/08/2022,11.77,11.82,11.725,11.78,-0.01,-0.08%,2828000,0
12/07/2022,11.82,11.92,11.71,11.79,-0.01,-0.08%,4661200,0
12/06/2022,11.92,11.965,11.735,11.8,-0.06,-0.51%,6097900,0
12/05/2022,12,12.055,11.84,11.86,-0.17,-1.41%,4602700,0
12/02/2022,11.94,12.03,11.91,12.03,0.01,+0.08%,3303600,0
12/01/2022,12.09,12.135,11.95,12.02,-0.1,-0.83%,4248200,0
11/30/2022,12.07,12.145,11.87,12.12,0.11,+0.92%,4711600,0
11/29/2022,11.99,12.115,11.975,12.01,0.19,+1.61%,4390300,0
11/28/2022,12.01,12.0385,11.8,11.82,-0.22,-1.83%,3177800,0
11/25/2022,11.98,12.07,11.97,12.04,0.19,+1.60%,2219000,0
11/23/2022,11.85,11.91,11.76,11.85,-0.03,-0.25%,2460600,0
11/22/2022,11.81,11.89,11.795,11.88,0.24,+2.06%,2345400,0
11/21/2022,11.65,11.675,11.57,11.64,-0.11,-0.94%,3532100,0
11/18/2022,11.87,11.87,11.7001,11.75,0.07,+0.60%,4092100,0
11/17/2022,11.48,11.68,11.48,11.68,0.09,+0.78%,3960600,0
11/16/2022,11.67,11.695,11.53,11.59,0.05,+0.43%,6128400,0
11/15/2022,11.71,11.735,11.34,11.54,0.07,+0.61%,11258100,0
11/14/2022,11.52,11.615,11.47,11.47,-0.05,-0.43%,4769500,0
11/11/2022,11.47,11.55,11.38,11.52,0.38,+3.41%,6979200,0
11/10/2022,11.14,11.25,11.07,11.14,0.28,+2.58%,8262700,0
11/09/2022,10.94,11.03,10.81,10.86,-0.17,-1.54%,5810700,0
11/08/2022,11.1,11.135,10.935,11.03,-0.04,-0.36%,6371100,0
11/07/2022,11.02,11.11,11,11.07,0.23,+2.12%,7045600,0
11/04/2022,10.69,10.9042,10.645,10.84,0.41,+3.93%,7591900,0
11/03/2022,10.27,10.4979,10.205,10.43,0.79,+8.20%,8332500,0
11/02/2022,9.85,9.93,9.64,9.64,-0.32,-3.21%,6552700,0
11/01/2022,10.07,10.07,9.885,9.96,0.14,+1.43%,3516300,0
10/31/2022,9.8,9.88,9.785,9.82,-0.08,-0.81%,3703900,0
10/28/2022,9.81,9.91,9.7601,9.9,0.09,+0.92%,2587600,0
10/27/2022,9.86,9.94,9.7936,9.81,-0.05,-0.51%,3686600,0
10/26/2022,9.83,9.95,9.83,9.86,0.02,+0.20%,3133900,0
10/25/2022,9.66,9.855,9.655,9.84,0.09,+0.92%,3261300,0
10/24/2022,9.65,9.77,9.625,9.75,0.19,+1.99%,3954300,0
10/21/2022,9.28,9.57,9.26,9.56,0.32,+3.46%,4860500,0
10/20/2022,9.37,9.45,9.21,9.24,-0.01,-0.11%,4191000,0
10/19/2022,9.26,9.305,9.19,9.25,-0.08,-0.86%,3526800,0
10/18/2022,9.46,9.48,9.242,9.33,0.16,+1.74%,3779800,0
10/17/2022,9.14,9.25,9.135,9.17,0.25,+2.80%,3532900,0
10/14/2022,9.06,9.16,8.91,8.92,0,0.00%,6140100,0
10/13/2022,8.44,8.975,8.38,8.92,0.42,+4.94%,7162300,0
10/12/2022,8.44,8.575,8.395,8.5,0.08,+0.95%,4208400,0
10/11/2022,8.52,8.61,8.4,8.42,-0.17,-1.98%,4334500,0
10/10/2022,8.7,8.72,8.52,8.59,-0.14,-1.60%,5652600,0
10/07/2022,8.84,8.84,8.6801,8.73,-0.14,-1.58%,3237700,0
10/06/2022,8.95,9,8.835,8.87,-0.26,-2.85%,3520500,0
10/05/2022,9.15,9.165,9,9.13,-0.37,-3.89%,4546400,0
10/04/2022,9.19,9.5,9.17,9.5,0.79,+9.07%,5076600,0
10/03/2022,8.57,8.755,8.48,8.71,0.21,+2.47%,4301700,0
09/30/2022,8.49,8.67,8.49,8.5,0.11,+1.31%,4725600,0
09/29/2022,8.3,8.41,8.2116,8.39,0,0.00%,6047100,0
09/28/2022,8.15,8.435,8.14,8.39,-0.09,-1.06%,7359400,0
09/27/2022,8.65,8.68,8.41,8.48,-0.21,-2.42%,6227400,0
09/26/2022,8.83,8.935,8.67,8.69,-0.25,-2.80%,7652100,0
09/23/2022,9.17,9.17,8.84,8.94,-0.56,-5.89%,6618100,0
09/22/2022,9.65,9.68,9.48,9.5,0.02,+0.21%,5612000,0
09/21/2022,9.69,9.74,9.48,9.48,-0.23,-2.37%,4297800,0
09/20/2022,9.84,9.855,9.624,9.71,-0.14,-1.42%,3816300,0
09/19/2022,9.67,9.855,9.67,9.85,0.05,+0.51%,3264200,0
09/16/2022,9.68,9.835,9.66,9.8,-0.06,-0.61%,3531500,0
09/15/2022,9.82,10,9.802,9.86,0.28,+2.92%,4427400,0
09/14/2022,9.52,9.66,9.505,9.58,0.11,+1.16%,3176700,0
09/13/2022,9.58,9.715,9.45,9.47,-0.21,-2.17%,6209700,0
09/12/2022,9.6,9.69,9.56,9.68,0.51,+5.56%,5195400,0
09/09/2022,9.15,9.2,9.1,9.17,0.28,+3.15%,3827400,0
09/08/2022,8.6,8.9,8.58,8.89,0.24,+2.77%,7781500,0
09/07/2022,8.43,8.6668,8.42,8.65,0.09,+1.05%,6480900,0
09/06/2022,8.62,8.65,8.49,8.56,-0.04,-0.47%,6439300,0
09/02/2022,8.75,8.89,8.565,8.6,-0.02,-0.23%,10958500,0
09/01/2022,8.65,8.66,8.4801,8.62,-0.16,-1.82%,6039800,0
08/31/2022,8.85,8.91,8.78,8.78,-0.08,-0.90%,5479500,0
08/30/2022,8.97,8.99,8.785,8.86,0.16,+1.84%,4046900,0
08/29/2022,8.7,8.7578,8.66,8.7,0.02,+0.23%,8389600,0
08/26/2022,9.03,9.045,8.67,8.68,-0.36,-3.98%,14615700,0
08/25/2022,8.93,9.04,8.915,9.04,0.01,+0.11%,4256400,0
08/24/2022,8.9,9.095,8.855,9.03,0.04,+0.44%,4944300,0
08/23/2022,8.99,9.09,8.9627,8.99,0.15,+1.70%,7092000,0
08/22/2022,8.88,8.89,8.74,8.84,-0.32,-3.49%,6047100,0
08/19/2022,9.21,9.24,9.14,9.16,-0.27,-2.86%,3608400,0
08/18/2022,9.46,9.46,9.37,9.43,-0.05,-0.53%,2676300,0
