Time,Open,High,Low,Last,Change,%Chg,Volume
01/30/2023,8.38,8.67,8.19,8.29,-0.06,-0.72%,35200
01/27/2023,8.38,8.5,8.02,8.35,0.09,+1.09%,51100
01/26/2023,8.16,8.49,7.95,8.26,0.06,+0.73%,56100
01/25/2023,7.5,8.6398,7.5,8.2,0.7,+9.33%,252100
01/24/2023,7.4,7.5,7.2,7.5,0.22,+3.02%,27900
01/23/2023,7.89,7.89,7.07,7.28,-0.54,-6.91%,115200
01/20/2023,7.77,7.96,7.54,7.82,0.17,+2.22%,37300
01/19/2023,8.18,8.2,7.58,7.65,-0.53,-6.48%,64200
01/18/2023,8.97,9.103,8.08,8.18,-0.66,-7.47%,110800
01/17/2023,9.04,9.39,8.55,8.84,0,0.00%,114300
01/13/2023,7.77,8.94,7.77,8.84,0.99,+12.61%,137200
01/12/2023,7.07,7.85,7.07,7.85,0.71,+9.94%,57300
01/11/2023,7.23,7.35,6.96,7.14,0.07,+0.99%,57000
01/10/2023,7.21,7.21,6.95,7.07,0.07,+1.00%,34000
01/09/2023,7.13,7.22,6.94,7,0,0.00%,40000
01/06/2023,7.22,7.23,7,7,-0.2,-2.78%,25500
01/05/2023,6.9,7.36,6.71,7.2,0.33,+4.80%,49800
01/04/2023,6.71,7.07,6.71,6.87,0.16,+2.38%,29800
01/03/2023,6.75,7.2,6.51,6.71,0.37,+5.84%,77700
12/30/2022,6.47,6.9199,6.1,6.34,-0.09,-1.40%,131200
12/29/2022,6.35,6.84,6.1264,6.43,0.12,+1.90%,43700
12/28/2022,6.85,6.8706,6.09,6.31,-0.46,-6.79%,92100
12/27/2022,7.06,7.07,6.77,6.77,-0.26,-3.70%,35700
12/23/2022,7.31,7.31,6.81,7.03,-0.19,-2.63%,54200
12/22/2022,7,7.22,7,7.22,0.21,+3.00%,35900
12/21/2022,7.2,7.39,7.01,7.01,-0.2,-2.77%,32400
12/20/2022,7.3,7.35,7.0484,7.21,-0.2,-2.70%,23600
12/19/2022,7.47,7.51,7.2501,7.41,-0.06,-0.80%,59000
12/16/2022,7.39,7.58,7.35,7.47,-0.04,-0.53%,18400
12/15/2022,7.54,7.54,7.24,7.51,-0.14,-1.83%,41800
12/14/2022,7.66,7.84,7.41,7.65,-0.09,-1.16%,46700
12/13/2022,7.94,7.94,7.4,7.74,0.05,+0.65%,57700
12/12/2022,7.55,7.7926,7.41,7.69,-0.02,-0.26%,49900
12/09/2022,7.43,7.78,7.13,7.71,0.89,+13.05%,162000
12/08/2022,6.4,7.06,6.4,6.82,0.42,+6.56%,58500
12/07/2022,6.42,6.7908,6.35,6.4,0,0.00%,25200
12/06/2022,6.73,6.8,6.362,6.4,-0.3,-4.48%,47500
12/05/2022,6.89,7,6.59,6.7,-0.2132,-3.08%,32200
12/02/2022,6.8,6.96,6.69,6.9132,-0.0468,-0.67%,32600
12/01/2022,7.12,7.35,6.91,6.96,-0.19,-2.66%,9300
11/30/2022,6.74,7.295,6.72,7.15,0.43,+6.40%,37700
11/29/2022,6.99,6.99,6.67,6.72,-0.18,-2.61%,42300
11/28/2022,7.06,7.1968,6.86,6.9,-0.16,-2.27%,24500
11/25/2022,7.2,7.3026,7.03,7.06,0.01,+0.14%,36100
11/23/2022,7.1,7.3304,7,7.05,-0.02,-0.28%,25300
