Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/13/2023,29.54,29.8,29.175,29.65,0.01,+0.03%,404300,0
02/10/2023,28.91,29.65,28.81,29.64,0.98,+3.42%,284800,0
02/09/2023,28.82,29.06,28.55,28.66,-0.18,-0.62%,325700,0
02/08/2023,29.5,29.5,28.63,28.84,-0.69,-2.34%,426100,0
02/07/2023,29.02,29.54,28.81,29.53,0.51,+1.76%,314801,0
02/06/2023,29.09,29.26,28.73,29.02,-0.06,-0.21%,337800,0
02/03/2023,29.03,29.75,29.03,29.08,0.09,+0.31%,504700,0
02/02/2023,28.16,29.05,28.09,28.99,0.86,+3.06%,543700,0
02/01/2023,28.3,28.6,28.04,28.13,-0.17,-0.60%,789600,0
01/31/2023,27.77,28.42,27.73,28.3,0.46,+1.65%,604300,0
01/30/2023,28.09,28.35,27.805,27.84,-0.45,-1.59%,258600,0
01/27/2023,28.54,28.65,28.2,28.29,-0.36,-1.26%,221300,0
01/26/2023,28.64,28.76,28.12,28.65,0.24,+0.84%,286400,0
01/25/2023,28.09,28.5,27.77,28.41,0.2,+0.71%,260200,0
01/24/2023,28.3,28.35,27.84,28.21,-0.02,-0.07%,133900,0
01/23/2023,27.98,28.4,27.93,28.23,0.3,+1.07%,192200,0
01/20/2023,27.98,28.065,27.38,27.93,0.12,+0.43%,317200,0
01/19/2023,26.91,27.96,26.91,27.81,0.78,+2.89%,273200,0
01/18/2023,28.01,28.56,26.98,27.03,-0.79,-2.84%,392000,0
01/17/2023,28.15,28.34,27.72,27.82,-0.3,-1.07%,249500,0
01/13/2023,28.23,28.31,27.67,28.12,-0.15,-0.53%,302200,0
01/12/2023,27.66,28.27,27.225,28.27,0.82,+2.99%,423300,0
01/11/2023,27.2,27.46,27.11,27.45,0.35,+1.29%,329800,0
01/10/2023,27.03,27.195,26.49,27.1,0.27,+1.01%,274000,0
01/09/2023,27.66,27.71,26.8,26.83,-0.45,-1.65%,426800,0
01/06/2023,27.55,27.67,27.14,27.28,0.14,+0.52%,296200,0
01/05/2023,27,27.25,26.56,27.14,0.2,+0.74%,179000,0
01/04/2023,26.32,26.97,26.32,26.94,0.39,+1.47%,436100,0
01/03/2023,27.3,27.37,26.31,26.55,-0.78,-2.85%,303000,0
