Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
04/06/2023,5.68,5.7,5.57,5.64,-0.02,-0.35%,17600,0
04/05/2023,5.8,5.8,5.55,5.66,-0.15,-2.58%,60400,0
04/04/2023,6,6,5.7338,5.81,-0.11,-1.86%,48600,0
04/03/2023,5.83,6,5.82,5.92,0.11,+1.89%,32700,0
03/31/2023,5.95,6.0318,5.76,5.81,-0.14,-2.35%,68800,0
03/30/2023,6.09,6.09,5.91,5.95,-0.06,-1.00%,42200,0
03/29/2023,5.95,6.115,5.8818,6.01,0.11,+1.86%,52900,0
03/28/2023,5.65,5.95,5.65,5.9,0.21,+3.69%,63000,0
03/27/2023,5.46,5.73,5.363,5.69,0.35,+6.55%,66300,0
03/24/2023,5.34,5.5,5.2511,5.34,0.02,+0.38%,9800,0
03/23/2023,5.37,5.5,5.275,5.32,-0.07,-1.30%,60100,0
03/22/2023,5.57,5.58,5.3359,5.39,-0.1,-1.82%,33300,0
03/21/2023,5.43,5.555,5.42,5.49,0.16,+3.00%,23400,0
03/20/2023,5.28,5.48,5.19,5.33,-0.06,-1.11%,98000,0
03/17/2023,5.29,5.67,5.23,5.39,-0.05,-0.92%,124100,0
03/16/2023,5.1,5.55,5.08,5.44,0.21,+4.02%,59000,0
03/15/2023,5.53,5.7,5.22,5.23,-0.51,-8.89%,63500,0
03/14/2023,5.74,5.99,5.59,5.74,0.1,+1.77%,118400,0
03/13/2023,5.86,5.86,5.55,5.64,-0.29,-4.89%,152300,0
03/10/2023,6.13,6.19,5.93,5.93,-0.23,-3.73%,50700,0
03/09/2023,6.21,6.58,6.1,6.16,-0.1,-1.60%,86300,0
03/08/2023,6.26,6.44,6.22,6.26,0,0.00%,28500,0
03/07/2023,6.53,6.56,6.2,6.26,-0.29,-4.43%,57400,0
03/06/2023,6.45,6.84,6.416,6.55,0,0.00%,79500,0
03/03/2023,6.44,6.675,6.44,6.55,0.15,+2.34%,35700,0
03/02/2023,6.6,6.71,6.3,6.4,-0.21,-3.18%,65500,0
03/01/2023,6.8,6.83,6.5,6.61,-0.12,-1.78%,111700,0
02/28/2023,6.81,6.945,6.62,6.73,-0.08,-1.17%,59700,0
02/27/2023,6.44,7.08,6.44,6.81,0.35,+5.42%,138800,0
02/24/2023,6.55,6.615,6.4101,6.46,-0.17,-2.56%,47600,0
02/23/2023,6.39,6.7,6.39,6.63,0.2,+3.11%,67100,0
02/22/2023,6.31,6.63,6.31,6.43,0.1,+1.58%,56800,0
