Time,Open,High,Low,Last,Change,%Chg,Volume
03/30/2023,10.31,10.31,10.31,10.31,0,0.00%,1500
03/29/2023,10.31,10.31,10.31,10.31,0,0.00%,1200
03/28/2023,10.31,10.31,10.305,10.31,0.01,+0.10%,11400
03/27/2023,10.3,10.3,10.3,10.3,0,0.00%,200
03/24/2023,10.3,10.3,10.3,10.3,-0.01,-0.10%,194200
03/22/2023,10.31,10.31,10.31,10.31,0,0.00%,317200
03/21/2023,10.29,10.31,10.29,10.31,0.02,+0.19%,5600
03/20/2023,10.29,10.29,10.29,10.29,0.02,+0.19%,100
03/16/2023,10.27,10.27,10.27,10.27,-0.02,-0.19%,100
03/15/2023,10.27,10.29,10.27,10.29,0,0.00%,6200
03/14/2023,10.29,10.29,10.29,10.29,0,0.00%,55900
03/13/2023,10.29,10.3,10.29,10.29,0.01,+0.10%,71700
03/10/2023,10.29,10.295,10.28,10.28,0,0.00%,6800
03/09/2023,10.29,10.3,10.28,10.28,-0.015,-0.15%,105100
03/08/2023,10.29,10.295,10.29,10.295,-0.0049,-0.05%,6100
03/07/2023,10.28,10.65,10.28,10.2999,0.0199,+0.19%,35200
03/06/2023,10.26,10.28,10.26,10.28,0.005,+0.05%,48400
03/03/2023,10.275,10.275,10.275,10.275,0,0.00%,100
03/02/2023,10.79,10.79,10.27,10.275,0.005,+0.05%,24900
03/01/2023,10.27,10.27,10.27,10.27,0,0.00%,7900
02/28/2023,10.265,10.27,10.265,10.27,0.015,+0.15%,18500
02/27/2023,10.255,10.26,10.255,10.255,0.005,+0.05%,701600
02/24/2023,10.25,10.25,10.25,10.25,0,0.00%,2200
02/23/2023,10.245,10.25,10.245,10.25,0,0.00%,2000
02/21/2023,10.25,10.25,10.25,10.25,0.005,+0.05%,100
02/17/2023,10.24,10.245,10.24,10.245,-0.005,-0.05%,1800
02/16/2023,10.25,10.25,10.25,10.25,0.01,+0.10%,200
02/15/2023,10.23,10.24,10.23,10.24,0.01,+0.10%,7500
02/14/2023,10.23,10.23,10.23,10.23,0.02,+0.20%,5000
02/13/2023,10.21,10.21,10.21,10.21,-0.025,-0.24%,400
02/10/2023,10.23,10.235,10.23,10.235,0.01,+0.10%,1900
02/09/2023,10.22,10.225,10.22,10.225,0.005,+0.05%,7600
02/07/2023,10.22,10.22,10.22,10.22,0,0.00%,100
02/06/2023,10.22,10.22,10.22,10.22,0.01,+0.10%,3346800
02/03/2023,10.215,10.215,10.21,10.21,-0.01,-0.10%,600
02/02/2023,10.21,10.22,10.21,10.22,0.01,+0.10%,300
01/31/2023,10.2,10.21,10.2,10.21,0.01,+0.10%,271900
01/30/2023,10.205,10.205,10.2,10.2,0,0.00%,147800
01/27/2023,10.2,10.205,10.2,10.2,0,0.00%,276300
01/26/2023,10.2,10.2,10.195,10.2,0.01,+0.10%,115600
01/25/2023,10.19,10.19,10.19,10.19,-0.01,-0.10%,74600
01/24/2023,10.19,10.2,10.19,10.2,0.01,+0.10%,118300
01/23/2023,10.19,10.195,10.19,10.19,0,0.00%,225600
01/20/2023,10.19,10.19,10.19,10.19,0.01,+0.10%,15300
01/18/2023,10.18,10.18,10.18,10.18,0,0.00%,100
01/13/2023,10.19,10.19,10.18,10.18,0.03,+0.30%,600
01/12/2023,10.15,10.1719,10.145,10.15,0,0.00%,2100
01/09/2023,10.14,10.15,10.14,10.15,0.01,+0.10%,10300
01/06/2023,10.14,10.14,10.14,10.14,0,0.00%,300
01/05/2023,10.135,10.14,10.135,10.14,0.01,+0.10%,13300
01/04/2023,9.835,10.13,9.835,10.13,0,0.00%,4300
01/03/2023,10.13,10.13,10.13,10.13,0,0.00%,20500
12/30/2022,10.13,10.13,10.13,10.13,0,0.00%,500
12/29/2022,10.15,10.15,10.13,10.13,0.01,+0.10%,2200
12/22/2022,10.12,10.12,10.12,10.12,0.01,+0.10%,100
12/20/2022,10.11,10.1101,10.11,10.11,0,0.00%,6100
12/19/2022,10.11,10.11,10.11,10.11,0,0.00%,4000
12/16/2022,10.11,10.11,10.11,10.11,-0.01,-0.10%,500
12/15/2022,10.12,10.12,10.12,10.12,0.005,+0.05%,57800
12/14/2022,10.11,10.115,10.11,10.115,0.005,+0.05%,12700
12/13/2022,10.11,10.11,10.11,10.11,0.02,+0.20%,2600
12/09/2022,10.1,10.1,10.09,10.09,0,0.00%,27700
12/07/2022,10.09,10.0954,10.09,10.09,0.01,+0.10%,38000
12/05/2022,10.08,10.085,10.08,10.08,-0.01,-0.10%,6500
12/02/2022,10.09,10.09,10.09,10.09,0.005,+0.05%,1000
12/01/2022,10.08,10.085,10.08,10.085,0.005,+0.05%,5900
11/30/2022,10.08,10.08,10.08,10.08,0,0.00%,207700
11/29/2022,10.08,10.09,10.07,10.08,0.005,+0.05%,89000
11/22/2022,10.075,10.075,10.075,10.075,0.015,+0.15%,100
11/18/2022,10.05,10.1,10.05,10.06,0.01,+0.10%,8000
11/17/2022,10.05,10.05,10.05,10.05,0.01,+0.10%,7800
11/15/2022,10.04,10.04,10.03,10.04,0,0.00%,109800
11/14/2022,10.04,10.07,10.04,10.04,0,0.00%,13300
11/10/2022,10.04,10.04,10.04,10.04,-0.01,-0.10%,500
11/09/2022,10.05,10.05,10.05,10.05,-0.01,-0.10%,600
11/07/2022,10.02,10.06,10.02,10.06,0.03,+0.30%,10800
11/04/2022,10.04,10.045,10.03,10.03,-0.02,-0.20%,1300
11/03/2022,10.04,10.06,10.04,10.05,0.01,+0.10%,755600
11/02/2022,10.04,10.04,10.04,10.04,0,0.00%,3000
11/01/2022,10.02,10.04,10.02,10.04,0.03,+0.30%,74600
10/31/2022,10.01,10.01,10.005,10.01,0,0.00%,207300
10/27/2022,10.01,10.01,10.01,10.01,0.02,+0.20%,203300
10/24/2022,9.99,9.99,9.99,9.99,0,0.00%,171400
10/21/2022,9.99,9.99,9.99,9.99,0.01,+0.10%,1100
10/20/2022,9.98,9.98,9.98,9.98,0.02,+0.20%,38700
10/17/2022,9.95,9.96,9.95,9.96,0.01,+0.10%,43100
10/14/2022,9.95,9.95,9.95,9.95,0.01,+0.10%,100
10/12/2022,9.94,9.94,9.94,9.94,0,0.00%,100
10/11/2022,9.94,9.94,9.94,9.94,0.01,+0.10%,600
10/03/2022,9.93,9.93,9.93,9.93,0.01,+0.10%,104000
09/30/2022,9.92,9.92,9.92,9.92,0,0.00%,1100
09/28/2022,9.94,9.94,9.915,9.92,0.01,+0.10%,4100
09/26/2022,9.91,9.9101,9.91,9.91,0.02,+0.20%,17500
09/20/2022,9.89,9.89,9.89,9.89,-0.01,-0.10%,100
09/19/2022,9.89,9.91,9.89,9.9,0.01,+0.10%,1400
09/16/2022,9.89,9.89,9.89,9.89,-0.04,-0.40%,100
09/15/2022,9.92,9.95,9.92,9.93,0.03,+0.30%,6500
09/14/2022,9.91,9.915,9.9,9.9,0.02,+0.20%,6500
09/13/2022,9.88,9.88,9.88,9.88,-0.05,-0.50%,100
09/12/2022,9.93,9.93,9.93,9.93,0,0.00%,475000
09/09/2022,9.945,9.945,9.93,9.93,0,0.00%,14100
09/08/2022,9.9385,9.9385,9.93,9.93,0,0.00%,3600
09/07/2022,9.93,9.955,9.92,9.93,0.02,+0.20%,84200
09/02/2022,9.91,9.91,9.91,9.91,0,0.00%,100
09/01/2022,9.91,9.91,9.91,9.91,0,0.00%,400
08/31/2022,9.91,9.91,9.91,9.91,0,0.00%,700
08/30/2022,9.91,9.91,9.91,9.91,0,0.00%,800
08/24/2022,9.91,9.92,9.91,9.91,0,0.00%,167000
08/23/2022,9.91,9.91,9.9,9.91,0.01,+0.10%,2600
08/19/2022,9.9,9.9,9.9,9.9,0.02,+0.20%,13400
08/18/2022,9.88,9.88,9.88,9.88,0,0.00%,271700
08/17/2022,9.89,9.89,9.88,9.88,-0.01,-0.10%,1100
08/10/2022,9.865,9.89,9.865,9.89,0,0.00%,45500
08/09/2022,9.9,9.9,9.89,9.89,-0.01,-0.10%,31200
08/08/2022,9.91,9.91,9.9,9.9,0,0.00%,10200
08/04/2022,9.9,9.9,9.9,9.9,-0.01,-0.10%,100
08/02/2022,9.9,9.91,9.9,9.91,0.04,+0.41%,6800
08/01/2022,9.885,9.885,9.87,9.87,0,0.00%,1100
07/28/2022,9.89,9.89,9.87,9.87,0,0.00%,400
07/27/2022,9.87,9.87,9.86,9.87,-0.01,-0.10%,255900
07/26/2022,9.87,9.89,9.87,9.88,-0.02,-0.20%,200300
07/25/2022,9.87,9.9,9.87,9.9,0.05,+0.51%,17000
07/22/2022,9.84,9.85,9.84,9.85,0.04,+0.41%,500
07/13/2022,9.81,9.81,9.81,9.81,-0.01,-0.10%,100
07/08/2022,9.82,9.82,9.82,9.82,0,0.00%,100
07/06/2022,9.84,9.84,9.82,9.82,0,0.00%,135800
07/05/2022,9.825,9.825,9.82,9.82,0,0.00%,81800
07/01/2022,9.82,9.82,9.82,9.82,0,0.00%,400
06/30/2022,9.82,9.82,9.82,9.82,-0.03,-0.30%,8900
06/29/2022,9.85,9.85,9.85,9.85,0.01,+0.10%,100
06/23/2022,9.84,9.84,9.84,9.84,0,0.00%,100
06/22/2022,9.84,9.84,9.84,9.84,-0.01,-0.10%,200100
06/21/2022,9.84,9.85,9.84,9.85,0.01,+0.10%,400100
06/17/2022,9.84,9.84,9.82,9.84,-0.03,-0.30%,284600
06/13/2022,9.87,9.87,9.87,9.87,0.05,+0.51%,200
06/10/2022,9.82,9.82,9.82,9.82,0.02,+0.20%,100
06/07/2022,9.8,9.8,9.8,9.8,-0.015,-0.15%,600
05/31/2022,9.86,9.86,9.815,9.815,0.045,+0.46%,32400
05/26/2022,9.79,9.79,9.77,9.77,-0.02,-0.20%,3600
05/24/2022,9.79,9.79,9.79,9.79,0.01,+0.10%,800
05/20/2022,9.78,9.78,9.78,9.78,0,0.00%,6300
05/19/2022,9.78,9.78,9.78,9.78,-0.01,-0.10%,600
05/18/2022,9.79,9.79,9.79,9.79,-0.01,-0.10%,1700
05/12/2022,9.8,9.85,9.8,9.8,-0.05,-0.51%,10200
05/06/2022,9.85,9.85,9.85,9.85,0.01,+0.10%,400
04/28/2022,9.84,9.84,9.835,9.84,0.01,+0.10%,290800
04/27/2022,9.83,9.84,9.83,9.83,0,0.00%,1881100
04/26/2022,9.83,9.83,9.83,9.83,0,0.00%,700
04/22/2022,9.83,9.83,9.83,9.83,0.01,+0.10%,17900
04/21/2022,9.83,9.83,9.82,9.82,-0.01,-0.10%,2000
04/20/2022,9.82,9.87,9.82,9.83,0.01,+0.10%,22000
04/18/2022,9.83,9.83,9.82,9.82,-0.01,-0.10%,500
04/14/2022,9.83,9.83,9.83,9.83,0,0.00%,30100
04/13/2022,9.83,9.83,9.825,9.83,0.02,+0.20%,335100
04/11/2022,9.84,9.84,9.81,9.81,-0.01,-0.10%,300
04/08/2022,9.82,9.82,9.82,9.82,0,0.00%,6300
04/07/2022,9.81,9.82,9.81,9.82,0.01,+0.10%,1960000
04/06/2022,9.81,9.81,9.81,9.81,-0.01,-0.10%,125000
04/04/2022,9.81,9.82,9.81,9.82,0,0.00%,22800
03/31/2022,9.82,9.8201,9.82,9.82,0.04,+0.41%,1800
03/30/2022,9.78,9.78,9.78,9.78,-0.01,-0.10%,2100
03/29/2022,9.79,9.79,9.79,9.79,0,0.00%,5200
03/25/2022,9.79,9.79,9.79,9.79,0,0.00%,4100
03/24/2022,9.79,9.79,9.79,9.79,0,0.00%,2800
03/23/2022,9.79,9.79,9.79,9.79,0.03,+0.31%,4000
03/22/2022,9.76,9.76,9.75,9.76,-0.0037,-0.04%,2600
03/21/2022,9.77,9.77,9.76,9.7637,-0.0563,-0.57%,2400
03/16/2022,9.76,9.82,9.76,9.82,-0.03,-0.30%,3600
03/11/2022,9.77,9.85,9.76,9.85,0.01,+0.10%,4300
03/08/2022,9.76,9.84,9.76,9.84,-0.01,-0.10%,2000
03/07/2022,9.74,9.85,9.74,9.85,-0.02,-0.20%,700
03/04/2022,9.805,9.87,9.805,9.87,0.03,+0.30%,200
03/03/2022,9.73,9.85,9.73,9.84,-0.02,-0.20%,1500
03/02/2022,9.87,9.87,9.86,9.86,-0.01,-0.10%,800
03/01/2022,9.87,9.87,9.76,9.87,0.03,+0.30%,12700
02/28/2022,9.8,9.84,9.7327,9.84,0.14,+1.44%,600
