Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/01/2023,3.88,4.29,3.88,4.24,0.32,+8.16%,283600,0
01/31/2023,3.55,3.99,3.52,3.92,0.38,+10.73%,190500,0
01/30/2023,3.74,3.77,3.53,3.54,-0.21,-5.60%,119200,0
01/27/2023,3.42,3.77,3.37,3.75,0.32,+9.33%,364200,0
01/26/2023,3.42,3.44,3.34,3.43,0.05,+1.48%,130600,0
01/25/2023,3.35,3.39,3.2917,3.38,-0.01,-0.29%,98100,0
01/24/2023,3.48,3.52,3.37,3.39,-0.09,-2.59%,174400,0
01/23/2023,3.46,3.538,3.36,3.48,-0.02,-0.57%,212500,0
01/20/2023,3.55,3.6,3.46,3.5,0.01,+0.29%,144700,0
01/19/2023,3.83,3.83,3.44,3.49,-0.31,-8.16%,246900,0
01/18/2023,4.23,4.34,3.76,3.8,-0.37,-8.87%,386600,0
01/17/2023,3.82,4.21,3.82,4.17,0.3,+7.75%,197000,0
01/13/2023,3.78,3.93,3.75,3.87,0.03,+0.78%,104600,0
01/12/2023,3.84,3.9,3.68,3.84,0.04,+1.05%,244400,0
01/11/2023,3.57,3.92,3.5,3.8,0.28,+7.95%,282500,0
01/10/2023,3.46,3.62,3.355,3.52,0.09,+2.62%,206600,0
01/09/2023,3.63,3.64,3.43,3.43,-0.15,-4.19%,249000,0
01/06/2023,3.37,3.635,3.32,3.58,0.16,+4.68%,206100,0
01/05/2023,3.18,3.455,3.12,3.42,0.27,+8.57%,180700,0
01/04/2023,3.1,3.25,3.04,3.15,0.11,+3.62%,278200,0
01/03/2023,2.89,3.1288,2.84,3.04,0.19,+6.67%,347900,0
12/30/2022,2.59,2.85,2.555,2.85,0.26,+10.04%,301700,0
12/29/2022,2.54,2.675,2.46,2.59,0.04,+1.57%,414900,0
12/28/2022,2.55,2.68,2.5,2.55,-0.035,-1.35%,277200,0
12/27/2022,2.81,2.82,2.55,2.585,-0.265,-9.30%,257700,0
12/23/2022,2.82,2.9587,2.75,2.85,0.01,+0.35%,323900,0
12/22/2022,2.79,2.86,2.65,2.84,0.05,+1.79%,223200,0
12/21/2022,2.64,2.8,2.585,2.79,0.17,+6.49%,238000,0
12/20/2022,2.93,2.93,2.61,2.62,-0.3,-10.27%,334500,0
12/19/2022,3.37,3.37,2.9,2.92,-0.41,-12.31%,200100,0
12/16/2022,3.55,3.5835,3.32,3.33,-0.3,-8.26%,294000,0
12/15/2022,3.61,3.64,3.34,3.63,0,0.00%,432900,0
12/14/2022,3.93,3.96,3.555,3.63,-0.35,-8.79%,494800,0
12/13/2022,4.05,4.41,3.91,3.98,-0.41,-9.34%,638600,0
12/12/2022,4.71,4.73,4.29,4.39,-0.15,-3.30%,414000,0
12/09/2022,4.43,4.75,4.3,4.54,0.07,+1.57%,129600,0
12/08/2022,4.61,4.6799,4.44,4.47,-0.18,-3.87%,118100,0
12/07/2022,4.83,4.93,4.65,4.65,-0.14,-2.92%,70900,0
12/06/2022,5.03,5.03,4.6444,4.79,-0.21,-4.20%,197300,0
12/05/2022,4.9,5.15,4.87,5,0.07,+1.42%,155900,0
12/02/2022,5,5.03,4.86,4.93,-0.07,-1.40%,111500,0
12/01/2022,5.02,5.085,4.91,5,-0.03,-0.60%,94500,0
11/30/2022,4.87,5.12,4.805,5.03,0.14,+2.86%,158300,0
11/29/2022,4.75,4.965,4.615,4.89,0.1,+2.09%,139000,0
11/28/2022,4.87,4.99,4.72,4.79,-0.19,-3.82%,152600,0
11/25/2022,5.01,5.01,4.87,4.98,-0.01,-0.20%,43800,0
11/23/2022,4.95,5,4.86,4.99,-0.01,-0.20%,166600,0
11/22/2022,5.13,5.225,4.915,5,-0.05,-0.99%,74400,0
11/21/2022,5.32,5.32,5.02,5.05,-0.22,-4.17%,92800,0
11/18/2022,5.67,5.67,5.1546,5.27,-0.25,-4.53%,132700,0
11/17/2022,5.98,6.09,5.46,5.52,-0.55,-9.06%,259200,0
11/16/2022,5.89,6.11,5.7439,6.07,0.17,+2.88%,82600,0
11/15/2022,6,6.08,5.825,5.9,0.1,+1.72%,48400,0
11/14/2022,5.71,6.05,5.71,5.8,-0.03,-0.51%,98400,0
11/11/2022,5.71,6,5.66,5.83,0.15,+2.64%,87100,0
11/10/2022,5.58,5.82,5.58,5.68,0.32,+5.97%,111200,0
11/09/2022,5.61,5.63,5.2,5.36,-0.34,-5.96%,104100,0
11/08/2022,5.3,5.74,5.125,5.7,0.45,+8.57%,285800,0
11/07/2022,5.1,5.27,5.07,5.25,0,0.00%,72700,0
11/04/2022,5.25,5.26,5.01,5.25,0.08,+1.55%,46400,0
11/03/2022,5.04,5.25,5.01,5.17,0.06,+1.17%,35400,0
11/02/2022,5.35,5.37,5.05,5.11,-0.2,-3.77%,95800,0
11/01/2022,5.36,5.37,5.22,5.31,0.02,+0.38%,79000,0
10/31/2022,5.16,5.72,5.16,5.29,0.09,+1.73%,137200,0
10/28/2022,4.9,5.36,4.89,5.2,0.25,+5.05%,171100,0
10/27/2022,4.96,5.36,4.89,4.95,0,0.00%,172100,0
10/26/2022,4.72,5.1299,4.47,4.95,0.2,+4.21%,762200,0
10/25/2022,4.63,4.9136,4.63,4.75,0.15,+3.26%,234200,0
10/24/2022,4.54,4.78,4.5,4.6,0.09,+2.00%,128900,0
10/21/2022,4.5,4.6,4.41,4.51,0.03,+0.67%,133600,0
10/20/2022,4.43,4.535,4.25,4.48,0.07,+1.59%,178900,0
10/19/2022,4.47,4.62,4.38,4.41,-0.12,-2.65%,87100,0
10/18/2022,4.57,4.8199,4.5,4.53,0.01,+0.22%,159500,0
10/17/2022,4.49,4.675,4.335,4.52,0.05,+1.12%,239900,0
10/14/2022,4.88,4.99,4.4498,4.47,-0.42,-8.59%,228101,0
10/13/2022,4.75,5.04,4.64,4.89,-0.04,-0.81%,247700,0
10/12/2022,4.9,5.04,4.765,4.93,-0.02,-0.40%,93000,0
10/11/2022,5.27,5.38,4.9,4.95,-0.37,-6.95%,192800,0
10/10/2022,5.77,5.78,5.31,5.32,-0.41,-7.16%,119700,0
10/07/2022,6.25,6.31,5.54,5.73,-0.54,-8.61%,196400,0
10/06/2022,6.59,6.59,6.25,6.27,-0.3,-4.57%,197400,0
10/05/2022,6.54,6.67,6.245,6.57,-0.16,-2.38%,229500,0
10/04/2022,6.76,7.025,6.62,6.73,0.05,+0.75%,209000,0
10/03/2022,6.71,6.78,6.54,6.68,0.06,+0.91%,69600,0
09/30/2022,6.75,6.86,6.53,6.62,-0.16,-2.36%,87600,0
09/29/2022,7.3,7.3,6.72,6.78,-0.55,-7.50%,89300,0
09/28/2022,6.85,7.41,6.82,7.33,0.49,+7.16%,71800,0
09/27/2022,7.52,7.72,6.665,6.84,-0.54,-7.32%,189700,0
09/26/2022,7.54,7.898,7.37,7.38,-0.25,-3.28%,84000,0
09/23/2022,7.87,7.99,7.58,7.63,-0.42,-5.22%,116700,0
09/22/2022,8.2,8.27,7.98,8.05,-0.22,-2.66%,106100,0
09/21/2022,8.16,8.49,8.1,8.27,0.18,+2.22%,98300,0
09/20/2022,8,8.13,7.96,8.09,0.08,+1.00%,53600,0
09/19/2022,7.94,8.18,7.9,8.01,-0.01,-0.12%,72700,0
09/16/2022,7.98,8.11,7.91,8.02,-0.06,-0.74%,161500,0
09/15/2022,8.17,8.5699,7.99,8.08,-0.15,-1.82%,112100,0
09/14/2022,8.04,8.25,7.92,8.23,0.11,+1.35%,112600,0
09/13/2022,8.4,8.42,8.105,8.12,-0.49,-5.69%,110800,0
