Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/31/2023,20.815,20.815,20.65,20.66,-0.04,-0.19%,2400,0
03/30/2023,20.91,20.91,20.7,20.7,0.05,+0.24%,2400,0
03/29/2023,20.73,20.73,20.65,20.65,-0.4,-1.90%,2600,0
03/28/2023,21.18,21.18,21.05,21.05,-0.09,-0.43%,1300,0
03/27/2023,21.14,21.14,21.14,21.14,-0.01,-0.05%,600,0
03/24/2023,21,21.15,20.7666,21.15,0.3,+1.44%,2700,0
03/23/2023,20.765,20.85,20.765,20.85,-0.23,-1.09%,800,0
03/22/2023,21.39,21.4,21.08,21.08,-0.04,-0.19%,2500,0
03/21/2023,21.07,21.12,21,21.12,0.4,+1.93%,5800,0
03/20/2023,21.21,21.29,20.49,20.72,-0.15,-0.72%,7100,0
03/17/2023,21.85,21.85,20.87,20.87,-0.9588,-4.39%,11900,0
03/16/2023,21.8288,21.8288,21.8288,21.8288,0.0288,+0.13%,1600,0
03/15/2023,22.35,22.35,21.77,21.8,-0.28,-1.27%,1600,0
03/14/2023,22.375,22.375,21.99,22.08,0.17,+0.78%,4000,0
03/13/2023,22.205,22.205,21.9,21.91,0.6199,+2.91%,10100,0
03/10/2023,22.17,22.17,21.2901,21.2901,-0.6999,-3.18%,1300,0
03/09/2023,22.55,22.74,21.865,21.99,-0.58,-2.57%,8300,0
03/08/2023,22.7,22.9,22.57,22.57,-0.03,-0.13%,2000,0
03/07/2023,23.05,23.2349,22.6,22.6,-0.5,-2.16%,2100,0
03/06/2023,22.85,23.1,22.85,23.1,-0.08,-0.35%,2000,0
03/03/2023,23.12,23.21,23.07,23.18,-0.01,-0.04%,3200,0
03/02/2023,22.94,23.3175,22.94,23.19,0.36,+1.58%,2000,0
03/01/2023,23.25,23.25,22.83,22.83,-0.3,-1.30%,9900,0
02/28/2023,23.11,23.38,23.04,23.13,-0.14,-0.60%,2100,0
02/27/2023,23.28,23.39,23.0101,23.27,0.061,+0.26%,9600,0
02/24/2023,23.01,23.2094,23.01,23.209,0.189,+0.82%,2000,0
02/23/2023,23.02,23.02,23.02,23.02,0.09,+0.39%,700,0
02/22/2023,23.35,23.35,22.91,22.93,-0.19,-0.82%,3400,0
02/21/2023,22.9,23.12,22.9,23.12,0.09,+0.39%,8300,0
02/17/2023,22.9,23.24,22.9,23.03,0.1164,+0.51%,6300,0
02/16/2023,22.93,23.1,22.9136,22.9136,-0.4364,-1.87%,2500,0
02/15/2023,22.9,23.35,22.9,23.35,0.36,+1.57%,10900,0
02/14/2023,22.9,23,22.9,22.99,0.1887,+0.83%,4000,0
02/13/2023,23.37,23.37,22.8013,22.8013,-0.1787,-0.78%,1600,0
02/09/2023,23.3,23.3,22.98,22.98,0.2,+0.88%,16200,0
02/08/2023,23.05,23.14,22.78,22.78,-0.66,-2.82%,7100,0
02/07/2023,23.38,23.55,23.01,23.44,-0.16,-0.68%,10700,0
02/06/2023,23.66,23.66,23.445,23.6,-0.06,-0.25%,3400,0
02/03/2023,23,25.18,23,23.66,0.91,+4.00%,14800,0
02/02/2023,22.99,23,22.75,22.75,0.34,+1.52%,1600,0
02/01/2023,22.28,22.41,22.23,22.41,0.09,+0.40%,1900,0
01/31/2023,22.08,22.32,22.08,22.32,0.12,+0.54%,4100,0
01/30/2023,22.2,22.2,22.2,22.2,0.075,+0.34%,1300,0
01/27/2023,22.2528,22.2528,22.125,22.125,0.005,+0.02%,1000,0
01/26/2023,22.115,22.12,22.115,22.12,-0.0479,-0.22%,400,0
01/25/2023,22,22.35,22,22.1679,0.0179,+0.08%,2000,0
01/24/2023,22.19,22.36,22.15,22.15,-0.06,-0.27%,700,0
01/20/2023,22.32,22.36,22.185,22.21,-0.19,-0.85%,1100,0
01/19/2023,22.36,22.5058,22.0722,22.4,0.09,+0.40%,6900,0
01/18/2023,22.87,22.94,22.31,22.31,-0.64,-2.79%,6200,0
01/17/2023,22.9611,23.1974,22.87,22.95,0.2,+0.88%,13400,0
01/13/2023,22.62,22.855,22.62,22.75,0.155,+0.69%,1700,0
01/12/2023,22.58,22.71,22.38,22.595,0.195,+0.87%,3300,0
01/11/2023,22.02,22.4,22.02,22.4,0.58,+2.66%,1301,0
01/10/2023,21.93,22.24,21.36,21.82,-0.11,-0.50%,1900,0
01/09/2023,21.72,22.0447,21.72,21.93,0.27,+1.25%,1421,0
01/06/2023,22,22,21.66,21.66,-0.35,-1.59%,3700,0
01/05/2023,22.4415,22.4415,22.01,22.01,-0.52,-2.31%,3600,0
01/04/2023,22.33,22.53,22.33,22.53,0.2,+0.90%,3400,0
01/03/2023,22.63,22.63,22.33,22.33,-0.3,-1.33%,5400,0
12/30/2022,22.75,22.75,22.36,22.63,-0.12,-0.53%,29500,0
12/29/2022,22.64,22.92,22.5,22.75,0.18,+0.80%,23400,0
12/28/2022,22.13,22.7619,21.5235,22.57,0.35,+1.58%,10700,0
12/27/2022,21.99,22.25,21.7856,22.22,0.5,+2.30%,1600,0
12/23/2022,21.72,21.72,21.72,21.72,0.18,+0.84%,700,0
12/22/2022,21.26,21.72,21.26,21.54,-0.2,-0.92%,2600,0
12/21/2022,21.91,21.91,21.74,21.74,0.22,+1.02%,1700,0
12/20/2022,21.19,21.99,21.1,21.52,0.5,+2.38%,44000,0
12/19/2022,22,22.1922,20.67,21.02,-1,-4.54%,45400,0
12/16/2022,22.9,23.2,21.76,22.02,-0.83,-3.63%,44400,0
12/15/2022,23.95,24,22.85,22.85,-0.88,-3.71%,51300,0
12/14/2022,24.26,24.97,23.73,23.73,-0.6003,-2.47%,37700,0
12/13/2022,24.31,25.4299,24.31,24.3303,0.0303,+0.12%,14700,0
12/12/2022,24.2,24.3,24.2,24.3,0.08,+0.33%,2900,0
12/09/2022,24.3,24.6203,24.22,24.22,-0.15,-0.62%,4100,0
12/08/2022,24.13,24.37,24.13,24.37,-0.02,-0.08%,2300,0
12/07/2022,24.3,24.5,24.23,24.39,-0.07,-0.29%,24200,0
12/06/2022,24.7,24.74,24.45,24.46,0.06,+0.25%,5500,0
12/05/2022,24.75,25.1,23.9801,24.4,-0.7737,-3.07%,18700,0
12/02/2022,25.14,25.525,24.768,25.1737,0.0837,+0.33%,8300,0
12/01/2022,25.65,25.65,24.555,25.09,0.7471,+3.07%,11900,0
11/30/2022,24.7619,25.6257,24.3238,24.3429,-0.1095,-0.45%,2835,0
11/29/2022,24.7619,24.8947,24.4524,24.4524,-0.8809,-3.48%,2940,0
11/28/2022,24.4667,25.5238,24.381,25.3333,0.9047,+3.70%,5985,0
11/25/2022,24.4286,24.4286,24.4286,24.4286,0.1524,+0.63%,840,0
11/23/2022,24.381,24.589,24.05,24.2762,-0.0095,-0.04%,3045,0
11/22/2022,24.2952,24.499,24.2857,24.2857,-0.0953,-0.39%,3570,0
11/21/2022,24.5714,24.5714,24.3524,24.381,-0.1428,-0.58%,1155,0
