Time,Open,High,Low,Last,Change,%Chg,Volume
01/20/2023,17.33,18.02,17.33,17.84,0.46,+2.65%,11400
01/19/2023,17.72,17.825,17.27,17.38,-0.29,-1.64%,23100
01/18/2023,18.65,18.65,17.66,17.67,-0.92,-4.95%,17400
01/17/2023,18.75,18.75,18.49,18.59,0.13,+0.70%,5200
01/13/2023,18.37,18.63,18.065,18.46,0.08,+0.44%,2600
01/12/2023,18.45,18.56,18.255,18.38,0.04,+0.22%,7100
01/11/2023,18.41,18.48,17.51,18.34,0.22,+1.21%,10500
01/10/2023,18.19,18.43,18.12,18.12,0.04,+0.22%,2900
01/09/2023,18.33,18.33,18.08,18.08,-0.12,-0.66%,8200
01/06/2023,18.19,18.2,18.01,18.2,0.12,+0.66%,10100
01/05/2023,17.95,18.17,17.94,18.08,0.1,+0.56%,19500
01/04/2023,17.9232,18.1999,17.78,17.98,-0.22,-1.21%,10100
01/03/2023,18.06,18.2,18,18.2,0.2,+1.11%,9300
12/30/2022,17.98,18.2,17.85,18,0,0.00%,11600
12/29/2022,17.98,18.1179,17.77,18,0.28,+1.58%,5900
12/28/2022,18.3199,18.3199,17.72,17.72,-0.32,-1.77%,6000
12/27/2022,17.76,18.11,17.53,18.04,0.38,+2.15%,8400
12/23/2022,17.65,17.96,17.5001,17.66,0.25,+1.44%,7300
12/22/2022,17.51,17.66,17.41,17.41,0.02,+0.12%,4700
12/21/2022,17.24,17.685,17.08,17.39,0.3,+1.76%,12000
12/20/2022,17.16,17.32,17.02,17.09,0.06,+0.35%,26500
12/19/2022,17.34,17.34,17.01,17.03,-0.31,-1.79%,23200
12/16/2022,17.15,17.56,17.145,17.34,0.01,+0.06%,13500
12/15/2022,17.27,17.34,17.1501,17.33,0.23,+1.35%,15100
12/14/2022,17.25,17.57,17.02,17.1,0,0.00%,12200
12/13/2022,18.48,18.48,17.1,17.1,-1.38,-7.47%,61900
12/12/2022,18.4,18.48,18.37,18.48,0.08,+0.43%,8400
12/09/2022,18.43,18.67,17.8242,18.4,-0.15,-0.81%,7500
12/08/2022,18.1,18.56,18.1,18.55,0.46,+2.54%,6600
12/07/2022,18.05,18.23,17.8801,18.09,0.05,+0.28%,9000
12/06/2022,18.25,18.295,17.94,18.04,-0.09,-0.50%,4000
12/05/2022,18.67,18.67,18.05,18.13,-0.62,-3.31%,13500
12/02/2022,18.35,18.75,18.215,18.75,0.43,+2.35%,9700
12/01/2022,18.33,18.48,17.8412,18.32,0.08,+0.44%,17000
11/30/2022,18.23,18.25,17.975,18.24,-0.18,-0.98%,10500
11/29/2022,17.92,18.45,17.7844,18.42,0.53,+2.96%,52800
11/28/2022,17.89,18,17.7604,17.89,-0.01,-0.06%,15600
11/25/2022,17.8329,18.0799,17.78,17.9,0.15,+0.85%,7300
11/23/2022,17.99,18.06,17.5976,17.75,-0.17,-0.95%,5800
11/22/2022,17.69,17.98,17.69,17.92,0.32,+1.82%,52400
11/21/2022,17.67,17.74,17.3766,17.6,-0.04,-0.23%,11400
11/18/2022,17.5,17.6436,17.26,17.64,0.16,+0.92%,18100
11/17/2022,17.39,17.636,17.319,17.48,0.05,+0.29%,9600
11/16/2022,17.24,17.445,17.24,17.43,0.19,+1.10%,2500
11/15/2022,17.4,17.5572,17.0407,17.24,-0.07,-0.40%,10800
11/14/2022,17.28,17.585,17.0301,17.31,-0.045,-0.26%,7500
11/11/2022,17.42,17.4999,17.045,17.355,-0.025,-0.14%,19800
11/10/2022,17.65,17.81,17.25,17.38,-0.21,-1.19%,27800
11/09/2022,17.6065,17.6229,17.5,17.59,0.04,+0.23%,12000
11/08/2022,17.71,17.74,17.55,17.55,-0.03,-0.17%,9800
11/07/2022,17.9388,17.9388,17.58,17.58,-0.28,-1.57%,6700
11/04/2022,17.6,17.86,17.6,17.86,0.185,+1.05%,7600
11/03/2022,17.63,17.8837,17.6,17.675,-0.065,-0.37%,5200
11/02/2022,17.78,18,17.55,17.74,-0.14,-0.78%,33500
11/01/2022,17.8,17.88,17.67,17.88,0.27,+1.53%,7200
10/31/2022,17.68,17.8,17.51,17.61,-0.07,-0.40%,14300
10/28/2022,17.52,18,17.455,17.68,-0.07,-0.39%,6000
10/27/2022,17.245,17.75,17.245,17.75,0.5,+2.90%,6100
10/26/2022,17.27,17.4,17.0304,17.25,-0.14,-0.81%,12200
10/25/2022,17.225,17.39,17.0528,17.39,0.39,+2.29%,6100
10/24/2022,17.98,17.98,17,17,-1.06,-5.87%,9100
10/21/2022,17.5,18.06,17.2,18.06,0.88,+5.12%,5100
10/20/2022,17.1827,17.1827,17,17.18,0.18,+1.06%,8600
10/19/2022,17.225,17.225,17,17,-0.14,-0.82%,7000
10/18/2022,17,17.26,16.95,17.14,0.14,+0.82%,12300
10/17/2022,16.95,17,16.82,17,0.2,+1.19%,9800
10/14/2022,16.72,16.835,16.61,16.8,0.21,+1.27%,5400
10/13/2022,16.08,16.65,16.08,16.59,0.35,+2.16%,5800
10/12/2022,16.01,16.24,16.01,16.24,0.18,+1.12%,1800
10/11/2022,15.94,16.2,15.94,16.06,0.27,+1.71%,9800
10/10/2022,16.1,16.3614,15.79,15.79,-0.23,-1.44%,15100
10/07/2022,16.5,16.5,15.91,16.02,-0.58,-3.49%,33800
10/06/2022,16.82,16.82,16.2,16.6,-0.15,-0.90%,18200
10/05/2022,16.6,16.94,16.6,16.75,-0.08,-0.48%,7200
10/04/2022,16.66,17.105,16.66,16.83,0.28,+1.69%,21100
10/03/2022,15.98,16.55,15.98,16.55,0.69,+4.35%,22300
09/30/2022,15.54,16.08,15.54,15.86,0.32,+2.06%,24800
09/29/2022,15.53,15.8314,15.4,15.54,0.18,+1.17%,20700
09/28/2022,15.12,15.7599,15.12,15.36,0.25,+1.65%,7900
09/27/2022,15.51,16.29,15.11,15.11,-0.28,-1.82%,42300
09/26/2022,15.13,15.4931,15.13,15.39,0.38,+2.53%,23600
09/23/2022,15.02,15.2391,15,15.01,-0.14,-0.92%,17000
09/22/2022,15.3,15.41,14.96,15.15,-0.18,-1.17%,9500
09/21/2022,15.14,15.6368,14.971,15.33,0.41,+2.75%,5700
09/20/2022,15,15.4773,14.9,14.92,-0.01,-0.07%,17400
09/19/2022,15.09,15.31,14.93,14.93,0,0.00%,14700
09/16/2022,15,15.6354,14.91,14.93,-0.31,-2.03%,24200
09/15/2022,15.32,15.76,15,15.24,0.21,+1.40%,10300
09/14/2022,15.2401,15.5199,15.03,15.03,-0.19,-1.25%,10700
09/13/2022,15.13,15.55,15.13,15.22,-0.06,-0.39%,9500
09/12/2022,15.49,15.5212,15.25,15.28,-0.035,-0.23%,8400
09/09/2022,15.4494,16.2383,15.25,15.315,-0.085,-0.55%,6700
09/08/2022,15.33,15.6,15.33,15.4,-0.05,-0.32%,5500
09/07/2022,15.23,15.61,15.23,15.45,-0.06,-0.39%,9100
09/06/2022,15.99,15.99,15.51,15.51,-0.79,-4.85%,11400
09/02/2022,15.86,16.3,15.85,16.3,0.51,+3.23%,2700
09/01/2022,15.96,16.1255,15.39,15.79,-0.17,-1.07%,12600
08/31/2022,16.34,16.58,15.91,15.96,-0.29,-1.78%,7800
08/30/2022,16.33,16.7,16.25,16.25,0,0.00%,6500
08/29/2022,16.17,16.63,16.17,16.25,0.1,+0.62%,4900
08/26/2022,16.475,16.475,16.1001,16.15,-0.09,-0.55%,6000
08/25/2022,16.35,16.4013,16.2027,16.24,0.2373,+1.48%,6500
08/24/2022,16.69,16.69,16.0027,16.0027,-0.2873,-1.76%,7500
08/23/2022,16.64,16.74,16.11,16.29,-0.27,-1.63%,12600
08/22/2022,16.6,16.645,16.2645,16.56,0.06,+0.36%,11300
08/19/2022,16.3,16.715,16.3,16.5,0.21,+1.29%,38200
08/18/2022,16.1,16.31,16.1,16.29,0.09,+0.56%,5000
08/17/2022,16.25,16.25,16.2,16.2,-0.05,-0.31%,13200
08/16/2022,16.21,16.36,16.2,16.25,-0.11,-0.67%,5400
08/15/2022,15.34,16.36,15.34,16.36,0.47,+2.96%,10300
08/12/2022,15.74,15.8999,15.54,15.89,0.03,+0.19%,13200
08/11/2022,15.46,15.9628,15.46,15.86,0.28,+1.80%,16200
08/10/2022,15.21,15.58,15,15.58,0.47,+3.11%,8700
08/09/2022,15.29,15.4175,15.07,15.11,-0.17,-1.11%,5000
08/08/2022,15.36,15.56,15.27,15.28,-0.08,-0.52%,5900
08/05/2022,15.5,15.5,15.35,15.36,-0.03,-0.19%,42800
