Time,Open,High,Low,Last,Change,%Chg,Volume
03/31/2023,10.785,10.785,10.785,10.785,-0.065,-0.60%,200
03/30/2023,10.85,10.85,10.85,10.85,0,0.00%,300
03/23/2023,10.85,10.86,10.85,10.85,-0.01,-0.09%,700
03/22/2023,10.8165,10.86,10.8165,10.86,0.25,+2.36%,2700
03/17/2023,10.62,10.62,10.6,10.61,-0.09,-0.84%,300
03/15/2023,10.86,10.86,10.7,10.7,-0.1342,-1.24%,4600
03/14/2023,10.7499,11.25,10.58,10.8342,0.2342,+2.21%,4600
03/10/2023,11.37,11.4,10.5706,10.6,-0.5,-4.50%,2600
03/08/2023,11.2,11.3103,10.8,11.1,-0.18,-1.60%,3500
03/07/2023,10.94,11.28,10.94,11.28,-0.09,-0.79%,200
03/06/2023,11.38,11.38,10.7,11.37,0.67,+6.26%,400
03/03/2023,11.48,11.48,10.7,10.7,0.1,+0.94%,2200
03/02/2023,10.6,10.6,10.6,10.6,-0.37,-3.37%,200
03/01/2023,10.96,11.18,10.63,10.97,0.22,+2.05%,7600
02/28/2023,10.81,11.3,10.64,10.75,-0.4,-3.59%,39700
02/27/2023,11.45,11.8,10.64,11.15,0.51,+4.79%,13500
02/24/2023,10.9,11.14,10.6,10.64,-0.28,-2.56%,15100
02/23/2023,11.03,12.03,10.75,10.92,0.02,+0.18%,51300
02/22/2023,10.82,11.02,10.706,10.9,-0.0107,-0.10%,6700
02/21/2023,10.94,11.99,10.6315,10.9107,-0.3893,-3.45%,37600
02/17/2023,11,11.9,10.85,11.3,0.52,+4.82%,37600
02/16/2023,10.84,11.23,10.56,10.78,0.28,+2.67%,41700
02/15/2023,10.6,11.0065,10.5,10.5,-0.4,-3.67%,23400
02/14/2023,10.61,11.35,10.36,10.9,0.3,+2.83%,39600
02/13/2023,10.61,10.75,10.56,10.6,-0.1,-0.93%,4800
02/10/2023,10.65,11.2,10.65,10.7,-0.1,-0.93%,17100
02/09/2023,10.9,11.99,10.45,10.8,0.15,+1.41%,50900
02/08/2023,10.6,11.15,10.38,10.65,0.3,+2.90%,63800
02/07/2023,10.7,10.7,10.32,10.35,0.04,+0.39%,7900
02/06/2023,10.2203,10.32,10.2203,10.31,0.09,+0.88%,1700
02/03/2023,10.22,10.22,10.22,10.22,-0.04,-0.39%,800
02/02/2023,10.25,10.26,10.25,10.26,-0.04,-0.39%,700
02/01/2023,10.3,10.3,10.3,10.3,-0.03,-0.29%,1100
01/31/2023,10.65,10.85,10.2,10.33,-0.02,-0.19%,25300
01/30/2023,10.35,10.355,10.35,10.35,0,0.00%,134500
01/26/2023,10.36,10.37,10.35,10.35,0,0.00%,424800
01/25/2023,10.35,10.38,10.35,10.35,0,0.00%,545400
01/24/2023,10.355,10.355,10.35,10.35,0,0.00%,108000
01/23/2023,10.35,10.355,10.345,10.35,-0.01,-0.10%,1338900
01/20/2023,10.35,10.36,10.35,10.36,0,0.00%,5900
01/19/2023,10.35,10.36,10.35,10.36,0.005,+0.05%,53600
01/18/2023,10.355,10.355,10.35,10.355,0.005,+0.05%,43000
01/17/2023,10.35,10.35,10.3498,10.35,0.01,+0.10%,10600
01/11/2023,10.34,10.35,10.34,10.34,0.01,+0.10%,5000
01/10/2023,10.33,10.33,10.33,10.33,0,0.00%,100000
01/09/2023,10.33,10.335,10.33,10.33,0,0.00%,16300
01/06/2023,10.33,10.34,10.33,10.33,0,0.00%,357800
01/05/2023,10.33,10.34,10.32,10.33,0,0.00%,485800
01/04/2023,10.33,10.34,10.32,10.33,0,0.00%,229500
01/03/2023,10.32,10.33,10.32,10.33,0,0.00%,112600
12/30/2022,10.32,10.33,10.31,10.33,0.02,+0.19%,26800
12/29/2022,10.32,10.32,10.31,10.31,-0.01,-0.10%,557100
12/28/2022,10.32,10.32,10.32,10.32,0.02,+0.19%,102300
12/27/2022,10.3,10.3,10.3,10.3,0,0.00%,26200
12/23/2022,10.295,10.3,10.295,10.3,0.01,+0.10%,47800
12/22/2022,10.31,10.31,10.29,10.29,-0.02,-0.19%,8100
12/21/2022,10.3,10.32,10.3,10.31,0.01,+0.10%,126700
12/20/2022,10.28,10.3,10.28,10.3,0.02,+0.19%,287700
12/19/2022,10.28,10.28,10.28,10.28,0,0.00%,100
12/16/2022,10.28,10.29,10.28,10.28,-0.01,-0.10%,177100
12/15/2022,10.28,10.29,10.28,10.29,0.01,+0.10%,400
12/14/2022,10.27,10.28,10.27,10.28,0.01,+0.10%,1200
12/13/2022,10.27,10.28,10.27,10.27,0,0.00%,1300
12/12/2022,10.27,10.27,10.27,10.27,0,0.00%,800
12/09/2022,10.27,10.27,10.27,10.27,-0.01,-0.10%,100
12/07/2022,10.28,10.28,10.28,10.28,0.01,+0.10%,100
12/06/2022,10.27,10.27,10.27,10.27,0.01,+0.10%,110800
12/02/2022,10.26,10.27,10.26,10.26,0,0.00%,57200
12/01/2022,10.25,10.265,10.25,10.26,0.01,+0.10%,136700
11/29/2022,10.25,10.25,10.25,10.25,0.01,+0.10%,200000
11/28/2022,10.24,10.24,10.24,10.24,-0.015,-0.15%,400
11/22/2022,10.25,10.26,10.25,10.255,0.015,+0.15%,402300
11/18/2022,10.24,10.24,10.22,10.24,0,0.00%,523700
11/17/2022,10.24,10.24,10.24,10.24,0.01,+0.10%,100
11/16/2022,10.23,10.235,10.23,10.23,0,0.00%,125000
11/15/2022,10.23,10.23,10.23,10.23,0.01,+0.10%,20300
11/11/2022,10.22,10.22,10.22,10.22,0,0.00%,2500
11/07/2022,10.22,10.22,10.22,10.22,0,0.00%,100
11/04/2022,10.21,10.22,10.21,10.22,0.02,+0.20%,1400
11/01/2022,10.2,10.21,10.19,10.2,0.01,+0.10%,26500
10/28/2022,10.2,10.2,10.19,10.19,0,0.00%,40900
10/27/2022,10.195,10.195,10.18,10.19,0,0.00%,644900
10/26/2022,10.18,10.19,10.18,10.19,0.01,+0.10%,59000
10/25/2022,10.18,10.19,10.18,10.18,0,0.00%,5500
10/20/2022,10.18,10.18,10.17,10.18,0,0.00%,28700
10/19/2022,10.18,10.18,10.18,10.18,0.02,+0.20%,100
10/18/2022,10.19,10.19,10.16,10.16,0,0.00%,1200
10/17/2022,10.19,10.19,10.15,10.16,0.005,+0.05%,434800
10/14/2022,10.18,10.18,10.155,10.155,0,0.00%,2700
10/12/2022,10.155,10.155,10.155,10.155,-0.005,-0.05%,100
10/11/2022,10.15,10.16,10.15,10.16,0.01,+0.10%,27500
10/10/2022,10.15,10.15,10.15,10.15,0,0.00%,200
10/07/2022,10.15,10.15,10.15,10.15,0.005,+0.05%,78900
10/04/2022,10.16,10.16,10.145,10.145,-0.015,-0.15%,200
10/03/2022,10.16,10.16,10.16,10.16,0.015,+0.15%,1300
09/30/2022,10.145,10.145,10.145,10.145,0.015,+0.15%,100
09/28/2022,10.13,10.13,10.13,10.13,0.01,+0.10%,1500
09/27/2022,10.15,10.15,10.12,10.12,0,0.00%,3100
09/26/2022,10.12,10.12,10.11,10.12,-0.02,-0.20%,26800
09/22/2022,10.14,10.14,10.14,10.14,0.01,+0.10%,200
09/21/2022,10.13,10.13,10.13,10.13,0.005,+0.05%,20200
09/20/2022,10.13,10.13,10.11,10.125,0.005,+0.05%,1285000
09/19/2022,10.12,10.12,10.12,10.12,0,0.00%,5400
09/16/2022,10.12,10.12,10.12,10.12,0,0.00%,12000
09/15/2022,10.12,10.12,10.12,10.12,0,0.00%,2700
09/14/2022,10.11,10.13,10.11,10.12,0,0.00%,363800
09/13/2022,10.11,10.125,10.11,10.12,0,0.00%,5300
09/12/2022,10.13,10.13,10.12,10.12,0,0.00%,41500
09/09/2022,10.115,10.12,10.115,10.12,0,0.00%,128700
09/08/2022,10.11,10.13,10.11,10.12,0.01,+0.10%,41300
09/07/2022,10.1,10.11,10.1,10.11,0.01,+0.10%,7300
09/01/2022,10.1,10.1,10.1,10.1,0,0.00%,500
08/31/2022,10.1,10.11,10.09,10.1,0.01,+0.10%,56100
08/30/2022,10.09,10.1,10.09,10.09,-0.01,-0.10%,700
08/25/2022,10.1,10.1,10.1,10.1,0.01,+0.10%,104200
08/24/2022,10.09,10.09,10.09,10.09,-0.02,-0.20%,100
08/23/2022,10.085,10.11,10.085,10.11,0.03,+0.30%,6100
08/18/2022,10.08,10.08,10.08,10.08,0.01,+0.10%,500000
08/11/2022,10.1,10.1,10.07,10.07,0,0.00%,62600
08/10/2022,10.06,10.08,10.06,10.07,0,0.00%,251200
08/09/2022,10.07,10.09,10.07,10.07,0,0.00%,17600
08/03/2022,10.07,10.07,10.07,10.07,0.01,+0.10%,2600
08/02/2022,10.07,10.07,10.06,10.06,-0.01,-0.10%,25900
08/01/2022,10.06,10.08,10.06,10.07,-0.005,-0.05%,102100
07/28/2022,10.07,10.075,10.07,10.075,0.005,+0.05%,700
07/27/2022,10.075,10.075,10.07,10.07,0,0.00%,214900
07/26/2022,10.07,10.075,10.06,10.07,0,0.00%,20200
