Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/22/2023,23.4,23.7454,23.135,23.33,0,0.00%,2168300,0
02/21/2023,24.45,24.5,23.1531,23.33,-0.81,-3.36%,3602900,0
02/17/2023,26.39,26.41,23.93,24.14,-2.67,-9.96%,6150000,0
02/16/2023,26.76,27.7,26.24,26.81,-0.58,-2.12%,3937500,0
02/15/2023,25.01,27.4,25.01,27.39,2.28,+9.08%,6907500,0
02/14/2023,24.47,25.355,24.4,25.11,0.44,+1.78%,3198600,0
02/13/2023,24.49,24.855,24.44,24.67,0.22,+0.90%,1888100,0
02/10/2023,24.35,24.585,23.87,24.45,-0.01,-0.04%,1929800,0
02/09/2023,25.05,25.46,24.43,24.46,-0.28,-1.13%,1775200,0
02/08/2023,25.26,25.5399,24.73,24.74,-0.57,-2.25%,1541000,0
02/07/2023,24.96,25.455,24.59,25.31,0.26,+1.04%,2281800,0
02/06/2023,25.81,26.01,24.94,25.05,-0.92,-3.54%,2126000,0
02/03/2023,26.17,26.725,25.87,25.97,-0.76,-2.84%,2106900,0
02/02/2023,26.58,26.91,26.17,26.73,0.63,+2.41%,3617400,0
02/01/2023,25.96,26.56,25.59,26.1,0.18,+0.69%,3573600,0
01/31/2023,25.38,26.3,25.38,25.92,0.61,+2.41%,2605400,0
01/30/2023,25.75,26.65,25.31,25.31,-0.75,-2.88%,3770100,0
01/27/2023,25.49,26.14,25.1101,26.06,0.47,+1.84%,2355200,0
01/26/2023,26.47,26.8775,25.3,25.59,-0.3,-1.16%,2250400,0
01/25/2023,25.05,25.96,24.9385,25.89,0.34,+1.33%,2239300,0
01/24/2023,25,25.61,24.75,25.55,0.28,+1.11%,2656700,0
01/23/2023,24.47,25.27,24.17,25.27,0.96,+3.95%,2871300,0
01/20/2023,23.81,24.51,23.49,24.31,0.86,+3.67%,2462100,0
01/19/2023,23.68,23.68,22.52,23.45,-0.67,-2.78%,4955200,0
01/18/2023,24.4,24.64,23.945,24.12,0.05,+0.21%,3707100,0
01/17/2023,23.8,24.2199,23.7,24.07,0.27,+1.13%,3363900,0
01/13/2023,23.35,23.83,22.82,23.8,0.07,+0.29%,4369100,0
01/12/2023,23,23.78,22.6,23.73,0.9,+3.94%,5743400,0
01/11/2023,21.72,23.09,21.7,22.83,2.06,+9.92%,5680400,0
01/10/2023,20.89,21.1483,20.38,20.77,0.02,+0.10%,3410100,0
01/09/2023,20.08,21.045,19.91,20.75,1.2,+6.14%,5897900,0
01/06/2023,19.27,19.82,18.8233,19.55,0.58,+3.06%,3790300,0
01/05/2023,19.47,19.675,18.885,18.97,-0.55,-2.82%,2537200,0
01/04/2023,19.4,19.695,18.91,19.52,0.54,+2.85%,3420700,0
01/03/2023,20.15,20.3,18.26,18.98,-0.89,-4.48%,5696300,0
12/30/2022,19.52,20.08,19.41,19.87,0.07,+0.35%,3785000,0
12/29/2022,19.79,20.07,19.5,19.8,0.28,+1.43%,3721600,0
12/28/2022,19.85,20.06,19.36,19.52,-0.42,-2.11%,3166300,0
12/27/2022,20.55,20.83,19.835,19.94,-0.82,-3.95%,3335600,0
12/23/2022,20.51,20.77,20.245,20.76,0.11,+0.53%,2097000,0
12/22/2022,20.63,20.7,20.25,20.65,-0.25,-1.20%,3709500,0
12/21/2022,21.33,21.46,20.61,20.9,-0.22,-1.04%,3343100,0
12/20/2022,21.08,21.8,20.85,21.12,-0.06,-0.28%,2864300,0
12/19/2022,22.15,22.15,20.96,21.18,-1.06,-4.77%,3011800,0
12/16/2022,22.23,22.68,22.02,22.24,-0.18,-0.80%,5041400,0
12/15/2022,23.13,23.48,22.31,22.42,-1.16,-4.92%,4772000,0
12/14/2022,24.12,24.615,23.26,23.58,-0.75,-3.08%,4058400,0
12/13/2022,24.92,24.99,23.76,24.33,0.4,+1.67%,5173900,0
12/12/2022,23.77,24.39,23.15,23.93,0.13,+0.55%,3542400,0
12/09/2022,24.3,24.54,23.76,23.8,-0.51,-2.10%,3610000,0
12/08/2022,25.4,25.62,23.775,24.31,-0.87,-3.46%,6105900,0
12/07/2022,25.25,25.93,25.13,25.18,-0.09,-0.36%,2517200,0
12/06/2022,26.45,26.53,24.87,25.27,-1,-3.81%,4388200,0
12/05/2022,27.72,27.85,26.21,26.27,-1.73,-6.18%,3760400,0
12/02/2022,26.74,28,26.4,28,1.07,+3.97%,2896200,0
12/01/2022,28.15,28.7,26.88,26.93,-1.06,-3.79%,3285100,0
11/30/2022,27.09,27.99,26.6,27.99,1.15,+4.28%,3425100,0
11/29/2022,26.48,27.37,26.25,26.84,0.5,+1.90%,2873700,0
11/28/2022,26.41,26.9,26.28,26.34,-0.56,-2.08%,3374700,0
11/25/2022,28.78,28.78,26.09,26.9,-2.6,-8.81%,5625200,0
11/23/2022,28.81,29.71,28.72,29.5,0.56,+1.94%,1559500,0
11/22/2022,28.96,29.27,28.44,28.94,0.24,+0.84%,2211200,0
11/21/2022,28.6,28.76,27.635,28.7,-0.07,-0.24%,2745600,0
11/18/2022,28.77,29.35,28.15,28.77,0.64,+2.28%,3951300,0
11/17/2022,28.45,28.49,27.36,28.13,-0.9,-3.10%,4223700,0
11/16/2022,29.78,29.92,28.75,29.03,-0.99,-3.30%,2999900,0
11/15/2022,31,31.3,28.9,30.02,-2.2,-6.83%,6760900,0
11/14/2022,33.3,33.66,32.16,32.22,-1.4,-4.16%,2980900,0
11/11/2022,33.83,35.81,33.3,33.62,0.48,+1.45%,3734000,0
11/10/2022,31.87,33.2,31.085,33.14,2.65,+8.69%,2745300,0
11/09/2022,31.64,32.4989,30.35,30.49,-1.72,-5.34%,2580600,0
11/08/2022,30.9,32.6699,30.33,32.21,1.84,+6.06%,3138900,0
11/07/2022,30.5,30.61,29.4,30.37,0.12,+0.40%,2166000,0
11/04/2022,30.39,30.95,29.175,30.25,0.85,+2.89%,3072700,0
11/03/2022,27.92,30.97,27.61,29.4,0.97,+3.41%,4592400,0
11/02/2022,29.99,30.95,27.87,28.43,-2.9,-9.26%,6241300,0
11/01/2022,32.55,32.88,31.14,31.33,-0.24,-0.76%,4512400,0
10/31/2022,31.11,31.66,30.785,31.57,0.3,+0.96%,3218500,0
10/28/2022,30.91,31.43,30.06,31.27,0.29,+0.94%,2134100,0
10/27/2022,31.77,32.1325,30.63,30.98,-0.37,-1.18%,3033500,0
10/26/2022,31.49,32.22,31.08,31.35,0.05,+0.16%,2655400,0
10/25/2022,30.36,31.7,30.27,31.3,1.09,+3.61%,2084100,0
10/24/2022,30.56,30.97,29.07,30.21,-0.21,-0.69%,2551100,0
10/21/2022,28.48,30.75,28,30.42,2.24,+7.95%,3027000,0
10/20/2022,28.49,29.42,27.93,28.18,-0.24,-0.84%,2389400,0
