Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/31/2023,2.56,2.83,2.5415,2.75,0.16,+6.18%,64000,0
03/30/2023,2.5499,2.5999,2.5,2.59,0.04,+1.57%,44300,0
03/29/2023,2.35,2.61,2.35,2.55,0.22,+9.44%,70500,0
03/28/2023,2.3,2.59,2.215,2.33,-0.08,-3.32%,143000,0
03/27/2023,2.4199,2.58,2.33,2.41,0.01,+0.42%,39100,0
03/24/2023,2.27,2.43,2.27,2.4,0.03,+1.27%,14200,0
03/23/2023,2.3,2.43,2.25,2.37,0.06,+2.60%,28100,0
03/22/2023,2.313,2.3916,2.3,2.31,-0.03,-1.28%,16000,0
03/21/2023,2.25,2.4299,2.25,2.34,-0.03,-1.27%,9400,0
03/20/2023,2.45,2.45,2.34,2.37,-0.08,-3.27%,24000,0
03/17/2023,2.59,2.59,2.4,2.45,-0.13,-5.04%,30400,0
03/16/2023,2.64,2.7294,2.57,2.58,-0.09,-3.37%,27300,0
03/15/2023,2.67,2.8399,2.6587,2.67,-0.08,-2.91%,5500,0
03/14/2023,2.8,2.84,2.75,2.75,0.01,+0.36%,6600,0
03/13/2023,2.74,2.8899,2.6901,2.74,0.0292,+1.08%,9100,0
03/10/2023,2.97,3.047,2.7,2.7108,-0.3192,-10.53%,79200,0
03/09/2023,2.97,3.1499,2.84,3.03,0.04,+1.34%,106000,0
03/08/2023,2.97,3.04,2.7601,2.99,0.06,+2.05%,58400,0
03/07/2023,3.05,3.18,2.68,2.93,-0.12,-3.93%,96400,0
03/06/2023,2.64,3.18,2.596,3.05,0.505,+19.84%,418300,0
03/03/2023,2.5701,2.5701,2.53,2.545,0.025,+0.99%,19400,0
03/02/2023,2.44,2.575,2.44,2.52,-0.06,-2.33%,32400,0
03/01/2023,2.4893,2.59,2.4893,2.58,0.085,+3.41%,23600,0
02/28/2023,2.53,2.53,2.46,2.495,-0.0049,-0.20%,6600,0
02/27/2023,2.5,2.54,2.45,2.4999,-0.0501,-1.96%,13300,0
02/24/2023,2.52,2.6,2.47,2.55,0.02,+0.79%,9100,0
02/23/2023,2.56,2.59,2.51,2.53,-0.02,-0.78%,18700,0
02/22/2023,2.56,2.62,2.47,2.55,0.07,+2.82%,19300,0
02/21/2023,2.39,2.5699,2.39,2.48,0.03,+1.22%,93500,0
02/17/2023,2.75,2.75,2.45,2.45,-0.3,-10.91%,125200,0
02/16/2023,2.63,2.78,2.44,2.75,0.1,+3.77%,58400,0
02/15/2023,2.56,2.7465,2.38,2.65,0.1,+3.92%,155300,0
02/14/2023,2.46,2.56,2.3456,2.55,0.08,+3.24%,145300,0
02/13/2023,1.9,2.5,1.9,2.47,0.62,+33.51%,629800,0
02/10/2023,1.83,1.88,1.77,1.85,0.05,+2.78%,103800,0
02/09/2023,1.83,1.88,1.78,1.8,0.01,+0.56%,75400,0
02/08/2023,1.69,1.84,1.68,1.79,0.17,+10.49%,151900,0
02/07/2023,1.66,1.67,1.62,1.62,-0.0542,-3.24%,11000,0
02/06/2023,1.6826,1.6826,1.63,1.6742,0.0542,+3.35%,4400,0
02/03/2023,1.62,1.6999,1.61,1.62,-0.07,-4.14%,32500,0
02/02/2023,1.7108,1.7108,1.62,1.69,0.02,+1.20%,14000,0
02/01/2023,1.6201,1.72,1.6201,1.67,-0.05,-2.91%,7800,0
01/31/2023,1.61,1.7399,1.6,1.72,0.04,+2.38%,30500,0
01/30/2023,1.68,1.7,1.68,1.68,-0.03,-1.75%,22300,0
01/27/2023,1.7,1.74,1.67,1.71,0.06,+3.64%,43200,0
01/26/2023,1.5901,1.6899,1.55,1.65,0.01,+0.61%,587100,0
01/25/2023,1.66,1.7,1.58,1.64,-0.08,-4.65%,37300,0
01/24/2023,1.65,1.72,1.64,1.72,-0.02,-1.15%,34600,0
01/23/2023,1.66,1.74,1.64,1.74,0.09,+5.45%,34800,0
01/20/2023,1.65,1.74,1.63,1.65,-0.0486,-2.86%,53300,0
01/19/2023,1.67,1.7399,1.62,1.6986,-0.0252,-1.46%,45200,0
01/18/2023,1.69,1.78,1.67,1.7238,-0.0212,-1.21%,43900,0
01/17/2023,1.67,1.7499,1.635,1.745,0.005,+0.29%,64700,0
01/13/2023,1.85,1.85,1.67,1.74,0,0.00%,16200,0
01/12/2023,1.75,1.86,1.68,1.74,-0.0599,-3.33%,35200,0
01/11/2023,1.77,1.88,1.67,1.7999,0.03,+1.70%,71700,0
01/10/2023,1.68,1.79,1.67,1.7699,0.0129,+0.73%,30100,0
01/09/2023,1.8,1.8,1.68,1.757,0.047,+2.75%,26300,0
01/06/2023,1.68,1.83,1.66,1.71,0.01,+0.59%,27100,0
