Time,Open,High,Low,Last,Change,%Chg,Volume
03/31/2023,10.43,10.43,10.43,10.43,0.01,+0.10%,10900
03/28/2023,10.4101,10.425,10.4101,10.42,0.01,+0.10%,10500
03/24/2023,10.41,10.42,10.41,10.41,-0.03,-0.29%,73300
03/23/2023,10.44,10.44,10.44,10.44,0.02,+0.19%,100
03/22/2023,10.42,10.42,10.42,10.42,0.01,+0.10%,100
03/14/2023,10.38,10.41,10.38,10.41,0.02,+0.19%,40800
03/13/2023,10.38,10.395,10.38,10.39,0,0.00%,113700
03/10/2023,10.39,10.39,10.39,10.39,-0.005,-0.05%,100
03/09/2023,10.395,10.4,10.395,10.395,-0.005,-0.05%,103700
03/08/2023,10.4,10.41,10.4,10.4,0,0.00%,14200
03/07/2023,10.4,10.4,10.39,10.4,0.01,+0.10%,35600
03/06/2023,10.4,10.85,10.39,10.39,0,0.00%,20400
03/02/2023,10.39,10.39,10.39,10.39,0,0.00%,234500
03/01/2023,10.4,10.4,10.39,10.39,0.02,+0.19%,3000
02/28/2023,10.39,10.39,10.37,10.37,-0.02,-0.19%,14300
02/27/2023,10.39,10.4,10.39,10.39,0,0.00%,442400
02/24/2023,10.38,10.39,10.38,10.39,0.04,+0.39%,200
02/21/2023,10.35,10.35,10.35,10.35,0,0.00%,200
02/15/2023,10.35,10.355,10.35,10.35,-0.01,-0.10%,526500
02/14/2023,10.35,10.36,10.35,10.36,0.02,+0.19%,2000
02/13/2023,10.34,10.34,10.33,10.34,0.01,+0.10%,6800
02/10/2023,10.33,10.335,10.33,10.33,0,0.00%,1800
02/09/2023,10.33,10.33,10.33,10.33,0,0.00%,100
02/06/2023,10.32,10.33,10.32,10.33,0,0.00%,600
02/03/2023,10.33,10.33,10.33,10.33,0,0.00%,700
02/02/2023,10.33,10.33,10.33,10.33,0.01,+0.10%,100
01/31/2023,10.32,10.34,10.32,10.32,-0.005,-0.05%,136600
01/30/2023,10.32,10.325,10.32,10.325,0.005,+0.05%,2700
01/27/2023,10.32,10.32,10.31,10.32,0,0.00%,19700
01/26/2023,10.31,10.32,10.31,10.32,0.01,+0.10%,4900
01/25/2023,10.28,10.315,10.28,10.31,0.01,+0.10%,14600
01/24/2023,10.31,10.31,10.3,10.3,-0.005,-0.05%,50100
01/23/2023,10.31,10.31,10.3,10.305,-0.025,-0.24%,6200
01/17/2023,10.29,10.33,10.29,10.33,0.04,+0.39%,10200
01/12/2023,10.29,10.29,10.29,10.29,-0.005,-0.05%,53500
01/11/2023,10.29,10.3,10.29,10.295,0.015,+0.15%,42900
01/10/2023,10.27,10.28,10.27,10.28,0.01,+0.10%,6000
01/06/2023,10.27,10.27,10.27,10.27,0.04,+0.39%,6800
