Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/10/2023,88.84,89.28,88.31,88.66,-0.14,-0.16%,288300,0
02/09/2023,90.22,90.9919,88.59,88.8,-0.83,-0.93%,491900,0
02/08/2023,90.99,92.43,89.44,89.63,-1.87,-2.04%,291400,0
02/07/2023,89.03,91.55,89.03,91.5,1.7,+1.89%,398600,0
02/06/2023,89.95,90.36,88.337,89.8,-1.02,-1.12%,344700,0
02/03/2023,90.6,91.933,90.135,90.82,-0.15,-0.16%,350400,0
02/02/2023,89.35,91.18,89.335,90.97,1.99,+2.24%,347600,0
02/01/2023,87.57,89.65,86.03,88.98,1.82,+2.09%,402000,0
01/31/2023,88.34,89.25,84.98,87.16,0.26,+0.30%,486200,0
01/30/2023,86.52,87.5,86.52,86.9,-0.3,-0.34%,371800,0
01/27/2023,86.8,88.4,86.23,87.2,-1.06,-1.20%,369500,0
01/26/2023,87.29,88.3,87,88.26,-0.35,-0.39%,199000,0
01/25/2023,87.75,88.84,87.29,88.61,0.08,+0.09%,210600,0
01/24/2023,87.99,88.83,87.75,88.53,0.09,+0.10%,211800,0
01/23/2023,88.67,89.84,88.17,88.44,-0.28,-0.32%,262600,0
01/20/2023,87.21,88.82,86.59,88.72,2.02,+2.33%,313600,0
01/19/2023,85.93,87.18,85.48,86.7,0.32,+0.37%,257600,0
01/18/2023,86.46,87.58,86.01,86.38,0.28,+0.33%,379400,0
01/17/2023,87,87.82,86.06,86.1,-1.38,-1.58%,264700,0
01/13/2023,86.29,87.89,85.78,87.48,0.57,+0.66%,209200,0
01/12/2023,86.47,87.44,85.93,86.91,0.56,+0.65%,224700,0
01/11/2023,86.83,87.69,86.35,86.35,0.03,+0.03%,176000,0
01/10/2023,86.64,87.48,85.37,86.32,-0.94,-1.08%,410000,0
01/09/2023,89.42,89.9,87.22,87.26,-1.99,-2.23%,420500,0
01/06/2023,87.69,90.11,86.97,89.25,2.7,+3.12%,285600,0
01/05/2023,84.86,86.68,83.77,86.55,1.07,+1.25%,332300,0
01/04/2023,85.19,85.76,84.65,85.48,1.24,+1.47%,187000,0
01/03/2023,84.3,84.65,83.28,84.24,1.03,+1.24%,335700,0
12/30/2022,82.56,83.33,82.13,83.21,-0.26,-0.31%,258400,0
12/29/2022,82.31,83.97,82.31,83.47,1.73,+2.12%,114200,0
12/28/2022,83.69,84.04,81.74,81.74,-1.91,-2.28%,183700,0
12/27/2022,83.72,84.49,83.3,83.65,-0.13,-0.16%,133200,0
12/23/2022,82.04,83.97,81.83,83.78,1.55,+1.88%,146300,0
12/22/2022,82.02,82.48,81.24,82.23,-0.7,-0.84%,263300,0
12/21/2022,82.87,83.51,82.76,82.93,1.04,+1.27%,285100,0
12/20/2022,81.32,82.005,80.405,81.89,0.55,+0.68%,459000,0
12/19/2022,83.76,84.32,80.6,81.34,-1.86,-2.24%,458100,0
