Time,Open,High,Low,Last,Change,%Chg,Volume
03/31/2023,10.61,10.66,10.61,10.64,-0.002,-0.02%,13700
03/30/2023,10.625,10.6464,10.625,10.642,0.016,+0.15%,1300
03/29/2023,10.62,10.63,10.618,10.626,-0.004,-0.04%,7000
03/28/2023,10.63,10.63,10.6284,10.63,0,0.00%,1000
03/27/2023,10.62,10.63,10.61,10.63,0,0.00%,8500
03/24/2023,10.625,10.63,10.6182,10.63,0.01,+0.09%,5400
03/23/2023,10.62,10.63,10.62,10.62,-0.01,-0.09%,10300
03/21/2023,10.62,10.63,10.62,10.63,0.02,+0.19%,1500
03/20/2023,10.62,10.62,10.61,10.61,0.01,+0.09%,400
03/14/2023,10.59,10.6,10.59,10.6,0.0001,0.00%,20900
03/13/2023,10.59,10.6,10.59,10.5999,0.0199,+0.19%,12600
03/10/2023,10.58,10.58,10.58,10.58,-0.01,-0.09%,200
03/07/2023,10.59,10.59,10.59,10.59,0,0.00%,400
03/06/2023,10.58,10.59,10.58,10.59,0.01,+0.09%,9900
03/01/2023,10.585,10.585,10.58,10.58,-0.01,-0.09%,2900
02/28/2023,10.59,10.6,10.59,10.59,-0.0097,-0.09%,14300
02/27/2023,10.6,10.6097,10.5997,10.5997,0.0196,+0.19%,4500
02/24/2023,10.5801,10.5801,10.5801,10.5801,0.0001,0.00%,100
02/23/2023,10.57,10.58,10.57,10.58,0.01,+0.09%,300
02/14/2023,10.57,10.57,10.57,10.57,0.019,+0.18%,5800
02/13/2023,10.56,10.56,10.551,10.551,-0.009,-0.09%,500
02/10/2023,10.56,10.5606,10.5599,10.56,0.01,+0.09%,2200
02/06/2023,10.54,10.55,10.54,10.55,0.012,+0.11%,20000
02/03/2023,10.55,10.55,10.538,10.538,-0.002,-0.02%,500
02/02/2023,10.53,10.54,10.53,10.54,0,0.00%,3700
01/30/2023,10.53,10.55,10.53,10.54,0.01,+0.09%,219300
01/27/2023,10.53,10.53,10.53,10.53,-0.02,-0.19%,600
01/26/2023,10.54,10.55,10.54,10.55,0.05,+0.48%,2555
01/24/2023,10.5,10.5,10.5,10.5,0.05,+0.48%,200
01/23/2023,10.45,10.45,10.45,10.45,0,0.00%,1200
01/17/2023,10.45,10.45,10.45,10.45,-0.02,-0.19%,200
01/13/2023,10.47,10.47,10.47,10.47,0,0.00%,5800
01/12/2023,10.47,10.4992,10.47,10.47,0.02,+0.19%,1700
01/10/2023,10.45,10.45,10.45,10.45,0.01,+0.10%,400
01/06/2023,10.42,10.44,10.42,10.44,0.0199,+0.19%,15700
01/05/2023,10.44,10.44,10.42,10.4201,0.0001,0.00%,1000
01/04/2023,10.42,10.42,10.42,10.42,0,0.00%,500
01/03/2023,10.4201,10.4201,10.41,10.42,0,0.00%,600
12/30/2022,10.4,10.42,10.4,10.42,-0.2,-1.88%,600
12/29/2022,10.56,10.62,10.41,10.62,0.22,+2.12%,400
12/28/2022,10.4,10.4,10.4,10.4,0,0.00%,300
12/27/2022,10.4,10.4,10.4,10.4,0,0.00%,300
12/22/2022,10.42,10.42,10.4,10.4,-0.22,-2.07%,500
12/21/2022,10.62,10.62,10.62,10.62,0.21,+2.02%,100
12/20/2022,10.41,10.41,10.41,10.41,-0.16,-1.51%,200
12/16/2022,10.4,10.57,10.4,10.57,0.15,+1.44%,300
12/15/2022,10.42,10.43,10.42,10.42,-0.03,-0.29%,400
12/14/2022,10.45,10.45,10.45,10.45,-0.07,-0.67%,20000
12/13/2022,10.43,10.52,10.41,10.52,-0.1,-0.94%,600
12/08/2022,10.62,10.62,10.62,10.62,0.07,+0.66%,200
12/06/2022,10.55,10.55,10.55,10.55,-0.03,-0.28%,100
11/29/2022,10.58,10.58,10.58,10.58,-0.07,-0.66%,100
11/28/2022,10.44,10.65,10.4028,10.65,0.25,+2.40%,1300
11/23/2022,10.4125,10.4125,10.4,10.4,0,0.00%,600
11/22/2022,10.4,10.4,10.4,10.4,-0.05,-0.48%,200
11/21/2022,10.45,10.45,10.45,10.45,0.025,+0.24%,800
11/17/2022,10.425,10.425,10.425,10.425,-0.025,-0.24%,400
11/16/2022,10.425,10.45,10.425,10.45,0.05,+0.48%,400
11/15/2022,10.45,10.45,10.4,10.4,-0.05,-0.48%,2300
11/14/2022,10.45,10.45,10.4,10.45,0.03,+0.29%,5500
11/11/2022,10.42,10.42,10.42,10.42,0,0.00%,95000
11/10/2022,10.4,10.42,10.4,10.42,-0.03,-0.29%,600
11/09/2022,10.35,10.45,10.35,10.45,0.06,+0.58%,3900
11/08/2022,10.34,10.39,10.34,10.39,0.06,+0.58%,900
11/07/2022,10.32,10.33,10.32,10.33,-0.04,-0.39%,500
11/04/2022,10.31,10.37,10.31,10.37,-0.01,-0.10%,1700
11/03/2022,10.45,10.45,10.36,10.38,0,0.00%,5300
11/02/2022,10.39,10.39,10.38,10.38,0.01,+0.10%,6500
11/01/2022,10.39,10.39,10.37,10.37,0,0.00%,1300
10/31/2022,10.37,10.38,10.37,10.37,0.02,+0.19%,7300
10/28/2022,10.34,10.36,10.34,10.35,-0.03,-0.29%,900
10/27/2022,10.38,10.385,10.37,10.38,0,0.00%,10100
10/26/2022,10.37,10.38,10.37,10.38,0,0.00%,8800
10/25/2022,10.37,10.38,10.37,10.38,0.01,+0.10%,32900
10/24/2022,10.37,10.37,10.37,10.37,0.02,+0.19%,100
10/20/2022,10.355,10.355,10.35,10.35,0.005,+0.05%,312900
10/19/2022,10.35,10.35,10.34,10.345,-0.005,-0.05%,284800
10/17/2022,10.35,10.35,10.35,10.35,0,0.00%,4800
10/14/2022,10.35,10.35,10.35,10.35,0.01,+0.10%,1300
10/13/2022,10.35,10.35,10.34,10.34,-0.0131,-0.13%,16700
10/11/2022,10.36,10.36,10.35,10.3531,-0.0069,-0.07%,14700
10/10/2022,10.36,10.37,10.36,10.36,0,0.00%,12000
10/07/2022,10.35,10.36,10.35,10.36,0,0.00%,300
10/06/2022,10.35,10.36,10.35,10.36,0.01,+0.10%,7300
10/05/2022,10.35,10.3533,10.33,10.35,0.005,+0.05%,23200
10/04/2022,10.35,10.35,10.345,10.345,-0.005,-0.05%,14100
10/03/2022,10.35,10.35,10.33,10.35,0.01,+0.10%,3300
09/28/2022,10.34,10.34,10.34,10.34,0.01,+0.10%,200
09/27/2022,10.34,10.34,10.33,10.33,-0.01,-0.10%,600
09/26/2022,10.34,10.34,10.34,10.34,0.01,+0.10%,9700
09/23/2022,10.33,10.33,10.33,10.33,-0.005,-0.05%,2000
09/22/2022,10.33,10.335,10.33,10.335,0.005,+0.05%,5100
09/21/2022,10.33,10.34,10.33,10.33,0,0.00%,56100
09/20/2022,10.325,10.33,10.325,10.33,0.01,+0.10%,44500
09/13/2022,10.31,10.32,10.31,10.32,0.005,+0.05%,1600
09/12/2022,10.315,10.315,10.315,10.315,0.005,+0.05%,200
09/09/2022,10.3,10.31,10.3,10.31,0.01,+0.10%,8800
09/08/2022,10.295,10.3,10.295,10.3,0.01,+0.10%,500
09/07/2022,10.29,10.29,10.29,10.29,-0.01,-0.10%,300
09/01/2022,10.3,10.3,10.3,10.3,0.005,+0.05%,2300
08/31/2022,10.29,10.295,10.29,10.295,0.005,+0.05%,6300
08/30/2022,10.3,10.3,10.29,10.29,-0.01,-0.10%,9000
08/29/2022,10.3,10.3,10.3,10.3,0.01,+0.10%,8600
08/25/2022,10.3,10.3,10.29,10.29,0.01,+0.10%,1000
08/24/2022,10.29,10.29,10.28,10.28,-0.03,-0.29%,75000
08/23/2022,10.31,10.31,10.31,10.31,0.01,+0.10%,100
08/19/2022,10.2999,10.3,10.2999,10.3,0.015,+0.15%,700
08/11/2022,10.28,10.29,10.28,10.285,-0.005,-0.05%,19400
08/10/2022,10.29,10.29,10.29,10.29,0.01,+0.10%,1200
08/09/2022,10.27,10.285,10.27,10.28,0.0099,+0.10%,1856300
08/05/2022,10.27,10.2733,10.27,10.2701,0.0001,0.00%,4100
08/04/2022,10.27,10.275,10.27,10.27,0,0.00%,26500
07/29/2022,10.27,10.27,10.27,10.27,0,0.00%,1500
07/28/2022,10.26,10.27,10.25,10.27,0.022,+0.21%,240900
07/26/2022,10.248,10.248,10.248,10.248,-0.007,-0.07%,100
07/25/2022,10.255,10.255,10.255,10.255,0.005,+0.05%,100
07/22/2022,10.25,10.25,10.25,10.25,0,0.00%,100
07/20/2022,10.25,10.25,10.25,10.25,0,0.00%,200
07/19/2022,10.245,10.26,10.245,10.25,0.01,+0.10%,19900
07/18/2022,10.2393,10.24,10.2393,10.24,0.01,+0.10%,3300
07/14/2022,10.23,10.23,10.23,10.23,0,0.00%,900
07/13/2022,10.23,10.23,10.221,10.23,-0.01,-0.10%,57700
07/12/2022,10.235,10.24,10.235,10.24,0.02,+0.20%,16400
07/11/2022,10.22,10.22,10.22,10.22,0.01,+0.10%,23200
07/07/2022,10.21,10.21,10.21,10.21,-0.01,-0.10%,100
07/05/2022,10.22,10.22,10.22,10.22,0,0.00%,2300
06/30/2022,10.21,10.2201,10.21,10.22,-0.01,-0.10%,5900
06/28/2022,10.23,10.23,10.23,10.23,0.004,+0.04%,100
06/27/2022,10.2,10.23,10.2,10.226,0.006,+0.06%,4400
06/24/2022,10.2,10.22,10.2,10.22,0.01,+0.10%,12000
06/23/2022,10.21,10.21,10.21,10.21,0,0.00%,5900
06/22/2022,10.21,10.21,10.2,10.21,0.01,+0.10%,20100
06/21/2022,10.2,10.2,10.2,10.2,0.01,+0.10%,2400
06/17/2022,10.2,10.2,10.19,10.19,0,0.00%,1400
06/16/2022,10.205,10.205,10.19,10.19,0,0.00%,2300
06/15/2022,10.205,10.205,10.19,10.19,0,0.00%,9700
06/14/2022,10.205,10.205,10.19,10.19,0,0.00%,7500
06/13/2022,10.19,10.205,10.19,10.19,0,0.00%,1200
06/10/2022,10.19,10.19,10.19,10.19,-0.02,-0.20%,500
06/09/2022,10.19,10.21,10.19,10.21,0.025,+0.25%,700
06/02/2022,10.189,10.189,10.18,10.185,0.005,+0.05%,400
06/01/2022,10.18,10.18,10.18,10.18,0,0.00%,38100
05/31/2022,10.18,10.1832,10.17,10.18,-0.005,-0.05%,13600
05/27/2022,10.19,10.19,10.18,10.185,0,0.00%,53400
05/26/2022,10.185,10.19,10.185,10.185,0.005,+0.05%,122200
05/25/2022,10.19,10.19,10.18,10.18,0,0.00%,16000
05/24/2022,10.17,10.18,10.17,10.18,0.01,+0.10%,16100
05/23/2022,10.17,10.1701,10.17,10.17,-0.01,-0.10%,1900
05/18/2022,10.16,10.18,10.16,10.18,0.02,+0.20%,7100
05/17/2022,10.16,10.16,10.16,10.16,0,0.00%,100
05/13/2022,10.18,10.18,10.16,10.16,0,0.00%,1100
05/12/2022,10.17,10.18,10.15,10.16,0,0.00%,391500
05/11/2022,10.17,10.17,10.16,10.16,-0.01,-0.10%,3300
05/10/2022,10.17,10.175,10.17,10.17,0,0.00%,12900
05/09/2022,10.17,10.175,10.16,10.17,0,0.00%,33300
05/06/2022,10.19,10.19,10.17,10.17,-0.01,-0.10%,35000
05/05/2022,10.17,10.19,10.17,10.18,0.02,+0.20%,131700
05/04/2022,10.16,10.17,10.16,10.16,0.01,+0.10%,19100
05/03/2022,10.15,10.1501,10.15,10.15,0,0.00%,173500
05/02/2022,10.15,10.15,10.15,10.15,0,0.00%,190400
04/29/2022,10.15,10.16,10.15,10.15,0,0.00%,102000
04/28/2022,10.16,10.16,10.15,10.15,0,0.00%,107500
04/27/2022,10.15,10.15,10.15,10.15,-0.005,-0.05%,110700
04/26/2022,10.15,10.155,10.15,10.155,0.005,+0.05%,58400
04/25/2022,10.15,10.16,10.14,10.15,0,0.00%,51000
04/22/2022,10.16,10.165,10.14,10.15,0,0.00%,1100
04/21/2022,10.15,10.15,10.15,10.15,0.005,+0.05%,1500
04/20/2022,10.1403,10.15,10.14,10.145,0.0001,0.00%,141100
04/19/2022,10.1449,10.1449,10.1449,10.1449,-0.0051,-0.05%,5100
04/18/2022,10.15,10.15,10.145,10.15,0,0.00%,900
04/14/2022,10.15,10.15,10.15,10.15,0.01,+0.10%,400
04/12/2022,10.1401,10.1401,10.14,10.14,-0.005,-0.05%,900
04/11/2022,10.15,10.15,10.145,10.145,0.005,+0.05%,11500
04/07/2022,10.14,10.15,10.14,10.14,0.005,+0.05%,11500
04/06/2022,10.13,10.135,10.13,10.135,-0.005,-0.05%,2400
04/04/2022,10.13,10.14,10.13,10.14,0.01,+0.10%,10400
03/31/2022,10.13,10.13,10.13,10.13,0,0.00%,61000
03/30/2022,10.12,10.13,10.12,10.13,0,0.00%,310400
03/29/2022,10.13,10.14,10.12,10.13,0.01,+0.10%,256100
03/28/2022,10.12,10.12,10.12,10.12,0,0.00%,112100
03/24/2022,10.12,10.125,10.11,10.12,0,0.00%,400300
03/23/2022,10.11,10.13,10.11,10.12,0.01,+0.10%,378500
03/22/2022,10.11,10.11,10.11,10.11,-0.01,-0.10%,1000
03/21/2022,10.11,10.12,10.11,10.12,0.01,+0.10%,300
03/18/2022,10.11,10.12,10.11,10.11,0,0.00%,296500
03/17/2022,10.11,10.11,10.11,10.11,0,0.00%,600
03/16/2022,10.15,10.15,10.11,10.11,0.01,+0.10%,1700
03/15/2022,10.1,10.1,10.1,10.1,0,0.00%,200
03/14/2022,10.12,10.12,10.1,10.1,-0.04,-0.39%,5000
03/11/2022,10.14,10.14,10.14,10.14,0.03,+0.30%,500
03/10/2022,10.11,10.11,10.1,10.11,-0.01,-0.10%,6500
03/09/2022,10.11,10.12,10.09,10.12,0.03,+0.30%,1500
03/08/2022,10.09,10.09,10.09,10.09,-0.01,-0.10%,600
03/07/2022,10.1,10.1,10.09,10.1,0,0.00%,526600
03/04/2022,10.095,10.1,10.095,10.1,0,0.00%,21200
03/03/2022,10.1,10.1,10.095,10.1,0,0.00%,12500
03/02/2022,10.1,10.1,10.09,10.1,0,0.00%,33600
03/01/2022,10.095,10.1,10.095,10.1,0,0.00%,23400
02/28/2022,10.1,10.1,10.095,10.1,0.01,+0.10%,33900
02/25/2022,10.09,10.09,10.09,10.09,0,0.00%,2000
02/24/2022,10.09,10.09,10.09,10.09,-0.0056,-0.06%,4300
02/23/2022,10.09,10.0956,10.09,10.0956,0.0056,+0.06%,500
02/22/2022,10.08,10.1,10.08,10.09,0.01,+0.10%,2600
02/18/2022,10.09,10.0901,10.08,10.08,-0.01,-0.10%,6000
02/16/2022,10.09,10.0933,10.09,10.09,-0.01,-0.10%,9700
02/14/2022,10.08,10.1,10.08,10.1,0,0.00%,7600
02/11/2022,10.08,10.1,10.08,10.1,0.01,+0.10%,9000
02/10/2022,10.09,10.1,10.08,10.09,0.013,+0.13%,26700
02/09/2022,10.085,10.085,10.07,10.077,0.007,+0.07%,300
02/08/2022,10.07,10.07,10.07,10.07,-0.02,-0.20%,1100
02/07/2022,10.07,10.09,10.07,10.09,0.02,+0.20%,900
02/04/2022,10.07,10.08,10.07,10.07,-0.02,-0.20%,2000
02/03/2022,10.06,10.09,10.06,10.09,0.03,+0.30%,323900
02/02/2022,10.065,10.065,10.0501,10.06,0.01,+0.10%,8800
02/01/2022,10.07,10.08,10.05,10.05,0,0.00%,406700
01/31/2022,10.08,10.08,10.04,10.05,-0.02,-0.20%,900800
01/28/2022,10.07,10.07,10.07,10.07,0.01,+0.10%,300
01/27/2022,10.059,10.07,10.059,10.06,-0.0101,-0.10%,2100
01/26/2022,10.07,10.08,10.06,10.0701,0.0001,0.00%,51100
01/25/2022,10.07,10.08,10.06,10.07,0.0125,+0.12%,17000
01/24/2022,10.05,10.07,10.05,10.0575,-0.0025,-0.02%,1288800
01/21/2022,10.07,10.07,10.04,10.06,0.01,+0.10%,26400
