Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
01/31/2023,20.59,22.015,20.17,21.96,1.33,+6.45%,536900,0
01/30/2023,21.57,22.5,20.6,20.63,-1.55,-6.99%,473200,0
01/27/2023,21.31,22.79,21.05,22.18,0.36,+1.65%,504900,0
01/26/2023,22.59,22.735,21.3,21.82,-0.41,-1.84%,413500,0
01/25/2023,21.8,22.45,21.13,22.23,-0.26,-1.16%,325500,0
01/24/2023,22.77,23.42,22.25,22.49,-0.57,-2.47%,259900,0
01/23/2023,22.2,23.33,21.81,23.06,1.09,+4.96%,683600,0
01/20/2023,22.75,22.75,21.24,21.97,0.13,+0.60%,441800,0
01/19/2023,22.05,22.43,21.13,21.84,-0.39,-1.75%,445100,0
01/18/2023,22.72,23.19,21.6918,22.23,-0.41,-1.81%,438600,0
01/17/2023,22.03,23.01,21.8,22.64,0.25,+1.12%,511900,0
01/13/2023,21.95,22.79,21.51,22.39,0.06,+0.27%,350900,0
01/12/2023,21.27,22.36,21.02,22.33,1.23,+5.83%,464600,0
01/11/2023,19.61,21.42,19.61,21.1,1.76,+9.10%,739900,0
01/10/2023,17.93,19.49,17.5,19.34,1.56,+8.77%,759400,0
01/09/2023,18.26,18.77,17.75,17.78,0.02,+0.11%,321500,0
01/06/2023,17.8,18.29,17.1,17.76,0.04,+0.23%,525600,0
01/05/2023,17.43,17.9,17.12,17.72,0.08,+0.45%,589300,0
01/04/2023,16.2,17.75,15.87,17.64,2.38,+15.60%,743000,0
01/03/2023,16.09,16.71,15.105,15.26,-0.8,-4.98%,614000,0
12/30/2022,14.95,16.15,14.8401,16.06,0.69,+4.49%,803800,0
12/29/2022,15.64,16.47,15.24,15.37,0.04,+0.26%,1007900,0
12/28/2022,16.88,17.08,14.91,15.33,-1.58,-9.34%,1711100,0
12/27/2022,18.01,18.075,16.41,16.91,-1.34,-7.34%,401000,0
12/23/2022,18.33,18.605,17.04,18.25,-0.33,-1.78%,489300,0
12/22/2022,19.56,19.56,18.35,18.58,-1.25,-6.30%,381600,0
12/21/2022,19.9,20.1,18.7,19.83,0.27,+1.38%,397200,0
12/20/2022,20.11,20.45,19.5,19.56,-0.89,-4.35%,189300,0
12/19/2022,21.01,21.115,20.184,20.45,-0.63,-2.99%,274800,0
12/16/2022,21.64,21.95,20.42,21.08,-0.73,-3.35%,661000,0
12/15/2022,22.31,23.75,21.64,21.81,-1.17,-5.09%,480200,0
12/14/2022,21.59,23.35,21.59,22.98,1.37,+6.34%,255100,0
