Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/10/2023,12.49,13.52,12.45,13.5,0.99,+7.91%,398800,0
02/09/2023,13.06,13.18,12.5014,12.51,-0.51,-3.92%,348600,0
02/08/2023,12.88,13.05,12.84,13.02,0.02,+0.15%,250500,0
02/07/2023,13.03,13.17,12.87,13,-0.1,-0.76%,287000,0
02/06/2023,12.99,13.13,12.84,13.1,0.09,+0.69%,489500,0
02/03/2023,13.02,13.09,12.84,13.01,0.02,+0.15%,382900,0
02/02/2023,13.1,13.13,12.79,12.99,-0.05,-0.38%,341300,0
02/01/2023,12.86,13.14,12.78,13.04,0.03,+0.23%,314600,0
01/31/2023,12.79,13.065,12.66,13.01,0.23,+1.80%,233000,0
01/30/2023,13.06,13.12,12.75,12.78,-0.31,-2.37%,208502,0
01/27/2023,13.33,13.505,13.07,13.09,-0.29,-2.17%,310600,0
01/26/2023,13.15,13.39,13.08,13.38,0.28,+2.14%,328255,0
01/25/2023,13.03,13.11,12.93,13.1,-0.04,-0.30%,148500,0
01/24/2023,12.9,13.17,12.895,13.14,0.18,+1.39%,105500,0
01/23/2023,12.87,13.12,12.87,12.96,0.06,+0.47%,197400,0
01/20/2023,12.81,12.9,12.61,12.9,0.25,+1.98%,200400,0
01/19/2023,12.69,12.78,12.5,12.65,-0.17,-1.33%,199200,0
01/18/2023,13.19,13.335,12.82,12.82,-0.4,-3.03%,231700,0
01/17/2023,13.3,13.47,13.09,13.22,-0.06,-0.45%,228400,0
01/13/2023,13.24,13.455,13.215,13.28,-0.06,-0.45%,332100,0
01/12/2023,12.66,13.35,12.66,13.34,0.7,+5.54%,308300,0
01/11/2023,12.5,12.73,12.46,12.64,0.16,+1.28%,213900,0
01/10/2023,12.37,12.57,12.37,12.48,0.03,+0.24%,177000,0
01/09/2023,12.84,12.98,12.44,12.45,-0.25,-1.97%,241600,0
01/06/2023,12.73,12.8,12.51,12.7,0.1,+0.79%,237300,0
01/05/2023,12.87,12.9113,12.57,12.6,-0.34,-2.63%,271000,0
01/04/2023,12.73,13.07,12.65,12.94,0.36,+2.86%,380800,0
01/03/2023,12.98,13.0885,12.5,12.58,-0.27,-2.10%,292700,0
12/30/2022,12.55,12.89,12.45,12.85,0.17,+1.34%,263500,0
12/29/2022,12.74,12.86,12.65,12.68,-0.04,-0.31%,225800,0
12/28/2022,12.51,12.74,12.38,12.72,0.2,+1.60%,205000,0
12/27/2022,12.95,13.125,12.48,12.52,-0.38,-2.95%,349700,0
12/23/2022,12.56,12.92,12.43,12.9,0.36,+2.87%,813900,0
12/22/2022,12.52,12.63,12.26,12.54,-0.11,-0.87%,207000,0
12/21/2022,12.61,12.77,12.57,12.65,0.15,+1.20%,185800,0
12/20/2022,12.42,12.65,12.37,12.5,0.04,+0.32%,244700,0
12/19/2022,11.98,12.55,11.895,12.46,0.46,+3.83%,497600,0
12/16/2022,11.99,12.3,11.95,12,-0.25,-2.04%,654600,0
12/15/2022,12.09,12.34,11.95,12.25,-0.02,-0.16%,212400,0
12/14/2022,12.22,12.48,12.14,12.27,-0.02,-0.16%,313800,0
12/13/2022,12.98,12.98,12.28,12.29,-0.24,-1.92%,374400,0
12/12/2022,12.55,12.825,12.405,12.53,0.08,+0.64%,384300,0
12/09/2022,12.59,12.7,12.15,12.45,-0.15,-1.19%,620400,0
12/08/2022,12.15,13.4,11.99,12.6,0.51,+4.22%,1849700,0
12/07/2022,12.2,12.35,12.0833,12.09,-0.11,-0.90%,144800,0
12/06/2022,12.27,12.35,12.17,12.2,-0.12,-0.97%,170500,0
12/05/2022,12.4,12.45,12.28,12.32,-0.15,-1.20%,178800,0
12/02/2022,12.16,12.68,12.16,12.47,0.11,+0.89%,307900,0
12/01/2022,12.75,12.75,12.26,12.36,-0.35,-2.75%,252900,0
11/30/2022,12.36,12.78,12.22,12.71,0.33,+2.67%,411300,0
11/29/2022,11.85,12.47,11.75,12.38,0.56,+4.74%,524200,0
11/28/2022,11.64,11.98,11.64,11.82,-0.18,-1.50%,658500,0
11/25/2022,11.63,12.03,11.63,12,0.4,+3.45%,152900,0
11/23/2022,11.71,11.77,11.47,11.6,-0.21,-1.78%,293100,0
11/22/2022,11.75,11.955,11.666,11.81,0.11,+0.94%,116900,0
11/21/2022,11.53,11.735,11.52,11.7,0.05,+0.43%,211800,0
11/18/2022,11.96,11.96,11.52,11.65,-0.09,-0.77%,213100,0
11/17/2022,11.52,11.8,11.45,11.74,0.07,+0.60%,222100,0
11/16/2022,11.76,11.8925,11.64,11.67,-0.23,-1.93%,170100,0
11/15/2022,12.15,12.29,11.84,11.9,-0.14,-1.16%,245600,0
11/14/2022,12,12.53,11.98,12.04,0,0.00%,595000,0
11/11/2022,12.69,12.79,12.02,12.04,-0.61,-4.82%,415500,0
11/10/2022,12.09,12.73,12.09,12.65,0.95,+8.12%,416200,0
11/09/2022,11.77,11.92,11.48,11.7,-0.16,-1.35%,464200,0
