Time,Open,High,Low,Last,Change,%Chg,Volume
01/30/2023,25.69,26.16,25.69,26.16,0.24,+0.93%,3066
01/27/2023,25.81,26.06,25.52,25.92,0.12,+0.47%,21500
01/26/2023,25.87,25.95,25.65,25.8,0.13,+0.51%,32500
01/25/2023,25.6,25.86,25.39,25.67,-0.05,-0.19%,55700
01/24/2023,25.88,25.935,25.66,25.72,-0.17,-0.66%,26600
01/23/2023,25.58,26.005,25.58,25.89,0.29,+1.13%,42100
01/20/2023,25.36,25.65,25.17,25.6,0.45,+1.79%,61100
01/19/2023,24.79,25.26,24.61,25.15,0.12,+0.48%,46300
01/18/2023,25.49,25.715,24.92,25.03,-0.45,-1.77%,50300
01/17/2023,25.25,25.67,25.08,25.48,0.11,+0.43%,40300
01/13/2023,24.91,25.39,24.8201,25.37,0.24,+0.96%,59900
01/12/2023,24.92,25.28,24.707,25.13,0.38,+1.54%,47200
01/11/2023,24.73,25.05,24.56,24.75,0.13,+0.53%,59400
01/10/2023,24.42,24.65,24.29,24.62,0.16,+0.65%,35200
01/09/2023,24.78,24.88,24.4,24.46,-0.13,-0.53%,46900
01/06/2023,24.07,24.82,23.94,24.59,0.65,+2.72%,53100
01/05/2023,24.17,24.17,23.86,23.94,-0.36,-1.48%,33002
01/04/2023,24.32,24.61,24.27,24.3,0.18,+0.75%,36400
01/03/2023,24.52,24.66,24.08,24.12,-0.2,-0.82%,52000
12/30/2022,24.11,24.42,24.11,24.32,0.1,+0.41%,40300
12/29/2022,24.16,24.48,24.1,24.22,0.26,+1.09%,37800
12/28/2022,24.45,24.5,23.95,23.96,-0.32,-1.32%,33900
12/27/2022,24.64,24.739,24.1,24.28,-0.26,-1.06%,81400
12/23/2022,24.33,24.64,24.33,24.54,0.15,+0.62%,23500
12/22/2022,24.5,24.5,24.04,24.39,-0.26,-1.05%,64300
12/21/2022,24.19,24.73,24.05,24.65,0.79,+3.31%,128600
12/20/2022,24.03,24.14,23.76,23.86,-0.22,-0.91%,56400
12/19/2022,24.35,24.71,23.83,24.08,-0.34,-1.39%,91800
12/16/2022,24.25,24.48,24,24.42,-0.05,-0.20%,129200
12/15/2022,24.71,24.95,24.35,24.47,-0.38,-1.53%,70400
12/14/2022,24.96,25.31,24.81,24.85,-0.22,-0.88%,58200
12/13/2022,25.47,25.79,24.85,25.07,0.25,+1.01%,51200
12/12/2022,24.93,25.2,24.675,24.82,-0.035,-0.14%,42000
12/09/2022,24.58,24.9,24.5,24.855,0.145,+0.59%,30300
