Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/14/2023,34.35,35.2799,34.11,34.54,-0.37,-1.06%,88900,0
02/13/2023,34.67,35.1,34.11,34.91,0.56,+1.63%,152400,0
02/10/2023,33.75,34.5,33.4925,34.35,0.35,+1.03%,92500,0
02/09/2023,34.31,35.13,33.45,34,-0.12,-0.35%,177800,0
02/08/2023,35.61,35.61,33.73,34.12,-1.96,-5.43%,109400,0
02/07/2023,35.45,36.21,35.33,36.08,0.46,+1.29%,87600,0
02/06/2023,36.5,36.6762,35.331,35.62,-1.2,-3.26%,116400,0
02/03/2023,36.07,37.2804,36.07,36.82,0.29,+0.79%,122200,0
02/02/2023,36.01,36.69,36,36.53,0.74,+2.07%,110100,0
02/01/2023,35.12,36.285,34.48,35.79,0.43,+1.22%,103000,0
01/31/2023,33.93,35.36,33.93,35.36,1.47,+4.34%,140500,0
01/30/2023,34.1,34.67,33.86,33.89,-0.46,-1.34%,106300,0
01/27/2023,34.41,34.61,34.13,34.35,-0.22,-0.64%,115500,0
01/26/2023,35.08,35.25,34.37,34.57,-0.27,-0.77%,98900,0
01/25/2023,34.85,35.2,34.52,34.84,-0.2,-0.57%,117500,0
01/24/2023,35,35.16,34.53,35.04,-0.06,-0.17%,79200,0
01/23/2023,34.68,35.295,34.56,35.1,0.55,+1.59%,104900,0
01/20/2023,34,34.58,33.39,34.55,0.92,+2.74%,177100,0
01/19/2023,34.42,34.42,33.46,33.63,-0.76,-2.21%,161200,0
01/18/2023,35.4,35.89,34.32,34.39,-0.96,-2.72%,150100,0
01/17/2023,35.86,35.86,35.082,35.35,-0.64,-1.78%,162700,0
01/13/2023,35.4,36.08,35.32,35.99,0.29,+0.81%,90800,0
01/12/2023,35.15,35.7,34.745,35.7,0.62,+1.77%,134000,0
01/11/2023,34.13,35.1,34.1,35.08,1.07,+3.15%,179100,0
01/10/2023,34.32,34.58,33.9,34.01,-0.6,-1.73%,132500,0
01/09/2023,34.65,34.9718,34.03,34.61,-0.05,-0.14%,78400,0
01/06/2023,34.44,35.21,34.06,34.66,0.64,+1.88%,188400,0
01/05/2023,33.95,34.16,33.14,34.02,-0.12,-0.35%,130800,0
01/04/2023,33.3,34.35,32.95,34.14,1.03,+3.11%,164100,0
01/03/2023,32.6,33.49,32.25,33.11,0.86,+2.67%,153000,0
12/30/2022,31.69,32.33,31.42,32.25,0.27,+0.84%,134000,0
12/29/2022,31.56,32.21,31.48,31.98,0.76,+2.43%,88900,0
12/28/2022,31.68,31.785,30.925,31.22,-0.51,-1.61%,107600,0
12/27/2022,30.61,31.74,30.35,31.73,1.04,+3.39%,95200,0
12/23/2022,30.06,30.72,29.83,30.69,0.56,+1.86%,80500,0
12/22/2022,29.96,30.1582,29.327,30.13,-0.22,-0.72%,114000,0
12/21/2022,30.01,30.47,29.93,30.35,0.74,+2.50%,113300,0
12/20/2022,29.14,29.66,28.56,29.61,0.34,+1.16%,243800,0
12/19/2022,31.3,31.36,29.25,29.27,-1.92,-6.16%,166300,0
12/16/2022,31.29,32.08,30.92,31.19,-0.46,-1.45%,892300,0
12/15/2022,31.82,32.08,31.26,31.65,-0.66,-2.04%,247300,0
12/14/2022,31.72,32.76,31.67,32.31,0.64,+2.02%,218800,0
12/13/2022,32.05,32.82,31.46,31.67,0.34,+1.09%,236100,0
12/12/2022,31.01,31.34,30.75,31.33,0.37,+1.20%,93400,0
12/09/2022,31.21,31.64,30.94,30.96,-0.53,-1.68%,86500,0
12/08/2022,31.56,32.07,31.235,31.49,0.03,+0.10%,135300,0
12/07/2022,31.42,32.315,31.39,31.46,-0.07,-0.22%,126300,0
12/06/2022,31.45,32.09,30.967,31.53,0.08,+0.25%,139200,0
12/05/2022,31.25,31.56,30.79,31.45,0.04,+0.13%,130400,0
12/02/2022,31.45,31.8,30.84,31.41,-0.67,-2.09%,113100,0
12/01/2022,32.11,32.62,31.75,32.08,-0.11,-0.34%,149100,0
11/30/2022,31.57,32.19,31.07,32.19,0.71,+2.26%,216200,0
11/29/2022,31.55,32.08,31.27,31.48,-0.07,-0.22%,95400,0
11/28/2022,30.61,31.85,30.61,31.55,0.82,+2.67%,157100,0
11/25/2022,30.71,31.28,30.5,30.73,0.09,+0.29%,65300,0
11/23/2022,30.46,30.84,30.2,30.64,0.53,+1.76%,163100,0
11/22/2022,31.1,31.6699,29.2,30.11,-3.38,-10.09%,408400,0
11/21/2022,34.46,34.52,33.305,33.49,-1.26,-3.63%,133400,0
11/18/2022,35.21,35.54,34.28,34.75,0.37,+1.08%,113100,0
11/17/2022,34.11,34.515,33.78,34.38,-0.08,-0.23%,110420,0
11/16/2022,35.01,35.11,34.31,34.46,-1.14,-3.20%,97100,0
11/15/2022,35.04,35.935,34.86,35.6,1,+2.89%,95000,0
11/14/2022,34.7,35.625,34.51,34.6,-0.31,-0.89%,105000,0
11/11/2022,34.23,35.41,34.23,34.91,0.93,+2.74%,111100,0
11/10/2022,33.77,34.7,32.7,33.98,1.8,+5.59%,179700,0
11/09/2022,33.05,33.33,32.09,32.18,-1.07,-3.22%,111000,0
11/08/2022,33.91,34.295,32.865,33.25,-0.64,-1.89%,103000,0
11/07/2022,33.49,34.4,33.1439,33.89,0.42,+1.25%,110900,0
11/04/2022,32.89,33.5,32.67,33.47,0.89,+2.73%,92700,0
11/03/2022,32.03,32.98,31.28,32.58,0.55,+1.72%,80900,0
11/02/2022,33.27,33.38,31.93,32.03,-1.41,-4.22%,97200,0
11/01/2022,33.43,33.74,32.81,33.44,0.37,+1.12%,95400,0
10/31/2022,32.96,33.56,32.8,33.07,-0.1,-0.30%,110600,0
10/28/2022,32.54,33.34,31.97,33.17,0.63,+1.94%,101600,0
10/27/2022,33.26,33.3608,32.48,32.54,-0.4,-1.21%,62500,0
10/26/2022,33.11,33.65,32.63,32.94,-0.05,-0.15%,106100,0
10/25/2022,31.52,33.3,31.52,32.99,1.37,+4.33%,139100,0
10/24/2022,31.35,31.825,30.76,31.62,0.46,+1.48%,81700,0
10/21/2022,30.66,31.28,30.3,31.16,0.76,+2.50%,121000,0
10/20/2022,30.9,31.45,30.375,30.4,-0.42,-1.36%,136200,0
10/19/2022,31.36,31.44,30.24,30.82,-0.89,-2.81%,113100,0
10/18/2022,32.24,32.62,31.13,31.71,0.07,+0.22%,170000,0
10/17/2022,31.39,31.66,30.92,31.64,1.1,+3.60%,120600,0
10/14/2022,31.44,31.745,30.385,30.54,-0.67,-2.15%,131200,0
