Time,Open,High,Low,Last,Change,%Chg,Volume
01/17/2023,237.97,240.91,237.09,240.35,1.12,+0.47%,29831200
01/13/2023,237,239.37,234.92,239.23,0.72,+0.30%,21333200
01/12/2023,235.26,239.9,233.56,238.51,2.74,+1.16%,27269400
01/11/2023,231.29,235.95,231.11,235.77,6.92,+3.02%,28669300
01/10/2023,227.76,231.31,227.33,228.85,1.73,+0.76%,27033800
01/09/2023,226.45,231.2366,226.41,227.12,2.19,+0.97%,27369700
01/06/2023,223,225.7601,219.35,224.93,2.62,+1.18%,43613500
01/05/2023,227.2,227.55,221.7602,222.31,-6.79,-2.96%,39585600
01/04/2023,232.27,232.87,225.96,229.1,-10.48,-4.37%,50623300
01/03/2023,243.08,245.75,237.4,239.58,-0.24,-0.10%,25740000
12/30/2022,238.21,239.96,236.66,239.82,-1.19,-0.49%,21938400
12/29/2022,235.65,241.92,235.65,241.01,6.48,+2.76%,19770600
12/28/2022,236.89,239.72,234.17,234.53,-2.43,-1.03%,17457100
12/27/2022,238.7,238.93,235.83,236.96,-1.77,-0.74%,16688600
12/23/2022,236.11,238.87,233.9428,238.73,0.54,+0.23%,21206900
12/22/2022,241.26,241.99,233.87,238.19,-6.24,-2.55%,28651600
12/21/2022,241.69,245.615,240.11,244.43,2.63,+1.09%,23690600
12/20/2022,239.4,242.91,238.42,241.8,1.35,+0.56%,25150800
12/19/2022,244.86,245.21,238.71,240.45,-4.24,-1.73%,29696400
12/16/2022,248.55,249.84,243.51,244.69,-4.32,-1.73%,86101900
12/15/2022,253.72,254.2,247.34,249.01,-8.21,-3.19%,35568000
12/14/2022,257.13,262.588,254.31,257.22,0.3,+0.12%,35410900
12/13/2022,261.69,263.915,253.07,256.92,4.41,+1.75%,42196800
12/12/2022,247.45,252.54,247.17,252.51,7.09,+2.89%,30665000
12/09/2022,244.7,248.31,244.16,245.42,-1.98,-0.80%,20609700
12/08/2022,244.84,248.74,243.06,247.4,3.03,+1.24%,22611700
12/07/2022,244.83,246.16,242.205,244.37,-0.75,-0.31%,20481500
12/06/2022,250.82,251.86,243.78,245.12,-5.08,-2.03%,22463700
12/05/2022,252.01,253.819,248.06,250.2,-4.82,-1.89%,23435200
12/02/2022,249.82,256.06,249.69,255.02,0.33,+0.13%,21528500
12/01/2022,253.87,256.12,250.9156,254.69,-0.45,-0.18%,26041500
11/30/2022,240.57,255.33,239.86,255.14,14.81,+6.16%,47594200
11/29/2022,241.4,242.79,238.21,240.33,-1.43,-0.59%,17956300
11/28/2022,246.08,246.65,240.8,241.76,-5.73,-2.32%,24810200
11/25/2022,247.31,248.7,246.73,247.49,-0.09,-0.04%,9200700
11/23/2022,245.1,248.28,244.27,247.58,2.55,+1.04%,19508400
11/22/2022,243.59,245.31,240.71,245.03,2.98,+1.23%,19665700
11/21/2022,241.43,244.67,241.19,242.05,0.83,+0.34%,26394700
11/18/2022,243.51,243.74,239.03,241.22,-0.46,-0.19%,27613500
11/17/2022,237.78,243.25,237.63,241.68,-0.05,-0.02%,23123500
11/16/2022,242.79,243.8,240.42,241.73,-0.24,-0.10%,24093200
11/15/2022,245.66,247,240.03,241.97,0.42,+0.17%,31390100
11/14/2022,241.99,243.91,239.21,241.55,-5.56,-2.25%,31123300
11/11/2022,242.99,247.99,241.93,247.11,4.13,+1.70%,34620200
11/10/2022,235.43,243.33,235,242.98,18.47,+8.23%,46268000
11/09/2022,227.37,228.6327,224.33,224.51,-4.36,-1.91%,27852900
11/08/2022,228.7,231.65,225.84,228.87,1,+0.44%,28192500
11/07/2022,221.99,228.41,221.28,227.87,6.48,+2.93%,33497900
11/04/2022,217.55,221.59,213.431,221.39,7.14,+3.33%,36789000
11/03/2022,220.09,220.41,213.98,214.25,-5.85,-2.66%,36633900
11/02/2022,229.46,231.3,220.04,220.1,-8.07,-3.54%,38407000
11/01/2022,234.6,235.74,227.325,228.17,-3.96,-1.71%,30592200
10/31/2022,233.76,234.92,231.15,232.13,-3.74,-1.59%,28357200
10/28/2022,226.24,236.6,226.05,235.87,9.12,+4.02%,40647700
10/27/2022,231.04,233.69,225.78,226.75,-4.57,-1.98%,40424600
10/26/2022,231.17,238.3,230.06,231.32,-19.34,-7.72%,82684800
10/25/2022,247.26,251.04,245.83,250.66,3.41,+1.38%,34775500
10/24/2022,243.76,247.84,241.295,247.25,5.13,+2.12%,24911200
10/21/2022,234.74,243,234.5,242.12,5.97,+2.53%,26299700
10/20/2022,235.77,241.31,234.87,236.15,-0.33,-0.14%,21811000
10/19/2022,237.04,239.61,234.29,236.48,-2.02,-0.85%,19985600
10/18/2022,243.24,243.93,235.37,238.5,0.97,+0.41%,26329500
10/17/2022,235.82,238.96,235.135,237.53,8.97,+3.92%,28142200
10/14/2022,235.54,237.24,228.34,228.56,-5.68,-2.42%,30198500
10/13/2022,219.85,236.1,219.13,234.24,8.49,+3.76%,42551800
10/12/2022,225.4,227.86,223.96,225.75,0.34,+0.15%,21903900
10/11/2022,227.62,229.06,224.11,225.41,-3.84,-1.68%,30473900
