Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/13/2023,272,273.8,268.62,271.57,0.05,+0.02%,993500,0
02/10/2023,264.54,273,262.23,271.52,14.37,+5.59%,1397900,0
02/09/2023,259.5,261.63,257.13,257.15,-0.85,-0.33%,817400,0
02/08/2023,256.61,260.0199,255.275,258,0.2,+0.08%,633500,0
02/07/2023,255.73,258.9,251.25,257.8,-0.44,-0.17%,778400,0
02/06/2023,255.54,259.555,254.95,258.24,1.8,+0.70%,619900,0
02/03/2023,255.29,258.38,254.38,256.44,0.52,+0.20%,588705,0
02/02/2023,260.54,261.02,254.33,255.92,-3.85,-1.48%,856800,0
02/01/2023,255.51,260.5725,253.89,259.77,2.76,+1.07%,583000,0
01/31/2023,253.27,257.03,252.67,257.01,4.77,+1.89%,713600,0
01/30/2023,253.65,255.19,251.95,252.24,-2.16,-0.85%,732700,0
01/27/2023,256.68,257.72,254,254.4,-2.85,-1.11%,507900,0
01/26/2023,260.95,261.46,255.5,257.25,-1.32,-0.51%,620200,0
01/25/2023,254.49,259.02,254.265,258.57,2.34,+0.91%,479100,0
01/24/2023,253.06,257.3,252.16,256.23,-0.59,-0.23%,418800,0
01/23/2023,255.12,258.88,253.92,256.82,1.51,+0.59%,419404,0
01/20/2023,252.65,255.46,251,255.31,2.78,+1.10%,488300,0
01/19/2023,255.46,256.755,251.65,252.53,-4.33,-1.69%,829200,0
01/18/2023,263.87,264.425,256.52,256.86,-6.43,-2.44%,533400,0
01/17/2023,265.95,267.56,262.46,263.29,-2.72,-1.02%,749400,0
01/13/2023,260.79,266.56,260.01,266.01,1.3,+0.49%,556200,0
01/12/2023,265.78,266.62,262.53,264.71,0.37,+0.14%,884600,0
01/11/2023,258.3,264.5,257.1271,264.34,1.99,+0.76%,830300,0
01/10/2023,260.96,262.396,259.66,262.35,1.74,+0.67%,411500,0
01/09/2023,264.45,268.13,260.29,260.61,-3.23,-1.22%,492000,0
01/06/2023,258.86,265.09,256.66,263.84,8.72,+3.42%,359300,0
01/05/2023,256.94,257.46,254.26,255.12,-2.9,-1.12%,497900,0
01/04/2023,259.4,260.67,256.065,258.02,0.62,+0.24%,646500,0
01/03/2023,258.29,259.6,255.56,257.4,-0.31,-0.12%,531500,0
12/30/2022,257.73,257.8199,254.84,257.71,-1.1,-0.43%,360900,0
12/29/2022,255.98,259.735,255.9789,258.81,5.01,+1.97%,322000,0
12/28/2022,256.11,257.3,253.55,253.8,-2.83,-1.10%,290400,0
12/27/2022,257.56,257.56,254.6245,256.63,0,0.00%,271100,0
12/23/2022,255.48,256.955,254.48,256.63,1.21,+0.47%,230600,0
12/22/2022,256.33,256.33,251.47,255.42,-2.08,-0.81%,610700,0
12/21/2022,256.92,260.03,256.4,257.5,1.68,+0.66%,432700,0
12/20/2022,255.42,256.75,253.85,255.82,1.23,+0.48%,419100,0
12/19/2022,253.24,255.96,252.5594,254.59,2.15,+0.85%,644800,0
12/16/2022,253.77,255.07,252.145,252.44,-4.7,-1.83%,1191000,0
12/15/2022,263.23,263.635,256.11,257.14,-8.69,-3.27%,700200,0
12/14/2022,267.21,273.07,263.96,265.83,-1.32,-0.49%,970600,0
12/13/2022,275,275,265.2,267.15,-3.69,-1.36%,927000,0
12/12/2022,267.26,271,265.34,270.84,5.27,+1.98%,441000,0
12/09/2022,269.5,271.27,265.465,265.57,-4.22,-1.56%,465300,0
12/08/2022,268.76,270.095,266.92,269.79,3,+1.12%,450400,0
12/07/2022,266.27,269.3,263.69,266.79,0.62,+0.23%,614500,0
12/06/2022,268.85,269.99,263.28,266.17,-2.06,-0.77%,673400,0
12/05/2022,269.78,272.25,267.185,268.23,-4.47,-1.64%,527400,0
12/02/2022,268.76,274.11,268.76,272.7,0.92,+0.34%,602500,0
12/01/2022,273.41,275.16,271.29,271.78,-0.42,-0.15%,747900,0
11/30/2022,263.68,272.58,263.68,272.2,7.74,+2.93%,1349500,0
11/29/2022,264.83,266.36,263.54,264.46,-1.52,-0.57%,706100,0
11/28/2022,266.9,268.53,265.06,265.98,-2.45,-0.91%,897700,0
11/25/2022,267.29,268.9094,266.15,268.43,2.43,+0.91%,212100,0
11/23/2022,265.48,267.44,265.12,266,0.94,+0.35%,447101,0
11/22/2022,263.86,265.55,262.8223,265.06,2.68,+1.02%,620000,0
11/21/2022,262.64,265.34,261.82,262.38,-0.56,-0.21%,515300,0
11/18/2022,258.12,263.99,257,262.94,7.43,+2.91%,931600,0
11/17/2022,254.63,256.82,252.7232,255.51,-0.25,-0.10%,553000,0
11/16/2022,251.1,256.44,250.935,255.76,5.35,+2.14%,599800,0
11/15/2022,253.13,253.3,248.75,250.41,-0.54,-0.22%,704300,0
11/14/2022,250.12,255.6,250.12,250.95,1.42,+0.57%,686100,0
11/11/2022,260,260.02,245.76,249.53,-10.08,-3.88%,2209500,0
11/10/2022,260.06,261.45,257.28,259.61,5.99,+2.36%,907100,0
11/09/2022,255.86,255.98,252.65,253.62,-3.18,-1.24%,765900,0
11/08/2022,255.87,260.45,253.4,256.8,1.27,+0.50%,775900,0
11/07/2022,255.66,257.54,253.015,255.53,0.66,+0.26%,818200,0
11/04/2022,251.94,258.5282,244.03,254.87,16.69,+7.01%,1865000,0
11/03/2022,237.81,239.56,235.5,238.18,-1.72,-0.72%,920000,0
11/02/2022,242.46,247.27,239.9,239.9,-2.99,-1.23%,677400,0
11/01/2022,250.76,250.98,242.54,242.89,-6.82,-2.73%,968600,0
10/31/2022,248.87,251.87,245.62,249.71,-0.41,-0.16%,1125000,0
10/28/2022,243.63,250.45,243,250.12,7.94,+3.28%,990800,0
10/27/2022,242.44,244.58,241.51,242.18,1.88,+0.78%,854400,0
10/26/2022,240.04,241.39,238.42,240.3,0.62,+0.26%,794600,0
10/25/2022,234.9,240.3,234.9,239.68,4.63,+1.97%,683548,0
10/24/2022,228.67,235.67,228.67,235.05,8.67,+3.83%,735200,0
10/21/2022,221.32,227.08,219.43,226.38,5.21,+2.36%,728820,0
10/20/2022,223.07,224.46,219.79,221.17,-2.68,-1.20%,653800,0
10/19/2022,223.82,225.295,222.07,223.85,-1.45,-0.64%,471800,0
10/18/2022,225.47,227.5,222.55,225.3,4.56,+2.07%,564500,0
10/17/2022,217.31,222.2,217.31,220.74,7.46,+3.50%,832600,0
10/14/2022,225.89,225.89,212.76,213.28,-12.09,-5.36%,1105800,0
10/13/2022,219.9,225.92,217.01,225.37,2.04,+0.91%,783300,0
10/12/2022,225.45,226.275,223.29,223.33,-0.92,-0.41%,709000,0
10/11/2022,225.97,226.91,222.555,224.25,-2.77,-1.22%,666100,0
10/10/2022,230.73,230.73,226.4501,227.02,-2.83,-1.23%,402700,0
