Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/15/2023,255.04,255.7572,251.9,253.09,-2.68,-1.05%,234800,0
02/14/2023,254.71,256.84,252.63,255.77,0.59,+0.23%,254300,0
02/13/2023,251.16,255.82,250.39,255.18,4.78,+1.91%,185400,0
02/10/2023,251.09,252.115,246.95,250.4,-2.78,-1.10%,372900,0
02/09/2023,257.45,258.63,252.24,253.18,-1.82,-0.71%,352600,0
02/08/2023,256.8,257.53,253.73,255,-2.81,-1.09%,152700,0
02/07/2023,253.82,258.68,250.32,257.81,2.27,+0.89%,235100,0
02/06/2023,255.34,256.25,253.52,255.54,-2.39,-0.93%,263200,0
02/03/2023,257.68,260.455,257.19,257.93,-2.61,-1.00%,244700,0
02/02/2023,265.01,266.26,259.04,260.54,-1.77,-0.67%,384000,0
02/01/2023,262.49,263.47,255.265,262.31,-0.03,-0.01%,224800,0
01/31/2023,258.51,262.35,257.53,262.34,4.8,+1.86%,305400,0
01/30/2023,255.26,259.58,255.09,257.54,0.19,+0.07%,492400,0
01/27/2023,256.55,259.21,255.19,257.35,0.72,+0.28%,215233,0
01/26/2023,253.82,257.53,253.82,256.63,3.93,+1.56%,200700,0
01/25/2023,250.99,253.6,250.99,252.7,-1.56,-0.61%,257000,0
01/24/2023,253.61,256.65,251.385,254.26,0.68,+0.27%,245000,0
01/23/2023,251.54,256.79,251.285,253.58,2.28,+0.91%,293900,0
01/20/2023,246.65,252.24,246,251.3,5.97,+2.43%,356400,0
01/19/2023,244.5,247.5,243.5,245.33,-1.55,-0.63%,203400,0
01/18/2023,252.92,254.025,245.89,246.88,-5.72,-2.26%,493900,0
01/17/2023,250.74,254.47,249.54,252.6,0.76,+0.30%,386600,0
01/13/2023,244.24,252.03,242.86,251.84,4.3,+1.74%,308901,0
01/12/2023,251.65,252.59,247.29,247.54,-3.42,-1.36%,369400,0
01/11/2023,250.38,252.67,248.535,250.96,0.33,+0.13%,352200,0
01/10/2023,250.89,252.25,243.34,250.63,-1.61,-0.64%,406600,0
01/09/2023,248.68,253.66,246.68,252.24,3.76,+1.51%,426600,0
01/06/2023,244.18,249.98,244.18,248.48,5.65,+2.33%,280300,0
01/05/2023,244.88,246.37,241.74,242.83,-3.13,-1.27%,344500,0
01/04/2023,242.58,249.585,241.82,245.96,5.91,+2.46%,488400,0
01/03/2023,242,244.345,236.645,240.05,1.7,+0.71%,452300,0
12/30/2022,235.38,239.64,235.05,238.35,0.41,+0.17%,284500,0
12/29/2022,233.39,238.245,232.13,237.94,5.6,+2.41%,265300,0
12/28/2022,237.07,237.5,231.22,232.34,-5.77,-2.42%,340518,0
12/27/2022,241.04,241.04,237.04,238.11,-2.95,-1.22%,286800,0
12/23/2022,238.99,241.73,237.5,241.06,-0.69,-0.29%,228500,0
12/22/2022,240.47,242.39,238.68,241.75,-0.64,-0.26%,321200,0
12/21/2022,244.9,245.5102,239.87,242.39,-0.73,-0.30%,389600,0
12/20/2022,245.29,246.18,242.68,243.12,-2.78,-1.13%,435900,0
12/19/2022,250.23,251.235,244.19,245.9,-5.31,-2.11%,450600,0
12/16/2022,253.7,255.005,248.8,251.21,-5.24,-2.04%,654900,0
12/15/2022,259.19,259.84,253.96,256.45,-5.67,-2.16%,531800,0
12/14/2022,265.54,267.26,259.25,262.12,-4.82,-1.81%,420700,0
12/13/2022,267.26,269.5,262.84,266.94,5.24,+2.00%,539900,0
12/12/2022,258.27,262.46,256.06,261.7,3.06,+1.18%,582700,0
12/09/2022,256.04,262.09,250.09,258.64,7.43,+2.96%,884300,0
12/08/2022,249.29,255.38,247.85,251.21,4.29,+1.74%,869500,0
12/07/2022,245.9,249.5,244.89,246.92,0.24,+0.10%,503100,0
12/06/2022,249.92,250.61,245.35,246.68,-3.45,-1.38%,438700,0
12/05/2022,253.91,255.125,249.56,250.13,-6.38,-2.49%,531600,0
12/02/2022,256.92,258.345,255.11,256.51,-2.32,-0.90%,369701,0
12/01/2022,259.66,264.75,258.67,258.83,1.29,+0.50%,405700,0
11/30/2022,257.24,259.66,250.54,257.54,1.24,+0.48%,672900,0
11/29/2022,259.19,260.405,254.64,256.3,-2.5,-0.97%,500201,0
11/28/2022,263,264.37,257.89,258.8,-6.92,-2.60%,588100,0
11/25/2022,256.9,266.12,255.98,265.72,9.84,+3.85%,200101,0
11/23/2022,260.36,263.36,255.33,255.88,-4.54,-1.74%,355601,0
11/22/2022,249.48,260.46,248.15,260.42,10.97,+4.40%,1444000,0
11/21/2022,242.06,250.15,241.07,249.45,6.09,+2.50%,1404400,0
