Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
01/31/2023,5.72,6.02,5.655,5.84,0.14,+2.46%,561300,0
01/30/2023,5.69,5.86,5.69,5.7,-0.07,-1.21%,283400,0
01/27/2023,5.75,5.92,5.735,5.77,0,0.00%,508900,0
01/26/2023,5.78,5.87,5.55,5.77,0.04,+0.70%,425555,0
01/25/2023,5.52,5.765,5.41,5.73,0.15,+2.69%,227700,0
01/24/2023,5.43,5.76,5.38,5.58,0.1,+1.82%,810800,0
01/23/2023,5.34,5.52,5.24,5.48,0.15,+2.81%,554000,0
01/20/2023,5.24,5.34,5.04,5.33,0.14,+2.70%,914900,0
01/19/2023,5.35,5.43,5.11,5.19,-0.165,-3.08%,1173800,0
01/18/2023,5.67,5.69,5.33,5.355,-0.315,-5.56%,690000,0
01/17/2023,5.51,5.805,5.4901,5.67,0.18,+3.28%,409200,0
01/13/2023,5.41,5.54,5.325,5.49,0.03,+0.55%,169100,0
01/12/2023,5.42,5.64,5.21,5.46,0.05,+0.92%,275000,0
01/11/2023,5.3,5.45,5.22,5.41,0.11,+2.08%,187400,0
01/10/2023,5.15,5.47,5.15,5.3,0.17,+3.31%,297600,0
01/09/2023,5.27,5.35,4.995,5.13,-0.1,-1.91%,324400,0
01/06/2023,5.06,5.3,5.01,5.23,0.14,+2.75%,512100,0
01/05/2023,5,5.135,4.88,5.09,0.07,+1.39%,444600,0
01/04/2023,5.24,5.24,4.95,5.02,-0.1,-1.95%,275500,0
01/03/2023,5.52,5.52,5,5.12,-0.34,-6.23%,293700,0
12/30/2022,5.31,5.505,5.27,5.46,0.08,+1.49%,265100,0
12/29/2022,5.02,5.425,4.995,5.38,0.43,+8.69%,165800,0
12/28/2022,4.85,5.03,4.85,4.95,0.03,+0.61%,252100,0
12/27/2022,5.02,5.13,4.86,4.92,-0.09,-1.80%,202100,0
12/23/2022,5.05,5.08,4.97,5.01,-0.07,-1.38%,148000,0
12/22/2022,5.08,5.09,4.87,5.08,0,0.00%,329500,0
12/21/2022,5.05,5.225,5,5.08,0.12,+2.42%,250400,0
12/20/2022,5.06,5.13,4.86,4.96,-0.13,-2.55%,479600,0
12/19/2022,5.35,5.37,4.98,5.09,-0.25,-4.68%,603900,0
12/16/2022,5.28,5.48,5.23,5.34,-0.07,-1.29%,461800,0
12/15/2022,5.48,5.69,5.34,5.41,-0.17,-3.05%,303500,0
12/14/2022,5.6,5.6999,5.46,5.58,-0.02,-0.36%,363800,0
12/13/2022,5.55,5.765,5.365,5.6,0.32,+6.06%,488500,0
12/12/2022,5.4,5.45,5.22,5.28,-0.11,-2.04%,294900,0
12/09/2022,5.6,5.6,5.36,5.39,-0.22,-3.92%,272000,0
12/08/2022,5.47,5.63,5.335,5.61,0.18,+3.31%,274300,0
12/07/2022,5.35,5.45,5.26,5.43,0.03,+0.56%,359900,0
12/06/2022,5.44,5.6,5.29,5.4,-0.03,-0.55%,303700,0
12/05/2022,5.98,5.98,5.35,5.43,-0.65,-10.69%,308800,0
12/02/2022,6.03,6.115,5.88,6.08,-0.09,-1.46%,217800,0
12/01/2022,6,6.28,5.895,6.17,0.18,+3.01%,275900,0
11/30/2022,5.84,6.05,5.44,5.99,0.13,+2.22%,711200,0
11/29/2022,6.16,6.16,5.8337,5.86,-0.29,-4.72%,240500,0
11/28/2022,6.07,6.43,6.01,6.15,0.03,+0.49%,451700,0
11/25/2022,6.18,6.23,6.0412,6.12,0.01,+0.16%,54500,0
11/23/2022,6.06,6.2399,6.025,6.11,0,0.00%,324100,0
11/22/2022,6.06,6.21,5.89,6.11,0.09,+1.50%,207900,0
11/21/2022,6.3,6.3507,5.98,6.02,-0.31,-4.90%,205501,0
11/18/2022,6.44,6.5016,6.22,6.33,0.08,+1.28%,197300,0
11/17/2022,6.6,6.69,6.12,6.25,-0.45,-6.72%,230315,0
11/16/2022,6.86,6.88,6.62,6.7,-0.14,-2.05%,234700,0
11/15/2022,7.09,7.1,6.75,6.84,-0.09,-1.30%,266402,0
11/14/2022,7.05,7.17,6.88,6.93,-0.19,-2.67%,216800,0
11/11/2022,7.05,7.41,6.88,7.12,0.06,+0.85%,241801,0
11/10/2022,6.27,7.11,6.26,7.06,0.96,+15.74%,438500,0
11/09/2022,6.78,6.78,5.985,6.1,-0.63,-9.36%,695403,0
11/08/2022,6.88,6.995,6.665,6.73,-0.05,-0.74%,457900,0
11/07/2022,6.98,7.07,6.75,6.78,-0.17,-2.45%,306000,0
11/04/2022,6.72,6.98,6.6771,6.95,0.25,+3.73%,284300,0
11/03/2022,6.63,6.8,6.62,6.7,-0.04,-0.59%,135010,0
11/02/2022,6.89,7.11,6.73,6.74,-0.15,-2.18%,358300,0
11/01/2022,7.02,7.08,6.8,6.89,-0.03,-0.43%,309600,0
10/31/2022,6.95,7.01,6.85,6.92,-0.09,-1.28%,346800,0
10/28/2022,6.75,7.05,6.63,7.01,0.32,+4.78%,397400,0
10/27/2022,6.98,6.98,6.57,6.69,-0.19,-2.76%,231600,0
10/26/2022,6.69,6.9625,6.32,6.88,0.3,+4.56%,325500,0
