Time,Open,High,Low,Last,Change,%Chg,Volume
01/30/2023,5.04,5.11,4.99,5.01,-0.08,-1.57%,191900
01/27/2023,5.16,5.28,5.05,5.09,-0.09,-1.74%,174900
01/26/2023,5.36,5.6,5.14,5.18,-0.04,-0.77%,246000
01/25/2023,5.04,5.28,5.04,5.22,0.12,+2.35%,216200
01/24/2023,5.398,5.398,5.04,5.1,0.08,+1.59%,386500
01/23/2023,5.1,5.21,4.99,5.02,-0.07,-1.38%,366500
01/20/2023,5.03,5.145,4.98,5.09,0.08,+1.60%,237700
01/19/2023,5.02,5.06,4.96,5.01,-0.08,-1.57%,222800
01/18/2023,5.28,5.4055,5.06,5.09,-0.1,-1.93%,308700
01/17/2023,5.28,5.32,4.995,5.19,-0.11,-2.08%,495000
01/13/2023,5.65,5.66,5.16,5.3,0.25,+4.95%,664700
01/12/2023,4.9,5.15,4.7415,5.05,0.19,+3.91%,373200
01/11/2023,4.86,4.88,4.6315,4.86,0.02,+0.41%,485900
01/10/2023,4.81,4.98,4.65,4.84,0.05,+1.04%,437600
01/09/2023,4.88,4.9725,4.78,4.79,-0.07,-1.44%,247100
01/06/2023,4.77,4.97,4.68,4.86,0.11,+2.32%,277900
01/05/2023,4.99,5.04,4.71,4.75,-0.3,-5.94%,459400
01/04/2023,4.89,5.15,4.83,5.05,0.24,+4.99%,325200
01/03/2023,5.04,5.24,4.715,4.81,-0.21,-4.18%,310300
12/30/2022,4.81,5.02,4.78,5.02,0.15,+3.08%,371600
12/29/2022,4.54,4.94,4.52,4.87,0.35,+7.74%,294600
12/28/2022,4.46,4.71,4.43,4.52,0.05,+1.12%,404200
12/27/2022,4.8,4.8,4.43,4.47,-0.34,-7.07%,315900
12/23/2022,5.09,5.11,4.8,4.81,-0.33,-6.42%,233800
12/22/2022,5.1,5.25,5,5.14,-0.02,-0.39%,314100
12/21/2022,5.09,5.265,4.98,5.16,0.09,+1.78%,420600
12/20/2022,4.82,5.13,4.785,5.07,0.21,+4.32%,627700
12/19/2022,4.99,5.09,4.81,4.86,-0.2,-3.95%,409800
12/16/2022,5.15,5.27,4.95,5.06,-0.15,-2.88%,829400
12/15/2022,5.33,5.6,5.15,5.21,-0.14,-2.62%,444100
