Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
04/06/2023,12.53,12.595,12.46,12.48,0.14,+1.13%,464700,0
04/05/2023,12.34,12.37,12.31,12.34,0.24,+1.98%,302500,0
04/04/2023,12.09,12.1186,12.06,12.1,0.05,+0.41%,274300,0
04/03/2023,11.96,12.05,11.92,12.05,0.12,+1.01%,268300,0
03/31/2023,11.98,12,11.9,11.93,0.06,+0.51%,329300,0
03/30/2023,11.85,11.87,11.8,11.87,0.09,+0.76%,286900,0
03/29/2023,11.78,11.81,11.745,11.78,-0.03,-0.25%,299300,0
03/28/2023,11.8,11.81,11.765,11.81,0,0.00%,379200,0
03/27/2023,11.87,11.89,11.76,11.81,0.24,+2.07%,465200,0
03/24/2023,11.48,11.571,11.455,11.57,-0.17,-1.45%,496800,0
03/23/2023,11.87,11.885,11.72,11.74,0,0.00%,359200,0
03/22/2023,11.74,11.815,11.71,11.74,0.06,+0.51%,403300,0
03/21/2023,11.73,11.755,11.66,11.68,0.15,+1.30%,469700,0
03/20/2023,11.45,11.54,11.43,11.53,0.21,+1.86%,561800,0
03/17/2023,11.32,11.3658,11.29,11.32,-0.09,-0.79%,745200,0
03/16/2023,11.4,11.43,11.35,11.41,0,0.00%,1080400,0
03/15/2023,11.28,11.46,11.28,11.41,-0.13,-1.13%,717200,0
03/14/2023,11.54,11.54,11.46,11.54,0.02,+0.17%,414300,0
03/13/2023,11.53,11.57,11.48,11.52,0,0.00%,658500,0
03/10/2023,11.55,11.62,11.51,11.52,0.06,+0.52%,445500,0
03/09/2023,11.47,11.506,11.43,11.46,-0.01,-0.09%,370500,0
03/08/2023,11.44,11.4909,11.42,11.47,0.07,+0.61%,309200,0
03/07/2023,11.56,11.56,11.33,11.4,-0.26,-2.23%,441600,0
03/06/2023,11.59,11.6635,11.58,11.66,0.14,+1.22%,341500,0
03/03/2023,11.45,11.52,11.43,11.52,0.04,+0.35%,415200,0
03/02/2023,11.44,11.48,11.4101,11.48,-0.02,-0.17%,342400,0
03/01/2023,11.54,11.54,11.445,11.5,0.02,+0.17%,286400,0
02/28/2023,11.57,11.57,11.45,11.48,-0.11,-0.95%,446900,0
02/27/2023,11.54,11.59,11.52,11.59,0.05,+0.43%,373000,0
02/24/2023,11.45,11.55,11.43,11.54,0.03,+0.26%,361400,0
02/23/2023,11.46,11.51,11.42,11.51,-0.12,-1.03%,380800,0
02/22/2023,11.63,11.66,11.57,11.63,0.14,+1.22%,512400,0
