Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/15/2023,143.62,146.81,141.97,146.69,0.59,+0.40%,433500,0
02/14/2023,142.23,146.34,141.43,146.1,3.64,+2.56%,508200,0
02/13/2023,140.19,143.32,139.455,142.46,2.38,+1.70%,317000,0
02/10/2023,138.8,140.43,137.24,140.08,0.88,+0.63%,371600,0
02/09/2023,137.66,140.91,136.56,139.2,2.76,+2.02%,476500,0
02/08/2023,140.44,140.44,130.455,136.44,1.63,+1.21%,685403,0
02/07/2023,135.63,136.845,133.6,134.81,-2.31,-1.68%,633200,0
02/06/2023,137.78,138.36,135.8,137.12,-1.24,-0.90%,371700,0
02/03/2023,136.17,140.04,135.76,138.36,-0.1,-0.07%,453000,0
02/02/2023,131.64,138.97,131.64,138.46,7.74,+5.92%,772500,0
02/01/2023,127.65,131.67,126.7,130.72,2.9,+2.27%,288400,0
01/31/2023,125.43,128.03,125.07,127.82,3.21,+2.58%,335800,0
01/30/2023,123.93,127.115,123.93,124.61,-0.08,-0.06%,243000,0
01/27/2023,123.11,125.06,122.31,124.69,2.12,+1.73%,302300,0
01/26/2023,120.82,122.67,119.605,122.57,2.42,+2.01%,219500,0
01/25/2023,118.61,120.219,116.93,120.15,3.36,+2.88%,291100,0
01/24/2023,118.7,118.7,115.74,116.79,-0.94,-0.80%,199000,0
01/23/2023,118.08,119.09,117.095,117.73,0.04,+0.03%,242300,0
01/20/2023,116.04,117.8175,114.69,117.69,2.55,+2.21%,283000,0
01/19/2023,114.97,115.37,112.3142,115.14,-0.04,-0.03%,407000,0
01/18/2023,116.74,118.78,115.05,115.18,-0.76,-0.66%,271900,0
01/17/2023,114.71,117.96,114.34,115.94,-2.71,-2.28%,509000,0
01/13/2023,118.85,119.5,116.11,118.65,-2.64,-2.18%,272200,0
01/12/2023,121.66,122.22,119.405,121.29,0.64,+0.53%,412000,0
01/11/2023,118.32,121.45,118.32,120.65,2.87,+2.44%,424800,0
01/10/2023,115.52,117.84,115.52,117.78,2.38,+2.06%,423700,0
01/09/2023,117.54,117.88,115.345,115.4,-2.1,-1.79%,345900,0
01/06/2023,115.34,117.89,115.34,117.5,2.92,+2.55%,363600,0
01/05/2023,114.55,115.42,113.64,114.58,-1.04,-0.90%,288400,0
01/04/2023,114.71,116,114.6421,115.62,1.92,+1.69%,281200,0
