Time,Open,High,Low,Last,Change,%Chg,Volume
04/03/2023,10.221,10.221,10.221,10.221,0.001,+0.01%,300
03/30/2023,10.22,10.22,10.22,10.22,0.02,+0.20%,2800
03/29/2023,10.2,10.2,10.2,10.2,0,0.00%,13700
03/24/2023,10.2,10.2,10.2,10.2,0,0.00%,500
03/23/2023,10.19,10.2,10.19,10.2,0.02,+0.20%,1500
03/21/2023,10.17,10.18,10.17,10.18,0.02,+0.20%,365500
03/17/2023,10.16,10.16,10.16,10.16,-0.08,-0.78%,100
03/14/2023,10.18,10.24,10.16,10.24,0.04,+0.39%,5200
03/10/2023,10.24,10.5,10.2,10.2,0.005,+0.05%,20100
03/09/2023,10.2,10.2,10.16,10.195,-0.01,-0.10%,995000
03/06/2023,10.205,10.205,10.205,10.205,0.0472,+0.46%,500
03/03/2023,10.15,10.1578,10.15,10.1578,0.0178,+0.18%,300
03/01/2023,10.21,10.21,10.14,10.14,-0.07,-0.69%,1100
02/28/2023,10.16,10.87,10.16,10.21,0.055,+0.54%,123100
02/27/2023,10.15,10.155,10.15,10.155,0.0049,+0.05%,10100
02/24/2023,10.14,10.1501,10.14,10.1501,0.0101,+0.10%,780300
02/23/2023,10.14,10.14,10.14,10.14,0.01,+0.10%,100
02/22/2023,10.15,10.15,10.13,10.13,0,0.00%,25400
02/21/2023,10.13,10.13,10.13,10.13,0.0018,+0.02%,12600
02/15/2023,10.1282,10.1282,10.1282,10.1282,0.0182,+0.18%,200
02/14/2023,10.11,10.125,10.11,10.11,0.03,+0.30%,600
02/13/2023,10.04,10.08,10.04,10.08,-0.025,-0.25%,400
02/10/2023,10.12,10.12,10.105,10.105,-0.0064,-0.06%,34200
02/08/2023,10.13,10.13,10.11,10.1114,0.0014,+0.01%,700
02/07/2023,10.13,10.13,10.09,10.11,-0.01,-0.10%,21800
02/06/2023,10.14,10.14,10.1,10.12,0.02,+0.20%,12700
02/03/2023,10.13,10.13,10.1,10.1,0,0.00%,2800
02/02/2023,10.11,10.12,10.1,10.1,-0.01,-0.10%,19000
02/01/2023,10.11,10.12,10.11,10.11,0,0.00%,50700
01/30/2023,10.11,10.11,10.11,10.11,0.005,+0.05%,36000
01/27/2023,10.09,10.11,10.09,10.105,-0.003,-0.03%,7500
01/26/2023,10.107,10.108,10.09,10.108,0.018,+0.18%,7000
01/25/2023,10.09,10.105,10.09,10.09,0,0.00%,28500
01/24/2023,10.11,10.11,10.09,10.09,0,0.00%,3400
01/23/2023,10.09,10.09,10.09,10.09,0,0.00%,300
01/19/2023,10.07,10.35,10.07,10.09,0.02,+0.20%,437900
