Time,Open,High,Low,Last,Change,%Chg,Volume
03/10/2023,10.18,10.185,10.18,10.18,-0.01,-0.10%,102600
03/09/2023,10.19,10.19,10.19,10.19,0,0.00%,200
03/08/2023,10.19,10.2,10.185,10.19,0.01,+0.10%,254000
03/07/2023,10.185,10.185,10.18,10.18,-0.01,-0.10%,33900
03/06/2023,10.18,10.19,10.18,10.19,0.01,+0.10%,1100
03/03/2023,10.18,10.18,10.18,10.18,-0.005,-0.05%,100
03/02/2023,10.18,10.185,10.18,10.185,0,0.00%,5700
03/01/2023,10.185,10.185,10.18,10.185,0,0.00%,4600
02/28/2023,10.1805,10.19,10.1805,10.185,0,0.00%,16400
02/27/2023,10.185,10.19,10.18,10.185,-0.005,-0.05%,753000
02/24/2023,10.18,10.19,10.18,10.19,0,0.00%,5400
02/23/2023,10.18,10.19,10.18,10.19,-0.01,-0.10%,3600
02/22/2023,10.19,10.2,10.19,10.2,0.01,+0.10%,102400
02/21/2023,10.19,10.19,10.19,10.19,0,0.00%,102500
02/17/2023,10.19,10.19,10.19,10.19,0,0.00%,100
02/16/2023,10.18,10.19,10.18,10.19,-0.01,-0.10%,113700
02/15/2023,10.18,10.2,10.18,10.2,0.02,+0.20%,10900
02/14/2023,10.18,10.185,10.18,10.18,0.01,+0.10%,30500
02/13/2023,10.16,10.19,10.16,10.17,-0.01,-0.10%,4000
02/10/2023,10.19,10.19,10.18,10.18,0,0.00%,200
02/09/2023,10.18,10.19,10.18,10.18,0,0.00%,400
02/08/2023,10.17,10.18,10.17,10.18,0.01,+0.10%,29900
02/07/2023,10.17,10.17,10.17,10.17,0.005,+0.05%,500
02/06/2023,10.16,10.165,10.16,10.165,-0.005,-0.05%,11200
02/03/2023,10.17,10.17,10.16,10.17,0,0.00%,37600
02/02/2023,10.16,10.175,10.16,10.17,0.01,+0.10%,96500
02/01/2023,10.16,10.165,10.16,10.16,0,0.00%,516300
01/31/2023,10.16,10.165,10.16,10.16,0.005,+0.05%,3922500
