Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
04/06/2023,23.38,23.64,23.22,23.32,-0.96,-3.95%,97400,0
04/05/2023,23.83,24.5507,23.83,24.28,0.44,+1.85%,147100,0
04/04/2023,24.59,24.69,23.7,23.84,-0.79,-3.21%,94200,0
04/03/2023,25.19,25.19,24.54,24.63,-0.62,-2.46%,78222,0
03/31/2023,25.17,25.64,25.07,25.25,0.36,+1.45%,93200,0
03/30/2023,24.7,25.07,24.7,24.89,0.1,+0.40%,65900,0
03/29/2023,24.77,25.22,24.57,24.79,0.19,+0.77%,91800,0
03/28/2023,24.32,24.72,24.32,24.6,0.25,+1.03%,89900,0
03/27/2023,24.16,24.52,24.09,24.35,0.12,+0.50%,39700,0
03/24/2023,23.76,24.34,23.76,24.23,0.09,+0.37%,81800,0
03/23/2023,24.64,24.65,23.78,24.14,-0.7,-2.82%,89100,0
03/22/2023,24.74,25.17,24.74,24.84,0.39,+1.60%,64600,0
03/21/2023,24.33,24.5,24.13,24.45,0.39,+1.62%,39500,0
03/20/2023,23.08,24.095,22.94,24.06,0.85,+3.66%,63700,0
03/17/2023,23.68,23.83,23.19,23.21,0.11,+0.48%,154300,0
03/16/2023,23.01,23.29,22.8,23.1,-0.15,-0.65%,77400,0
03/15/2023,22.87,23.4,22.85,23.25,0,0.00%,45200,0
03/14/2023,22.91,23.26,22.83,23.25,0.55,+2.42%,55300,0
03/13/2023,23,23.21,22.63,22.7,-0.52,-2.24%,74800,0
03/10/2023,23.5,23.9,23.21,23.22,0.1,+0.43%,53600,0
03/09/2023,23.68,23.68,23.11,23.12,-0.97,-4.03%,60800,0
03/08/2023,23.85,24.21,23.75,24.09,0.42,+1.77%,57300,0
03/07/2023,24.03,24.03,23.62,23.67,-0.57,-2.35%,37200,0
03/06/2023,24.35,24.6146,24.04,24.24,-0.12,-0.49%,60500,0
03/03/2023,24,24.5,23.99,24.36,0.42,+1.75%,56900,0
03/02/2023,23.67,24.07,23.58,23.94,0.21,+0.88%,75500,0
03/01/2023,23.55,23.84,23.48,23.73,0.28,+1.19%,63000,0
02/28/2023,23.84,23.84,23.28,23.45,-0.35,-1.47%,99300,0
02/27/2023,23.78,23.84,23.31,23.8,0.07,+0.29%,62900,0
02/24/2023,24.07,24.3777,23.67,23.73,-0.53,-2.18%,58500,0
02/23/2023,24.46,24.82,24.16,24.26,-0.27,-1.10%,38400,0
02/22/2023,24.18,24.79,24.14,24.53,0.09,+0.37%,65100,0
02/21/2023,24.47,24.76,24.22,24.44,-0.23,-0.93%,73400,0
02/17/2023,24.29,24.69,24.27,24.67,0.33,+1.36%,49900,0
02/16/2023,24.12,24.595,23.94,24.34,-0.02,-0.08%,43900,0
02/15/2023,24.46,24.46,23.845,24.36,-0.33,-1.34%,89100,0
02/14/2023,24.99,24.99,24.33,24.69,-0.31,-1.24%,55800,0
02/13/2023,24.03,25.26,24.03,25,0.3,+1.21%,99000,0
02/10/2023,24.83,25.27,24.33,24.7,-0.27,-1.08%,247100,0
02/09/2023,25.53,25.53,24.87,24.97,-0.39,-1.54%,62600,0
