Time,Open,High,Low,Last,Change,%Chg,Volume
01/30/2023,1.04,1.07,1.03,1.06,0,0.00%,901700
01/27/2023,1.02,1.09,1.01,1.06,0.02,+1.92%,876800
01/26/2023,1.05,1.07,1.02,1.04,0,0.00%,1214400
01/25/2023,1.01,1.05,0.9801,1.04,0.03,+2.97%,1401200
01/24/2023,1.04,1.0493,1,1.01,-0.03,-2.88%,481600
01/23/2023,1.04,1.06,1.015,1.04,0,0.00%,738200
01/20/2023,0.9801,1.04,0.9801,1.04,0.058,+5.91%,563100
01/19/2023,0.98,1.02,0.98,0.982,-0.011,-1.11%,406100
01/18/2023,1.03,1.05,0.971,0.993,-0.027,-2.65%,1020700
01/17/2023,1.08,1.08,0.9739,1.02,-0.04,-3.77%,1590600
01/13/2023,1.03,1.07,1.02,1.06,0.03,+2.91%,1228300
01/12/2023,1,1.05,0.9927,1.03,0.0302,+3.02%,783300
01/11/2023,0.99,1.03,0.96,0.9998,0.0236,+2.42%,1268600
01/10/2023,0.9249,0.98,0.9243,0.9762,0.0446,+4.79%,798500
01/09/2023,0.9319,0.9576,0.9035,0.9316,0.002,+0.22%,783400
01/06/2023,0.93,0.9499,0.88,0.9296,0.0009,+0.10%,1767400
01/05/2023,0.85,1.09,0.8301,0.9287,0.0595,+6.85%,4523600
01/04/2023,0.81,0.88,0.8019,0.8692,0.0594,+7.34%,811400
01/03/2023,0.76,0.8419,0.7581,0.8098,0.0365,+4.72%,696400
12/30/2022,0.751,0.791,0.751,0.7733,-0.012,-1.53%,908300
12/29/2022,0.7765,0.79,0.76,0.7853,0.0238,+3.13%,880100
12/28/2022,0.78,0.809,0.75,0.7615,-0.02,-2.56%,1003200
12/27/2022,0.78,0.81,0.7711,0.7815,0.0002,+0.03%,915400
12/23/2022,0.77,0.7979,0.77,0.7813,0.0061,+0.79%,440500
12/22/2022,0.8068,0.8068,0.75,0.7752,-0.0171,-2.16%,1277200
12/21/2022,0.77,0.8801,0.768,0.7923,-0.0175,-2.16%,2044400
12/20/2022,0.82,0.8599,0.7901,0.8098,-0.0202,-2.43%,1172700
12/19/2022,0.92,0.93,0.8201,0.83,-0.0881,-9.60%,1618700
12/16/2022,0.9262,0.9555,0.9105,0.9181,-0.0218,-2.32%,853400
12/15/2022,0.9302,0.9594,0.9118,0.9399,-0.0083,-0.88%,1046100
12/14/2022,0.9168,1.01,0.91,0.9482,0.0253,+2.74%,3289300
12/13/2022,0.93,0.9849,0.9151,0.9229,0.0187,+2.07%,1031400
12/12/2022,0.9092,0.94,0.9,0.9042,-0.0058,-0.64%,1051200
12/09/2022,0.9694,0.9694,0.9065,0.91,-0.044,-4.61%,1911900
12/08/2022,0.9769,0.9999,0.95,0.954,-0.0229,-2.34%,1851900
12/07/2022,1.01,1.01,0.95,0.9769,-0.0431,-4.23%,2268600
12/06/2022,1.05,1.06,1.01,1.02,-0.04,-3.77%,2524300
12/05/2022,1.06,1.1,1.0501,1.06,-0.02,-1.85%,1036400
12/02/2022,1.08,1.1,1.07,1.08,-0.03,-2.70%,1318100
12/01/2022,1.06,1.12,1.052,1.11,0.04,+3.74%,1930200
11/30/2022,1.03,1.09,1.03,1.07,0.02,+1.90%,1973500
11/29/2022,1.09,1.09,1.04,1.05,-0.04,-3.67%,1913100
11/28/2022,1.09,1.1101,1.07,1.09,-0.02,-1.80%,1482900
11/25/2022,1.09,1.13,1.07,1.11,0.01,+0.91%,1850700
11/23/2022,1.07,1.12,1.07,1.1,0.01,+0.92%,1672200
11/22/2022,1.12,1.16,1.07,1.09,-0.01,-0.91%,3977100
11/21/2022,1.14,1.1465,1.07,1.1,-0.04,-3.51%,3526700
11/18/2022,1.21,1.21,1.12,1.14,-0.06,-5.00%,6681400
11/17/2022,1.21,1.27,1.2,1.2,-0.07,-5.51%,3366100
11/16/2022,1.47,1.47,1.25,1.27,-0.14,-9.93%,16212100
11/15/2022,1.51,1.56,1.35,1.41,-0.07,-4.73%,9683800
11/14/2022,1.41,1.64,1.39,1.48,0.08,+5.71%,16253000
11/11/2022,1.22,1.415,1.21,1.4,0.12,+9.38%,5722900
11/10/2022,1.19,1.3,1.16,1.28,0.06,+4.92%,5851500
11/09/2022,1.32,1.35,1.2,1.22,-0.3,-19.74%,12890500
11/08/2022,1.46,1.64,1.43,1.52,-0.14,-8.43%,29082700
11/07/2022,1.38,1.68,1.27,1.66,0.46,+38.33%,50327800
11/04/2022,1.21,1.25,1.16,1.2,0,0.00%,1590700
11/03/2022,1.14,1.2,1.13,1.2,0.05,+4.35%,982200
11/02/2022,1.19,1.1984,1.13,1.15,-0.03,-2.54%,1328300
11/01/2022,1.17,1.21,1.16,1.18,0.01,+0.85%,880300
10/31/2022,1.17,1.24,1.16,1.17,0.01,+0.86%,1484500
10/28/2022,1.12,1.16,1.0844,1.16,0.04,+3.57%,1310300
10/27/2022,1.11,1.12,1.07,1.12,0.05,+4.67%,1073000
10/26/2022,1.07,1.12,1.06,1.07,0.01,+0.94%,1647900
10/25/2022,1.03,1.09,1.02,1.06,-0.02,-1.85%,1771500
10/24/2022,1.04,1.1,1,1.08,-0.01,-0.92%,2698100
