Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/17/2023,141.35,141.49,140.21,140.21,-1.27,-0.90%,76255,0
02/16/2023,141.3,142.54,140.46,141.48,-1.12,-0.79%,275400,0
02/15/2023,141.88,143.34,141.38,142.6,-0.03,-0.02%,351700,0
02/14/2023,141.93,143.31,141,142.63,0.55,+0.39%,422400,0
02/13/2023,140.37,142.24,139.35,142.08,2.16,+1.54%,424500,0
02/10/2023,139.7,140.22,138.3373,139.92,-0.18,-0.13%,554800,0
02/09/2023,142.61,143.25,139.68,140.1,-1.71,-1.21%,606402,0
02/08/2023,142.72,143.24,140.43,141.81,-1.57,-1.09%,781000,0
02/07/2023,142,144.04,140.68,143.38,0.79,+0.55%,630200,0
02/06/2023,143.01,143.37,142.025,142.59,-1.83,-1.27%,524100,0
02/03/2023,144.51,146.24,144.38,144.42,-0.67,-0.46%,857900,0
02/02/2023,142.19,145.44,141.3,145.09,2.94,+2.07%,895600,0
02/01/2023,140.37,143.1,139.44,142.15,-0.55,-0.39%,897900,0
01/31/2023,140.2,142.7,137.79,142.7,4.01,+2.89%,3179200,0
01/30/2023,137.73,140.965,137.73,138.69,0.28,+0.20%,760800,0
01/27/2023,138.62,140.31,137.05,138.41,-0.21,-0.15%,706400,0
01/26/2023,127.5,138.825,127.5,138.62,9.47,+7.33%,1253200,0
01/25/2023,129.37,130.07,127.125,129.15,-0.88,-0.68%,877800,0
01/24/2023,130.66,131.205,128.86,130.03,-2.02,-1.53%,671400,0
01/23/2023,132.51,133.962,131.34,132.05,-0.43,-0.32%,684900,0
01/20/2023,130.36,132.74,129.29,132.48,2.71,+2.09%,491700,0
01/19/2023,130.49,130.49,128.29,129.77,-1.14,-0.87%,718400,0
01/18/2023,134.17,134.2,130.88,130.91,-2.59,-1.94%,530300,0
01/17/2023,135.47,136.05,133.205,133.5,-1.9,-1.40%,594000,0
01/13/2023,135.26,135.525,134.12,135.4,-0.57,-0.42%,568900,0
01/12/2023,134.59,136.11,133.215,135.97,2.39,+1.79%,509700,0
01/11/2023,133.29,134.06,132.63,133.58,0.85,+0.64%,461600,0
01/10/2023,132.74,133.095,131.291,132.73,0.25,+0.19%,466600,0
01/09/2023,134.27,135.48,132.175,132.48,0.29,+0.22%,804500,0
01/06/2023,131.42,132.78,131.055,132.19,2.31,+1.78%,514000,0
01/05/2023,129.62,130.335,127.86,129.88,-0.92,-0.70%,577100,0
01/04/2023,130.29,131.76,129.8446,130.8,1.74,+1.35%,597900,0
01/03/2023,128.34,129.6648,127.32,129.06,1.15,+0.90%,508500,0
12/30/2022,127.41,128.69,127.06,127.91,-0.72,-0.56%,367500,0
12/29/2022,128.19,129.42,128.01,128.63,1.62,+1.28%,287000,0
12/28/2022,129.69,130.6,127,127.01,-2.55,-1.97%,257800,0
12/27/2022,128.63,130.71,128.43,129.56,0.86,+0.67%,334100,0
12/23/2022,127.47,128.985,126.93,128.7,1.29,+1.01%,302600,0
12/22/2022,127.35,127.765,124.83,127.41,-1.02,-0.79%,659400,0
12/21/2022,128.74,129.26,128.04,128.43,0.54,+0.42%,448400,0
12/20/2022,128.97,129.55,127.44,127.89,-0.72,-0.56%,403600,0
12/19/2022,130.88,131.7,127.76,128.61,-1.97,-1.51%,552100,0
12/16/2022,131.14,131.35,129.09,130.58,-2.3,-1.73%,1097000,0
12/15/2022,132.17,133.76,131.24,132.88,-2.45,-1.81%,709500,0
12/14/2022,136.27,137.59,134.71,135.33,-1.17,-0.86%,636003,0
12/13/2022,140.2,140.445,135.58,136.5,-0.63,-0.46%,713400,0
12/12/2022,135.5,137.15,134.26,137.13,2.02,+1.50%,595500,0
12/09/2022,135.68,137.23,134.7,135.11,-0.85,-0.63%,653400,0
12/08/2022,135.94,136.795,134.55,135.96,0.76,+0.56%,556700,0
12/07/2022,134.53,135.9,134.42,135.2,0.37,+0.27%,463600,0
12/06/2022,135.83,136.58,133.67,134.83,-0.75,-0.55%,440000,0
12/05/2022,136.74,136.9,135.12,135.58,-2.24,-1.63%,526200,0
12/02/2022,135.27,138.6,134.66,137.82,1.66,+1.22%,814100,0
12/01/2022,136.61,136.97,134.78,136.16,0.27,+0.20%,676000,0
11/30/2022,132.35,136.63,131.83,135.89,3.2,+2.41%,1396800,0
11/29/2022,130.19,133.31,130.19,132.69,2.59,+1.99%,837200,0
11/28/2022,131.94,132.013,129.81,130.1,-2.87,-2.16%,507700,0
11/25/2022,133.04,133.71,132.62,132.97,-0.38,-0.28%,232001,0
11/23/2022,133.85,134.55,132.43,133.35,0.03,+0.02%,303400,0
11/22/2022,132.24,133.58,131.795,133.32,1.98,+1.51%,513300,0
11/21/2022,128.38,131.98,127.69,131.34,2.3,+1.78%,776000,0
11/18/2022,131.07,131.58,128.71,129.04,-0.44,-0.34%,928001,0
11/17/2022,128.43,129.67,127.19,129.48,-0.39,-0.30%,664100,0
11/16/2022,129.97,130.63,129.225,129.87,-0.31,-0.24%,758400,0
11/15/2022,131.67,132.87,129.355,130.18,0.43,+0.33%,786403,0
11/14/2022,129.25,132.06,128.68,129.75,0.28,+0.22%,839000,0
11/11/2022,126,130.25,124.93,129.47,4.39,+3.51%,764701,0
11/10/2022,123.97,125.12,121.97,125.08,5.07,+4.22%,1397300,0
11/09/2022,120.99,121.32,119.435,120.01,-1.6,-1.32%,791500,0
11/08/2022,123.14,123.58,121.15,121.61,-1,-0.82%,1154000,0
11/07/2022,125.16,125.17,122.195,122.61,-1.89,-1.52%,768000,0
11/04/2022,123.62,125.37,122.435,124.5,3.27,+2.70%,989900,0
11/03/2022,118.23,122.01,117.95,121.23,2.69,+2.27%,1012600,0
11/02/2022,119.81,122.29,118.02,118.54,-2.05,-1.70%,881401,0
11/01/2022,121.76,122.41,118.94,120.59,0.38,+0.32%,831500,0
10/31/2022,119.86,121.22,118.41,120.21,-0.49,-0.41%,862900,0
10/28/2022,118.83,121.16,118.23,120.7,1.45,+1.22%,858400,0
10/27/2022,116.56,121.66,116.37,119.25,2.89,+2.48%,1262400,0
10/26/2022,115.8,119.24,114.77,116.36,0.43,+0.37%,1024400,0
10/25/2022,114.51,117.715,112,115.93,-0.35,-0.30%,782100,0
10/24/2022,117.45,117.99,116.27,116.28,-0.66,-0.56%,683906,0
10/21/2022,113.25,117.21,112.9729,116.94,4.07,+3.61%,617400,0
10/20/2022,114.4,115.73,112.52,112.87,-1.53,-1.34%,448700,0
10/19/2022,116.23,116.39,113.68,114.4,-2.3,-1.97%,347800,0
10/18/2022,115.7,117.779,115.7,116.7,0.76,+0.66%,734225,0
10/17/2022,115.92,116.95,115.02,115.94,2.23,+1.96%,547500,0
10/14/2022,116.66,116.96,113.62,113.71,-2.08,-1.80%,554300,0
10/13/2022,111.68,116.62,110.555,115.79,2.27,+2.00%,449900,0
10/12/2022,115.08,115.08,113.49,113.52,-0.9,-0.79%,579500,0
