Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
04/04/2023,9.0001,9.5,9.0001,9.02,-0.0201,-0.22%,1300,0
04/03/2023,8.9,9.531,8.9,9.0401,0.2201,+2.50%,700,0
03/31/2023,8.82,8.82,8.82,8.82,-0.6833,-7.19%,500,0
03/29/2023,9.6,9.6,9.265,9.5033,-0.2467,-2.53%,400,0
03/27/2023,9.5,9.75,9.5,9.75,-0.0134,-0.14%,1100,0
03/24/2023,9.7634,9.7634,9.7634,9.7634,0.8134,+9.09%,500,0
03/23/2023,9.35,9.5,8.79,8.95,-0.4,-4.28%,7600,0
03/22/2023,9.4,9.46,9.2,9.35,-0.38,-3.91%,44600,0
03/21/2023,9.25,9.73,9.25,9.73,0.68,+7.51%,142100,0
03/20/2023,9.5,9.5,9.05,9.05,-0.7,-7.18%,900,0
03/17/2023,10.1,10.1001,9.75,9.75,-0.25,-2.50%,2600,0
03/16/2023,10.25,10.25,9.84,10,-0.2,-1.96%,1400,0
03/15/2023,9.81,10.2,9.81,10.2,0.39,+3.98%,1300,0
03/14/2023,10.55,10.55,9.81,9.81,-0.49,-4.76%,1500,0
03/13/2023,10.3,10.3,10.3,10.3,-0.23,-2.18%,800,0
03/10/2023,10.755,10.755,10.53,10.53,0.03,+0.29%,300,0
03/09/2023,10.8,10.8,10.5,10.5,-0.4003,-3.67%,2100,0
03/08/2023,10.8,11,10.8,10.9003,-0.0604,-0.55%,14300,0
03/07/2023,10.955,10.9607,10.955,10.9607,-0.1393,-1.25%,400,0
03/02/2023,11.1,11.1,11.1,11.1,0.24,+2.21%,400,0
03/01/2023,10.86,10.86,10.86,10.86,-0.34,-3.04%,200,0
02/28/2023,10.78,11.2,10.78,11.2,-0.05,-0.44%,500,0
02/24/2023,10.8445,11.25,10.8445,11.25,-0.0267,-0.24%,300,0
02/23/2023,11.6815,11.6815,11.2767,11.2767,0.0067,+0.06%,500,0
02/22/2023,11.27,11.27,11.27,11.27,0.22,+1.99%,400,0
02/17/2023,11.05,11.05,11.05,11.05,-0.08,-0.72%,100,0
02/16/2023,11.13,11.13,11.13,11.13,-0.7299,-6.15%,300,0
02/15/2023,11.82,11.8599,11.82,11.8599,1.0599,+9.81%,800,0
02/09/2023,10.8,10.8,10.8,10.8,-0.01,-0.09%,300,0
02/08/2023,10.81,10.81,10.81,10.81,-0.04,-0.37%,5600,0
02/03/2023,10.83,10.85,10.83,10.85,0.03,+0.28%,500,0
02/02/2023,10.82,10.82,10.82,10.82,-0.18,-1.64%,500,0
02/01/2023,11.27,11.27,11,11,-0.275,-2.44%,700,0
01/24/2023,11.4,11.4,11.275,11.275,-0.685,-5.73%,900,0
01/23/2023,11.15,12,11.15,11.96,0.83,+7.46%,1900,0
01/19/2023,11.19,11.19,11.13,11.13,0.45,+4.21%,2600,0
01/18/2023,10.59,11.44,10.59,10.68,0.125,+1.18%,14900,0
01/17/2023,10.35,10.555,10.35,10.555,0.2087,+2.02%,1100,0
01/13/2023,10.3,10.5,10.3,10.3463,0.0463,+0.45%,2800,0
01/12/2023,10.15,10.3,10.11,10.3,-0.3,-2.83%,7600,0
12/30/2022,10.17,10.62,10.17,10.6,-0.05,-0.47%,1300,0
12/29/2022,10.65,10.65,10.64,10.65,0.435,+4.26%,400,0
12/28/2022,10.53,10.53,10.0001,10.215,-0.7266,-6.64%,56700,0
12/23/2022,11,11,10.9416,10.9416,0.0816,+0.75%,800,0
12/22/2022,10.5,11.565,10.195,10.86,0.5,+4.83%,14300,0
12/19/2022,11.5,11.5,10.36,10.36,-1.3,-11.15%,1400,0
12/16/2022,10.42,11.66,10.42,11.66,1.51,+14.88%,6600,0
12/15/2022,10.44,10.44,10.15,10.15,-0.37,-3.52%,800,0
12/14/2022,10.48,10.52,10.44,10.52,0.4098,+4.05%,6500,0
12/12/2022,10.12,10.14,10.11,10.1102,-0.3498,-3.34%,1700,0
12/08/2022,9.925,10.46,9.925,10.46,0.36,+3.56%,10700,0
12/06/2022,10.015,10.11,10.015,10.1,-0.08,-0.79%,1200,0
12/05/2022,10,10.18,10,10.18,0.28,+2.83%,4100,0
12/02/2022,10.03,10.03,9.9,9.9,-0.14,-1.39%,5500,0
12/01/2022,10.45,10.46,10,10.04,-0.22,-2.14%,89300,0
11/30/2022,10,10.26,9.91,10.26,0.41,+4.16%,79900,0
11/29/2022,9.81,10.015,9.81,9.85,0.04,+0.41%,800,0
11/28/2022,9.81,9.89,9.81,9.81,-0.19,-1.90%,400,0
11/25/2022,10,10.05,9.8,10,-0.15,-1.48%,180500,0
11/23/2022,9.89,10.15,9.89,10.15,0.4,+4.10%,142400,0
11/22/2022,10,10.04,9.75,9.75,-0.25,-2.50%,28400,0
11/21/2022,10.2,10.2,10,10,-0.24,-2.34%,40200,0
11/18/2022,10.24,10.4789,10.24,10.24,0.3,+3.02%,11800,0
11/16/2022,9.94,9.94,9.94,9.94,0.19,+1.95%,200,0
11/15/2022,10.03,10.03,9.75,9.75,-0.1,-1.02%,3300,0
11/14/2022,9.85,9.85,9.85,9.85,-0.35,-3.43%,1000,0
11/11/2022,10,10.2,9.8768,10.2,0.3999,+4.08%,9700,0
11/10/2022,10.08,10.08,9.8,9.8001,-0.4799,-4.67%,3200,0
11/08/2022,10.34,10.34,10.28,10.28,-0.12,-1.15%,800,0
11/07/2022,10.4,10.4,10.4,10.4,0.15,+1.46%,200,0
11/04/2022,10.25,10.25,10.25,10.25,0.11,+1.08%,500,0
11/02/2022,10.26,10.26,10.14,10.14,-0.12,-1.17%,1500,0
11/01/2022,10.26,10.26,10.26,10.26,0.14,+1.38%,500,0
10/31/2022,10.4,10.4,10.12,10.12,-0.25,-2.41%,400,0
