Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/03/2023,14.68,14.68,9.1204,11.05,-4.7,-29.84%,414900,0
02/02/2023,12.75,18,12.59,15.75,3,+23.53%,120400,0
02/01/2023,10.7,12.95,10.7,12.75,1.42,+12.53%,48800,0
01/31/2023,10.63,11.55,10.44,11.33,0.66,+6.19%,17400,0
01/30/2023,10.39,11.23,10.39,10.67,0.27,+2.60%,33400,0
01/27/2023,11.43,12,10.07,10.4,-0.65,-5.88%,49200,0
01/26/2023,11.5,11.5999,10.5,11.05,0.22,+2.03%,25700,0
01/25/2023,9.57,11.83,9.57,10.83,0.93,+9.39%,149400,0
01/24/2023,10.16,10.4999,9.58,9.9,-0.6,-5.71%,95000,0
01/23/2023,10.5,10.5,10.48,10.5,0.0001,0.00%,42000,0
01/20/2023,10.5,10.5,10.47,10.4999,0.0099,+0.09%,54900,0
01/19/2023,10.5,10.5,10.48,10.49,0.02,+0.19%,9900,0
01/18/2023,10.5,10.52,10.47,10.47,-0.03,-0.29%,509500,0
01/17/2023,10.47,10.5,10.46,10.5,0.04,+0.38%,3900,0
01/13/2023,10.46,10.46,10.46,10.46,0,0.00%,300,0
01/12/2023,10.46,10.46,10.46,10.46,0,0.00%,100,0
01/11/2023,10.46,10.46,10.46,10.46,0,0.00%,200,0
01/05/2023,10.46,10.49,10.45,10.46,0,0.00%,229100,0
01/04/2023,10.95,10.95,10.46,10.46,-0.02,-0.19%,500,0
01/03/2023,10.48,10.49,10.45,10.48,-0.01,-0.10%,10000,0
12/30/2022,10.48,10.49,10.47,10.49,0.01,+0.10%,20000,0
12/29/2022,10.48,10.48,10.48,10.48,0.1,+0.96%,700,0
12/28/2022,10.37,10.38,10.37,10.38,0.0299,+0.29%,2200,0
12/27/2022,10.35,10.3501,10.35,10.3501,0.0201,+0.19%,6000,0
12/23/2022,10.29,10.33,10.29,10.33,-0.02,-0.19%,200,0
12/21/2022,10.35,10.3502,10.35,10.35,0.04,+0.39%,9500,0
12/20/2022,10.31,10.31,10.31,10.31,0.01,+0.10%,300,0
12/19/2022,10.285,10.3,10.285,10.3,0.02,+0.19%,11710,0
12/16/2022,10.28,10.28,10.28,10.28,0.01,+0.10%,142100,0
12/15/2022,10.27,10.27,10.27,10.27,0,0.00%,500,0
12/14/2022,10.27,10.27,10.27,10.27,0,0.00%,100,0
12/13/2022,10.27,10.27,10.27,10.27,-0.01,-0.10%,600,0
12/12/2022,10.27,10.28,10.265,10.28,0.03,+0.29%,6800,0
12/09/2022,10.26,10.265,10.25,10.25,-0.01,-0.10%,53400,0
12/08/2022,10.7,10.7,10.26,10.26,0.02,+0.20%,2400,0
12/02/2022,10.24,10.24,10.24,10.24,0,0.00%,1300,0
12/01/2022,10.24,10.24,10.24,10.24,0,0.00%,1400,0
11/30/2022,10.24,10.25,10.24,10.24,0,0.00%,2500,0
11/29/2022,10.28,10.28,10.24,10.24,-0.02,-0.19%,1800,0
11/28/2022,10.29,10.29,10.25,10.26,0.0101,+0.10%,3000,0
11/25/2022,10.248,10.2499,10.248,10.2499,0.0099,+0.10%,200,0
11/23/2022,10.24,10.24,10.24,10.24,0.0101,+0.10%,1010,0
11/17/2022,10.23,10.23,10.2299,10.2299,0,0.00%,7600,0
11/16/2022,10.22,10.23,10.22,10.2299,-0.0001,0.00%,11900,0
11/15/2022,10.22,10.23,10.22,10.23,0.01,+0.10%,29500,0
11/14/2022,10.22,10.22,10.22,10.22,-0.01,-0.10%,100,0
11/09/2022,10.23,10.23,10.23,10.23,0,0.00%,4100,0
11/08/2022,10.23,10.23,10.225,10.23,0.01,+0.10%,1300,0
11/04/2022,10.23,10.23,10.215,10.22,0,0.00%,3200,0
11/01/2022,10.22,10.22,10.22,10.22,0,0.00%,1900,0
10/31/2022,10.22,10.23,10.22,10.22,0,0.00%,14800,0
10/28/2022,10.22,10.22,10.22,10.22,0.01,+0.10%,3200,0
10/27/2022,10.21,10.21,10.21,10.21,0.005,+0.05%,6100,0
10/26/2022,10.21,10.21,10.205,10.205,0.0049,+0.05%,2400,0
10/25/2022,10.21,10.21,10.2001,10.2001,0.0001,0.00%,3000,0
10/24/2022,10.2,10.21,10.2,10.2,0,0.00%,761300,0
10/21/2022,10.21,10.21,10.2,10.2,0,0.00%,500,0
10/19/2022,10.2,10.2,10.2,10.2,0,0.00%,200,0
10/17/2022,10.2,10.2,10.2,10.2,0,0.00%,200,0
10/14/2022,10.2,10.2,10.2,10.2,-0.01,-0.10%,100,0
10/12/2022,10.21,10.21,10.21,10.21,0,0.00%,100,0
10/11/2022,10.21,10.21,10.21,10.21,0.02,+0.20%,300,0
10/10/2022,10.19,10.19,10.19,10.19,-0.02,-0.20%,200,0
10/05/2022,10.21,10.21,10.21,10.21,0.01,+0.10%,200,0
10/04/2022,10.1943,10.2,10.1943,10.2,0,0.00%,600,0
10/03/2022,10.21,10.21,10.2,10.2,0.009,+0.09%,500,0
09/29/2022,10.2,10.2,10.19,10.191,-0.009,-0.09%,11300,0
09/27/2022,10.2,10.2,10.2,10.2,0,0.00%,200,0
09/26/2022,10.2,10.2,10.2,10.2,0,0.00%,1400,0
09/23/2022,10.2,10.2,10.2,10.2,0,0.00%,60700,0
09/22/2022,10.2,10.2,10.2,10.2,0.01,+0.10%,1100,0
09/21/2022,10.19,10.2,10.19,10.19,0,0.00%,400,0
09/20/2022,10.2,10.2,10.18,10.19,-0.01,-0.10%,1600,0
09/19/2022,10.19,10.21,10.1899,10.2,0.02,+0.20%,442300,0
09/16/2022,10.19,10.19,10.18,10.18,-0.01,-0.10%,10300,0
09/15/2022,10.19,10.19,10.19,10.19,0.01,+0.10%,5000,0
09/12/2022,10.18,10.18,10.18,10.18,-0.01,-0.10%,200,0
09/09/2022,10.19,10.19,10.18,10.19,0.015,+0.15%,25300,0
09/08/2022,10.19,10.19,10.17,10.175,0.015,+0.15%,832100,0
09/06/2022,10.17,10.17,10.16,10.16,0,0.00%,26700,0
09/02/2022,10.16,10.16,10.16,10.16,-0.01,-0.10%,5200,0
