Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/17/2023,48.48,49.7,48.22,49.62,1.46,+3.03%,824900,0
02/16/2023,46.35,48.42,45.75,48.16,1.08,+2.29%,1105800,0
02/15/2023,46.78,47.265,46.59,47.08,0.01,+0.02%,1020100,0
02/14/2023,47.73,47.73,46.665,47.07,-0.87,-1.81%,682700,0
02/13/2023,47.69,48.23,47.69,47.94,0.25,+0.52%,570900,0
02/10/2023,46.74,47.7,46.59,47.69,1.03,+2.21%,553200,0
02/09/2023,47.55,47.81,46.5,46.66,-0.9,-1.89%,635300,0
02/08/2023,48.01,48.11,47.33,47.56,-0.8,-1.65%,595100,0
02/07/2023,47.95,48.53,47.58,48.36,0.05,+0.10%,619200,0
02/06/2023,48.31,48.51,47.7,48.31,-0.08,-0.17%,807900,0
02/03/2023,48.54,48.765,46.98,48.39,-0.69,-1.41%,1064400,0
02/02/2023,48.09,49.25,47.7801,49.08,1.08,+2.25%,1231200,0
02/01/2023,47.36,48.53,47.165,48,0.42,+0.88%,924800,0
01/31/2023,47.01,47.72,46.62,47.58,0.66,+1.41%,2459900,0
01/30/2023,47.11,47.52,46.85,46.92,-0.3,-0.64%,585100,0
01/27/2023,47.17,47.47,46.9,47.22,0.05,+0.11%,567600,0
01/26/2023,46.81,47.24,46.75,47.17,0.28,+0.60%,510000,0
01/25/2023,46.98,47.22,46.64,46.89,-0.48,-1.01%,933300,0
01/24/2023,46.97,47.43,46.22,47.37,0.82,+1.76%,650900,0
01/23/2023,46.45,47.01,46.09,46.55,0.05,+0.11%,1095700,0
01/20/2023,45.67,46.54,45.08,46.5,0.88,+1.93%,954500,0
01/19/2023,46.8,46.8,45.5,45.62,-1.21,-2.58%,1071100,0
01/18/2023,48,48.04,46.5175,46.83,-1.03,-2.15%,778300,0
01/17/2023,48.33,48.59,47.75,47.86,-0.4,-0.83%,1083000,0
01/13/2023,49.43,49.43,47.42,48.26,-1.33,-2.68%,1628800,0
01/12/2023,50.1,50.15,49.38,49.59,-0.39,-0.78%,594800,0
01/11/2023,49.7,50.01,49.47,49.98,0.49,+0.99%,482100,0
01/10/2023,49.28,49.56,48.67,49.49,0.03,+0.06%,476000,0
01/09/2023,49.13,49.86,48.97,49.46,0.23,+0.47%,530400,0
01/06/2023,48.69,49.4,48.64,49.23,1.15,+2.39%,463700,0
01/05/2023,48.8,49.059,47.795,48.08,-0.94,-1.92%,432200,0
01/04/2023,49.23,49.65,48.86,49.02,0.19,+0.39%,625600,0
01/03/2023,49.23,49.51,48.08,48.83,-0.17,-0.35%,571000,0
12/30/2022,49.88,49.98,48.63,49,-0.9,-1.80%,540400,0
12/29/2022,49.39,50.27,49.36,49.9,0.83,+1.69%,871000,0
12/28/2022,49.37,49.7,48.91,49.07,-0.37,-0.75%,519200,0
12/27/2022,48.99,49.59,48.82,49.44,0.45,+0.92%,567300,0
12/23/2022,48.12,49,48.12,48.99,0.44,+0.91%,357700,0
