Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/06/2023,39.03,39.03,36.36,36.83,-2.27,-5.81%,240300,0
02/03/2023,39.28,39.97,38.55,39.1,-0.54,-1.36%,119500,0
02/02/2023,39.48,41.02,39.18,39.64,0.51,+1.30%,223100,0
02/01/2023,39.02,40.13,37.56,39.13,0.24,+0.62%,169100,0
01/31/2023,37.75,40.8,37.45,38.89,1.34,+3.57%,343800,0
01/30/2023,37.29,39.2,37.18,37.55,0.02,+0.05%,172300,0
01/27/2023,37.48,38.38,36.34,37.53,0,0.00%,249200,0
01/26/2023,39.24,39.66,37.435,37.53,-1.45,-3.72%,202600,0
01/25/2023,38.75,39.51,37.91,38.98,-0.22,-0.56%,300300,0
01/24/2023,39.64,40.585,38.85,39.2,-0.54,-1.36%,242600,0
01/23/2023,38.69,40.04,38.025,39.74,1.14,+2.95%,238900,0
01/20/2023,39.01,39.08,38.13,38.6,0.03,+0.08%,165500,0
01/19/2023,39.27,39.95,38.57,38.57,-0.81,-2.06%,186300,0
01/18/2023,39.26,40.1893,38.755,39.38,0.27,+0.69%,287800,0
01/17/2023,36.67,39.26,36.155,39.11,2.63,+7.21%,395322,0
01/13/2023,33.89,36.52,33.44,36.48,2.58,+7.61%,494900,0
01/12/2023,32.38,33.96,30.8246,33.9,1.41,+4.34%,392000,0
01/11/2023,35.14,35.34,32.07,32.49,-2.59,-7.38%,446320,0
01/10/2023,36.69,36.87,35.04,35.08,-1.82,-4.93%,550801,0
01/09/2023,39.97,40.76,34.7154,36.9,-2.45,-6.23%,658100,0
01/06/2023,38.52,40.12,37.68,39.35,1.05,+2.74%,297200,0
01/05/2023,38.99,40.07,38.04,38.3,-0.79,-2.02%,212200,0
01/04/2023,40.03,40.3099,38.075,39.09,-0.47,-1.19%,372700,0
01/03/2023,41.96,42.27,39.5,39.56,-1.98,-4.77%,245100,0
12/30/2022,40.79,41.59,40.08,41.54,0.54,+1.32%,222921,0
12/29/2022,40.66,42.35,39.835,41,0.7,+1.74%,154400,0
12/28/2022,40.9,41.73,39.84,40.3,-0.59,-1.44%,116801,0
12/27/2022,41,42.05,40.11,40.89,-0.03,-0.07%,158200,0
12/23/2022,42.36,42.54,40.57,40.92,-1.45,-3.42%,135500,0
12/22/2022,41.5,42.395,40.82,42.37,1.11,+2.69%,251100,0
12/21/2022,41,42.35,40.5325,41.26,0.05,+0.12%,351600,0
12/20/2022,42.99,43.73,40.425,41.21,-2.13,-4.91%,315620,0
12/19/2022,42.91,43.7978,41.14,43.34,0.34,+0.79%,383500,0
12/16/2022,42,43.395,41.42,43,0.76,+1.80%,779000,0
12/15/2022,41.61,42.299,40.71,42.24,0.06,+0.14%,322800,0
12/14/2022,43.9,44.895,41.24,42.18,-2.31,-5.19%,616100,0
12/13/2022,44.45,45.07,43.285,44.49,1.45,+3.37%,364425,0
12/12/2022,43.06,43.49,42.07,43.04,0.23,+0.54%,257400,0
12/09/2022,43.03,44.6399,42.465,42.81,-0.5,-1.15%,217100,0
12/08/2022,44.15,44.765,42.3,43.31,-0.78,-1.77%,292900,0
12/07/2022,44.51,45.505,42.6,44.09,-0.68,-1.52%,330300,0
12/06/2022,45.5,45.595,44.03,44.77,-0.81,-1.78%,334703,0
12/05/2022,46.77,47.49,45.175,45.58,-1.2,-2.57%,196700,0
12/02/2022,44.98,47.75,43.59,46.78,0.88,+1.92%,299733,0
12/01/2022,42.96,46.395,42.035,45.9,3,+6.99%,492800,0
11/30/2022,44.71,45.5649,41.785,42.9,-1.91,-4.26%,412004,0
11/29/2022,44.39,45.48,44.04,44.81,0.18,+0.40%,236600,0
11/28/2022,45.1,45.9,44.05,44.63,-0.87,-1.91%,269700,0
11/25/2022,45.43,45.915,44.91,45.5,0.1,+0.22%,82800,0
11/23/2022,46.14,46.98,44.16,45.4,-0.17,-0.37%,264000,0
11/22/2022,45.19,45.64,44.39,45.57,0.765,+1.71%,234100,0
11/21/2022,44.82,45.6734,43.92,44.805,-0.075,-0.17%,201800,0
11/18/2022,45,46.14,44.3106,44.88,0.71,+1.61%,301701,0
11/17/2022,44.5,45.81,44.15,44.17,-0.88,-1.95%,222200,0
11/16/2022,46.03,46.5,44.27,45.05,-0.82,-1.79%,254768,0
11/15/2022,46.05,46.57,44.01,45.87,-0.57,-1.23%,429000,0
11/14/2022,45.28,47,44.6,46.44,1.4,+3.11%,225023,0
11/11/2022,44.98,47.215,44.1655,45.04,0.51,+1.15%,399700,0
11/10/2022,41.49,44.9,40.62,44.53,5.13,+13.02%,364400,0
11/09/2022,40.27,40.94,39.35,39.4,-1.08,-2.67%,176800,0
11/08/2022,38.98,41.07,37.62,40.48,1.21,+3.08%,255905,0
11/07/2022,40.2,40.63,38.78,39.27,-0.58,-1.46%,204205,0
11/04/2022,39.24,44.03,38.55,39.85,-4.15,-9.43%,619501,0
11/03/2022,43.58,44.465,42.44,44,-0.21,-0.48%,473200,0
11/02/2022,46.13,46.395,44.18,44.21,-1.88,-4.08%,435800,0
11/01/2022,45.87,46.51,44.99,46.09,0.66,+1.45%,278800,0
10/31/2022,44.67,45.675,43.96,45.43,0.09,+0.20%,451600,0
