Time,Open,High,Low,Last,Change,%Chg,Volume
01/20/2023,14.18,14.25,14.015,14.17,0.06,+0.43%,321900
01/19/2023,14.21,14.31,14.04,14.11,-0.13,-0.91%,241500
01/18/2023,14.55,14.72,14.15,14.24,-0.3,-2.06%,340300
01/17/2023,15.04,15.04,14.52,14.54,-0.49,-3.26%,292700
01/13/2023,14.83,15.05,14.77,15.03,0.03,+0.20%,288900
01/12/2023,14.72,15.105,14.61,15,0.34,+2.32%,831200
01/11/2023,14.59,14.79,14.41,14.66,0.11,+0.76%,273500
01/10/2023,14.29,14.61,14.23,14.55,0.12,+0.83%,283800
01/09/2023,14.53,14.75,14.42,14.43,-0.04,-0.28%,404100
01/06/2023,14.29,14.56,14.1825,14.47,0.3,+2.12%,210800
01/05/2023,14.18,14.255,14.1,14.17,-0.08,-0.56%,235800
01/04/2023,14.39,14.56,14.2,14.25,-0.16,-1.11%,322500
01/03/2023,13.89,14.42,13.88,14.41,0.51,+3.67%,536200
12/30/2022,14.06,14.23,13.88,13.9,-0.25,-1.77%,468000
12/29/2022,13.99,14.29,13.94,14.15,0.21,+1.51%,270200
12/28/2022,14.4,14.44,13.94,13.94,-0.43,-2.99%,275400
12/27/2022,14.14,14.46,14.02,14.37,0.29,+2.06%,252500
12/23/2022,14.23,14.38,14.03,14.08,-0.16,-1.12%,208300
12/22/2022,14.3,14.41,14.14,14.24,-0.08,-0.56%,354600
12/21/2022,13.96,14.36,13.96,14.32,0.44,+3.17%,461800
12/20/2022,13.91,14.12,13.85,13.88,-0.02,-0.14%,592000
12/19/2022,13.61,14.1,13.47,13.9,0.42,+3.12%,515900
12/16/2022,13.62,13.79,13.285,13.48,-0.19,-1.39%,2997300
12/15/2022,13.73,14.07,13.47,13.67,-0.12,-0.87%,808000
12/14/2022,13.85,14.08,13.61,13.79,-0.11,-0.79%,566000
12/13/2022,13.97,14.14,13.845,13.9,0.25,+1.83%,677400
12/12/2022,13.92,13.92,13.52,13.65,-0.29,-2.08%,443900
12/09/2022,14.14,14.22,13.835,13.94,-0.24,-1.69%,269700
12/08/2022,14.15,14.43,14.06,14.18,0.23,+1.65%,358400
12/07/2022,13.75,13.97,13.6104,13.95,0.05,+0.36%,287500
12/06/2022,13.89,14.1,13.84,13.9,-0.03,-0.22%,341200
12/05/2022,14.15,14.15,13.81,13.93,-0.31,-2.18%,285000
12/02/2022,14.19,14.33,13.92,14.24,-0.15,-1.04%,288900
12/01/2022,14.46,14.82,14.23,14.39,0.04,+0.28%,489100
