Time,Open,High,Low,Last,Change,%Chg,Volume
01/20/2023,3.25,3.2712,3.155,3.26,0.05,+1.56%,466200
01/19/2023,3.11,3.21,3.09,3.21,0.1,+3.22%,425700
01/18/2023,3.07,3.16,3.06,3.11,0.06,+1.97%,490200
01/17/2023,3.07,3.1,3.04,3.05,-0.02,-0.65%,270200
01/13/2023,2.99,3.13,2.97,3.07,0.02,+0.66%,395900
01/12/2023,3,3.13,2.97,3.05,0.07,+2.35%,527200
01/11/2023,2.93,3.01,2.89,2.98,0.04,+1.36%,362900
01/10/2023,2.89,2.96,2.86,2.94,0.01,+0.34%,165600
01/09/2023,2.88,2.95,2.86,2.93,0.07,+2.45%,267300
01/06/2023,2.82,2.9,2.73,2.86,0.16,+5.93%,372500
01/05/2023,2.73,2.77,2.695,2.7,-0.05,-1.82%,315700
01/04/2023,2.78,2.86,2.7,2.75,0,0.00%,342500
01/03/2023,2.8,2.97,2.75,2.75,-0.04,-1.43%,388600
12/30/2022,2.7,2.81,2.7,2.79,0.03,+1.09%,452400
12/29/2022,2.61,2.76,2.58,2.76,0.18,+6.98%,392500
12/28/2022,2.61,2.68,2.57,2.58,-0.04,-1.53%,360500
12/27/2022,2.66,2.68,2.59,2.62,-0.03,-1.13%,231500
12/23/2022,2.62,2.68,2.57,2.65,0.04,+1.53%,223100
12/22/2022,2.59,2.63,2.5,2.61,-0.03,-1.14%,395800
12/21/2022,2.62,2.7,2.58,2.64,0.04,+1.54%,437200
12/20/2022,2.6,2.62,2.54,2.6,-0.01,-0.38%,482000
12/19/2022,2.77,2.77,2.57,2.61,-0.17,-6.12%,708500
12/16/2022,2.8,2.84,2.65,2.78,-0.02,-0.71%,4860400
12/15/2022,3,3.06,2.8,2.8,-0.21,-6.98%,783600
12/14/2022,2.9,3.14,2.87,3.01,0.12,+4.15%,1118600
12/13/2022,2.71,3.01,2.7,2.89,0.24,+9.06%,1485600
12/12/2022,2.66,2.73,2.58,2.65,0.03,+1.15%,609500
12/09/2022,2.48,2.71,2.45,2.62,0.15,+6.07%,911100
12/08/2022,2.27,2.49,2.27,2.47,0.21,+9.29%,1186000
12/07/2022,2.46,2.46,2.245,2.26,-0.17,-7.00%,580000
12/06/2022,2.5,2.5,2.41,2.43,-0.07,-2.80%,658800
12/05/2022,2.51,2.535,2.46,2.5,0,0.00%,730500
12/02/2022,2.45,2.55,2.44,2.5,0.01,+0.40%,1220100
12/01/2022,2.52,2.61,2.47,2.49,-0.04,-1.58%,1681200
11/30/2022,2.48,2.54,2.42,2.53,0.04,+1.61%,1290400
11/29/2022,2.55,2.56,2.46,2.49,-0.05,-1.97%,336500
11/28/2022,2.57,2.6,2.53,2.54,-0.05,-1.93%,319700
11/25/2022,2.59,2.62,2.57,2.59,0,0.00%,233800
11/23/2022,2.62,2.65,2.56,2.59,-0.03,-1.15%,702400
11/22/2022,2.72,2.75,2.59,2.62,-0.08,-2.96%,502600
11/21/2022,2.73,2.74,2.65,2.7,-0.05,-1.82%,453600
11/18/2022,2.79,2.85,2.72,2.75,0.03,+1.10%,927800
11/17/2022,2.6,2.76,2.58,2.72,0.07,+2.64%,372200
11/16/2022,2.67,2.72,2.565,2.65,-0.04,-1.49%,270400
