Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/10/2023,23.4,23.51,23.35,23.49,-0.04,-0.17%,328744,0
02/09/2023,23.92,24.02,23.49,23.53,-0.32,-1.34%,6677700,0
02/08/2023,23.6,23.97,23.5,23.85,-0.02,-0.08%,14767000,0
02/07/2023,23.57,24.04,23.52,23.87,0.18,+0.76%,6651300,0
02/06/2023,23.85,23.89,23.6,23.69,-0.31,-1.29%,6406000,0
02/03/2023,23.84,24.2,23.79,24,0.05,+0.21%,6160600,0
02/02/2023,23.91,24.33,23.66,23.95,0.17,+0.71%,6070700,0
02/01/2023,23.33,24.095,23.21,23.78,0.24,+1.02%,8606300,0
01/31/2023,23.27,23.55,23.01,23.54,0.34,+1.47%,7184100,0
01/30/2023,23.24,23.37,23.145,23.2,-0.2,-0.85%,5910700,0
01/27/2023,23.25,23.5,23.18,23.4,0.2,+0.86%,5107200,0
01/26/2023,23.05,23.25,22.95,23.2,0.3,+1.31%,5572200,0
01/25/2023,22.76,22.93,22.6,22.9,0.07,+0.31%,6279500,0
01/24/2023,22.99,23.12,22.61,22.83,-0.13,-0.57%,7757900,0
01/23/2023,22.83,23.04,22.6003,22.96,0.27,+1.19%,10372400,0
01/20/2023,22.76,23.22,21.74,22.69,1,+4.61%,14212426,0
01/19/2023,21.48,21.75,21.11,21.69,-0.13,-0.60%,12621000,0
01/18/2023,22.28,22.55,21.8,21.82,-0.61,-2.72%,8585300,0
01/17/2023,22.37,22.51,22.14,22.43,0,0.00%,6397000,0
01/13/2023,22,22.48,21.625,22.43,0.07,+0.31%,9809007,0
01/12/2023,22.29,22.49,22.13,22.36,0.23,+1.04%,5318800,0
01/11/2023,22.1,22.24,21.91,22.13,0.1,+0.45%,6590500,0
01/10/2023,21.91,22.19,21.85,22.03,-0.06,-0.27%,5741000,0
01/09/2023,22.29,22.37,22.065,22.09,-0.3,-1.34%,6034100,0
01/06/2023,21.81,22.47,21.58,22.39,0.72,+3.32%,5829300,0
01/05/2023,21.73,21.84,21.405,21.67,-0.24,-1.10%,5704400,0
01/04/2023,21.8,22.07,21.62,21.91,0.44,+2.05%,7857200,0
01/03/2023,21.77,21.95,21.315,21.47,-0.09,-0.42%,7741304,0
12/30/2022,21.49,21.7,21.405,21.56,-0.06,-0.28%,3324203,0
12/29/2022,21.27,21.66,21.26,21.62,0.37,+1.74%,3697800,0
12/28/2022,21.44,21.54,21.15,21.25,-0.19,-0.89%,4215901,0
12/27/2022,21.29,21.445,21.1079,21.44,0.22,+1.04%,3646300,0
12/23/2022,21.06,21.315,21.045,21.22,0.14,+0.66%,4005200,0
12/22/2022,20.91,21.1,20.575,21.08,0.04,+0.19%,5778000,0
12/21/2022,20.97,21.17,20.945,21.04,0.33,+1.59%,5169200,0
12/20/2022,20.72,20.907,20.555,20.71,0.11,+0.53%,5876300,0
12/19/2022,20.56,20.885,20.47,20.6,0.02,+0.10%,6993802,0
12/16/2022,20.63,20.945,20.38,20.58,-0.24,-1.15%,15597111,0
12/15/2022,20.9,20.98,20.595,20.82,-0.3,-1.42%,8255900,0
12/14/2022,21.67,21.781,21.07,21.12,-0.53,-2.45%,9303800,0
12/13/2022,22.85,22.945,21.455,21.65,-0.74,-3.31%,11632300,0
12/12/2022,22.08,22.5175,21.777,22.39,0.37,+1.68%,6884000,0
12/09/2022,21.96,22.225,21.83,22.02,-0.04,-0.18%,5093100,0
12/08/2022,21.76,22.11,21.53,22.06,0.47,+2.18%,7741300,0
12/07/2022,21.27,21.9,21.23,21.59,-0.01,-0.05%,10545800,0
12/06/2022,22,22.1,21.3,21.6,-0.38,-1.73%,10502700,0
12/05/2022,23,23.03,21.76,21.98,-1.18,-5.09%,10018900,0
12/02/2022,22.77,23.355,22.75,23.16,0.17,+0.74%,8925500,0
12/01/2022,23.37,23.44,22.75,22.99,-0.22,-0.95%,8117803,0
11/30/2022,22.81,23.24,22.15,23.21,0.3,+1.31%,9060200,0
11/29/2022,22.58,22.93,22.48,22.91,0.37,+1.64%,4434900,0
11/28/2022,22.66,22.835,22.43,22.54,-0.33,-1.44%,5422700,0
11/25/2022,22.85,22.9755,22.795,22.87,0.13,+0.57%,1377500,0
11/23/2022,22.67,22.8,22.595,22.74,0.08,+0.35%,2784800,0
11/22/2022,22.71,22.865,22.565,22.66,0.15,+0.67%,3725900,0
11/21/2022,22.35,22.64,22.275,22.51,0.02,+0.09%,5621300,0
11/18/2022,22.77,22.87,22.22,22.49,0.14,+0.63%,5677400,0
11/17/2022,22.39,22.555,22.14,22.35,-0.34,-1.50%,6360200,0
11/16/2022,23.07,23.14,22.615,22.69,-0.44,-1.90%,6116200,0
11/15/2022,23.27,23.495,22.9,23.13,0.22,+0.96%,5785800,0
11/14/2022,23.34,23.48,22.9,22.91,-0.5,-2.14%,4889500,0
11/11/2022,23.5,23.6594,23.25,23.41,0.13,+0.56%,7080103,0
11/10/2022,23.19,23.4,22.91,23.28,0.82,+3.65%,8716703,0
11/09/2022,22.56,22.69,22.38,22.46,-0.37,-1.62%,5708200,0
11/08/2022,22.87,22.945,22.61,22.83,0.01,+0.04%,7146606,0
11/07/2022,22.72,22.84,22.435,22.82,0.36,+1.60%,5121601,0
11/04/2022,22.28,22.74,22.08,22.46,0.47,+2.14%,7605500,0
11/03/2022,21.65,22.19,21.28,21.99,0.14,+0.64%,7648600,0
11/02/2022,22.31,22.51,21.83,21.85,-0.45,-2.02%,7641200,0
11/01/2022,22.13,22.33,22,22.3,0.35,+1.59%,6303215,0
10/31/2022,21.82,22.14,21.76,21.95,0.1,+0.46%,7019100,0
10/28/2022,21.71,21.89,21.55,21.85,0.3,+1.39%,6064101,0
10/27/2022,21.49,21.74,21.44,21.55,0.26,+1.22%,8884600,0
10/26/2022,21.31,21.52,21.18,21.29,0.06,+0.28%,8612304,0
10/25/2022,20.36,21.275,20.26,21.23,0.68,+3.31%,11146400,0
10/24/2022,19.69,20.6979,19.58,20.55,1.03,+5.28%,16159100,0
10/21/2022,19.85,20.69,19.095,19.52,-0.22,-1.11%,24905200,0
10/20/2022,20.85,21.1,19.61,19.74,-1.16,-5.55%,16959600,0
10/19/2022,21.44,21.65,20.805,20.9,-0.76,-3.51%,9927000,0
10/18/2022,21.72,22.01,21.28,21.66,0.41,+1.93%,11347900,0
10/17/2022,21.23,21.42,20.945,21.25,0.57,+2.76%,9467202,0
10/14/2022,21,21.51,20.645,20.68,-0.2,-0.96%,9317902,0
10/13/2022,19.32,20.94,19.15,20.88,1.28,+6.53%,9981700,0
10/12/2022,19.83,19.99,19.59,19.6,-0.29,-1.46%,8707800,0
10/11/2022,20.17,20.27,19.79,19.89,-0.37,-1.83%,7644300,0
10/10/2022,20.55,20.68,20.11,20.26,-0.19,-0.93%,7426200,0
10/07/2022,20.68,20.73,20.25,20.45,-0.36,-1.73%,10460700,0
10/06/2022,21.03,21.17,20.79,20.81,-0.36,-1.70%,6031100,0
10/05/2022,21.07,21.31,21,21.17,-0.23,-1.07%,6821600,0
10/04/2022,20.85,21.42,20.85,21.4,0.88,+4.29%,7203300,0
10/03/2022,20.31,20.65,19.855,20.52,0.45,+2.24%,9218900,0
09/30/2022,20.02,20.54,19.92,20.07,0.2,+1.01%,10594400,0
09/29/2022,20.14,20.34,19.64,19.87,-0.59,-2.88%,10097900,0
09/28/2022,20.58,21.06,20.21,20.46,0.05,+0.24%,19665700,0
09/27/2022,20.82,21.04,20.095,20.41,-0.28,-1.35%,8328200,0
09/26/2022,20.71,21.05,20.475,20.69,-0.19,-0.91%,8071205,0
09/23/2022,21.04,21.15,20.59,20.88,-0.43,-2.02%,6830900,0
09/22/2022,22.02,22.06,21.265,21.31,-0.56,-2.56%,6240600,0
09/21/2022,22.32,22.499,21.87,21.87,-0.32,-1.44%,8155000,0
09/20/2022,22.08,22.35,21.975,22.19,-0.05,-0.22%,6310100,0
09/19/2022,21.71,22.32,21.63,22.24,0.31,+1.41%,5279300,0
09/16/2022,22.17,22.23,21.6713,21.93,-0.51,-2.27%,13704000,0
09/15/2022,22.24,22.8,22.185,22.44,0.31,+1.40%,7467800,0
09/14/2022,21.74,22.2,21.49,22.13,0.45,+2.08%,11095100,0
09/13/2022,21.98,22.165,21.565,21.68,-0.78,-3.47%,9638900,0
09/12/2022,22.31,22.64,22.21,22.46,0.25,+1.13%,8489100,0
09/09/2022,22.36,22.525,22.19,22.21,0,0.00%,9929800,0
09/08/2022,21.44,22.23,21.3,22.21,0.66,+3.06%,6591300,0
09/07/2022,20.94,21.63,20.87,21.55,0.54,+2.57%,5725900,0
09/06/2022,21.42,21.5,20.82,21.01,-0.27,-1.27%,7301401,0
09/02/2022,21.69,21.885,21.1801,21.28,-0.1,-0.47%,6356700,0
09/01/2022,21.47,21.47,20.935,21.38,-0.29,-1.34%,6340400,0
08/31/2022,21.76,21.925,21.58,21.67,-0.02,-0.09%,8117200,0
08/30/2022,21.86,21.92,21.525,21.69,-0.05,-0.23%,5574300,0
08/29/2022,21.76,21.94,21.54,21.74,-0.23,-1.05%,4728000,0
08/26/2022,22.61,22.76,21.95,21.97,-0.55,-2.44%,7138000,0
08/25/2022,22.21,22.54,22.12,22.52,0.4,+1.81%,4013600,0
08/24/2022,22.01,22.215,21.86,22.12,0.07,+0.32%,4819800,0
08/23/2022,22.16,22.375,22.05,22.05,-0.06,-0.27%,5793300,0
08/22/2022,22.23,22.3,22,22.11,-0.49,-2.17%,6649900,0
08/19/2022,22.78,22.86,22.475,22.6,-0.36,-1.57%,4620600,0
08/18/2022,22.85,22.99,22.765,22.96,0.12,+0.53%,4496200,0
08/17/2022,22.82,22.95,22.6254,22.84,-0.33,-1.42%,6065300,0
08/16/2022,22.85,23.37,22.83,23.17,0.26,+1.13%,5159300,0
08/15/2022,22.7,23.015,22.65,22.91,-0.05,-0.22%,4111400,0
08/12/2022,22.78,22.97,22.62,22.96,0.32,+1.41%,4816100,0
08/11/2022,22.48,22.67,22.425,22.64,0.42,+1.89%,6720600,0
08/10/2022,21.85,22.44,21.815,22.22,0.76,+3.54%,7268100,0
08/09/2022,21.32,21.47,21.165,21.46,0.2,+0.94%,5191900,0
08/08/2022,21.49,21.6,21.19,21.26,-0.09,-0.42%,5571900,0
08/05/2022,21,21.525,20.95,21.35,0.33,+1.57%,6557300,0
08/04/2022,21.03,21.135,20.88,21.02,-0.13,-0.61%,7372000,0
08/03/2022,21.06,21.285,20.94,21.15,0.32,+1.54%,7180700,0
08/02/2022,21.07,21.2,20.745,20.83,-0.29,-1.37%,7598100,0
08/01/2022,21,21.235,20.805,21.12,-0.06,-0.28%,8626100,0
07/29/2022,21.01,21.26,20.99,21.18,0.26,+1.24%,7986700,0
07/28/2022,21.13,21.225,20.72,20.92,-0.25,-1.18%,6710800,0
07/27/2022,20.77,21.305,20.525,21.17,0.55,+2.67%,7714300,0
07/26/2022,21.12,21.24,20.58,20.62,-0.67,-3.15%,8296800,0
07/25/2022,20.95,21.32,20.76,21.29,0.64,+3.10%,8174200,0
07/22/2022,20.93,21.19,20.03,20.65,0.28,+1.37%,12949000,0
07/21/2022,20.18,20.45,19.99,20.37,0.1,+0.49%,12503700,0
07/20/2022,19.93,20.29,19.84,20.27,0.23,+1.15%,5198300,0
07/19/2022,19.83,20.165,19.75,20.04,0.58,+2.98%,5010100,0
07/18/2022,19.51,19.89,19.33,19.46,0.27,+1.41%,4830400,0
07/15/2022,18.59,19.265,18.44,19.19,0.95,+5.21%,7459200,0
07/14/2022,18.16,18.335,18.01,18.24,-0.4,-2.15%,5560100,0
07/13/2022,18.75,18.81,18.255,18.64,-0.33,-1.74%,7021100,0
07/12/2022,18.62,19.36,18.62,18.97,-0.08,-0.42%,7558300,0
07/11/2022,18.93,19.11,18.675,19.05,0.03,+0.16%,6919800,0
07/08/2022,19.19,19.25,18.795,19.02,-0.02,-0.11%,7164800,0
07/07/2022,18.91,19.27,18.87,19.04,0.48,+2.59%,7757500,0
07/06/2022,18.66,18.876,18.4,18.56,-0.29,-1.54%,7779700,0
