Time,Open,High,Low,Last,Change,%Chg,Volume
01/18/2023,125.26,126.4299,122.44,122.59,-1.27,-1.03%,301200
01/17/2023,127.92,127.94,123.63,123.86,-4.79,-3.72%,635400
01/13/2023,127.04,129.22,127.01,128.65,1.87,+1.47%,436973
01/12/2023,126,127.84,124.26,126.78,2.35,+1.89%,338300
01/11/2023,124.89,125.1199,122.5112,124.43,-0.3,-0.24%,399400
01/10/2023,122.4,124.769,121.76,124.73,2.32,+1.90%,397500
01/09/2023,125.79,125.8,122.21,122.41,-2.38,-1.91%,543000
01/06/2023,123.02,126.48,122.3,124.79,4.26,+3.53%,623900
01/05/2023,117.42,120.62,116.76,120.53,1.31,+1.10%,358200
01/04/2023,118.77,120.97,118.77,119.22,2.39,+2.05%,682000
01/03/2023,114.29,116.98,114.29,116.83,4.11,+3.65%,584500
12/30/2022,112.65,112.95,111.5,112.72,0.47,+0.42%,302800
12/29/2022,112.87,113.41,111.98,112.25,0.75,+0.67%,368300
12/28/2022,113.53,114.06,111.21,111.5,-2.91,-2.54%,321900
12/27/2022,113.34,115.89,113,114.41,1.57,+1.39%,340000
12/23/2022,112.49,113.7,110.9101,112.84,1.05,+0.94%,340500
12/22/2022,111.15,111.85,109.73,111.79,-0.19,-0.17%,443700
12/21/2022,111.09,112.7,110.66,111.98,1.59,+1.44%,470900
12/20/2022,109,111.7555,108.65,110.39,3.86,+3.62%,529100
12/19/2022,107.93,108.28,105.78,106.53,-0.865,-0.81%,424100
12/16/2022,106.44,108.28,106.345,107.395,0.45,+0.42%,1812500
12/15/2022,108.84,109.73,106.58,106.945,-4.615,-4.14%,526800
12/14/2022,112.27,113.155,110.315,111.56,-0.88,-0.78%,548300
12/13/2022,112.78,113.73,110.68,112.44,3.45,+3.17%,520700
12/12/2022,109.18,109.63,106.755,108.99,-1.56,-1.41%,561000
12/09/2022,112.8,113.63,110.4,110.55,-1.44,-1.29%,328600
12/08/2022,112.53,113.1299,111.35,111.99,0.39,+0.35%,311400
12/07/2022,112.05,113.13,110.66,111.6,0.93,+0.84%,341700
12/06/2022,111.86,112.485,110.231,110.67,0.2,+0.18%,388300
12/05/2022,112.64,112.64,110.04,110.47,-3.245,-2.85%,378000
12/02/2022,112.07,114.63,111.8139,113.715,-0.285,-0.25%,381500
12/01/2022,114.61,116.04,112.54,114,1.67,+1.49%,603900
11/30/2022,109.9,112.74,108.44,112.33,3.6,+3.31%,660300
11/29/2022,106.67,109.035,106.5,108.73,3.52,+3.35%,933200
11/28/2022,108.01,108.34,105.08,105.21,-3.31,-3.05%,275900
11/25/2022,109.34,109.7,107.92,108.52,-1.58,-1.44%,136000
11/23/2022,108.96,110.71,107.66,110.1,0.62,+0.57%,284000
11/22/2022,105.91,110.12,105.84,109.48,4.49,+4.28%,408100
11/21/2022,104.34,105.115,103.63,104.99,0.59,+0.57%,217100
11/18/2022,101.64,104.47,101.64,104.4,1.45,+1.41%,221300
11/17/2022,103.29,104.16,101.93,102.95,-2.76,-2.61%,279000
11/16/2022,105.65,106.73,104.9286,105.71,0.06,+0.06%,276600
11/15/2022,107.56,107.99,104.61,105.65,-0.83,-0.78%,347800
11/14/2022,104.76,106.8,103.0201,106.48,1.38,+1.31%,377000
11/11/2022,105.53,106.33,103.07,105.1,0.07,+0.07%,317900
11/10/2022,104.59,106.64,104.4,105.03,4.36,+4.33%,535109
11/09/2022,101,102.26,99.83,100.67,-0.76,-0.75%,493800
11/08/2022,95.88,102.42,95.65,101.43,5.57,+5.81%,556200
11/07/2022,95.69,97.27,95.37,95.86,0.18,+0.19%,495200
11/04/2022,90.4,96.02,90.4,95.68,8.11,+9.26%,869100
11/03/2022,89.65,89.8131,86.75,87.57,-4.5,-4.89%,967400
11/02/2022,97.85,98.1468,91.93,92.07,-5.06,-5.21%,651300
11/01/2022,96.81,97.44,95.64,97.13,2.17,+2.29%,479900
10/31/2022,95.77,96.49,94.46,94.96,-1.69,-1.75%,600600
10/28/2022,96,96.7495,95.24,96.65,-0.41,-0.42%,245300
10/27/2022,98.49,98.89,96.95,97.06,-1.39,-1.41%,304600
10/26/2022,97.26,99.92,97.03,98.45,2.09,+2.17%,406100
10/25/2022,94.85,96.43,94.62,96.36,1.93,+2.04%,294400
10/24/2022,94.26,94.91,93.22,94.43,-0.87,-0.91%,293900
10/21/2022,92.48,95.94,91.565,95.3,3.72,+4.06%,483400
10/20/2022,91.13,93.29,90.45,91.58,0.78,+0.86%,342200
10/19/2022,91.17,91.71,90,90.8,-2.68,-2.87%,482700
10/18/2022,92.87,93.58,92.25,93.48,1.81,+1.97%,407900
10/17/2022,91.48,93.76,91.27,91.67,2.14,+2.39%,471900
10/14/2022,91.85,91.89,89.07,89.53,-3.06,-3.30%,382400
10/13/2022,91.11,93.62,87.68,92.59,-1.73,-1.83%,503800
10/12/2022,94.82,96,93.42,94.32,-0.47,-0.50%,316500
10/11/2022,93.79,96.78,93.11,94.79,1,+1.07%,462500
10/10/2022,93.25,95.2103,92.56,93.79,-0.09,-0.10%,333900
10/07/2022,97.99,98.33,93.71,93.88,-5.55,-5.58%,579000
10/06/2022,96.76,99.66,96.76,99.43,1.94,+1.99%,435700
10/05/2022,97.19,97.73,95.69,97.49,-1.62,-1.63%,328100
10/04/2022,97.88,99.77,97.59,99.11,2.65,+2.75%,419700
10/03/2022,95.31,97.94,94.2,96.46,2.64,+2.81%,645200
09/30/2022,92.4,95.3,92.2923,93.82,0.9,+0.97%,545500
09/29/2022,92.3,93.79,91.66,92.92,0.08,+0.09%,592300
09/28/2022,88.2,92.995,88.2,92.84,6.18,+7.13%,682400
09/27/2022,87.56,88.29,86.15,86.66,0.2,+0.23%,412600
09/26/2022,87.45,88.43,84.54,86.46,-1.74,-1.97%,529300
09/23/2022,89.87,89.9525,87.06,88.2,-3.68,-4.01%,512400
09/22/2022,92.94,93.77,91.22,91.88,-0.5,-0.54%,310400
09/21/2022,93.43,94.61,91.73,92.38,-0.26,-0.28%,393600
09/20/2022,92.41,93.3,91.15,92.64,-1.08,-1.15%,367400
09/19/2022,92.2,94.1817,91.8,93.72,0.46,+0.49%,397600
09/16/2022,91.34,94.72,90.3738,93.26,1.55,+1.69%,891500
09/15/2022,92.89,93.56,90.69,91.71,-1.88,-2.01%,643800
09/14/2022,93.57,94.88,92.99,93.59,0.22,+0.24%,382000
09/13/2022,93.29,95.22,93,93.37,-2.77,-2.88%,495800
09/12/2022,97.14,97.255,95.56,96.14,0.09,+0.09%,445500
09/09/2022,95.34,96.46,94.77,96.05,1.61,+1.70%,330500
09/08/2022,93.73,95.19,93.18,94.44,0.18,+0.19%,429300
09/07/2022,91.26,95.04,91.155,94.26,2.78,+3.04%,449200
09/06/2022,91.35,91.95,90.51,91.48,1.03,+1.14%,578706
09/02/2022,90.38,92.1101,89.28,90.45,1.41,+1.58%,588700
09/01/2022,90.52,91.7,88.64,89.04,-2.86,-3.11%,576300
08/31/2022,93.62,94.21,91.81,91.9,-2.08,-2.21%,774200
08/30/2022,95,95.02,93.62,93.98,-1.29,-1.35%,507700
08/29/2022,96.18,96.86,95.12,95.27,-0.99,-1.03%,281400
08/26/2022,99.58,99.71,95.62,96.26,-3.29,-3.30%,342900
08/25/2022,100.44,100.66,98.79,99.55,-0.49,-0.49%,339800
08/24/2022,98.54,100.57,97.77,100.04,1.18,+1.19%,300100
08/23/2022,97.25,99.54,97.25,98.86,1.62,+1.67%,546900
08/22/2022,96.3,98.3,96.3,97.24,0.04,+0.04%,360400
08/19/2022,99.97,99.97,96.93,97.2,-2.95,-2.95%,535600
08/18/2022,100,101.1,99.78,100.15,0.26,+0.26%,591200
08/17/2022,101.37,101.37,99.175,99.89,-1.78,-1.75%,717600
08/16/2022,100.89,101.81,99.24,101.67,0.81,+0.80%,394400
08/15/2022,100.58,101.4899,99.62,100.86,-2,-1.94%,506800
08/12/2022,102.15,103.25,101.92,102.86,1.41,+1.39%,462100
08/11/2022,104.16,104.2033,101.15,101.45,-2.63,-2.53%,611800
08/10/2022,104.85,105.2772,103.42,104.08,-0.04,-0.04%,512100
08/09/2022,105.4,105.74,103.12,104.12,-0.6,-0.57%,533400
08/08/2022,104.17,105.5,103.08,104.72,2.05,+2.00%,609300
08/05/2022,100.93,102.71,98.4866,102.67,-0.02,-0.02%,716100
08/04/2022,103.83,103.83,98.22,102.69,0.98,+0.96%,1002500
08/03/2022,103.92,103.9442,101.215,101.71,-2.62,-2.51%,577800
08/02/2022,105.5,106.04,103.39,104.33,-1.26,-1.19%,703600
08/01/2022,105.1,105.66,103.13,105.59,0.82,+0.78%,429600
07/29/2022,105.49,105.49,102.5,104.77,0.27,+0.26%,951600
07/28/2022,105.5,107.12,103.7801,104.5,0.77,+0.74%,455900
07/27/2022,102.96,104.46,101.27,103.73,0.77,+0.75%,416300
07/26/2022,100.97,103.3,100.97,102.96,2.46,+2.45%,438300
07/25/2022,102.3,102.69,99.57,100.5,-1.81,-1.77%,471600
07/22/2022,103.9,105.4,101.8099,102.31,-0.43,-0.42%,376000
07/21/2022,100.53,104.09,100.1401,102.74,3.01,+3.02%,544700
07/20/2022,103.1,103.67,99.54,99.73,-3.35,-3.25%,601300
07/19/2022,102.5,103.9,102.21,103.08,0.62,+0.61%,414100
07/18/2022,104.11,105.28,102.4,102.46,-0.94,-0.91%,411700
07/15/2022,104.5,104.5,102.35,103.4,-0.36,-0.35%,435100
07/14/2022,103.39,104.39,101.1,103.76,-2.85,-2.67%,476000
07/13/2022,104.34,108.93,104.34,106.61,1.36,+1.29%,462700
07/12/2022,108.9,109.13,104.575,105.25,-3.46,-3.18%,701500
07/11/2022,107.38,109.57,106.7875,108.71,0.92,+0.85%,455600
07/08/2022,108.25,109.7,106.9873,107.79,-0.25,-0.23%,488200
07/07/2022,106.91,108.94,106.5,108.04,1.38,+1.29%,348700
07/06/2022,107.98,108.0574,103.77,106.66,-1.04,-0.97%,501900
07/05/2022,110,110.14,104.78,107.7,-2.55,-2.31%,620200
07/01/2022,105.79,110.73,105.28,110.25,3.47,+3.25%,373100
06/30/2022,109.64,109.92,106.31,106.78,-2.98,-2.72%,367600
06/29/2022,111.33,111.77,108.88,109.76,-0.53,-0.48%,396400
06/28/2022,110.66,110.98,109.5501,110.29,0.14,+0.13%,468000
06/27/2022,109.84,110.54,108.19,110.15,0.47,+0.43%,433200
06/24/2022,107.44,109.85,106.17,109.68,2.4,+2.24%,771300
06/23/2022,108.97,110.5,106.52,107.28,-1.92,-1.76%,403800
06/22/2022,109.47,111.54,108.69,109.2,-0.49,-0.45%,318200
06/21/2022,108.42,111.235,108.33,109.69,0.76,+0.70%,396400
06/17/2022,109.2,110.05,108.12,108.93,-0.26,-0.24%,1304000
06/16/2022,106.28,109.7699,105.43,109.19,2.12,+1.98%,692400
06/15/2022,107.99,109.3034,103.5788,107.07,1.24,+1.17%,947100
06/14/2022,108.38,109,105.405,105.83,-3.21,-2.94%,857300
06/13/2022,113,113.595,108.15,109.04,-5.8,-5.05%,705200
06/10/2022,110.08,115.72,108.89,114.84,3.82,+3.44%,593800
06/09/2022,114.55,114.94,110.92,111.02,-4.16,-3.61%,644500
06/08/2022,116,116.1425,114.62,115.18,-1.3,-1.12%,602000
06/07/2022,114.47,116.58,114.47,116.48,1.64,+1.43%,422600
06/06/2022,116.71,117.265,114,114.84,-1.22,-1.05%,481200
06/03/2022,117,118.33,115.36,116.06,-2.54,-2.14%,463200
06/02/2022,115.62,118.73,115.62,118.6,4.16,+3.64%,483900
06/01/2022,113.76,115.5,112.13,114.44,1.36,+1.20%,483000
05/31/2022,115.81,116.7304,112.605,113.08,-2.25,-1.95%,615600
05/27/2022,116.23,116.97,114.68,115.33,0.31,+0.27%,513800
05/26/2022,114.73,115.31,113.7875,115.02,0.19,+0.17%,607500
05/25/2022,113.79,115.44,113.25,114.83,0.03,+0.03%,404500
05/24/2022,114.59,115.85,113.32,114.8,0.93,+0.82%,547500
05/23/2022,116.42,117.31,113.59,113.87,-0.54,-0.47%,506700
05/20/2022,115.39,115.43,112.1,114.41,-1.51,-1.30%,572000
05/19/2022,113.72,116.77,113.72,115.92,3.62,+3.22%,549800
05/18/2022,116.3,117.02,112.25,112.3,-4.13,-3.55%,480400
05/17/2022,118.21,118.57,115.41,116.43,-0.17,-0.15%,407400
05/16/2022,118.08,118.43,116.08,116.6,-1.4,-1.19%,355400
05/13/2022,117.7,119.59,116.45,118,0.12,+0.10%,398000
05/12/2022,120.62,121.92,116.25,117.88,-4.29,-3.51%,661500
05/11/2022,122.96,125.08,121.66,122.17,0.69,+0.57%,462100
05/10/2022,124.48,125.13,120.45,121.48,-2.1,-1.70%,720200
05/09/2022,127.16,127.645,122.6888,123.58,-6.56,-5.04%,546000
05/06/2022,131.32,133.38,129.18,130.14,-2.44,-1.84%,468700
05/05/2022,136.67,137.33,130.17,132.58,-0.63,-0.47%,520600
05/04/2022,130.32,133.38,129.52,133.21,1.99,+1.52%,529000
05/03/2022,130.38,133,130.38,131.22,0.9,+0.69%,374700
