Time,Open,High,Low,Last,Change,%Chg,Volume
03/31/2023,10.36,10.36,10.36,10.36,-0.0001,0.00%,200
03/29/2023,10.36,10.3601,10.33,10.3601,0.0001,0.00%,9000
03/24/2023,10.36,10.36,10.36,10.36,0,0.00%,100
03/22/2023,10.36,10.36,10.36,10.36,0,0.00%,900
03/21/2023,10.4,10.4,10.36,10.36,0,0.00%,1600
03/20/2023,10.36,10.36,10.36,10.36,0.01,+0.10%,500
03/16/2023,10.35,10.35,10.35,10.35,-0.24,-2.27%,100
03/09/2023,10.6,10.6,10.47,10.59,0.18,+1.73%,800
03/08/2023,10.41,10.41,10.41,10.41,-0.02,-0.19%,700
03/02/2023,10.44,10.47,10.41,10.43,-0.36,-3.34%,2000
03/01/2023,10.41,11.48,10.41,10.79,0.37,+3.55%,15300
02/21/2023,10.42,10.42,10.42,10.42,0.07,+0.68%,800
02/17/2023,10.35,10.35,10.35,10.35,0,0.00%,100
02/16/2023,10.34,10.35,10.34,10.35,0.03,+0.29%,5600
02/14/2023,10.32,10.32,10.32,10.32,0,0.00%,6500
02/13/2023,10.32,10.32,10.32,10.32,0.02,+0.19%,200
02/06/2023,10.29,10.3,10.29,10.3,0.01,+0.10%,2400
02/03/2023,10.29,10.3428,10.28,10.29,-0.01,-0.10%,6200
02/02/2023,10.45,10.45,10.29,10.3,-0.23,-2.18%,2200
01/26/2023,10.58,10.58,10.53,10.53,0,0.00%,500
01/24/2023,10.53,10.53,10.525,10.53,-0.0506,-0.48%,900
01/23/2023,10.5806,10.5806,10.5806,10.5806,0.0506,+0.48%,100
01/19/2023,10.88,10.93,10.52,10.53,-0.2,-1.86%,3400
01/18/2023,11.3,11.3,10.73,10.73,-0.07,-0.65%,1700
01/17/2023,11.1,11.8932,10.71,10.8,0.01,+0.09%,12800
01/13/2023,10.79,10.79,10.79,10.79,0.35,+3.35%,1200
01/12/2023,10.55,10.64,10.42,10.44,0.08,+0.77%,2900
01/11/2023,10.85,10.85,10.36,10.36,-0.29,-2.72%,17500
01/10/2023,10.8,10.8,10.525,10.65,0.35,+3.40%,3500
01/09/2023,10.3,10.3,10.3,10.3,0.0001,0.00%,700
01/06/2023,10.31,10.5,10.29,10.2999,-0.4001,-3.74%,14800
01/05/2023,10.38,11.33,10.16,10.7,0.27,+2.59%,41400
01/04/2023,10.39,10.45,10.39,10.43,0.12,+1.16%,4500
01/03/2023,10.5,10.7,10.0142,10.31,-0.01,-0.10%,12800
12/30/2022,10.31,10.51,9.9187,10.32,-0.04,-0.39%,30200
12/29/2022,10.47,10.47,10.3,10.36,0.0489,+0.47%,2600
12/28/2022,10.32,10.32,10.3111,10.3111,-0.0289,-0.28%,1000
12/27/2022,10.34,10.34,10.34,10.34,0.0109,+0.11%,100
12/22/2022,10.33,10.33,10.3291,10.3291,0.0091,+0.09%,5700
12/20/2022,10.32,10.32,10.31,10.32,0.01,+0.10%,1200
12/19/2022,10.31,10.31,10.31,10.31,0.005,+0.05%,200
12/15/2022,10.3,10.31,10.3,10.305,0.005,+0.05%,6300
12/14/2022,10.305,10.305,10.3,10.3,-0.0001,0.00%,5000
12/13/2022,10.31,10.31,10.3,10.3001,0.0001,0.00%,21600
12/12/2022,10.3,10.3,10.295,10.3,0,0.00%,14900
12/09/2022,10.295,10.3,10.295,10.3,0,0.00%,10000
12/08/2022,10.295,10.3,10.295,10.3,0.005,+0.05%,10100
12/07/2022,10.29,10.295,10.29,10.295,0.005,+0.05%,12300
12/06/2022,10.28,10.3,10.28,10.29,0.05,+0.49%,494300
12/01/2022,10.24,10.24,10.24,10.24,0,0.00%,2600
11/29/2022,10.24,10.24,10.24,10.24,0,0.00%,5500
11/28/2022,10.25,10.25,10.23,10.24,-0.01,-0.10%,597000
11/25/2022,10.25,10.25,10.25,10.25,0,0.00%,1900
11/22/2022,10.26,10.26,10.25,10.25,-0.01,-0.10%,3300
11/21/2022,10.26,10.26,10.26,10.26,0.03,+0.29%,5100
11/11/2022,10.24,10.24,10.23,10.23,-0.01,-0.10%,9300
11/10/2022,10.24,10.24,10.24,10.24,0.01,+0.10%,5500
11/09/2022,10.24,10.24,10.23,10.23,0,0.00%,203800
11/08/2022,10.23,10.23,10.23,10.23,0.01,+0.10%,30100
11/07/2022,10.22,10.23,10.22,10.22,0,0.00%,728100
11/04/2022,10.21,10.22,10.21,10.22,0.01,+0.10%,54100
11/03/2022,10.21,10.22,10.21,10.21,0,0.00%,46100
11/02/2022,10.21,10.22,10.21,10.21,0,0.00%,59000
10/25/2022,10.19,10.21,10.19,10.21,0.02,+0.20%,33600
10/24/2022,10.19,10.2,10.19,10.19,0,0.00%,6000
10/21/2022,10.19,10.19,10.19,10.19,-0.01,-0.10%,32400
10/20/2022,10.19,10.21,10.19,10.2,0.02,+0.20%,24100
10/18/2022,10.175,10.18,10.175,10.18,-0.01,-0.10%,6500
10/17/2022,10.17,10.19,10.17,10.19,0.005,+0.05%,600
10/14/2022,10.18,10.185,10.18,10.185,-0.005,-0.05%,10300
10/13/2022,10.17,10.19,10.17,10.19,0.02,+0.20%,36600
10/12/2022,10.17,10.17,10.165,10.17,0.005,+0.05%,1400
10/11/2022,10.165,10.165,10.16,10.165,-0.005,-0.05%,2600
10/10/2022,10.17,10.17,10.17,10.17,0,0.00%,100
10/07/2022,10.16,10.17,10.15,10.17,0.01,+0.10%,102300
10/06/2022,10.17,10.17,10.16,10.16,-0.01,-0.10%,28300
10/04/2022,10.16,10.17,10.155,10.17,0.02,+0.20%,39300
09/30/2022,10.16,10.16,10.15,10.15,0.01,+0.10%,37800
09/29/2022,10.14,10.14,10.14,10.14,0,0.00%,500
09/28/2022,10.14,10.14,10.14,10.14,0,0.00%,1500
09/27/2022,10.14,10.14,10.14,10.14,0,0.00%,200
09/26/2022,10.13,10.14,10.13,10.14,0,0.00%,300
09/21/2022,10.14,10.14,10.14,10.14,0,0.00%,36700
09/20/2022,10.14,10.14,10.14,10.14,0.01,+0.10%,101
09/19/2022,10.13,10.14,10.13,10.13,-0.01,-0.10%,14900
09/16/2022,10.14,10.14,10.14,10.14,0.01,+0.10%,100
09/15/2022,10.13,10.13,10.13,10.13,0,0.00%,200
09/14/2022,10.13,10.13,10.12,10.13,0,0.00%,7300
09/12/2022,10.12,10.14,10.12,10.13,0,0.00%,6200
09/09/2022,10.13,10.13,10.12,10.13,0,0.00%,21600
09/08/2022,10.13,10.13,10.13,10.13,0.01,+0.10%,2000
09/07/2022,10.12,10.12,10.12,10.12,-0.01,-0.10%,1600
09/06/2022,10.12,10.13,10.12,10.13,0.01,+0.10%,42100
09/02/2022,10.11,10.12,10.11,10.12,0.005,+0.05%,8900
09/01/2022,10.11,10.115,10.11,10.115,0.0149,+0.15%,400
08/31/2022,10.16,10.16,10.1001,10.1001,-0.0099,-0.10%,700
08/30/2022,10.11,10.11,10.11,10.11,0.02,+0.20%,1500
08/23/2022,10.09,10.09,10.09,10.09,0,0.00%,500
08/22/2022,10.09,10.09,10.09,10.09,-0.006,-0.06%,1000
08/19/2022,10.096,10.096,10.096,10.096,-0.014,-0.14%,700
08/17/2022,10.09,10.11,10.09,10.11,0.01,+0.10%,400
08/16/2022,10.1,10.1,10.1,10.1,0.01,+0.10%,100
08/15/2022,10.0901,10.0901,10.09,10.09,-0.02,-0.20%,400
08/12/2022,10.11,10.11,10.11,10.11,0.01,+0.10%,100
08/11/2022,10.0999,10.1,10.095,10.1,0.01,+0.10%,700
08/10/2022,10.095,10.095,10.09,10.09,0,0.00%,100300
08/09/2022,10.09,10.09,10.09,10.09,0,0.00%,26200
08/08/2022,10.09,10.09,10.09,10.09,0,0.00%,26000
08/04/2022,10.09,10.09,10.09,10.09,0.01,+0.10%,41200
08/02/2022,10.08,10.0801,10.07,10.08,0.01,+0.10%,32901
08/01/2022,10.07,10.07,10.07,10.07,0.01,+0.10%,1300
07/29/2022,10.06,10.06,10.06,10.06,0.0079,+0.08%,600
07/22/2022,10.06,10.06,10.0521,10.0521,-0.0079,-0.08%,2500
07/21/2022,10.06,10.06,10.05,10.06,0,0.00%,3200
07/19/2022,10.05,10.06,10.05,10.06,0.01,+0.10%,2500
07/18/2022,10.06,10.06,10.05,10.05,0,0.00%,200100
07/15/2022,10.04,10.05,10.04,10.05,0.01,+0.10%,2400
