Time,Open,High,Low,Last,Change,%Chg,Volume
01/27/2023,0.85,0.87,0.8487,0.8571,-0.0129,-1.48%,88600
01/26/2023,0.86,0.89,0.85,0.87,-0.0003,-0.03%,110500
01/25/2023,0.86,0.88,0.8552,0.8703,-0.0019,-0.22%,104800
01/24/2023,0.86,0.8895,0.86,0.8722,-0.0103,-1.17%,91800
01/23/2023,0.8701,0.885,0.8701,0.8825,0.0125,+1.44%,133800
01/20/2023,0.87,0.8849,0.8511,0.87,0.015,+1.75%,116200
01/19/2023,0.86,0.88,0.8512,0.855,-0.005,-0.58%,105200
01/18/2023,0.87,0.888,0.86,0.86,0.0012,+0.14%,167200
01/17/2023,0.85,0.8709,0.8301,0.8588,-0.0062,-0.72%,201100
01/13/2023,0.87,0.87,0.85,0.865,0.0024,+0.28%,207900
01/12/2023,0.86,0.87,0.8103,0.8626,0.0226,+2.69%,225600
01/11/2023,0.82,0.86,0.82,0.84,0.0121,+1.46%,148700
01/10/2023,0.8,0.86,0.8,0.8279,0.0415,+5.28%,285900
01/09/2023,0.8391,0.84,0.786,0.7864,-0.0425,-5.13%,454000
01/06/2023,0.82,0.85,0.7976,0.8289,0.0188,+2.32%,253800
01/05/2023,0.83,0.85,0.8002,0.8101,-0.006,-0.74%,190800
01/04/2023,0.78,0.84,0.76,0.8161,0.0611,+8.09%,329200
01/03/2023,0.7641,0.78,0.75,0.755,-0.0051,-0.67%,312700
12/30/2022,0.75,0.7601,0.74,0.7601,0.0112,+1.50%,300800
12/29/2022,0.7017,0.77,0.7017,0.7489,0.0389,+5.48%,450200
12/28/2022,0.74,0.768,0.701,0.71,-0.027,-3.66%,290900
12/27/2022,0.76,0.78,0.7328,0.737,-0.0428,-5.49%,255300
12/23/2022,0.75,0.78,0.73,0.7798,0.0396,+5.35%,152900
12/22/2022,0.7524,0.7789,0.7313,0.7402,0.0052,+0.71%,536900
12/21/2022,0.7,0.75,0.7,0.735,0.0262,+3.70%,207900
12/20/2022,0.7349,0.7566,0.705,0.7088,-0.0373,-5.00%,347200
12/19/2022,0.7644,0.7881,0.7415,0.7461,-0.014,-1.84%,289900
12/16/2022,0.761,0.8,0.7532,0.7601,-0.0034,-0.45%,257000
12/15/2022,0.79,0.82,0.755,0.7635,-0.0492,-6.05%,391900
12/14/2022,0.8142,0.821,0.7533,0.8127,0.0031,+0.38%,497900
12/13/2022,0.86,0.8607,0.79,0.8096,-0.0392,-4.62%,441900
12/12/2022,0.87,0.8751,0.8488,0.8488,-0.0128,-1.49%,271900
12/09/2022,0.8692,0.89,0.85,0.8616,0.0058,+0.68%,204800
12/08/2022,0.889,0.9,0.855,0.8558,-0.0392,-4.38%,318700
12/07/2022,0.9,0.94,0.889,0.895,-0.015,-1.65%,159400
12/06/2022,0.9,0.94,0.9,0.91,-0.0079,-0.86%,126600
12/05/2022,0.9,0.95,0.9,0.9179,0.002,+0.22%,186200
12/02/2022,0.9155,0.9197,0.9001,0.9159,-0.0039,-0.42%,110900
