Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
03/16/2023,34.97,36.05,34.76,35.8,-0.29,-0.80%,181300,0
03/15/2023,35.14,36.24,33.78,36.09,-0.95,-2.56%,452100,0
03/14/2023,37.87,39.28,36.72,37.04,0.03,+0.08%,237500,0
03/13/2023,36.52,38.31,36.48,37.01,-2.09,-5.35%,286300,0
03/10/2023,39.39,41.13,38.725,39.1,-0.19,-0.48%,217950,0
03/09/2023,39.28,40.185,39.28,39.29,-0.67,-1.68%,451600,0
03/08/2023,41.7,42.295,39.1701,39.96,-2.35,-5.55%,746900,0
03/07/2023,43.53,43.53,41.2,42.31,-1.54,-3.51%,277400,0
03/06/2023,43.66,44.18,42.21,43.85,0.2,+0.46%,265900,0
03/03/2023,43.03,44.02,42.75,43.65,-0.25,-0.57%,299300,0
03/02/2023,42.76,44.17,42.36,43.9,1.18,+2.76%,369200,0
03/01/2023,41.95,43.4,41.63,42.72,1.19,+2.87%,315800,0
02/28/2023,41.65,42.38,41.01,41.53,0.16,+0.39%,169300,0
02/27/2023,39.06,41.97,39.06,41.37,2.12,+5.40%,189000,0
02/24/2023,37.71,39.39,37.59,39.25,0.05,+0.13%,174000,0
02/23/2023,38.96,40.34,37.73,39.2,0.17,+0.44%,331900,0
02/22/2023,39.46,39.96,38.19,39.03,-2.23,-5.40%,352600,0
02/21/2023,40.92,41.58,39.21,41.26,-0.24,-0.58%,161900,0
02/17/2023,42.45,42.45,40.97,41.5,-1.32,-3.08%,151700,0
02/16/2023,42.4,43.17,42.01,42.82,0.37,+0.87%,226800,0
02/15/2023,41.31,42.88,41.18,42.45,0.49,+1.17%,111300,0
02/14/2023,41.51,42.97,41.34,41.96,-1.09,-2.53%,235400,0
02/13/2023,43.29,44.38,42.61,43.05,-0.24,-0.55%,184900,0
02/10/2023,42.53,43.69,42.25,43.29,1.42,+3.39%,231800,0
02/09/2023,42.67,43.12,41.55,41.87,-0.76,-1.78%,244200,0
02/08/2023,44.59,44.59,41.85,42.63,-1.96,-4.40%,391100,0
02/07/2023,42.09,44.68,41.82,44.59,1.89,+4.43%,286000,0
02/06/2023,42.5,43.29,41.83,42.7,-0.7,-1.61%,131800,0
02/03/2023,41.6,44.56,41.6,43.4,1.4,+3.33%,224000,0
02/02/2023,43.38,43.77,40.83,42,-2.83,-6.31%,370700,0
02/01/2023,42.39,45.48,42.05,44.83,2.33,+5.48%,840200,0
01/31/2023,40.17,42.55,40.05,42.5,1.97,+4.86%,228300,0
01/30/2023,41.8,41.875,40,40.53,-2.51,-5.83%,361100,0
01/27/2023,41.41,43.84,41.41,43.04,1.71,+4.14%,490500,0
01/26/2023,41.56,41.72,40.47,41.33,0.29,+0.71%,448700,0
01/25/2023,39.6,41.25,39.35,41.04,0.17,+0.42%,658600,0
01/24/2023,39.22,41.19,39.07,40.87,0.78,+1.95%,523400,0
01/23/2023,39.86,40.91,39.335,40.09,-0.05,-0.12%,579300,0
01/20/2023,39.37,41.49,38.05,40.14,0.09,+0.22%,2350800,0
01/19/2023,36.64,40.75,36.5,40.05,4.29,+12.00%,1159100,0
01/18/2023,36.27,36.42,35.38,35.76,0.58,+1.65%,635000,0
01/17/2023,34.97,36.01,34.47,35.18,0.81,+2.36%,1145400,0
01/13/2023,33.56,34.71,33.42,34.37,0.81,+2.41%,245200,0
01/12/2023,33.29,33.71,32.92,33.56,0.23,+0.69%,97800,0
01/11/2023,33.88,34.22,32.96,33.33,-0.39,-1.16%,102500,0
01/10/2023,32.97,33.97,32.89,33.72,0.61,+1.84%,91300,0
01/09/2023,32.8,33.57,32.36,33.11,1.05,+3.28%,102900,0
01/06/2023,31.61,32.38,31.21,32.06,0.86,+2.76%,39500,0
01/05/2023,30.84,32.36,30.53,31.2,0.12,+0.39%,19300,0
01/04/2023,30.11,31.2,30.05,31.08,0.84,+2.78%,57900,0
01/03/2023,32.44,32.44,29.985,30.24,-2.4,-7.35%,87500,0
12/30/2022,33.89,33.89,31.91,32.64,0.14,+0.43%,258200,0
12/29/2022,32.94,32.94,31.52,32.5,-0.28,-0.85%,239400,0
12/28/2022,32.41,33.16,31.425,32.78,1.86,+6.02%,185300,0
12/27/2022,31.82,32.18,30.89,30.92,-0.24,-0.77%,282300,0
12/23/2022,30.43,31.51,30.43,31.16,1.32,+4.42%,76200,0
12/22/2022,30.03,30.03,29.41,29.84,-0.3,-1.00%,2500,0
12/21/2022,29.92,30.23,29.79,30.14,0.77,+2.62%,11000,0
12/20/2022,29.3,29.63,29.15,29.37,0.32,+1.10%,7700,0
12/19/2022,29.65,29.75,28.88,29.05,0.07,+0.24%,27600,0
12/16/2022,28.62,28.98,28.56,28.98,0.06,+0.21%,5600,0
12/15/2022,29.42,29.76,28.61,28.92,-0.7,-2.36%,27500,0
12/14/2022,29.86,29.93,29.26,29.62,0.09,+0.30%,51600,0
12/13/2022,30.3,30.34,29.14,29.53,0.42,+1.44%,50800,0
12/12/2022,29.15,29.59,28.36,29.11,0.38,+1.32%,57500,0
12/09/2022,29,29.2,28.73,28.73,-0.46,-1.58%,4100,0
12/08/2022,29.42,29.66,28.87,29.19,-0.01,-0.03%,12200,0
12/07/2022,29.85,30.1,28.91,29.2,-0.6,-2.01%,40500,0
12/06/2022,30.7,30.82,29.7,29.8,-0.45,-1.49%,93000,0
12/05/2022,32.06,32.125,29.41,30.25,-1.35,-4.27%,128100,0
12/02/2022,31.99,32.255,31.31,31.6,-0.21,-0.66%,54700,0
12/01/2022,32.17,32.55,31.17,31.81,-0.19,-0.59%,101700,0
11/30/2022,32.05,32.22,31.68,32,0.16,+0.50%,73900,0
