Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
04/06/2023,2.6,2.6,2.583,2.583,-0.067,-2.53%,745,0
04/05/2023,2.56,2.6799,2.5501,2.65,0.085,+3.31%,30800,0
04/04/2023,2.66,2.7334,2.565,2.565,-0.105,-3.93%,6200,0
04/03/2023,2.675,2.8,2.6601,2.67,0.02,+0.75%,37700,0
03/31/2023,2.36,2.67,2.36,2.65,0.2599,+10.87%,49800,0
03/30/2023,2.42,2.4299,2.38,2.3901,0.0101,+0.42%,15800,0
03/29/2023,2.3,2.4,2.2811,2.38,0.1,+4.39%,45900,0
03/28/2023,2.29,2.3,2.2301,2.28,-0.0207,-0.90%,44700,0
03/27/2023,2.22,2.3399,2.22,2.3007,0.0317,+1.40%,45000,0
03/24/2023,2.25,2.3,2.23,2.269,-0.001,-0.04%,49500,0
03/23/2023,2.24,2.35,2.2,2.27,0.04,+1.79%,47600,0
03/22/2023,2.3,2.5,2.22,2.23,-0.11,-4.70%,109600,0
03/21/2023,2.5,2.7,2.25,2.34,-0.79,-25.24%,257700,0
03/20/2023,3.2,3.29,3.07,3.13,-0.11,-3.40%,49600,0
03/17/2023,3.33,3.4999,3.19,3.24,-0.05,-1.52%,60000,0
03/16/2023,3.3,3.4392,3.2605,3.29,-0.01,-0.30%,23200,0
03/15/2023,3.33,3.3999,3.291,3.3,-0.03,-0.90%,10000,0
03/14/2023,3.34,3.41,3.31,3.33,-0.02,-0.60%,35100,0
03/13/2023,3.51,3.51,3.3407,3.35,-0.16,-4.56%,46900,0
03/10/2023,3.61,3.6663,3.456,3.51,-0.0928,-2.58%,29400,0
03/09/2023,3.74,3.7401,3.55,3.6028,-0.1172,-3.15%,40900,0
03/08/2023,3.85,3.85,3.6701,3.72,-0.08,-2.11%,34700,0
03/07/2023,3.83,3.85,3.72,3.8,0.03,+0.80%,22500,0
03/06/2023,4,4,3.75,3.77,-0.28,-6.91%,66100,0
03/03/2023,4,4.05,3.875,4.05,0.07,+1.76%,17500,0
03/02/2023,3.82,3.98,3.82,3.98,0.11,+2.84%,15300,0
03/01/2023,3.98,3.98,3.87,3.87,-0.14,-3.49%,1600,0
02/28/2023,3.93,4.0399,3.9,4.01,0.095,+2.43%,15700,0
02/27/2023,3.92,3.94,3.885,3.915,-0.025,-0.63%,4200,0
02/24/2023,3.82,3.9899,3.82,3.94,0.02,+0.51%,19500,0
02/23/2023,4,4,3.84,3.92,0.02,+0.51%,9400,0
02/22/2023,4.03,4.0399,3.8744,3.9,-0.09,-2.26%,6700,0
02/21/2023,4.08,4.08,3.82,3.99,0.04,+1.01%,41900,0
02/17/2023,4.07,4.12,3.9412,3.95,-0.06,-1.50%,3900,0
02/16/2023,3.86,4.14,3.86,4.01,0.07,+1.78%,13900,0
02/15/2023,3.86,3.95,3.86,3.94,0.11,+2.87%,7300,0
02/14/2023,3.88,4.1286,3.83,3.83,-0.01,-0.26%,7500,0
02/13/2023,3.9,4,3.81,3.84,-0.01,-0.26%,38700,0
02/10/2023,3.95,4.095,3.85,3.85,-0.1,-2.53%,5300,0
02/09/2023,4.14,4.1873,3.95,3.95,-0.12,-2.95%,22900,0
02/08/2023,4.24,4.27,4.07,4.07,-0.11,-2.63%,11100,0
02/07/2023,4.23,4.305,4.17,4.18,-0.065,-1.53%,12600,0
02/06/2023,4.21,4.2937,4.21,4.245,0.045,+1.07%,14000,0
02/03/2023,4.05,4.38,4.05,4.2,0.04,+0.96%,24300,0
02/02/2023,3.93,4.1999,3.93,4.16,0.24,+6.12%,27200,0
02/01/2023,3.77,3.99,3.77,3.92,0.16,+4.26%,19100,0
01/31/2023,3.74,3.86,3.6899,3.76,0.03,+0.80%,41700,0
01/30/2023,3.65,3.76,3.65,3.73,0.07,+1.91%,7700,0
01/27/2023,3.64,3.7699,3.6,3.66,-0.03,-0.81%,27400,0
01/26/2023,3.79,3.91,3.69,3.69,-0.11,-2.89%,36600,0
01/25/2023,4,4,3.6,3.8,-0.22,-5.47%,36900,0
01/24/2023,4.12,4.19,4.02,4.02,-0.13,-3.13%,23500,0
01/23/2023,4.11,4.2,4.1,4.15,0.07,+1.72%,25100,0
01/20/2023,4.06,4.19,4.0527,4.08,0.03,+0.74%,10300,0
01/19/2023,4.2,4.2,4.05,4.05,-0.23,-5.37%,9700,0
01/18/2023,4.22,4.36,4.1,4.28,0.06,+1.42%,11000,0
01/17/2023,4.32,4.3999,4.0793,4.22,-0.1,-2.31%,28400,0
01/13/2023,4.1,4.3799,4.1,4.32,0.2,+4.85%,11100,0
01/12/2023,4.19,4.25,4.05,4.12,-0.02,-0.48%,12100,0
