Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/03/2023,12.75,13.44,12.54,12.9,-0.2,-1.53%,1563500,0
02/02/2023,12.43,13.58,12.43,13.1,0.94,+7.73%,3233100,0
02/01/2023,11.37,12.24,11.21,12.16,0.76,+6.67%,2781000,0
01/31/2023,11.37,11.57,11.23,11.4,0.14,+1.24%,1213800,0
01/30/2023,11.31,11.51,11.21,11.26,-0.21,-1.83%,879100,0
01/27/2023,11.25,11.755,11.22,11.47,0.19,+1.68%,2438600,0
01/26/2023,11.18,11.33,11,11.28,0.25,+2.27%,2171100,0
01/25/2023,10.79,11.03,10.67,11.03,0.05,+0.46%,1893600,0
01/24/2023,11.14,11.34,10.98,10.98,-0.19,-1.70%,1258700,0
01/23/2023,11.28,11.32,11,11.17,-0.06,-0.53%,2117300,0
01/20/2023,11.03,11.46,10.83,11.23,0.28,+2.56%,1044200,0
01/19/2023,11.49,11.5,10.69,10.95,-0.75,-6.41%,2458300,0
01/18/2023,11.3,11.775,11.19,11.7,0.53,+4.74%,2483300,0
01/17/2023,10.74,11.29,10.5301,11.17,0.43,+4.00%,1722300,0
01/13/2023,10.33,10.92,10.33,10.74,0.25,+2.38%,1595600,0
01/12/2023,10.25,11.115,10.25,10.49,0.34,+3.35%,3560200,0
01/11/2023,9.93,10.17,9.71,10.15,0.34,+3.47%,2554500,0
01/10/2023,9.64,9.87,9.56,9.81,0.16,+1.66%,2199200,0
01/09/2023,9.51,9.805,9.4,9.65,0.24,+2.55%,2101300,0
01/06/2023,9.37,9.57,8.99,9.41,0.15,+1.62%,921500,0
01/05/2023,9.28,9.36,9.06,9.26,-0.17,-1.80%,1042300,0
01/04/2023,9.39,9.54,8.95,9.43,0.21,+2.28%,1829700,0
01/03/2023,9.34,9.5,8.97,9.22,0.12,+1.32%,1464600,0
12/30/2022,9.02,9.215,8.811,9.1,-0.11,-1.19%,1124700,0
12/29/2022,8.57,9.29,8.51,9.21,0.82,+9.77%,2202800,0
12/28/2022,8.57,8.77,8.25,8.39,-0.24,-2.78%,1415700,0
12/27/2022,8.89,8.99,8.585,8.63,-0.41,-4.54%,1740000,0
12/23/2022,9.21,9.3401,8.895,9.04,-0.2,-2.16%,1258300,0
12/22/2022,9.26,9.31,9.05,9.24,-0.15,-1.60%,1551800,0
12/21/2022,9.38,9.62,9.285,9.39,0.15,+1.62%,1140000,0
12/20/2022,9.12,9.36,9.07,9.24,-0.03,-0.32%,1433104,0
12/19/2022,9.51,9.53,9.105,9.27,-0.31,-3.24%,2240703,0
12/16/2022,9.56,9.75,9.43,9.58,-0.17,-1.74%,4131600,0
12/15/2022,9.66,10.02,9.6,9.75,-0.23,-2.30%,2466300,0
12/14/2022,10.32,10.44,9.84,9.98,-0.29,-2.82%,2398700,0
12/13/2022,10.93,11,9.865,10.27,-0.15,-1.44%,2782800,0
12/12/2022,10.63,10.63,10.28,10.42,-0.13,-1.23%,2403169,0
12/09/2022,10.74,10.76,10.48,10.55,-0.29,-2.68%,907100,0
12/08/2022,11.02,11.24,10.655,10.84,-0.12,-1.09%,1273500,0
12/07/2022,10.84,11.07,10.67,10.96,0.07,+0.64%,1031600,0
12/06/2022,11.09,11.48,10.71,10.89,-0.14,-1.27%,1923000,0
12/05/2022,10.85,11.08,10.7038,11.03,0.04,+0.36%,1391000,0
12/02/2022,10.63,11.16,10.53,10.99,0.12,+1.10%,1832402,0
12/01/2022,10.93,11.11,10.63,10.87,0.12,+1.12%,1630400,0
11/30/2022,10.2,10.84,10.1,10.75,0.56,+5.50%,3191300,0
11/29/2022,10,10.23,9.96,10.19,0.25,+2.52%,1559000,0
11/28/2022,9.76,10,9.69,9.94,0.01,+0.10%,1489600,0
11/25/2022,9.98,10.23,9.88,9.93,-0.16,-1.59%,419400,0
11/23/2022,10.03,10.25,9.92,10.09,0.1,+1.00%,1193101,0
11/22/2022,9.89,10.04,9.59,9.99,0.08,+0.81%,1668400,0
11/21/2022,10.09,10.5,9.88,9.91,-0.29,-2.84%,1294010,0
11/18/2022,10.2,10.39,9.96,10.2,0.32,+3.24%,1176000,0
11/17/2022,9.94,10.06,9.67,9.88,-0.31,-3.04%,1826500,0
11/16/2022,10.26,10.81,10.12,10.19,-0.27,-2.58%,1643300,0
11/15/2022,10.6,11.15,10.35,10.46,0.26,+2.55%,2256000,0
11/14/2022,9.8,10.36,9.8,10.2,0.29,+2.93%,1964816,0
11/11/2022,9.54,10.0562,9.2,9.91,0.37,+3.88%,4294800,0
11/10/2022,9.29,10.02,9.12,9.54,1.1,+13.03%,5297800,0
11/09/2022,10.11,10.34,8.265,8.44,-2.26,-21.12%,7879700,0
11/08/2022,10.01,10.89,9.79,10.7,-0.6,-5.31%,5264500,0
11/07/2022,11.09,11.555,10.94,11.3,0.23,+2.08%,2332900,0
11/04/2022,10.8,11.2893,10.72,11.07,0.56,+5.33%,1516400,0
11/03/2022,10.5,10.7,10.21,10.51,-0.15,-1.41%,1963800,0
11/02/2022,11.1,11.42,10.6,10.66,-0.55,-4.91%,2879900,0
11/01/2022,11.71,11.85,10.92,11.21,-0.22,-1.92%,2131700,0
10/31/2022,11.76,11.87,11.38,11.43,-0.39,-3.30%,2090000,0
10/28/2022,12.37,12.37,11.36,11.82,-0.51,-4.14%,2140500,0
10/27/2022,12.41,12.72,12.265,12.33,-0.02,-0.16%,1007400,0
10/26/2022,12.48,13.02,12.26,12.35,-0.09,-0.72%,993300,0
10/25/2022,11.59,12.625,11.56,12.44,0.86,+7.43%,2002700,0
10/24/2022,11.72,11.7385,11.18,11.58,-0.13,-1.11%,1276400,0
10/21/2022,11.31,11.77,11,11.71,0.49,+4.37%,1169500,0
10/20/2022,11.48,12.02,11.16,11.22,-0.32,-2.77%,1341600,0
10/19/2022,11.95,11.96,11.314,11.54,-0.63,-5.18%,2016900,0
10/18/2022,13.13,13.33,12.06,12.17,-0.46,-3.64%,1615600,0
10/17/2022,12.44,12.93,12.315,12.63,0.64,+5.34%,1448500,0
10/14/2022,12.7,12.92,11.95,11.99,-0.52,-4.16%,1300800,0
10/13/2022,11.455,12.5508,11.42,12.51,0.49,+4.08%,1558700,0
10/12/2022,12.61,12.8,12.005,12.02,-0.63,-4.98%,1313400,0
10/11/2022,12.22,13,11.63,12.65,0.39,+3.18%,1533500,0
10/10/2022,12.48,12.63,12.16,12.26,-0.25,-2.00%,1575200,0
10/07/2022,12.74,12.88,12.485,12.51,-0.49,-3.77%,968400,0
10/06/2022,13.22,13.55,12.93,13,-0.25,-1.89%,1109100,0
10/05/2022,13.02,13.495,13,13.25,-0.15,-1.12%,1644400,0
10/04/2022,13,14,13,13.4,0.75,+5.93%,1745900,0
10/03/2022,12.03,12.77,11.91,12.65,0.86,+7.29%,1352700,0
09/30/2022,11.64,12.49,11.64,11.79,0,0.00%,1886300,0
09/29/2022,12.61,12.83,11.76,11.79,-1,-7.82%,2032200,0
09/28/2022,11.78,13.05,11.74,12.79,1.21,+10.45%,2883100,0
09/27/2022,11.46,12.33,11.41,11.58,1.18,+11.35%,3350900,0
09/26/2022,10.36,10.66,10.25,10.4,0.05,+0.48%,1073800,0
09/23/2022,10.25,10.4,10.03,10.35,-0.16,-1.52%,1523600,0
09/22/2022,11.17,11.23,10.23,10.51,-0.8,-7.07%,1689500,0
09/21/2022,11.95,12.1,11.3,11.31,-0.49,-4.15%,594400,0
09/20/2022,12.01,12.23,11.65,11.8,-0.37,-3.04%,913100,0
09/19/2022,11.64,12.365,11.611,12.17,0.19,+1.59%,1341500,0
09/16/2022,12.71,12.95,11.95,11.98,-0.59,-4.69%,2984300,0
09/15/2022,11.74,12.8,11.74,12.57,0.84,+7.16%,2840100,0
09/14/2022,12.11,12.36,11.71,11.73,-0.41,-3.38%,2215400,0
09/13/2022,11.98,12.24,11.71,12.14,-0.53,-4.18%,1326100,0
09/12/2022,12.63,12.775,12.29,12.67,0.12,+0.96%,1672000,0
09/09/2022,12.76,12.82,12.18,12.55,0.11,+0.88%,1298300,0
09/08/2022,11.95,12.515,11.61,12.44,0.24,+1.97%,800400,0
09/07/2022,11.31,12.33,11.31,12.2,0.89,+7.87%,1493000,0
09/06/2022,11.48,11.63,11.2357,11.31,-0.17,-1.48%,1002500,0
09/02/2022,11.56,11.735,11.25,11.48,0.1,+0.88%,1571000,0
09/01/2022,11.38,11.42,10.99,11.38,-0.22,-1.90%,1673800,0
08/31/2022,11.41,11.8999,11.37,11.6,0.36,+3.20%,1533300,0
08/30/2022,11.11,11.39,10.87,11.24,0.35,+3.21%,1401900,0
08/29/2022,11.12,11.4,10.85,10.89,-0.39,-3.46%,1469500,0
08/26/2022,11.9,12.1,11.19,11.28,-0.58,-4.89%,869400,0
08/25/2022,12.04,12.33,11.82,11.86,-0.3,-2.47%,1039500,0
08/24/2022,11.95,12.39,11.94,12.16,0.25,+2.10%,1525900,0
08/23/2022,11.36,12.01,11.34,11.91,0.56,+4.93%,1644300,0
08/22/2022,11.65,11.83,11.3,11.35,-0.565,-4.74%,1732300,0
