Time,Open,High,Low,Last,Change,%Chg,Volume
01/27/2023,1.9,1.95,1.86,1.9,0.01,+0.53%,48300
01/26/2023,1.91,1.94,1.87,1.89,-0.01,-0.53%,51700
01/25/2023,1.85,1.9599,1.7901,1.9,0.04,+2.15%,91200
01/24/2023,1.92,1.9237,1.83,1.86,-0.04,-2.11%,59300
01/23/2023,1.9,1.96,1.89,1.9,0,0.00%,83600
01/20/2023,1.95,1.96,1.87,1.9,-0.07,-3.55%,110000
01/19/2023,1.97,2,1.9105,1.97,0.02,+1.03%,43000
01/18/2023,2.1,2.14,1.95,1.95,-0.132,-6.34%,110200
01/17/2023,2.16,2.2,2,2.082,-0.058,-2.71%,104600
01/13/2023,2.1,2.18,2.1,2.14,0.04,+1.90%,56500
01/12/2023,1.99,2.1,1.98,2.1,0.12,+6.06%,134300
01/11/2023,1.89,2.008,1.89,1.98,0.12,+6.45%,81900
01/10/2023,1.87,1.9,1.8028,1.86,-0.01,-0.53%,52500
01/09/2023,1.77,1.88,1.77,1.87,0.13,+7.47%,61500
01/06/2023,1.72,1.8241,1.72,1.74,0.03,+1.75%,87300
01/05/2023,1.76,1.76,1.7,1.71,-0.01,-0.58%,139200
01/04/2023,1.72,1.75,1.71,1.72,0,0.00%,66800
01/03/2023,1.82,1.9,1.695,1.72,-0.07,-3.91%,171500
12/30/2022,1.71,1.79,1.71,1.79,0.05,+2.87%,124800
12/29/2022,1.71,1.79,1.7,1.74,0.03,+1.75%,89500
12/28/2022,1.82,1.82,1.71,1.71,-0.09,-5.00%,96900
12/27/2022,1.8,1.85,1.78,1.8,0.02,+1.12%,78000
12/23/2022,1.76,1.8499,1.7101,1.78,0.04,+2.30%,35700
12/22/2022,1.88,1.9,1.71,1.74,-0.12,-6.45%,92400
12/21/2022,1.72,1.88,1.7109,1.86,0.17,+10.06%,80400
12/20/2022,1.69,1.72,1.68,1.69,0,0.00%,77400
12/19/2022,1.71,1.75,1.65,1.69,-0.02,-1.17%,88800
12/16/2022,1.7,1.72,1.7,1.71,-0.05,-2.84%,27800
12/15/2022,1.76,1.79,1.7,1.76,0,0.00%,76100
12/14/2022,1.75,1.81,1.72,1.76,0.01,+0.57%,57900
12/13/2022,1.68,1.765,1.68,1.75,0.09,+5.42%,42600
12/12/2022,1.65,1.76,1.56,1.66,0.04,+2.47%,277500
12/09/2022,1.69,1.7157,1.6,1.62,-0.09,-5.26%,99600
12/08/2022,1.8,1.8,1.71,1.71,-0.055,-3.12%,106200
12/07/2022,1.7,1.8099,1.69,1.765,0.095,+5.69%,170500
12/06/2022,1.72,1.75,1.655,1.67,-0.04,-2.34%,90800
12/05/2022,1.85,1.865,1.68,1.71,-0.15,-8.06%,286300
12/02/2022,1.84,1.91,1.81,1.86,-0.01,-0.53%,122400
12/01/2022,1.99,1.99,1.845,1.87,-0.07,-3.61%,449400
11/30/2022,1.92,1.94,1.82,1.94,0.03,+1.57%,677200
11/29/2022,1.9,1.95,1.825,1.91,-0.01,-0.52%,492200
11/28/2022,1.99,2.035,1.86,1.92,-0.09,-4.48%,249600
11/25/2022,2.05,2.09,1.97,2.01,-0.03,-1.47%,119100
