Time,Open,High,Low,Last,Change,%Chg,Volume
01/24/2023,1.06,1.08,0.9603,1.01,-0.06,-5.61%,12781100
01/23/2023,1.1,1.12,1.07,1.07,-0.02,-1.83%,8318200
01/20/2023,1.16,1.16,1.04,1.09,-0.07,-6.03%,12464400
01/19/2023,1.16,1.19,1.11,1.16,-0.03,-2.52%,11739100
01/18/2023,1.16,1.23,1.15,1.19,0.03,+2.59%,7583700
01/17/2023,1.18,1.19,1.12,1.16,0.03,+2.65%,7661800
01/13/2023,1.16,1.22,1.11,1.13,-0.06,-5.04%,10008200
01/12/2023,1.06,1.2,1.02,1.19,0.12,+11.21%,10903600
01/11/2023,1.03,1.07,1,1.07,0.02,+1.90%,8768800
01/10/2023,1.03,1.05,1.01,1.05,0.02,+1.94%,8201800
01/09/2023,1.12,1.14,1.02,1.03,-0.11,-9.65%,16503000
01/06/2023,1.16,1.17,1.1,1.14,-0.04,-3.39%,10690100
01/05/2023,1.14,1.18,1.04,1.18,0.02,+1.72%,16747700
01/04/2023,1.04,1.16,0.9802,1.16,0.14,+13.73%,13849800
01/03/2023,1.13,1.22,1.01,1.02,0.134,+15.12%,33463900
12/30/2022,0.85,0.89,0.8331,0.886,0.026,+3.02%,9431900
12/29/2022,0.7617,0.8775,0.7617,0.86,0.089,+11.54%,13917100
12/28/2022,0.7599,0.795,0.74,0.771,0.0299,+4.03%,8679000
12/27/2022,0.805,0.8181,0.7399,0.7411,-0.0689,-8.51%,9232100
12/23/2022,0.8121,0.828,0.79,0.81,-0.01,-1.22%,13608400
12/22/2022,0.839,0.839,0.736,0.82,-0.012,-1.44%,14533400
12/21/2022,0.8913,0.923,0.8238,0.832,-0.0255,-2.97%,15264200
12/20/2022,0.8973,0.9407,0.845,0.8575,-0.0136,-1.56%,21479000
12/19/2022,1.04,1.05,0.8502,0.8711,-0.1589,-15.43%,25223300
12/16/2022,1.06,1.07,1.01,1.03,-0.03,-2.83%,33128900
12/15/2022,1.09,1.1,1.05,1.06,-0.06,-5.36%,7986500
12/14/2022,1.14,1.18,1.11,1.12,-0.03,-2.61%,9036200
12/13/2022,1.16,1.19,1.1,1.15,0.03,+2.68%,7604300
12/12/2022,1.08,1.13,1.07,1.12,0.07,+6.67%,8642600
12/09/2022,1.07,1.11,1.05,1.05,-0.03,-2.78%,5543500
12/08/2022,1.09,1.11,1.05,1.08,0,0.00%,5425200
12/07/2022,1.1,1.12,1.06,1.08,-0.045,-4.00%,6356500
12/06/2022,1.21,1.21,1.1,1.125,-0.065,-5.46%,8947500
12/05/2022,1.23,1.25,1.13,1.19,-0.07,-5.56%,13058200
12/02/2022,1.21,1.29,1.2,1.26,0.03,+2.44%,7732000
12/01/2022,1.29,1.32,1.22,1.23,-0.07,-5.38%,8192200
11/30/2022,1.27,1.315,1.24,1.3,0.05,+4.00%,11341600
11/29/2022,1.25,1.33,1.22,1.25,0.02,+1.63%,9427700
11/28/2022,1.35,1.37,1.22,1.23,-0.12,-8.89%,8837700
11/25/2022,1.37,1.3999,1.35,1.35,-0.03,-2.17%,2028300
11/23/2022,1.36,1.41,1.35,1.38,0,0.00%,4894200
11/22/2022,1.44,1.44,1.35,1.38,-0.03,-2.13%,6030700
11/21/2022,1.41,1.43,1.38,1.41,-0.02,-1.40%,5132100
11/18/2022,1.49,1.49,1.39,1.43,0,0.00%,8286000
11/17/2022,1.51,1.52,1.38,1.43,-0.09,-5.92%,8836300
11/16/2022,1.64,1.67,1.51,1.52,-0.13,-7.88%,8520300
11/15/2022,1.82,1.84,1.62,1.65,-0.07,-4.07%,9233800
11/14/2022,1.84,1.87,1.71,1.72,-0.11,-6.01%,8838200
