Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/01/2023,4.25,4.26,3.89,4.05,-0.12,-2.88%,80600,0
01/31/2023,4.02,4.25,3.9,4.17,0.19,+4.77%,72100,0
01/30/2023,3.76,3.98,3.6405,3.98,0.27,+7.28%,37800,0
01/27/2023,3.6,3.75,3.54,3.71,0.11,+3.06%,41800,0
01/26/2023,3.58,3.76,3.5,3.6,0.03,+0.84%,28300,0
01/25/2023,3.14,3.6,3.14,3.57,0.35,+10.87%,29200,0
01/24/2023,3.01,3.26,2.99,3.22,0.24,+8.05%,33000,0
01/23/2023,2.89,3.065,2.87,2.98,0.13,+4.56%,32000,0
01/20/2023,2.65,2.875,2.6155,2.85,0.21,+7.95%,36200,0
01/19/2023,2.58,2.68,2.51,2.64,0.04,+1.54%,38300,0
01/18/2023,2.82,3.0302,2.59,2.6,-0.14,-5.11%,43200,0
01/17/2023,2.9,3.06,2.62,2.74,-0.17,-5.84%,36100,0
01/13/2023,3.07,3.14,2.84,2.91,-0.18,-5.83%,20900,0
01/12/2023,2.96,3.13,2.91,3.09,0.1,+3.34%,53000,0
01/11/2023,3.07,3.13,2.94,2.99,-0.04,-1.32%,36700,0
01/10/2023,2.92,3.05,2.92,3.03,0.05,+1.68%,29300,0
01/09/2023,2.91,3.0748,2.91,2.98,0.08,+2.76%,45900,0
01/06/2023,3,3,2.77,2.9,-0.03,-1.02%,14300,0
01/05/2023,2.58,2.99,2.52,2.93,0.31,+11.83%,128800,0
01/04/2023,2.53,2.68,2.53,2.62,0.12,+4.80%,65900,0
01/03/2023,2.37,2.65,2.3427,2.5,0.2,+8.70%,58200,0
12/30/2022,2.35,2.385,2.24,2.3,-0.1,-4.17%,383100,0
12/29/2022,2.46,2.46,2.32,2.4,0,0.00%,90200,0
12/28/2022,2.39,2.45,2.32,2.4,-0.01,-0.41%,60600,0
12/27/2022,2.45,2.48,2.38,2.41,0,0.00%,29300,0
12/23/2022,2.33,2.52,2.18,2.41,0,0.00%,22100,0
12/22/2022,2.39,2.44,2.35,2.41,0.01,+0.42%,35900,0
12/21/2022,2.25,2.5044,2.25,2.4,0.13,+5.73%,39100,0
12/20/2022,2.5,2.5,2.254,2.27,-0.23,-9.20%,109300,0
12/19/2022,2.5,2.5998,2.37,2.5,0,0.00%,64500,0
12/16/2022,2.46,2.66,2.42,2.5,-0.03,-1.19%,458100,0
12/15/2022,2.47,2.57,2.36,2.53,0.045,+1.81%,71000,0
12/14/2022,2.36,2.535,2.33,2.485,0.115,+4.85%,167700,0
12/13/2022,2.48,2.48,2.22,2.37,0.01,+0.42%,140100,0
12/12/2022,2.52,2.52,2.24,2.36,-0.14,-5.60%,98500,0
12/09/2022,2.32,2.53,2.23,2.5,0.14,+5.93%,88400,0
12/08/2022,2.25,2.4,2.208,2.36,0.06,+2.61%,93200,0
12/07/2022,2.38,2.38,2.2,2.3,0,0.00%,131200,0
12/06/2022,2.21,2.35,2.2,2.3,0.02,+0.88%,162900,0
12/05/2022,2.29,2.29,2.13,2.28,-0.06,-2.56%,59400,0
12/02/2022,2.315,2.35,2.1101,2.34,-0.04,-1.68%,71700,0
12/01/2022,2.24,2.4,2.13,2.38,0.11,+4.85%,87100,0
11/30/2022,2.23,2.27,2.045,2.27,0.09,+4.13%,124300,0
11/29/2022,2.05,2.24,2.03,2.18,-0.01,-0.46%,40600,0
11/28/2022,2.31,2.32,2.02,2.19,-0.1,-4.37%,76300,0
11/25/2022,2.21,2.37,2.1,2.29,0.06,+2.69%,21300,0
11/23/2022,2.08,2.23,1.95,2.23,0.23,+11.50%,81800,0
11/22/2022,1.94,2.15,1.85,2,0.04,+2.04%,159700,0
11/21/2022,2.01,2.11,1.94,1.96,-0.08,-3.92%,27300,0
11/18/2022,2.225,2.225,1.98,2.04,-0.15,-6.85%,63600,0
