Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/10/2023,226.89,228.78,225.48,228.3,1.42,+0.63%,747500,0
02/09/2023,232.32,232.32,225.42,226.88,-3.25,-1.41%,2021000,0
02/08/2023,229.97,231.515,228.99,230.13,-0.16,-0.07%,1529600,0
02/07/2023,229.3,230.91,228.56,230.29,-1.7,-0.73%,1297501,0
02/06/2023,229.95,232.22,229.83,231.99,1.17,+0.51%,915400,0
02/03/2023,231.66,231.66,228.34,230.82,-1.63,-0.70%,1061300,0
02/02/2023,233.23,233.47,230.805,232.45,-1.14,-0.49%,1027700,0
02/01/2023,231,233.755,230.81,233.59,2.07,+0.89%,1280900,0
01/31/2023,228.23,231.58,225.435,231.52,5.16,+2.28%,1502200,0
01/30/2023,228.21,230.86,226.08,226.36,-2.43,-1.06%,1668700,0
01/27/2023,228.42,230.17,225.88,228.79,0.29,+0.13%,1304500,0
01/26/2023,230,230,227.7,228.5,-0.43,-0.19%,1194700,0
01/25/2023,225.71,228.96,224.33,228.93,1.43,+0.63%,1069200,0
01/24/2023,223.58,228.24,222.19,227.5,3.5,+1.56%,1966700,0
01/23/2023,220.77,224.89,219.96,224,3.12,+1.41%,1450700,0
01/20/2023,217.81,220.99,217.26,220.88,4.29,+1.98%,1641200,0
01/19/2023,219.66,220.71,214.01,216.59,-3.01,-1.37%,2341300,0
01/18/2023,222.44,223.67,218.36,219.6,-4.18,-1.87%,1843700,0
01/17/2023,224.02,226.84,223.39,223.78,-1.22,-0.54%,1649500,0
01/13/2023,223.2,226.44,221.82,225,1.81,+0.81%,2675500,0
01/12/2023,222.11,223.46,220.24,223.19,0.55,+0.25%,2054700,0
01/11/2023,221.67,223.82,220.3109,222.64,2.64,+1.20%,2312805,0
01/10/2023,218.22,222.399,218.03,220,4.49,+2.08%,2899500,0
01/09/2023,214.66,219.4,214.41,215.51,1.28,+0.60%,3034900,0
01/06/2023,210.7,216.24,208.45,214.23,5.55,+2.66%,4220300,0
01/05/2023,224.13,224.9,208.12,208.68,-22.48,-9.72%,4690400,0
01/04/2023,227.69,234.5,227.06,231.16,3.56,+1.56%,1548500,0
01/03/2023,232,234.2,226.38,227.6,-4.15,-1.79%,1723300,0
12/30/2022,234.49,234.585,229.94,231.75,-3.05,-1.30%,733700,0
12/29/2022,233.29,235.1399,231.89,234.8,2.92,+1.26%,780100,0
12/28/2022,232.97,234.35,231.86,231.88,-0.51,-0.22%,827700,0
12/27/2022,232.59,234.25,231.77,232.39,-0.02,-0.01%,558200,0
12/23/2022,230.91,233.125,230.195,232.41,1.4,+0.61%,409400,0
12/22/2022,232.58,234.25,228.17,231.01,-2.38,-1.02%,908000,0
12/21/2022,231.05,234.43,230.3951,233.39,3.22,+1.40%,1024900,0
12/20/2022,230.12,231.26,227.03,230.17,-0.12,-0.05%,1150800,0
12/19/2022,231.22,234.575,230.04,230.29,-1.07,-0.46%,1425100,0
12/16/2022,232.29,234.3,228.3,231.36,-4.04,-1.72%,2507800,0
12/15/2022,237.77,239.54,233.43,235.4,-4.15,-1.73%,1404000,0
12/14/2022,241.45,242.73,238.06,239.55,-1.31,-0.54%,1238200,0
12/13/2022,248.44,248.44,240.22,240.86,-4.63,-1.89%,1889900,0
12/12/2022,242.62,245.57,241.15,245.49,3.45,+1.43%,603500,0
12/09/2022,245.3,246.585,241.89,242.04,-4.34,-1.76%,740500,0
12/08/2022,246.1,248.08,245.77,246.38,-0.28,-0.11%,634800,0
12/07/2022,248.15,249.58,245.59,246.66,-0.96,-0.39%,1004900,0
12/06/2022,254.02,254.845,246.52,247.62,-7.24,-2.84%,1347800,0
12/05/2022,256.28,256.72,253.95,254.86,-6.19,-2.37%,1210200,0
12/02/2022,257.42,261.32,256.25,261.05,2.33,+0.90%,1169500,0
12/01/2022,258.3,259.125,255.06,258.72,1.37,+0.53%,972500,0
11/30/2022,252.1,257.35,249.77,257.35,3.71,+1.46%,1372300,0
11/29/2022,256.75,256.75,249.77,253.64,-3.86,-1.50%,1086600,0
11/28/2022,256.95,258.795,256.395,257.5,0.01,0.00%,846700,0
11/25/2022,256.7,257.615,254.93,257.49,0.8,+0.31%,383600,0
11/23/2022,255.51,256.71,254.28,256.69,1.69,+0.66%,552001,0
11/22/2022,254.48,256.25,253.13,255,2.58,+1.02%,965000,0
