Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/17/2023,42.11,42.17,41,41.39,-0.87,-2.06%,1491500,0
02/16/2023,41.88,42.79,41.61,42.26,-0.16,-0.38%,1354200,0
02/15/2023,40.72,42.45,40.635,42.42,1.76,+4.33%,1753800,0
02/14/2023,39.71,41.1,39.04,40.66,1.08,+2.73%,2330200,0
02/13/2023,36.71,39.95,36.32,39.58,5.31,+15.49%,3921800,0
02/10/2023,34.82,34.945,34.18,34.27,-0.8,-2.28%,1072900,0
02/09/2023,35.56,35.835,34.97,35.07,-0.02,-0.06%,548000,0
02/08/2023,35.36,35.7955,35,35.09,-0.35,-0.99%,730200,0
02/07/2023,34.83,35.655,34.65,35.44,0.51,+1.46%,548200,0
02/06/2023,35.03,35.36,34.81,34.93,-0.57,-1.61%,716200,0
02/03/2023,35.53,36.255,35.35,35.5,-0.78,-2.15%,608400,0
02/02/2023,36.31,36.65,35.725,36.28,0.52,+1.45%,792400,0
02/01/2023,34.9,36.03,34.7,35.76,0.88,+2.52%,661900,0
01/31/2023,34.67,35.04,34.59,34.88,0.26,+0.75%,691700,0
01/30/2023,34.52,34.87,34.38,34.62,-0.14,-0.40%,712100,0
01/27/2023,34.23,34.89,34.23,34.76,0.26,+0.75%,468200,0
01/26/2023,34.43,34.56,33.8905,34.5,0.54,+1.59%,571800,0
01/25/2023,33.1,33.98,32.9,33.96,0.48,+1.43%,585100,0
01/24/2023,33.94,34.39,33.47,33.48,-0.48,-1.41%,398600,0
01/23/2023,33.09,33.99,32.9255,33.96,0.94,+2.85%,600100,0
01/20/2023,32.53,33.12,32.38,33.02,0.52,+1.60%,487400,0
01/19/2023,32.7,32.915,32.3339,32.5,-0.38,-1.16%,396100,0
01/18/2023,33.48,33.72,32.85,32.88,-0.35,-1.05%,736400,0
01/17/2023,33.06,33.36,32.96,33.23,0.1,+0.30%,622300,0
01/13/2023,33.37,33.53,33.005,33.13,-0.52,-1.55%,655300,0
