Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/07/2023,1.44,1.44,1.27,1.42,0.01,+0.71%,82500,0
02/06/2023,1.55,1.55,1.3501,1.41,-0.11,-7.24%,90700,0
02/03/2023,1.51,1.59,1.47,1.52,-0.04,-2.56%,87500,0
02/02/2023,1.5,1.6,1.5,1.56,0.06,+4.00%,78300,0
02/01/2023,1.58,1.5825,1.47,1.5,-0.05,-3.23%,119100,0
01/31/2023,1.55,1.7,1.52,1.55,0.01,+0.65%,134600,0
01/30/2023,1.56,1.61,1.3802,1.54,0.05,+3.36%,213900,0
01/27/2023,1.59,1.59,1.4,1.49,-0.1,-6.29%,306700,0
01/26/2023,1.75,1.78,1.52,1.59,-0.13,-7.56%,188200,0
01/25/2023,1.79,1.79,1.65,1.72,-0.07,-3.91%,133700,0
01/24/2023,1.84,1.8861,1.72,1.79,-0.06,-3.24%,156600,0
01/23/2023,1.89,1.9572,1.8,1.85,-0.035,-1.86%,258900,0
01/20/2023,1.6,2.01,1.51,1.885,0.065,+3.57%,950100,0
01/19/2023,1.89,2.88,1.8,1.82,0.06,+3.41%,7217800,0
01/18/2023,1.81,1.84,1.55,1.76,-0.07,-3.83%,415600,0
01/17/2023,1.25,1.89,1.25,1.83,0.52,+39.69%,1580000,0
01/13/2023,1.17,1.4444,1.13,1.31,0.14,+11.97%,582800,0
01/12/2023,1.11,1.19,1.1,1.17,0.02,+1.74%,156200,0
01/11/2023,1.23,1.23,1.1,1.15,-0.04,-3.36%,227900,0
01/10/2023,1.48,1.48,1.15,1.19,-0.13,-9.85%,591200,0
01/09/2023,1.06,1.46,1.06,1.32,0.28,+26.92%,1244600,0
01/06/2023,0.82,1.08,0.7401,1.04,0.2621,+33.69%,830700,0
01/05/2023,0.79,0.82,0.7,0.7779,0.0026,+0.34%,129500,0
01/04/2023,0.8,0.8,0.712,0.7753,0.0113,+1.48%,67600,0
01/03/2023,0.82,0.84,0.7,0.764,-0.0183,-2.34%,217000,0
12/30/2022,0.7924,0.85,0.75,0.7823,-0.0346,-4.24%,311500,0
12/29/2022,0.7938,0.83,0.75,0.8169,0.0068,+0.84%,119100,0
12/28/2022,0.86,0.88,0.7333,0.8101,-0.0199,-2.40%,170900,0
12/27/2022,0.92,0.9702,0.82,0.83,-0.07,-7.78%,157600,0
12/23/2022,0.866,0.93,0.8461,0.9,0.06,+7.14%,144700,0
12/22/2022,0.95,0.966,0.8182,0.84,-0.0584,-6.50%,162900,0
12/21/2022,0.9493,0.9897,0.8984,0.8984,-0.0376,-4.02%,91000,0
12/20/2022,1.03,1.05,0.92,0.936,-0.054,-5.45%,177700,0
12/19/2022,1.19,1.19,0.96,0.99,-0.07,-6.60%,295800,0
12/16/2022,1.45,1.48,1.05,1.06,-0.46,-30.26%,271900,0
12/15/2022,1.75,1.75,1.49,1.52,-0.28,-15.56%,155600,0
12/14/2022,1.8,1.9775,1.7,1.8,-0.21,-10.45%,96700,0
12/13/2022,2.0266,2.08,1.815,2.01,-0.01,-0.50%,77100,0
12/12/2022,2.5,2.5,1.97,2.02,-0.31,-13.30%,169100,0
12/09/2022,2.73,2.8899,2.17,2.33,-0.4885,-17.33%,112100,0
12/08/2022,2.95,3.1,2.663,2.8185,-0.0815,-2.81%,70400,0
12/07/2022,3.42,3.42,2.63,2.9,-0.44,-13.17%,179100,0
12/06/2022,4.4,4.5999,3.22,3.34,-0.93,-21.78%,226300,0
12/05/2022,4.22,4.3545,3.84,4.27,0.05,+1.18%,107100,0
