Time,Open,High,Low,Last,Change,%Chg,Volume
01/25/2023,2.81,3.36,2.57,3.15,0.265,+9.19%,70100
01/24/2023,2.58,2.895,2.58,2.885,0.335,+13.14%,31200
01/23/2023,2.35,2.55,2.35,2.55,0.06,+2.41%,3500
01/20/2023,2.36,2.5,2.29,2.49,0.15,+6.41%,6900
01/19/2023,2.22,2.43,2.17,2.34,-0.03,-1.27%,5300
01/18/2023,2.4899,2.4899,2.27,2.37,-0.0838,-3.42%,4300
01/17/2023,2.38,2.51,2.22,2.4538,0.0538,+2.24%,4900
01/13/2023,2.49,2.6,2.3601,2.4,0.04,+1.69%,11300
01/12/2023,2.4,2.4,2.12,2.36,0.11,+4.89%,8600
01/11/2023,2.1295,2.58,2.06,2.25,0.3262,+16.96%,92200
01/10/2023,1.945,1.98,1.9238,1.9238,-0.0662,-3.33%,3900
01/09/2023,1.99,2.1454,1.94,1.99,-0.1799,-8.29%,8300
01/06/2023,2.15,2.1699,2.15,2.1699,-0.0001,0.00%,600
01/05/2023,2.01,2.17,1.97,2.17,0.021,+0.98%,5500
01/04/2023,1.99,2.149,1.99,2.149,0.0055,+0.26%,5600
01/03/2023,2.18,2.25,2,2.1435,-0.0407,-1.86%,4500
12/30/2022,2.3199,2.3199,1.91,2.1842,0.1142,+5.52%,20200
12/29/2022,2.06,2.2726,1.97,2.07,-0.059,-2.77%,6000
12/28/2022,1.93,2.265,1.93,2.129,0.044,+2.11%,5300
12/27/2022,2.13,2.16,2.01,2.085,-0.045,-2.11%,5200
12/23/2022,1.93,2.18,1.93,2.13,0.05,+2.40%,5600
12/22/2022,2.45,2.45,2.08,2.08,-0.3501,-14.41%,15600
12/21/2022,2.37,2.4301,1.99,2.4301,0.1801,+8.00%,5200
12/20/2022,2.05,2.25,2.04,2.25,0.23,+11.39%,11300
12/19/2022,2.05,2.05,1.91,2.02,-0.0751,-3.58%,1600
12/16/2022,2.0449,2.0951,2.0449,2.0951,-0.0748,-3.45%,2300
12/15/2022,2.05,2.1699,1.9,2.1699,0.0017,+0.08%,1700
12/14/2022,1.93,2.1682,1.93,2.1682,0.0282,+1.32%,3700
12/13/2022,2.04,2.14,1.99,2.14,0.14,+7.00%,7400
12/12/2022,1.97,2.11,1.88,2,-0.0778,-3.74%,13000
12/09/2022,2.04,2.1074,1.8,2.0778,-0.0222,-1.06%,10100
12/08/2022,2,2.1,1.911,2.1,-0.0089,-0.42%,4300
12/07/2022,1.9,2.1089,1.8,2.1089,-0.0198,-0.93%,2000
12/06/2022,2.12,2.14,2.1,2.1287,-0.0213,-0.99%,1700
12/05/2022,1.9,2.15,1.9,2.15,0.22,+11.40%,6700
12/02/2022,2.02,2.02,1.93,1.93,-0.1,-4.93%,900
12/01/2022,1.97,2.1597,1.97,2.03,0,0.00%,2800
11/30/2022,1.83,2.03,1.75,2.03,0.17,+9.14%,15200
11/29/2022,1.75,1.86,1.75,1.86,0.06,+3.33%,1600
11/28/2022,1.65,1.9299,1.65,1.8,0.005,+0.28%,1400
11/25/2022,1.76,1.795,1.76,1.795,0.005,+0.28%,2000
11/23/2022,1.66,1.8,1.66,1.79,0.09,+5.29%,3000
11/22/2022,1.77,1.8,1.53,1.7,-0.0302,-1.75%,5800
11/21/2022,1.73,1.99,1.6,1.7302,-0.0198,-1.13%,77300
11/18/2022,1.68,1.86,1.68,1.75,0.01,+0.57%,6900
11/17/2022,1.98,2.08,1.74,1.74,-0.31,-15.12%,21700
11/16/2022,1.8,2.05,1.76,2.05,0.26,+14.53%,82000
11/15/2022,1.79,1.88,1.79,1.79,0,0.00%,1900
11/14/2022,1.9299,1.9299,1.7,1.79,-0.1,-5.29%,6400
11/11/2022,1.84,1.9199,1.79,1.89,0.05,+2.72%,5100
11/10/2022,1.93,1.97,1.78,1.84,-0.12,-6.12%,3600
11/09/2022,1.86,2.03,1.86,1.96,-0.07,-3.45%,4300
11/08/2022,1.9,2.03,1.8,2.03,0.03,+1.50%,2600
11/07/2022,1.92,2.06,1.8001,2,0.03,+1.52%,33200
11/04/2022,2,2,1.867,1.97,0.1,+5.35%,4900
11/03/2022,1.88,2.03,1.66,1.87,0.09,+5.06%,11900
11/02/2022,1.79,1.839,1.7,1.78,-0.0983,-5.23%,2900
11/01/2022,1.84,1.8999,1.6505,1.8783,-0.0217,-1.14%,11800
10/31/2022,2,2.05,1.76,1.9,-0.07,-3.55%,48900
10/28/2022,1.9,2.24,1.89,1.97,0.11,+5.91%,36600
10/27/2022,1.69,1.9,1.69,1.86,0.18,+10.71%,11400
10/26/2022,1.52,1.69,1.52,1.68,0.08,+5.00%,31900
10/25/2022,1.5201,1.6,1.4873,1.6,0.18,+12.68%,11600
10/24/2022,1.59,1.63,1.42,1.42,-0.21,-12.88%,15900
10/21/2022,1.55,1.69,1.52,1.63,0.0753,+4.84%,24000
10/20/2022,1.48,1.59,1.48,1.5547,0.072,+4.86%,16900
10/19/2022,1.41,1.5605,1.41,1.4827,-0.0773,-4.96%,8100
10/18/2022,1.4,1.59,1.38,1.56,0.1847,+13.43%,16700
10/17/2022,1.2838,1.4158,1.28,1.3753,0.1253,+10.02%,14700
10/14/2022,1.29,1.315,1.24,1.25,-0.0828,-6.21%,3300
10/13/2022,1.24,1.34,1,1.3328,0.0527,+4.12%,19800
10/12/2022,1.2,1.2801,1.2,1.2801,0.0501,+4.07%,7900
10/11/2022,1.12,1.2501,1.07,1.23,0.11,+9.82%,21700
10/10/2022,1.2,1.2129,1.1,1.12,-0.08,-6.67%,13500
10/07/2022,1.18,1.26,1.1262,1.2,0.07,+6.19%,46400
