Time,Open,High,Low,Last,Change,%Chg,Volume
01/27/2023,53.77,58.35,53.6,57.31,2.73,+5.00%,477300
01/26/2023,56.03,56.03,53.77,54.58,0.31,+0.57%,258600
01/25/2023,52.92,55.2,50.94,54.27,-0.49,-0.89%,368000
01/24/2023,55.07,56.62,54.22,54.76,-1.13,-2.02%,196600
01/23/2023,55,57.76,54.59,55.89,1.42,+2.61%,304100
01/20/2023,52.53,54.53,51.47,54.47,2.89,+5.60%,355000
01/19/2023,51.97,52.2843,50.06,51.58,-1.58,-2.97%,372100
01/18/2023,56.68,57.3425,53.1,53.16,-2.85,-5.09%,434000
01/17/2023,54.36,56.44,54.219,56.01,1.39,+2.54%,336900
01/13/2023,52.86,54.805,52.4,54.62,1.4,+2.63%,379700
01/12/2023,54.3,54.35,51.3,53.22,-1.1,-2.03%,438500
01/11/2023,51.29,54.42,50.84,54.32,3.51,+6.91%,503800
01/10/2023,47.86,51.18,47.86,50.81,2.6,+5.39%,393100
01/09/2023,48.27,50.67,47.4901,48.21,0.62,+1.30%,384000
01/06/2023,45.85,47.82,43.54,47.59,1.91,+4.18%,339400
01/05/2023,46,46.74,44.915,45.68,-1.27,-2.71%,271900
01/04/2023,46.13,48.77,45.66,46.95,1.33,+2.92%,412700
01/03/2023,48.97,49.66,45.59,45.62,-1.91,-4.02%,417200
12/30/2022,47.51,48.22,46.74,47.53,-1.17,-2.40%,384700
12/29/2022,47.3,50.83,46.48,48.7,2.23,+4.80%,426400
12/28/2022,47.05,48,46.1,46.47,-1.29,-2.70%,298200
12/27/2022,48.71,48.77,47.12,47.76,-1.23,-2.51%,253100
12/23/2022,50.94,50.98,48.0301,48.99,-1.99,-3.90%,339500
12/22/2022,52.39,52.515,48.02,50.98,-2.41,-4.51%,452700
12/21/2022,52.66,54.84,52.35,53.39,1.05,+2.01%,402000
12/20/2022,48.62,53,48.285,52.34,3.42,+6.99%,550600
12/19/2022,49.79,50.62,48.395,48.92,-0.9,-1.81%,354700
12/16/2022,48.76,51,48.4,49.82,-0.08,-0.16%,877100
12/15/2022,51.73,52.09,49.06,49.9,-3.42,-6.41%,368400
12/14/2022,54.58,55.97,52.21,53.32,-1.35,-2.47%,424000
12/13/2022,57.34,57.65,53.07,54.67,0.8,+1.49%,465500
12/12/2022,52.22,54.99,51.93,53.87,1.41,+2.69%,387600
12/09/2022,52.08,53.42,52.08,52.46,0.31,+0.59%,289200
12/08/2022,50.51,52.7,49.26,52.15,1.95,+3.88%,370200
12/07/2022,50.94,52.46,50.02,50.2,-1.17,-2.28%,298000
12/06/2022,52.11,52.4,49.075,51.37,-0.92,-1.76%,444800
12/05/2022,53.91,55.67,51.515,52.29,-1.83,-3.38%,409500
12/02/2022,51.6,54.46,50.33,54.12,1.79,+3.42%,306300
12/01/2022,52.41,53.22,50.265,52.33,0.06,+0.11%,441400
11/30/2022,48.79,52.32,48.61,52.27,2.5,+5.02%,476200
11/29/2022,50.97,52.13,49.585,49.77,-0.96,-1.89%,511500
11/28/2022,53.37,54,50.06,50.73,-3.4,-6.28%,631000
