Time,Open,High,Low,Last,Change,%Chg,Volume
01/30/2023,2.46,2.5,2.35,2.36,-0.1,-4.07%,28000
01/27/2023,2.33,2.61,2.3,2.46,0.13,+5.58%,45200
01/26/2023,2.36,2.45,2.32,2.33,-0.02,-0.85%,22000
01/25/2023,2.31,2.4099,2.31,2.35,0.04,+1.73%,14400
01/24/2023,2.38,2.48,2.31,2.31,0.02,+0.87%,18200
01/23/2023,2.43,2.48,2.257,2.29,-0.04,-1.72%,35800
01/20/2023,2.25,2.43,2.25,2.33,0.08,+3.56%,16300
01/19/2023,2.44,2.61,2.25,2.25,-0.44,-16.36%,63000
01/18/2023,2.88,2.9,2.6,2.69,-0.13,-4.61%,27600
01/17/2023,2.66,2.88,2.52,2.82,0.2,+7.63%,46700
01/13/2023,2.6,2.65,2.55,2.62,0.01,+0.38%,25600
01/12/2023,2.45,2.61,2.416,2.61,0.06,+2.35%,24900
01/11/2023,2.54,2.5587,2.38,2.55,0.05,+2.00%,39504
01/10/2023,2.17,2.5,2.17,2.5,0.24,+10.62%,109500
01/09/2023,2.22,2.26,2.1101,2.26,0.03,+1.35%,30300
01/06/2023,2.26,2.3,2.2,2.23,-0.07,-3.04%,19500
01/05/2023,2.08,2.3,2.04,2.3,0.18,+8.49%,51100
01/04/2023,2,2.14,1.95,2.12,0.09,+4.43%,96700
01/03/2023,1.91,2.03,1.91,2.03,0.1,+5.18%,52500
12/30/2022,1.78,1.93,1.74,1.93,0.11,+6.04%,155000
12/29/2022,1.72,1.92,1.72,1.82,0.08,+4.60%,165600
12/28/2022,1.84,1.9,1.7,1.74,-0.11,-5.95%,245700
12/27/2022,1.77,1.965,1.77,1.85,0.06,+3.35%,122300
12/23/2022,1.93,2,1.65,1.79,-0.16,-8.21%,588700
12/22/2022,1.91,2.05,1.91,1.95,-0.01,-0.51%,538400
12/21/2022,1.89,2.07,1.89,1.96,0.05,+2.62%,1147300
12/20/2022,2.1,2.17,1.84,1.91,-0.15,-7.28%,857800
12/19/2022,2.06,2.15,1.91,2.06,-0.05,-2.37%,119600
12/16/2022,2.26,2.39,2.08,2.11,-0.12,-5.38%,292400
12/15/2022,2.33,2.36,2.1654,2.23,-0.12,-5.11%,107700
12/14/2022,2.34,2.42,2.2958,2.35,-0.02,-0.84%,66700
12/13/2022,2.5,2.55,2.31,2.37,-0.05,-2.07%,93000
12/12/2022,2.3,2.65,2.3,2.42,0.09,+3.86%,114600
