Time,Open,High,Low,Last,Change,%Chg,Volume
04/06/2023,10.2,10.21,10.2,10.2,-0.04,-0.39%,3800
03/31/2023,10.24,10.26,10.23,10.24,-0.02,-0.19%,4100
03/27/2023,10.2,10.26,10.2,10.26,0.06,+0.59%,14700
03/24/2023,10.2,10.2,10.2,10.2,0,0.00%,800
03/23/2023,10.16,10.2,10.16,10.2,0,0.00%,300
03/20/2023,10.17,10.2,10.17,10.2,0.06,+0.59%,7400
03/15/2023,10.14,10.15,10.14,10.14,0,0.00%,3200
03/14/2023,10.14,10.1509,10.13,10.14,-0.01,-0.10%,20500
03/13/2023,10.15,10.15,10.15,10.15,0,0.00%,100000
03/09/2023,10.16,10.16,10.15,10.15,-0.02,-0.20%,1400
03/08/2023,10.15,10.18,10.15,10.17,0.01,+0.10%,11300
03/07/2023,10.165,10.18,10.1566,10.16,0.01,+0.10%,556800
03/06/2023,10.13,10.15,10.12,10.15,0.01,+0.10%,21500
03/03/2023,10.17,10.2,10.14,10.14,-0.02,-0.20%,10600
03/02/2023,10.16,10.315,10.145,10.16,0,0.00%,12700
03/01/2023,10.3,10.3,10.12,10.16,0.015,+0.15%,13000
02/28/2023,10.3,10.3,10.14,10.145,-0.0149,-0.15%,12200
02/27/2023,10.6,10.6,10.11,10.1599,-0.0401,-0.39%,4900
02/24/2023,10.15,10.7,10.14,10.2,0.03,+0.29%,61800
02/23/2023,10.16,10.17,10.15,10.17,0.02,+0.20%,4200
02/22/2023,10.15,10.16,10.15,10.15,0,0.00%,16800
02/21/2023,10.1501,10.1501,10.145,10.15,0.01,+0.10%,128200
02/17/2023,10.15,10.15,10.14,10.14,0,0.00%,1551900
02/16/2023,10.15,10.15,10.13,10.14,-0.01,-0.10%,548200
02/15/2023,10.15,10.15,10.14,10.15,0.001,+0.01%,150700
02/14/2023,10.1401,10.149,10.135,10.149,0.009,+0.09%,112400
02/13/2023,10.15,10.16,10.14,10.14,-0.02,-0.20%,67100
02/09/2023,10.14,10.16,10.14,10.16,0.015,+0.15%,713000
02/08/2023,10.15,10.155,10.14,10.145,0.025,+0.25%,976200
02/07/2023,10.13,10.13,10.12,10.12,-0.005,-0.05%,28700
02/06/2023,10.1227,10.13,10.12,10.125,-0.015,-0.15%,73400
02/03/2023,10.1154,10.14,10.1154,10.14,0.01,+0.10%,2900
02/02/2023,10.12,10.13,10.12,10.13,0.01,+0.10%,21100
02/01/2023,10.12,10.12,10.115,10.12,0.01,+0.10%,106400
01/31/2023,10.125,10.125,10.11,10.11,-0.01,-0.10%,1173800
01/30/2023,10.12,10.13,10.115,10.12,0.01,+0.10%,4200
01/27/2023,10.115,10.115,10.11,10.11,0,0.00%,300
01/26/2023,10.1,10.11,10.1,10.11,0,0.00%,5200
01/25/2023,10.105,10.13,10.105,10.11,0.005,+0.05%,373100
01/24/2023,10.105,10.105,10.105,10.105,0.005,+0.05%,100
