Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/21/2023,20.57,20.78,20.18,20.29,-0.24,-1.17%,222100,0
02/17/2023,20.92,20.92,20.45,20.53,-0.5,-2.38%,228900,0
02/16/2023,21.08,21.3499,20.98,21.03,-0.11,-0.52%,483001,0
02/15/2023,21.12,21.26,20.9579,21.14,0.13,+0.62%,235600,0
02/14/2023,20.95,21.42,20.53,21.01,0,0.00%,225500,0
02/13/2023,20.71,21.3,20.71,21.01,0.12,+0.57%,497400,0
02/10/2023,20.53,21.15,20.5236,20.89,0.31,+1.51%,322200,0
02/09/2023,21.35,21.4,20.45,20.58,-0.72,-3.38%,227000,0
02/08/2023,21.14,21.64,21.14,21.3,0,0.00%,291500,0
02/07/2023,21.09,21.34,20.93,21.3,0.31,+1.48%,68000,0
02/06/2023,21.04,21.19,20.775,20.99,0.04,+0.19%,107200,0
02/03/2023,21.03,21.25,20.8301,20.95,-0.02,-0.10%,193700,0
02/02/2023,20.7,20.99,20.6,20.97,0.18,+0.87%,110100,0
02/01/2023,20.73,20.965,20.515,20.79,0.09,+0.43%,164200,0
01/31/2023,20.4,20.72,20.28,20.7,0.27,+1.32%,215900,0
01/30/2023,20.33,20.62,20.2871,20.43,0.11,+0.54%,118900,0
01/27/2023,20.09,20.56,20.09,20.32,0.15,+0.74%,126200,0
01/26/2023,20.2,20.35,20.0888,20.17,0.11,+0.55%,106200,0
01/25/2023,20.07,20.29,19.8003,20.06,-0.03,-0.15%,123600,0
01/24/2023,20.2,20.301,20.0101,20.09,-0.12,-0.59%,79600,0
01/23/2023,20.19,20.56,20.15,20.21,-0.06,-0.30%,186200,0
01/20/2023,20.2,20.39,19.84,20.27,-0.4,-1.94%,192800,0
01/19/2023,20.48,20.95,20.46,20.67,0.19,+0.93%,254200,0
01/18/2023,20.58,20.9699,20.33,20.48,-0.05,-0.24%,269701,0
01/17/2023,20.82,20.9999,20.45,20.53,-0.38,-1.82%,332300,0
01/13/2023,21,21.001,20.6301,20.91,0.05,+0.24%,102600,0
01/12/2023,20.67,21.24,20.53,20.86,0.21,+1.02%,489400,0
01/11/2023,20.01,20.65,19.89,20.65,0.73,+3.66%,317000,0
01/10/2023,19.91,20,19.7901,19.92,0.1,+0.50%,132700,0
01/09/2023,19.75,19.95,19.6191,19.82,0.32,+1.64%,147100,0
01/06/2023,19.43,19.97,19.27,19.5,0.26,+1.35%,119000,0
01/05/2023,19.18,19.369,18.95,19.24,0.17,+0.89%,104100,0
01/04/2023,19.21,19.6199,19.01,19.07,-0.06,-0.31%,113700,0
01/03/2023,19.49,19.71,19,19.13,-0.4,-2.05%,129700,0
12/30/2022,19.77,19.925,19.425,19.53,-0.17,-0.86%,105300,0
12/29/2022,19.31,20.08,19.31,19.7,0.39,+2.02%,103100,0
12/28/2022,19.18,19.46,19.04,19.31,-0.13,-0.67%,244100,0
12/27/2022,19.21,19.51,19.11,19.44,0.11,+0.57%,96400,0
12/23/2022,18.96,19.42,18.91,19.33,0.43,+2.28%,91300,0
12/22/2022,19.39,19.39,18.6445,18.9,-0.41,-2.12%,181100,0
12/21/2022,18.95,19.545,18.8,19.31,0.43,+2.28%,201100,0
12/20/2022,18.77,19.295,18.73,18.88,-0.03,-0.16%,159500,0
12/19/2022,18.93,19.32,18.7,18.91,0.18,+0.96%,175300,0
12/16/2022,19.5,19.81,18.73,18.73,-0.94,-4.78%,2062500,0
12/15/2022,19.54,19.95,19.5,19.67,-0.05,-0.25%,367700,0
12/14/2022,19.71,20,19.43,19.72,0.04,+0.20%,365300,0
12/13/2022,19.5,20.4,19.44,19.68,0.19,+0.97%,458300,0
12/12/2022,18.78,19.5,18.5701,19.49,0.75,+4.00%,356800,0
12/09/2022,18.17,19,18.17,18.74,0.65,+3.59%,334600,0
12/08/2022,18.26,18.265,18.01,18.09,0.01,+0.06%,33100,0
12/07/2022,18.18,18.2,17.945,18.08,-0.02,-0.11%,125100,0
12/06/2022,18.43,18.48,18.01,18.1,-0.27,-1.47%,154200,0
12/05/2022,18.72,18.82,18.2101,18.37,-0.32,-1.71%,203000,0
12/02/2022,18.23,18.9922,18.215,18.69,0.31,+1.69%,98000,0
12/01/2022,18.52,18.65,18.3,18.38,0.01,+0.05%,60400,0
11/30/2022,18.62,18.62,18.12,18.37,-0.25,-1.34%,154500,0
11/29/2022,18.19,18.67,18.19,18.62,0.43,+2.36%,73800,0
11/28/2022,18.2,18.37,18,18.19,-0.22,-1.20%,138200,0
11/25/2022,18.5,18.65,18.34,18.41,-0.07,-0.38%,31800,0
11/23/2022,18.36,18.56,18.26,18.48,-0.06,-0.32%,35800,0
11/22/2022,18.38,18.6017,18.22,18.54,0.29,+1.59%,68200,0
11/21/2022,18.13,18.4144,17.8,18.25,-0.11,-0.60%,101000,0
11/18/2022,18.35,18.4699,18.1,18.36,-0.08,-0.43%,55900,0
11/17/2022,18.43,18.57,18.2,18.44,-0.17,-0.91%,52600,0
11/16/2022,18.2,18.67,18.2,18.61,0.22,+1.20%,68200,0
11/15/2022,18.38,18.48,18.1001,18.39,0.16,+0.88%,50200,0
11/14/2022,18.21,18.5,18.1011,18.23,0.02,+0.11%,66300,0
11/11/2022,18.14,18.5,18.09,18.21,-0.17,-0.92%,76400,0
11/10/2022,18.08,18.4898,18.08,18.38,0.33,+1.83%,124100,0
11/09/2022,18.55,18.58,17.8501,18.05,-0.57,-3.06%,148100,0
11/08/2022,18.22,18.72,18.0885,18.62,0.3,+1.64%,127700,0
11/07/2022,18.41,18.65,18.3,18.32,0.05,+0.27%,129500,0
11/04/2022,18.22,18.47,18.03,18.27,0.28,+1.56%,146100,0
11/03/2022,17.6,18.07,17.27,17.99,0.21,+1.18%,163500,0
11/02/2022,18.16,18.35,17.7,17.78,-0.33,-1.82%,135900,0
11/01/2022,18.16,18.28,17.7,18.11,0.02,+0.11%,144400,0
10/31/2022,17.84,18.28,17.834,18.09,0.12,+0.67%,180700,0
10/28/2022,18,18.09,17.8,17.97,0,0.00%,71400,0
10/27/2022,17.97,18.21,17.95,17.97,0.17,+0.96%,117100,0
10/26/2022,17.88,18.33,17.78,17.8,-0.14,-0.78%,189200,0
10/25/2022,18.02,18.145,17.74,17.94,-0.26,-1.43%,145600,0
10/24/2022,17.95,18.26,17.8711,18.2,0.25,+1.39%,191600,0
10/21/2022,18.02,18.22,17.7,17.95,-0.6,-3.23%,206000,0
10/20/2022,18.75,18.81,18.43,18.55,-0.16,-0.86%,283700,0
10/19/2022,18.61,18.88,18.4,18.71,0.1,+0.54%,188400,0
10/18/2022,18.25,18.61,18.09,18.61,0.38,+2.08%,186600,0
10/17/2022,18.04,18.4,18.0101,18.23,0.5,+2.82%,189000,0
10/14/2022,18.06,18.06,17.44,17.73,-0.22,-1.23%,137400,0
10/13/2022,17.16,18.03,17.14,17.95,0.58,+3.34%,156100,0
10/12/2022,17.46,17.48,17.0855,17.37,-0.09,-0.52%,125800,0
10/11/2022,17.83,17.925,17.33,17.46,-0.38,-2.13%,136300,0
10/10/2022,18.19,18.485,17.76,17.84,-0.36,-1.98%,79900,0
10/07/2022,18.25,18.55,18.12,18.2,-0.17,-0.93%,87300,0
10/06/2022,18.04,18.535,17.9,18.37,0.34,+1.89%,148900,0
10/05/2022,17.8,18.4,17.8,18.03,-0.04,-0.22%,176400,0
10/04/2022,17.97,18.4219,17.92,18.07,0.37,+2.09%,251700,0
10/03/2022,17.73,17.97,17.51,17.7,0.3,+1.72%,114500,0
09/30/2022,17.13,17.57,17.06,17.4,0.28,+1.64%,122400,0
09/29/2022,17.35,17.35,16.7586,17.12,-0.24,-1.38%,79700,0
09/28/2022,16.48,17.4499,16.3379,17.36,1.17,+7.23%,103300,0
09/27/2022,16.46,16.8104,16.19,16.19,-0.05,-0.31%,87500,0
09/26/2022,16.6,16.6924,15.87,16.24,-0.45,-2.70%,243100,0
09/23/2022,16.9,16.9,16.3,16.69,-0.31,-1.82%,276300,0
09/22/2022,17.63,17.7665,16.78,17,-0.48,-2.75%,391900,0
09/21/2022,17.83,18.0421,17.42,17.48,-0.3,-1.69%,205400,0
09/20/2022,18.18,18.2,17.71,17.78,-0.43,-2.36%,68500,0
09/19/2022,17.7,18.21,17.6,18.21,0.43,+2.42%,75000,0
09/16/2022,18.1,18.2046,17.7,17.78,-0.26,-1.44%,110200,0
09/15/2022,18.16,18.305,17.83,18.04,-0.37,-2.01%,55800,0
09/14/2022,18.07,18.52,18.07,18.41,0.37,+2.05%,41200,0
09/13/2022,18.36,18.4495,18,18.04,-0.45,-2.43%,66500,0
09/12/2022,18.49,18.57,18.21,18.49,0.24,+1.32%,59800,0
09/09/2022,17.99,18.38,17.92,18.25,0.35,+1.96%,59100,0
09/08/2022,18.06,18.17,17.84,17.9,-0.13,-0.72%,33700,0
09/07/2022,17.78,18.075,17.52,18.03,0.15,+0.84%,54000,0
09/06/2022,18.19,18.4156,17.713,17.88,-0.1,-0.56%,43000,0
09/02/2022,17.84,18.1399,17.7837,17.98,0.39,+2.22%,40700,0
09/01/2022,17.85,17.942,17.49,17.59,-0.47,-2.60%,93600,0
08/31/2022,17.85,18.3299,17.72,18.06,0.17,+0.95%,60200,0
08/30/2022,18.55,18.55,17.85,17.89,-0.66,-3.56%,192600,0
08/29/2022,18.47,18.69,18.41,18.55,-0.07,-0.38%,80000,0
08/26/2022,18.77,18.8177,18.48,18.62,-0.15,-0.80%,52500,0
08/25/2022,18.65,18.91,18.48,18.77,0.13,+0.70%,73900,0
08/24/2022,18.63,18.7725,18.47,18.64,-0.07,-0.37%,49900,0
08/23/2022,18.46,18.75,18.4,18.71,0.46,+2.52%,56500,0
08/22/2022,18.37,18.37,18.06,18.25,-0.15,-0.82%,110300,0
08/19/2022,18.47,18.58,18.32,18.4,-0.11,-0.59%,56200,0
08/18/2022,18.29,18.58,18.1978,18.51,0.32,+1.76%,57000,0
08/17/2022,18.2,18.35,17.91,18.19,-0.06,-0.33%,56000,0
08/16/2022,17.98,18.25,17.98,18.25,0.32,+1.78%,121300,0
08/15/2022,17.56,18,17.3098,17.93,0.12,+0.67%,87000,0
08/12/2022,17.66,17.88,17.6,17.81,0.12,+0.68%,53000,0
08/11/2022,17.72,18.0306,17.6101,17.69,-0.02,-0.11%,114600,0
08/10/2022,18.01,18.1,17.71,17.71,-0.29,-1.61%,92600,0
08/09/2022,17.9,18.04,17.8001,18,0.06,+0.33%,133400,0
08/08/2022,17.55,18.22,17.55,17.94,0.22,+1.24%,103000,0
08/05/2022,17.65,18.16,17.51,17.72,0.02,+0.11%,183900,0
08/04/2022,17.51,17.7,17.07,17.7,0.19,+1.09%,186800,0
08/03/2022,17.74,17.74,17.39,17.51,-0.18,-1.02%,68800,0
08/02/2022,17.74,17.79,17.3129,17.69,0.1,+0.57%,93600,0
08/01/2022,17.5,17.65,17.07,17.59,-0.13,-0.73%,91500,0
07/29/2022,17.55,17.76,17.47,17.72,0.29,+1.66%,119600,0
07/28/2022,17.49,17.49,17.09,17.43,-0.02,-0.11%,74300,0
07/27/2022,17.16,17.5,17.017,17.45,0.42,+2.47%,130800,0
07/26/2022,16.85,17.1,16.42,17.03,0.18,+1.07%,143500,0
07/25/2022,16.61,16.98,16.56,16.85,0.31,+1.87%,116200,0
07/22/2022,16.93,17.12,16.42,16.54,-1.01,-5.75%,176700,0
07/21/2022,17.54,17.55,17.04,17.55,0.15,+0.86%,238900,0
07/20/2022,17.71,17.7571,17.0601,17.4,-0.31,-1.75%,393300,0
07/19/2022,17.85,18.04,17.65,17.71,-0.04,-0.23%,241200,0
07/18/2022,17.94,17.98,17.66,17.75,0.22,+1.25%,155800,0
07/15/2022,17.88,17.9,17.42,17.53,0.26,+1.51%,138400,0
07/14/2022,17.2,17.29,16.7501,17.27,-0.04,-0.23%,69800,0
07/13/2022,17.06,17.46,17.06,17.31,0.15,+0.87%,110200,0
07/12/2022,16.59,17.29,16.59,17.16,0.02,+0.12%,74100,0
07/11/2022,17.36,17.55,16.82,17.14,-0.22,-1.27%,121101,0
07/08/2022,17.69,17.69,17.3101,17.36,-0.03,-0.17%,45400,0
07/07/2022,16.9,17.552,16.9,17.39,0.55,+3.27%,144100,0
07/06/2022,16.71,16.94,16.2,16.84,0.14,+0.84%,97100,0
07/05/2022,17.01,17.19,16.15,16.7,-0.55,-3.19%,152300,0
07/01/2022,16.8,17.28,16.51,17.25,0.53,+3.17%,121601,0
06/30/2022,16.64,17.15,16.539,16.72,-0.09,-0.54%,140400,0
06/29/2022,17.35,17.38,16.5,16.81,-0.46,-2.66%,300500,0
06/28/2022,17.33,17.66,17,17.27,0.24,+1.41%,247600,0
06/27/2022,16.56,17.09,16.47,17.03,0.66,+4.03%,307700,0
06/24/2022,15.58,16.55,15.4047,16.37,0.83,+5.34%,223400,0
06/23/2022,16.23,16.23,15.26,15.54,-0.59,-3.66%,237900,0
06/22/2022,15.77,16.189,15.425,16.13,0.01,+0.06%,155700,0
06/21/2022,15.28,16.16,15.175,16.12,1.15,+7.68%,250700,0
06/17/2022,15.5,15.85,14.9,14.97,-0.31,-2.03%,420100,0
06/16/2022,16.59,16.65,15.12,15.28,-1.37,-8.23%,540300,0
06/15/2022,17.33,17.79,15.72,16.65,-0.68,-3.92%,965700,0
06/14/2022,18.01,18.0812,17.2,17.33,-0.58,-3.24%,166600,0
06/13/2022,19,19.02,17.83,17.91,-1.84,-9.32%,372200,0
06/10/2022,19.48,19.84,19.25,19.75,-0.05,-0.25%,142300,0
06/09/2022,19.65,19.87,19.485,19.8,0.01,+0.05%,112400,0
