Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
04/06/2023,1.49,1.49,1.3501,1.42,-0.09,-5.96%,607200,0
04/05/2023,1.6,1.62,1.46,1.51,-0.15,-9.04%,792700,0
04/04/2023,1.86,1.86,1.65,1.66,-0.09,-5.14%,2084900,0
04/03/2023,2.1,2.69,1.68,1.75,-0.01,-0.57%,15903100,0
03/31/2023,1.77,1.7899,1.73,1.76,0.035,+2.03%,19000,0
03/30/2023,1.78,1.8002,1.72,1.725,0.025,+1.47%,13700,0
03/29/2023,1.76,1.83,1.7,1.7,-0.09,-5.03%,60500,0
03/28/2023,1.8,1.85,1.78,1.79,-0.05,-2.72%,51400,0
03/27/2023,1.77,1.84,1.758,1.84,0.08,+4.55%,29600,0
03/24/2023,1.76,1.77,1.7,1.76,0.04,+2.33%,21900,0
03/23/2023,1.8,1.81,1.66,1.72,-0.04,-2.27%,74200,0
03/22/2023,1.79,1.8,1.76,1.76,-0.05,-2.76%,14300,0
03/21/2023,1.77,1.85,1.76,1.81,0.01,+0.56%,26300,0
03/20/2023,1.8,1.85,1.76,1.8,0.07,+4.05%,26700,0
03/17/2023,1.89,1.9,1.73,1.73,-0.14,-7.49%,82100,0
03/16/2023,1.79,1.87,1.79,1.87,0.03,+1.63%,24100,0
03/15/2023,2.08,2.08,1.8,1.84,-0.2,-9.80%,107600,0
03/14/2023,2.1,2.1,2.02,2.04,-0.04,-1.92%,24800,0
03/13/2023,2.09,2.11,2,2.08,0.07,+3.48%,33700,0
03/10/2023,2.05,2.0699,1.98,2.01,-0.06,-2.90%,32500,0
03/09/2023,2.12,2.1699,2.03,2.07,-0.04,-1.90%,18400,0
03/08/2023,2.13,2.1999,2.09,2.11,0,0.00%,50400,0
03/07/2023,2.1499,2.1499,2.09,2.11,-0.0401,-1.87%,18800,0
03/06/2023,2.15,2.1899,2.13,2.1501,0.0101,+0.47%,94400,0
03/03/2023,2.03,2.21,2.03,2.14,0.06,+2.88%,50500,0
03/02/2023,2.13,2.13,1.91,2.08,-0.05,-2.35%,204900,0
03/01/2023,2.17,2.175,2.1132,2.13,-0.03,-1.39%,38000,0
02/28/2023,2.25,2.2965,2.16,2.16,-0.04,-1.82%,36900,0
02/27/2023,2.24,2.26,2.2,2.2,-0.05,-2.22%,40200,0
02/24/2023,2.27,2.27,2.22,2.25,-0.01,-0.44%,20900,0
02/23/2023,2.33,2.3335,2.225,2.26,0.01,+0.44%,20900,0
02/22/2023,2.35,2.35,2.25,2.25,-0.065,-2.81%,23900,0
02/21/2023,2.38,2.3841,2.3,2.315,-0.005,-0.22%,31200,0
