Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
02/10/2023,20.34,21.618,20.18,21.47,1.11,+5.45%,379500,0
02/09/2023,21.51,21.51,20.33,20.36,-1.05,-4.90%,349500,0
02/08/2023,20.87,21.56,20.71,21.41,0.26,+1.23%,354100,0
02/07/2023,23.6,23.6,21.1,21.15,-2.81,-11.73%,393800,0
02/06/2023,23.86,23.97,23.34,23.96,-0.15,-0.62%,262100,0
02/03/2023,24.72,24.725,24.05,24.11,-0.8,-3.21%,257400,0
02/02/2023,25,25.43,24.81,24.91,0.08,+0.32%,298800,0
02/01/2023,24.48,25.15,24.25,24.83,0.37,+1.51%,437500,0
01/31/2023,24.14,24.52,23.72,24.46,0.37,+1.54%,277400,0
01/30/2023,24.41,24.615,23.71,24.09,-0.41,-1.67%,217600,0
01/27/2023,23.94,24.78,23.82,24.5,0.58,+2.42%,433700,0
01/26/2023,23.55,24.22,23.38,23.92,0.43,+1.83%,288300,0
01/25/2023,22.86,23.51,22.8,23.49,0.58,+2.53%,480600,0
01/24/2023,23,23.47,22.82,22.91,-0.35,-1.50%,246200,0
01/23/2023,23.06,23.66,22.8,23.26,0.2,+0.87%,289500,0
01/20/2023,22.25,23.13,21.94,23.06,0.89,+4.01%,525200,0
01/19/2023,21.82,22.275,21.57,22.17,0.25,+1.14%,389800,0
01/18/2023,22.57,22.72,21.85,21.92,-0.67,-2.97%,335400,0
01/17/2023,22.25,22.65,21.73,22.59,0.3,+1.35%,406000,0
01/13/2023,22.24,22.5,22.06,22.29,-0.14,-0.62%,234300,0
01/12/2023,22.55,22.91,22.33,22.43,-0.22,-0.97%,257000,0
01/11/2023,22.55,22.96,22.38,22.65,0.15,+0.67%,297500,0
01/10/2023,22,22.62,21.16,22.5,-0.38,-1.66%,628100,0
01/09/2023,22.82,23.035,22.44,22.88,0.03,+0.13%,543400,0
01/06/2023,23,23.29,22.71,22.85,0.04,+0.18%,158000,0
01/05/2023,22.47,22.96,22.38,22.81,0.33,+1.47%,216100,0
01/04/2023,21.96,22.589,21.795,22.48,0.69,+3.17%,584800,0
01/03/2023,20.97,21.85,20.87,21.79,0.94,+4.51%,189700,0
12/30/2022,20.75,20.98,20.64,20.85,-0.02,-0.10%,260000,0
12/29/2022,20.73,21.08,20.59,20.87,0.23,+1.11%,270600,0
12/28/2022,20.76,21.1,20.64,20.64,-0.08,-0.39%,172600,0
12/27/2022,20.62,20.8625,20.22,20.72,0.1,+0.48%,282200,0
12/23/2022,19.8,20.67,19.73,20.62,0.85,+4.30%,287400,0
12/22/2022,19.78,19.8,19.25,19.77,-0.16,-0.80%,256800,0
12/21/2022,20.02,20.23,19.84,19.93,0.08,+0.40%,269000,0
12/20/2022,19.67,20.01,19.43,19.85,0.3,+1.53%,391600,0
12/19/2022,20.18,20.26,19.43,19.55,-0.63,-3.12%,389800,0
12/16/2022,19.88,20.41,19.43,20.18,0.07,+0.35%,583800,0
12/15/2022,20.37,20.73,20.09,20.11,-0.24,-1.18%,249300,0
12/14/2022,20.2,20.72,20.15,20.35,0.06,+0.30%,327600,0
12/13/2022,20.25,20.89,20.22,20.29,0.36,+1.81%,394300,0
12/12/2022,19.49,20.39,19.49,19.93,0.47,+2.42%,422000,0
12/09/2022,19.35,19.859,19.22,19.46,0.03,+0.15%,297700,0
12/08/2022,20.41,20.62,19.4,19.43,-0.92,-4.52%,351600,0
12/07/2022,20.31,20.536,19.93,20.35,0.11,+0.54%,331800,0
12/06/2022,20.12,20.44,19.8,20.24,0.1,+0.50%,307900,0
12/05/2022,20.32,20.7,20.01,20.14,-0.27,-1.32%,225500,0
12/02/2022,20.25,20.46,19.91,20.41,-0.1,-0.49%,298400,0
12/01/2022,21.43,21.79,20.5,20.51,-0.75,-3.53%,292300,0
11/30/2022,21.05,21.27,20.5,21.26,0.22,+1.05%,276400,0
11/29/2022,20.13,21.07,19.89,21.04,0.68,+3.34%,260300,0
11/28/2022,21.25,21.89,20.34,20.36,-1.06,-4.95%,340000,0
11/25/2022,22.14,22.29,21.42,21.42,-0.62,-2.81%,170700,0
11/23/2022,21.88,22.1,21.565,22.04,0.07,+0.32%,305100,0
11/22/2022,22.05,22.29,21.38,21.97,-0.02,-0.09%,206500,0
11/21/2022,22.14,22.4,21.77,21.99,-0.2,-0.90%,234200,0
11/18/2022,22.9,23.35,22.1,22.19,-0.5,-2.20%,182200,0
11/17/2022,22.49,22.75,22.17,22.69,-0.06,-0.26%,234600,0
11/16/2022,22.29,23.035,22.18,22.75,0.52,+2.34%,283500,0
11/15/2022,21.87,22.78,21.85,22.23,0.49,+2.25%,316500,0
11/14/2022,22.36,22.67,21.71,21.74,-0.56,-2.51%,454600,0
11/11/2022,23.01,23.25,21.86,22.3,-0.71,-3.09%,317000,0
11/10/2022,22.23,23.705,21.93,23.01,1.2,+5.50%,317000,0
11/09/2022,21.89,22.07,21.41,21.81,-0.13,-0.59%,360500,0
11/08/2022,23.3,24.61,21.9,21.94,-0.9,-3.94%,550100,0
11/07/2022,23.77,24.31,22.83,22.84,-1.25,-5.19%,594400,0
11/04/2022,27.77,27.92,21.91,24.09,-6.96,-22.42%,782200,0
11/03/2022,31.61,31.61,30.86,31.05,-0.11,-0.35%,115000,0
11/02/2022,30.77,32,30.66,31.16,0.38,+1.23%,239800,0
11/01/2022,31.45,31.54,30.78,30.78,-0.39,-1.25%,174600,0
10/31/2022,31,31.4,30.78,31.17,-0.05,-0.16%,214200,0
10/28/2022,30.58,31.806,30.58,31.22,0.85,+2.80%,116300,0
10/27/2022,29.93,30.5,29.92,30.37,0.63,+2.12%,119500,0
