Time,Open,High,Low,Last,Change,%Chg,Volume,Strike
04/06/2023,0.27,0.28,0.25,0.2589,-0.0054,-2.04%,236400,0
04/05/2023,0.237,0.27,0.23,0.2643,0.0343,+14.91%,319000,0
04/04/2023,0.22,0.255,0.22,0.23,0.0187,+8.85%,91901,0
04/03/2023,0.219,0.22,0.2051,0.2113,-0.0082,-3.74%,81300,0
03/31/2023,0.205,0.22,0.205,0.2195,0.0095,+4.52%,106100,0
03/30/2023,0.21,0.2198,0.205,0.21,0.0049,+2.39%,55700,0
03/29/2023,0.2015,0.21,0.1936,0.2051,0.0048,+2.40%,47400,0
03/28/2023,0.209,0.22,0.19,0.2003,-0.0087,-4.16%,131100,0
03/27/2023,0.219,0.224,0.206,0.209,-0.0011,-0.52%,87400,0
03/24/2023,0.21,0.2199,0.2,0.2101,-0.0156,-6.91%,137900,0
03/23/2023,0.217,0.2499,0.217,0.2257,0.0087,+4.01%,71400,0
03/22/2023,0.22,0.226,0.215,0.217,-0.018,-7.66%,244400,0
03/21/2023,0.26,0.26,0.22,0.235,-0.025,-9.62%,463600,0
03/20/2023,0.23,0.2804,0.23,0.26,0.02,+8.33%,262700,0
03/17/2023,0.292,0.292,0.24,0.24,-0.0169,-6.58%,158600,0
03/16/2023,0.2383,0.267,0.2269,0.2569,0.0409,+18.94%,318800,0
03/15/2023,0.2261,0.2315,0.2067,0.216,-0.014,-6.09%,231300,0
03/14/2023,0.2411,0.249,0.23,0.23,-0.0189,-7.59%,162800,0
03/13/2023,0.2503,0.2898,0.241,0.2489,0.0038,+1.55%,115900,0
03/10/2023,0.2701,0.2701,0.2403,0.2451,-0.0334,-11.99%,212200,0
03/09/2023,0.284,0.303,0.27,0.2785,-0.0044,-1.56%,210900,0
03/08/2023,0.2618,0.29,0.2618,0.2829,0.0029,+1.04%,160000,0
03/07/2023,0.29,0.295,0.2755,0.28,-0.015,-5.08%,125400,0
03/06/2023,0.2875,0.3057,0.281,0.295,0.0042,+1.44%,134900,0
03/03/2023,0.32,0.32,0.265,0.2908,-0.0254,-8.03%,464000,0
03/02/2023,0.2764,0.3328,0.2764,0.3162,0.0312,+10.95%,368100,0
03/01/2023,0.29,0.3,0.2815,0.285,-0.0127,-4.27%,212700,0
02/28/2023,0.34,0.3499,0.295,0.2977,-0.0423,-12.44%,337500,0
02/27/2023,0.3565,0.3565,0.34,0.34,-0.0145,-4.09%,136000,0
02/24/2023,0.387,0.39,0.3442,0.3545,-0.0445,-11.15%,434800,0
02/23/2023,0.419,0.435,0.3843,0.399,-0.0194,-4.64%,197900,0
02/22/2023,0.4023,0.439,0.39,0.4184,-0.0135,-3.13%,126200,0
02/21/2023,0.401,0.449,0.3875,0.4319,0.0018,+0.42%,299700,0
