Time,Open,High,Low,Last,Change,%Chg,Volume
04/06/2023,10.15,10.15,10.1,10.1,0,0.00%,400
03/31/2023,10.1,10.1,10.03,10.1,0.07,+0.70%,700
03/30/2023,10.03,10.04,10.03,10.03,-0.2,-1.96%,600
03/28/2023,10.14,10.23,10.14,10.23,0.21,+2.10%,35900
03/27/2023,10.01,10.08,10.01,10.02,0.01,+0.10%,900
03/23/2023,10.01,10.01,10.01,10.01,0,0.00%,1800
03/22/2023,10.01,10.01,10.01,10.01,-0.0001,0.00%,1200
03/16/2023,10.01,10.17,10,10.0101,0.0101,+0.10%,6600
03/15/2023,10,10,10,10,-0.24,-2.34%,100
03/10/2023,10.145,10.24,10.145,10.24,-0.06,-0.58%,700
03/06/2023,10.29,10.32,10.15,10.3,0.17,+1.68%,2400
03/03/2023,10.15,10.27,10.11,10.13,-0.075,-0.73%,31100
03/02/2023,10.2,10.205,10.2,10.205,0.01,+0.10%,33100
03/01/2023,10.255,10.255,10.19,10.195,-0.005,-0.05%,306500
02/28/2023,10.19,10.21,10.19,10.2,0,0.00%,32200
02/27/2023,10.19,10.24,10.19,10.2,0.01,+0.10%,457100
02/24/2023,10.2,10.2,10.19,10.19,0,0.00%,3700
02/23/2023,10.2,10.22,10.19,10.19,0,0.00%,1100
02/21/2023,10.19,10.29,10.18,10.19,0.01,+0.10%,43000
02/17/2023,10.18,10.19,10.18,10.18,0.01,+0.10%,1900
02/15/2023,10.18,10.19,10.17,10.17,0,0.00%,12300
02/14/2023,10.22,10.22,10.17,10.17,0,0.00%,1400
02/13/2023,10.19,10.19,10.17,10.17,0,0.00%,1200
02/10/2023,10.17,10.18,10.17,10.17,0,0.00%,51200
02/09/2023,10.17,10.36,10.165,10.17,0,0.00%,185500
02/08/2023,10.17,10.17,10.17,10.17,0.0013,+0.01%,400
02/07/2023,10.2,10.2,10.1687,10.1687,-0.0013,-0.01%,700
02/06/2023,10.17,10.26,10.17,10.17,0.01,+0.10%,9100
02/03/2023,10.17,10.17,10.16,10.16,-0.01,-0.10%,512700
02/02/2023,10.17,10.1733,10.17,10.17,-0.02,-0.20%,17800
02/01/2023,10.17,10.4,10.16,10.19,0.0215,+0.21%,1532300
01/31/2023,10.1685,10.1685,10.1685,10.1685,0.0035,+0.03%,300
01/30/2023,10.15,10.165,10.15,10.165,0.015,+0.15%,4086900
01/27/2023,10.15,10.15,10.15,10.15,0,0.00%,5000
01/26/2023,10.14,10.15,10.14,10.15,0.005,+0.05%,573600
01/24/2023,10.14,10.145,10.135,10.145,0.005,+0.05%,47200
01/23/2023,10.14,10.15,10.135,10.14,0.01,+0.10%,1679900
01/20/2023,10.14,10.14,10.12,10.13,-0.015,-0.15%,4244800
01/18/2023,10.135,10.15,10.13,10.145,-0.005,-0.05%,500
01/17/2023,10.12,10.15,10.12,10.15,0.03,+0.30%,33800
01/13/2023,10.12,10.12,10.12,10.12,0,0.00%,30300
01/12/2023,10.12,10.13,10.12,10.12,-0.01,-0.10%,56800
01/11/2023,10.13,10.13,10.125,10.13,0.01,+0.10%,11400
01/10/2023,10.11,10.12,10.11,10.12,0.01,+0.10%,126000
01/09/2023,10.1,10.11,10.1,10.11,0,0.00%,21600
01/06/2023,10.11,10.11,10.11,10.11,0.01,+0.10%,37300
01/05/2023,10.1,10.1,10.1,10.1,0,0.00%,11300
01/04/2023,10.0918,10.1,10.0918,10.1,0,0.00%,9600
01/03/2023,10.1,10.1,10.08,10.1,0,0.00%,3900
12/30/2022,10.08,10.1,10.08,10.1,0.03,+0.30%,70700
12/29/2022,10.07,10.085,10.065,10.07,0.01,+0.10%,32000
12/28/2022,10.08,10.09,10.06,10.06,-0.02,-0.20%,271200
12/27/2022,10.07,10.09,10.07,10.08,0.01,+0.10%,309500
12/23/2022,10.07,10.09,10.07,10.07,0,0.00%,37400
12/22/2022,10.07,10.085,10.07,10.07,0,0.00%,16000
12/21/2022,10.07,10.0844,10.07,10.07,0.01,+0.10%,740000
12/20/2022,10.07,10.08,10.06,10.06,0,0.00%,133800
12/19/2022,10.07,10.08,10.05,10.06,0.01,+0.10%,1627200
12/16/2022,10.05,10.07,10.05,10.05,0,0.00%,1117300
12/15/2022,10.05,10.055,10.05,10.05,0.01,+0.10%,418400
12/14/2022,10.04,10.06,10.04,10.04,0,0.00%,411600
12/13/2022,10.04,10.04,10.04,10.04,-0.005,-0.05%,51200
12/12/2022,10.07,10.07,10.04,10.045,0.005,+0.05%,4200
12/09/2022,10.07,10.07,10.04,10.04,0,0.00%,31400
12/08/2022,10.04,10.045,10.04,10.04,0,0.00%,2000
12/07/2022,10.0416,10.045,10.04,10.04,0,0.00%,33000
12/06/2022,10.03,10.045,10.03,10.04,0.01,+0.10%,71800
12/05/2022,10.03,10.035,10.02,10.03,0,0.00%,40100
12/02/2022,10.03,10.035,10.03,10.03,-0.005,-0.05%,153000
12/01/2022,10.02,10.04,10.02,10.035,0.015,+0.15%,41100
11/30/2022,10.02,10.03,10.02,10.02,0,0.00%,102300
11/29/2022,10.01,10.03,10.01,10.02,-0.02,-0.20%,131800
11/28/2022,10.01,10.04,10.01,10.04,0.03,+0.30%,19800
11/22/2022,10.01,10.03,10.01,10.01,0,0.00%,11300
11/21/2022,10.01,10.01,10.01,10.01,-0.01,-0.10%,37700
11/18/2022,10.02,10.02,10.02,10.02,0.02,+0.20%,207
11/17/2022,9.99,10,9.99,10,0,0.00%,1500
11/16/2022,10,10,10,10,0.01,+0.10%,2900
11/15/2022,9.99,10,9.99,9.99,0.01,+0.10%,232700
11/14/2022,9.98,9.987,9.98,9.98,0,0.00%,7900
11/11/2022,9.98,9.99,9.98,9.98,0,0.00%,229800
11/10/2022,9.99,9.99,9.98,9.98,0,0.00%,180300
11/09/2022,9.98,9.99,9.975,9.98,0,0.00%,162700
11/08/2022,9.98,9.98,9.98,9.98,0.01,+0.10%,83900
11/02/2022,9.9693,9.97,9.9693,9.97,0.01,+0.10%,19700
11/01/2022,9.965,9.965,9.96,9.96,0.01,+0.10%,95500
10/31/2022,9.97,9.97,9.95,9.95,-0.02,-0.20%,600
10/27/2022,9.97,9.97,9.96,9.97,0.02,+0.20%,363200
10/26/2022,9.95,9.97,9.95,9.95,0,0.00%,26900
10/25/2022,9.95,9.95,9.95,9.95,0.01,+0.10%,900000
10/24/2022,9.95,9.96,9.94,9.94,-0.01,-0.10%,100200
10/21/2022,9.95,9.95,9.95,9.95,0,0.00%,100
10/20/2022,9.96,9.97,9.945,9.95,0,0.00%,331100
10/19/2022,9.94,9.95,9.94,9.95,0,0.00%,112500
10/18/2022,9.95,9.96,9.94,9.95,-0.02,-0.20%,610000
10/17/2022,9.97,9.97,9.94,9.97,-0.01,-0.10%,58700
10/14/2022,9.97,9.98,9.95,9.98,0,0.00%,54300
10/13/2022,9.95,9.98,9.95,9.98,0.04,+0.40%,5500
10/12/2022,9.94,9.95,9.94,9.94,0.02,+0.20%,305600
10/11/2022,9.92,9.92,9.92,9.92,-0.01,-0.10%,87100
10/10/2022,9.94,9.94,9.93,9.93,0,0.00%,1800
10/07/2022,9.92,9.94,9.91,9.93,0.01,+0.10%,4500
10/06/2022,9.92,9.94,9.91,9.92,-0.05,-0.50%,75500
10/05/2022,9.99,9.99,9.93,9.97,0.06,+0.61%,2400
10/04/2022,9.91,9.91,9.91,9.91,0,0.00%,100100
09/30/2022,9.9,9.91,9.9,9.91,0.01,+0.10%,104000
09/29/2022,9.9,9.9,9.9,9.9,0,0.00%,2100
09/28/2022,9.91,9.91,9.89,9.9,-0.01,-0.10%,305400
09/27/2022,9.91,9.91,9.91,9.91,0,0.00%,2400
09/26/2022,9.91,9.91,9.9,9.91,0,0.00%,225600
09/23/2022,9.91,9.91,9.91,9.91,0,0.00%,100
09/22/2022,9.93,9.93,9.91,9.91,0,0.00%,35600
09/21/2022,9.9,9.91,9.9,9.91,0.01,+0.10%,384300
09/20/2022,9.9,9.9,9.9,9.9,0,0.00%,50000
09/19/2022,9.9,9.905,9.9,9.9,0,0.00%,328400
09/16/2022,9.9,9.905,9.895,9.9,0.01,+0.10%,420700
09/14/2022,9.9,9.92,9.89,9.89,-0.0031,-0.03%,307800
09/13/2022,9.89,9.8931,9.89,9.8931,-0.0169,-0.17%,150300
09/12/2022,9.9,9.91,9.9,9.91,0.01,+0.10%,4300
09/09/2022,9.9,9.9,9.9,9.9,0.02,+0.20%,500
09/07/2022,9.88,9.88,9.88,9.88,0.01,+0.10%,900
08/31/2022,9.87,9.87,9.87,9.87,0.01,+0.10%,2600
08/30/2022,9.86,9.8601,9.86,9.86,-0.01,-0.10%,5100
08/25/2022,9.87,9.87,9.87,9.87,0.01,+0.10%,9900
08/24/2022,9.85,9.86,9.85,9.86,0,0.00%,32200
08/23/2022,9.86,9.86,9.86,9.86,-0.01,-0.10%,100
08/22/2022,9.87,9.87,9.86,9.87,0.01,+0.10%,700
08/19/2022,9.86,9.86,9.86,9.86,0,0.00%,300
08/18/2022,9.86,9.86,9.85,9.86,0.01,+0.10%,1263300
08/17/2022,9.855,9.855,9.85,9.85,-0.0001,0.00%,16700
08/16/2022,9.86,9.86,9.85,9.8501,-0.0099,-0.10%,18600
08/15/2022,9.87,9.87,9.85,9.86,0.02,+0.20%,649600
08/11/2022,9.844,9.844,9.84,9.84,0,0.00%,8300
08/10/2022,9.84,9.84,9.84,9.84,0,0.00%,5800
08/09/2022,9.84,9.845,9.84,9.84,-0.03,-0.30%,79600
08/08/2022,9.87,9.87,9.87,9.87,0.02,+0.20%,7900
08/05/2022,9.85,9.86,9.85,9.85,0,0.00%,19200
08/04/2022,9.85,9.86,9.83,9.85,0.02,+0.20%,431900
08/02/2022,9.83,9.84,9.83,9.83,-0.01,-0.10%,202500
08/01/2022,9.83,9.84,9.83,9.84,0,0.00%,839400
07/29/2022,9.84,9.84,9.835,9.84,-0.01,-0.10%,23600
07/28/2022,9.83,9.85,9.82,9.85,0.025,+0.25%,165600
07/27/2022,9.81,9.825,9.81,9.825,0.015,+0.15%,600
07/26/2022,9.855,9.855,9.81,9.81,0,0.00%,2700
07/25/2022,9.82,9.85,9.81,9.81,-0.01,-0.10%,482900
07/22/2022,9.82,9.82,9.82,9.82,0.01,+0.10%,1900
07/21/2022,9.8065,9.82,9.8065,9.81,-0.005,-0.05%,5200
07/20/2022,9.8,9.815,9.8,9.815,-0.005,-0.05%,500
07/19/2022,9.8,9.83,9.8,9.82,0.01,+0.10%,1245400
07/18/2022,9.81,9.82,9.8,9.81,0,0.00%,12400
07/15/2022,9.8,9.82,9.8,9.81,0.01,+0.10%,350800
07/14/2022,9.81,9.81,9.8,9.8,-0.01,-0.10%,11700
07/13/2022,9.8,9.81,9.8,9.81,0.02,+0.20%,59200
07/12/2022,9.815,9.815,9.79,9.79,-0.01,-0.10%,32900
07/11/2022,9.81,9.81,9.8,9.8,-0.01,-0.10%,30900
07/07/2022,9.81,9.81,9.81,9.81,0,0.00%,7000
07/06/2022,9.82,9.82,9.81,9.81,0.01,+0.10%,634600
07/05/2022,9.8,9.81,9.8,9.8,-0.0061,-0.06%,800
07/01/2022,9.8061,9.8061,9.8061,9.8061,-0.0039,-0.04%,200
06/30/2022,9.8,9.81,9.8,9.81,-0.01,-0.10%,234900
06/29/2022,9.81,9.82,9.805,9.82,0.01,+0.10%,5600
06/28/2022,9.8,9.81,9.8,9.81,0.01,+0.10%,129400
06/27/2022,9.8,9.81,9.795,9.8,-0.01,-0.10%,245600
06/24/2022,9.78,9.81,9.78,9.81,0.01,+0.10%,3300
06/23/2022,9.78,9.8,9.78,9.8,0.01,+0.10%,600
06/22/2022,9.78,9.81,9.78,9.79,0.01,+0.10%,13100
06/21/2022,9.8,9.8,9.77,9.78,0.01,+0.10%,61100
06/17/2022,9.78,9.8,9.76,9.77,-0.03,-0.31%,599500
06/16/2022,9.8,9.81,9.79,9.8,0.02,+0.20%,574000
06/15/2022,9.8,9.81,9.78,9.78,-0.02,-0.20%,548000
06/14/2022,9.81,9.81,9.79,9.8,-0.02,-0.20%,28500
06/13/2022,9.8,9.82,9.8,9.82,0.02,+0.20%,23000
06/10/2022,9.8,9.81,9.8,9.8,0.01,+0.10%,29600
06/07/2022,9.814,9.814,9.78,9.79,-0.02,-0.20%,41800
06/03/2022,9.8,9.81,9.8,9.81,0.03,+0.31%,49000
06/02/2022,9.79,9.805,9.78,9.78,-0.01,-0.10%,395400
06/01/2022,9.77,9.8,9.77,9.79,0.02,+0.20%,6800
05/31/2022,9.81,9.82,9.76,9.77,-0.02,-0.20%,9400
05/27/2022,9.795,9.805,9.785,9.79,0.005,+0.05%,1755600
05/26/2022,9.8,9.8,9.785,9.785,0.005,+0.05%,35700
