Time,Open,High,Low,Last,Change,%Chg,Volume
04/06/2023,7.6424,7.6424,7.6424,7.6424,-0.2426,-3.08%,700
04/05/2023,7.5295,7.885,7.5295,7.885,0.515,+6.99%,1900
04/04/2023,7.9897,7.9897,7.3601,7.37,-0.42,-5.39%,1600
03/27/2023,7.79,7.79,7.79,7.79,-0.01,-0.13%,200
03/24/2023,7.8,7.8,7.8,7.8,-0.26,-3.23%,400
03/22/2023,7.3601,8.06,7.3601,8.06,0.0702,+0.88%,400
03/21/2023,7.51,7.9898,7.51,7.9898,-0.0002,0.00%,3300
03/20/2023,7.99,7.99,7.99,7.99,0,0.00%,300
03/17/2023,7.97,7.99,7.89,7.99,0.12,+1.52%,1600
03/16/2023,7.77,8,7.77,7.87,0.07,+0.90%,2800
03/15/2023,7.6,7.81,7.6,7.8,0.4,+5.41%,1000
03/14/2023,7.77,8.01,7.4,7.4,-0.19,-2.50%,3000
03/13/2023,7.35,7.59,7.35,7.59,0.19,+2.57%,2000
03/10/2023,7.4,7.4,7.4,7.4,-0.01,-0.13%,400
03/09/2023,7.41,7.41,7.41,7.41,-0.03,-0.40%,300
03/07/2023,7.44,7.44,7.44,7.44,-0.235,-3.06%,600
03/06/2023,7.52,7.675,7.52,7.675,0.285,+3.86%,1600
03/03/2023,8,8,7.36,7.39,-0.23,-3.02%,2000
03/02/2023,7.8,8.49,7.62,7.62,-0.0199,-0.26%,5700
03/01/2023,7.63,7.64,7.34,7.6399,0.7899,+11.53%,4300
02/28/2023,6.74,6.985,6.73,6.85,-0.05,-0.72%,1000
02/27/2023,6.74,6.9,6.74,6.9,0.17,+2.53%,1200
02/24/2023,7.33,7.33,6.73,6.73,-0.5,-6.92%,2300
02/23/2023,7.27,7.27,7.23,7.23,-0.02,-0.28%,3900
02/21/2023,7.02,7.25,7.02,7.25,-0.13,-1.76%,1300
02/16/2023,7.1531,7.38,7.1531,7.38,0.28,+3.94%,6700
02/15/2023,7.71,7.71,7.1,7.1,-0.35,-4.70%,2100
02/14/2023,7.52,7.52,7.25,7.45,-0.25,-3.25%,6000
02/13/2023,7.7,7.7,7.7,7.7,-0.04,-0.52%,400
02/10/2023,7.4,7.97,7.2,7.74,0.04,+0.52%,15800
02/09/2023,8.1,8.3,7.7,7.7,-0.4,-4.94%,8100
02/08/2023,8.13,8.13,8.1,8.1,0.195,+2.47%,3700
02/07/2023,7.995,8,7.8681,7.905,0.305,+4.01%,7000
02/06/2023,8,8,7.6,7.6,-0.1,-1.30%,8700
02/03/2023,8.7,8.7,7.7,7.7,-0.3,-3.75%,9100
02/02/2023,8.25,8.25,8,8,-0.25,-3.03%,1200
02/01/2023,7.94,8.55,7.94,8.25,0.2601,+3.26%,5000
01/31/2023,7.96,7.99,7.94,7.9899,0.4299,+5.69%,2600
01/30/2023,7.5,7.78,7.5,7.56,-0.04,-0.53%,400
01/26/2023,7.6001,7.6001,7.6,7.6,0.05,+0.66%,200
01/25/2023,7.15,7.57,6.55,7.55,-0.2,-2.58%,7600
01/23/2023,7.75,7.75,7.75,7.75,0.75,+10.71%,1000
01/20/2023,6.99,7.55,6.56,7,0,0.00%,500
01/19/2023,7.03,7.05,6.8806,7,-0.26,-3.58%,2500
01/17/2023,7.325,7.325,6.975,7.26,-0.185,-2.48%,2700
01/13/2023,7.03,7.521,7.02,7.445,-0.195,-2.55%,2700
01/12/2023,7.8,8.1501,7.64,7.64,0.12,+1.60%,3400
01/11/2023,8.16,8.16,7.41,7.52,-0.68,-8.29%,1000
01/10/2023,8.33,8.6,8.2,8.2,-0.15,-1.80%,1300
